firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/drdozellodc/status/418401898840879104,drdozellodc,Running &amp; Training Tips to Minimize Injury Potential http://t.co/3B3rHMpjVz #Vegas #running #lowerbackpain #hippain #anklepain #heelpain,7.129349,http://twitter.com/drdozellodc/status/418401898840879104,http://twitter.com/drdozellodc
01/02/14,http://twitter.com/sweatitout/status/418731955728187392,sweatitout,Are you suffering from #HipPain? http://t.co/UCauYQFxvo,8.344815,http://twitter.com/sweatitout/status/418731955728187392,http://twitter.com/sweatitout
01/02/14,http://twitter.com/drdozellodc/status/418869658830110720,drdozellodc,Running &amp; Training Tips to Minimize Injury Potential http://t.co/3B3rHMpjVz … #Vegas #running #lowerbackpain #hippain #anklepain #heelpain,7.1331735,http://twitter.com/drdozellodc/status/418869658830110720,http://twitter.com/drdozellodc
01/02/14,http://twitter.com/tracycancro/status/418881981217513472,tracycancro,I'm starting to think running through this hip pain may not be my brightest idea #ouchie #runner #runnergirl #hippain #slowingmedown,7.4581933,http://twitter.com/TracyCancro/status/418881981217513472,http://twitter.com/tracycancro
01/03/14,http://twitter.com/sqltho/status/418925566725615616,sqltho,MRI results are in: Herniated disc near L5-S1. Opting for a epidermal shot and more PT. Surgery probably not needed. #hippain #week16,7.014279,http://twitter.com/SQLtho/status/418925566725615616,http://twitter.com/sqltho
01/03/14,http://twitter.com/sweatitout/status/419047282357837824,sweatitout,Are you suffering from #HipPain? http://t.co/UCauYQFxvo,8.291045,http://twitter.com/sweatitout/status/419047282357837824,http://twitter.com/sweatitout
01/03/14,http://twitter.com/lucyellenn/status/419049397490835456,lucyellenn,Fell out of bed this morning and landed on one of my water speakers #RIP #hippain,8.260965,http://twitter.com/LucyEllenn/status/419049397490835456,http://twitter.com/lucyellenn
01/03/14,http://twitter.com/symphonigroup/status/419233848124133376,symphonimedia,Do you suffer from hip pain? http://t.co/hrokZT3Kqb #hippointer #hippain #orthopedics #painrelief,7.4766946,http://twitter.com/SymphoniGroup/status/419233848124133376,http://twitter.com/symphonimedia
01/04/14,http://twitter.com/healthhashtags/status/419257373488738304,healthhashtags,New Health Hashtag: #HipPain http://t.co/CQBeouy0si Thank you @DrRemiDO #hcsm,8.002832,http://twitter.com/healthhashtags/status/419257373488738304,http://twitter.com/healthhashtags
01/04/14,http://twitter.com/sweatitout/status/419365397868339200,sweatitout,Are you suffering from #HipPain? http://t.co/UCauYQFxvo,8.239561,http://twitter.com/sweatitout/status/419365397868339200,http://twitter.com/sweatitout
