firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/rxgurl1/status/418224774335066112,rxgurl1,I always laugh @sonicdrive_in commercials! Those guys are the best! #tenniselbow #spicetastic,7.8597293,http://twitter.com/RxGurl1/status/418224774335066112,http://twitter.com/rxgurl1
01/01/14,http://twitter.com/remedytip/status/418359328643379201,remedytip,Are Tennis Racquets to Blame for Tennis Elbow? http://t.co/bmzsmgsgcF #TennisElbow,7.8142004,http://twitter.com/RemedyTip/status/418359328643379201,http://twitter.com/remedytip
01/01/14,http://twitter.com/rachhhyyx/status/418406079429877761,rachhhyyx,"Woke up with a bruised back and an overly sore elbow, I definitely won't be fist pumping for a while! #tenniselbow",7.9179416,http://twitter.com/Rachhhyyx/status/418406079429877761,http://twitter.com/rachhhyyx
01/01/14,http://twitter.com/famous_doctor/status/418416884292136961,yogaprop,"RT @Famous_Doctor: Clinical case study: ""Successful Healing of Tennis Elbow"" #TennisElbow #Pain #Tendonitis http://t.co/1sJHzoBCac",8.457851,http://twitter.com/yogaprop/status/418418418053050368,http://twitter.com/yogaprop
01/01/14,http://twitter.com/yogainternships/status/418418420963889152,yogainternships,"RT @Famous_Doctor: Clinical case study: ""Successful Healing of Tennis Elbow"" #TennisElbow #Pain #Tendonitis http://t.co/1sJHzoBCac",7.554761,http://twitter.com/YogaInternships/status/418418420963889152,http://twitter.com/yogainternships
01/01/14,http://twitter.com/ac_wei/status/418416119351762944,barbjeanphysio,"RT @ac_Wei: Clinical case study: ""Successful Healing of Tennis Elbow"" #TennisElbow #Pain #Tendonitis http://t.co/HrSrqCsx23",7.6390605,http://twitter.com/BarbJeanPhysio/status/418507562037051392,http://twitter.com/barbjeanphysio
01/02/14,http://twitter.com/tenniselbowtutr/status/418545283891748864,tenniselbowtutr,"New #TennisElbow podcast series: ""Two-Minute Tennis Elbow Tutorials"" (introduction) - http://t.co/pPEbRAJYbg",7.5226398,http://twitter.com/TennisElbowTutr/status/418545283891748864,http://twitter.com/tenniselbowtutr
01/02/14,http://twitter.com/tenniselbowtutr/status/418602945568342016,tenniselbowtutr,"Smashing The Tennis Elbow Inflammation Myth! - No more pills, ice or shots - (A Two-Minute #TennisElbow Tutorial Po… http://t.co/JcU1hXLysl",7.10762,http://twitter.com/TennisElbowTutr/status/418602945568342016,http://twitter.com/tenniselbowtutr
01/02/14,http://twitter.com/tenniselbowtutr/status/418653137470124032,tenniselbowtutr,"Time to Smash The #TennisElbow Inflammation Myth! - No more pills, ice or shots - Full post: http://t.co/FfFao3LxvC

https://t.co/HQiIBWabS3",7.4484878,http://twitter.com/TennisElbowTutr/status/418653137470124032,http://twitter.com/tenniselbowtutr
01/02/14,http://twitter.com/kendalhouse/status/418762356655550465,kendalhouse,Our clinics in #Clitheroe and #Longridge are easy to reach from all areas of #Lancashire &gt;&gt; http://t.co/72lkxcoaVP #tenniselbow #Osteopaths,7.265267,http://twitter.com/KendalHouse/status/418762356655550465,http://twitter.com/kendalhouse
01/02/14,http://twitter.com/ringwoodclinic/status/418765593395736577,ringwoodclinic,If you are suffering from symptoms of tennis elbow then this one is for you! #TennisElbow #InfoGraphics http://t.co/OYARpKHHqA,8.856247,http://twitter.com/RingwoodClinic/status/418765593395736577,http://twitter.com/ringwoodclinic
01/03/14,http://twitter.com/riseabovegym/status/419207829375840257,riseabovegym,Five Tips for Treating Tendonitis http://t.co/CvrVCCjBWe #tendinitis #tendonitis #TennisElbow,7.8436484,http://twitter.com/RiseAboveGym/status/419207829375840257,http://twitter.com/riseabovegym
01/04/14,http://twitter.com/tenniselbowtutr/status/419360914761338880,tenniselbowtutr,"Do braces relieve #TennisElbow pain? Sure! – But do they help your injury HEAL? - http://t.co/gdna18UHBu - 
http://t.co/Q0Mjm9uZoz",7.0347204,http://twitter.com/TennisElbowTutr/status/419360914761338880,http://twitter.com/tenniselbowtutr
01/04/14,http://twitter.com/kendalhouse/status/419411884937199616,kendalhouse,We offer Saturday morning &amp; evening appointments to fit in with your busy lives &gt;&gt; http://t.co/PHRNuBqkic #Osteopath #tenniselbow #pain #KHC,7.370582,http://twitter.com/KendalHouse/status/419411884937199616,http://twitter.com/kendalhouse
01/04/14,http://twitter.com/asksirstamford/status/419510187775377408,asksirstamford,"Our wii now works after we bought a new sensor bar, now I have #tenniselbow",11.500965,http://twitter.com/AskSirStamford/status/419510187775377408,http://twitter.com/asksirstamford
01/04/14,http://twitter.com/bbeike/status/419528742482874368,bbeike,"""My doctor said I should spice it."" ""Probably ice it is what he said."" ""I'm going to live"" #TennisElbow @sonicdrive_in #jumbopopcornchicken",7.721571,http://twitter.com/bbeike/status/419528742482874368,http://twitter.com/bbeike
01/04/14,http://twitter.com/tsand/status/419554110426185728,tsand,"Holy shitz. Just genuinely laughed at a @sonicdrive_in commercial. Strange days, yo. Strange days. #tenniselbow",11.563847,http://twitter.com/tsand/status/419554110426185728,http://twitter.com/tsand
01/04/14,http://twitter.com/tykowale/status/419569542105694209,tykowale,I want to be the guys in the sonic commercials #TennisElbow,8.622233,http://twitter.com/tykowale/status/419569542105694209,http://twitter.com/tykowale
01/04/14,http://twitter.com/rbfilipe/status/419573144685654016,rbfilipe,R128: [Q] F Ribeiro vs J Isner. Here we go. #AustralianOpen #TennisElbow,10.927301,http://twitter.com/rbfilipe/status/419573144685654016,http://twitter.com/rbfilipe
01/04/14,http://twitter.com/carlando_bloom/status/419587169993633793,carlando_bloom,@carlpatterson_ @farishlfc i have #tenniselbow,8.077619,http://twitter.com/carlando_bloom/status/419587169993633793,http://twitter.com/carlando_bloom
01/05/14,http://twitter.com/hiker_steve/status/419661188226490368,hiker_steve,Elbow pain is so overrated! #tenniselbow,8.622233,http://twitter.com/Hiker_Steve/status/419661188226490368,http://twitter.com/hiker_steve
01/06/14,http://twitter.com/healthyone_org/status/420047831060078592,healthyone_org,"What is Tennis Elbow? http://t.co/vqryEWe0J3
 #TennisElbow",8.1878805,http://twitter.com/Healthyone_org/status/420047831060078592,http://twitter.com/healthyone_org
01/06/14,http://twitter.com/sabinesmeals/status/420088048634707968,sabinesmeals,@DrewsmamaTennis neither would I! Even in this economy ;) #CantWork #TennisElbow,7.6266937,http://twitter.com/sabinesmeals/status/420088048634707968,http://twitter.com/sabinesmeals
01/07/14,http://twitter.com/realcbg/status/420357041056522240,realcbg,"It's the third season of #TennisElbow, and I start out strong with 14 wonky predictions for the 2014 season. http://t.co/MSKqAmzMZX",12.020319,http://twitter.com/RealCBG/status/420357041056522240,http://twitter.com/realcbg
01/07/14,http://twitter.com/tennisconnected/status/420359051738750977,tennisconnected,"RT @RealCBG: It's the third season of #TennisElbow, and I start out strong with 14 wonky predictions for the 2014 season. http://t.co/MSKqA…",11.038881,http://twitter.com/TennisConnected/status/420359051738750977,http://twitter.com/tennisconnected
01/07/14,http://twitter.com/itzjeremyadams/status/420381081691750400,trainerknight,That retarded chop aint working right now lol #TennisElbow,8.5145035,http://twitter.com/itzJeremyAdams/status/420381081691750400,http://twitter.com/trainerknight
