firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/sanjodedra/status/418192826808037376,sanjodedra,Can't believe I forgot Ibiza as well #MemoryLoss,8.6102,http://twitter.com/SanjOdedra/status/418192826808037376,http://twitter.com/sanjodedra
01/01/14,http://twitter.com/vabhobe/status/418226340412661761,veenayeeta,"I actually don't remember what I wished people yesterday night in my sleep. Hopefully I didn't say ""Merry XMas!"" or something. #memoryloss",7.9121723,http://twitter.com/vabhobe/status/418226340412661761,http://twitter.com/veenayeeta
01/01/14,http://twitter.com/lexie_jane_/status/418288856220196864,lexie_jane_,Now it's going to take me another year to remember that it's 2014. #truth #memoryloss,8.2489195,http://twitter.com/lexie_jane_/status/418288856220196864,http://twitter.com/lexie_jane_
01/01/14,http://twitter.com/stephhuhhneeee/status/418289044578402304,stephhuhhneeee,Drunk on new years! #Drunk #Newyears #partyin #memoryloss http://t.co/SEtPC5fwJ7,7.9776783,http://twitter.com/stephhuhhneeee/status/418289044578402304,http://twitter.com/stephhuhhneeee
01/01/14,http://twitter.com/caroljhedges/status/418309997076836352,caroljhedges,Morning Twitter: review of stuff that happened last year...can't remember. Doesn't bode well for 2014 #memoryloss,8.78781,http://twitter.com/carolJhedges/status/418309997076836352,http://twitter.com/caroljhedges
01/01/14,http://twitter.com/stevethornton9/status/418325630556856320,stevethornton9,"Good night, I think! #memoryloss",8.998182,http://twitter.com/SteveThornton9/status/418325630556856320,http://twitter.com/stevethornton9
01/01/14,http://twitter.com/alicerosepinder/status/418329766656491520,alicerosepinder,What was I doing last night #memoryloss,8.903077,http://twitter.com/alicerosepinder/status/418329766656491520,http://twitter.com/alicerosepinder
01/01/14,http://twitter.com/emma_babyskylar/status/418333390958768128,emma_babyskylar,Absolutely hammered last night. #memoryLoss bring on 2014. #HappyNewYear,8.207938,http://twitter.com/Emma_BabySkylar/status/418333390958768128,http://twitter.com/emma_babyskylar
01/01/14,http://twitter.com/rachelbavvy/status/418334782985367552,rachelbavvy,Thanks for hosting a lovely New Years party @jsrendle845 I am so sorry for my drunkenness!!! #embarrassed #memoryloss,8.400231,http://twitter.com/rachelbavvy/status/418334782985367552,http://twitter.com/rachelbavvy
01/01/14,http://twitter.com/kmw_88/status/418348423637516288,kmw_88,@xavbait soz xav. I'm a shit bloke. #memoryloss #so2013,7.685264,http://twitter.com/kmw_88/status/418348423637516288,http://twitter.com/kmw_88
01/01/14,http://twitter.com/megbradley1/status/418350056459485184,megbradley1,@ConnorLMason what bet is this ??? #memoryloss,7.9832077,http://twitter.com/MegBradley1/status/418350056459485184,http://twitter.com/megbradley1
01/01/14,http://twitter.com/rab_todd/status/418351075310469120,rab_todd,From information on a group text I'm convinced I actually stayed in last night #memoryloss,8.201071,http://twitter.com/rab_todd/status/418351075310469120,http://twitter.com/rab_todd
01/01/14,http://twitter.com/anth0190/status/418351286355247104,anth0190,#dead #HappyNewYear #memoryloss #wtfhappened http://t.co/jsWtbwfSAG,8.275715,http://twitter.com/anth0190/status/418351286355247104,http://twitter.com/anth0190
01/01/14,http://twitter.com/will_ski_95/status/418352326324543488,will_ski_95,Someone please tell me who i was at shakeys with last night??! 😭 #memoryloss,7.8609023,http://twitter.com/Will_Ski_95/status/418352326324543488,http://twitter.com/will_ski_95
01/01/14,http://twitter.com/georgelit5/status/418352728151445506,georgelit5,😷🙈😜 rough sick and tired .... #bignye #memoryloss #loveyouall,8.766902,http://twitter.com/Georgelit5/status/418352728151445506,http://twitter.com/georgelit5
01/01/14,http://twitter.com/naththornton/status/418364518880653312,naththornton,What the fuck happened last night #Mess #MemoryLoss,8.512649,http://twitter.com/NathThornton/status/418364518880653312,http://twitter.com/naththornton
01/01/14,http://twitter.com/lydiaricketts/status/418367213104820224,lydiaricketts,A lethal combination of ibuprofen and vodka made for a very forgotten New Years #memoryloss #happynewyear,7.799428,http://twitter.com/LydiaRicketts/status/418367213104820224,http://twitter.com/lydiaricketts
01/01/14,http://twitter.com/fionanoman/status/418368807485603840,fionanoman,Hate when you buy a boy a drink but forget which glass you put the rohypnol in #memoryloss #newyearoldme,7.6081057,http://twitter.com/FionaNoMan/status/418368807485603840,http://twitter.com/fionanoman
01/01/14,http://twitter.com/jacksonbyrom/status/418371003233091584,jacksonbyrom,Dont even know were I was at 12 #memoryloss,8.902326,http://twitter.com/JacksonByrom/status/418371003233091584,http://twitter.com/jacksonbyrom
01/01/14,http://twitter.com/liadhtobin/status/418371528330596352,liadhtobin,Good night I wonder ? #MemoryLoss,8.202104,http://twitter.com/liadhtobin/status/418371528330596352,http://twitter.com/liadhtobin
