firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/tal7291/status/418264957004705792,tal7291,#Arachnoiditis #Pathwaystoinjury #Meningitis #Fungalinfection #LymeDisease #Tuberculosis #TraumaticInjury #Duralpuncture #NeedPalliativeCare,6.6192536,http://twitter.com/tal7291/status/418264957004705792,http://twitter.com/tal7291
01/01/14,http://twitter.com/smarfreedom/status/418276416916946945,smarfreedom,"The #Lord doing great things through Owyn as He fights #meningitis for him.#Pray for Owyn,show love on FB https://t.co/7M5EFRm0oY #TeamJesus",8.701677,http://twitter.com/SMARFreedom/status/418276416916946945,http://twitter.com/smarfreedom
01/01/14,http://twitter.com/livemonologue/status/418282113180659712,livemonologue,"RT @SMARFreedom: The #Lord doing great things through Owyn as He fights #meningitis for him.#Pray for Owyn,show love on FB https://t.co/7M5…",7.163385,http://twitter.com/LiveMonologue/status/418282113180659712,http://twitter.com/livemonologue
01/01/14,http://twitter.com/kennyv777/status/418301688181571584,kennyv777,"RT @SMARFreedom: The #Lord doing great things through Owyn as He fights #meningitis for him.#Pray for Owyn,show love on FB https://t.co/7M5…",7.163385,http://twitter.com/kennyv777/status/418301688181571584,http://twitter.com/kennyv777
01/01/14,http://twitter.com/cdcglobal/status/418382477649281025,cdcglobal,"At less than $1 a dose, the MenAfriVac #meningitis vaccine is saving thousands of lives in sub-Saharan Africa! http://t.co/uRvM9U89Gn",10.349428,http://twitter.com/CDCGlobal/status/418382477649281025,http://twitter.com/cdcglobal
01/01/14,http://twitter.com/moraviahealth/status/418382692632514560,moraviahealth,"RT @CDCGlobal: At less than $1 a dose, the MenAfriVac #meningitis vaccine is saving thousands of lives in sub-Saharan Africa! http://t.co/u…",6.9932604,http://twitter.com/MoraviaHealth/status/418382692632514560,http://twitter.com/moraviahealth
01/01/14,http://twitter.com/alwaysintent/status/418385996485754880,alwaysintent,"RT @CDCGlobal: At less than $1 a dose, the MenAfriVac #meningitis vaccine is saving thousands of lives in sub-Saharan Africa! http://t.co/u…",6.9932604,http://twitter.com/AlwaysIntent/status/418385996485754880,http://twitter.com/alwaysintent
01/01/14,http://twitter.com/jessevershed/status/418406284342599681,jessevershed,#SoundofMusic. Watched 18 years ago. By the end I was on my way to hospital with #Meningitis. A little ritual to watch it to the end now...,7.742869,http://twitter.com/jessevershed/status/418406284342599681,http://twitter.com/jessevershed
01/01/14,http://twitter.com/dretico/status/418406930659684352,dretico,"RT @CDCGlobal: At less than $1 a dose, the MenAfriVac #meningitis vaccine is saving thousands of lives in sub-Saharan Africa! http://t.co/u…",6.9932604,http://twitter.com/dretico/status/418406930659684352,http://twitter.com/dretico
01/01/14,http://twitter.com/5rovicmasa/status/418422007395778560,5rovicmasa,@i_am_stanatic #meningitis,8.881335,http://twitter.com/5rovicmasa/status/418422007395778560,http://twitter.com/5rovicmasa
01/01/14,http://twitter.com/i_am_stanatic/status/418422104472956928,i_am_stanatic,RT @5rovicmasa: @i_am_stanatic #meningitis,7.742081,http://twitter.com/i_am_stanatic/status/418422104472956928,http://twitter.com/i_am_stanatic
01/01/14,http://twitter.com/evillepi/status/418504404862394368,evillepi,"RT @CDCGlobal: At less than $1 a dose, the MenAfriVac #meningitis vaccine is saving thousands of lives in sub-Saharan Africa! http://t.co/u…",6.9932604,http://twitter.com/evillepi/status/418504404862394368,http://twitter.com/evillepi
01/02/14,http://twitter.com/carolynprobably/status/418597281856622592,carolynprobably,"RT @CDCGlobal: At less than $1 a dose, the MenAfriVac #meningitis vaccine is saving thousands of lives in sub-Saharan Africa! http://t.co/u…",6.9932604,http://twitter.com/carolynprobably/status/418597281856622592,http://twitter.com/carolynprobably
01/02/14,http://twitter.com/pezzapezzi/status/418659223296561152,pezzapezzi,"My favorite of @PATHtweets ""cool projects"": #meningitis A #vaccine #menafrivac has protected 150m people so far http://t.co/82vWC39X3C",11.253962,http://twitter.com/Pezzapezzi/status/418659223296561152,http://twitter.com/pezzapezzi
01/02/14,http://twitter.com/campos/status/418660535522324480,campos,"RT @Pezzapezzi: My favorite of @PATHtweets ""cool projects"": #meningitis A #vaccine #menafrivac has protected 150m people so far http://t.co…",10.408593,http://twitter.com/campos/status/418660535522324480,http://twitter.com/campos
01/02/14,http://twitter.com/n_meningitidis/status/418714386811715585,n_meningitidis,"#Meningitis news: Up and running in no time, the nine-year-old meningitis survivor who has a ne... http://t.co/KHXQtFTbCw #pathogenposse",7.2041907,http://twitter.com/N_Meningitidis/status/418714386811715585,http://twitter.com/n_meningitidis
01/02/14,http://twitter.com/n_meningitidis/status/418818808694853632,n_meningitidis,#Meningitis news: PRINCETON: CDC official addresses meningitis at university http://t.co/MF7z5IN1Sj #pathogenposse,7.6293545,http://twitter.com/N_Meningitidis/status/418818808694853632,http://twitter.com/n_meningitidis
01/02/14,http://twitter.com/morrisonellis/status/418838062664544258,morrisonellis,.@MeningitisNow Read about how #blind #meningitis survivor @arttellis draws what he 'sees' in @MailOnline http://t.co/5nXkzvjz1w,10.425744,http://twitter.com/morrisonellis/status/418838062664544258,http://twitter.com/morrisonellis
01/02/14,http://twitter.com/collegefix/status/418840936102121472,collegefix,Meningitis Outbreak: Freshman Has Both Feet Amputated at UCSB (VIDEO) http://t.co/WYxF6oNBJi via @CollegeFix #meningitis #ucsb,7.1860037,http://twitter.com/CollegeFix/status/418840936102121472,http://twitter.com/collegefix
01/02/14,http://twitter.com/nmatweets/status/418843088556396544,nmatweets,"Amy is a snowboarder, role model &amp; inspiration. She is also a #meningitis survivor and amputee. Get #vaccinated. http://t.co/ROBi0kwgIw",11.462752,http://twitter.com/NMAtweets/status/418843088556396544,http://twitter.com/nmatweets
01/02/14,http://twitter.com/shotofprev/status/418848077869760512,shotofprev,Is your college son/daughter home for the holidays? Check to ensure they're up to date on their #meningitis vaccine. http://t.co/dWBbCzOtsy,11.3825655,http://twitter.com/ShotofPrev/status/418848077869760512,http://twitter.com/shotofprev
01/02/14,http://twitter.com/everychildby2/status/418848077718777856,everychildby2,Is your college son/daughter home for the holidays? Check to ensure they're up to date on their #meningitis vaccine. http://t.co/D0jjAZyeEg,7.4993854,http://twitter.com/EveryChildBy2/status/418848077718777856,http://twitter.com/everychildby2
01/02/14,http://twitter.com/nmatweets/status/418863218816466944,nmatweets,"Untreated, #meningitis can quickly cause hearing loss, brain damage, kidney disease, limb amputations and death http://t.co/ltOBuxV3pl",12.546771,http://twitter.com/NMAtweets/status/418863218816466944,http://twitter.com/nmatweets
01/02/14,http://twitter.com/sepsissurvivors/status/418863293336264704,sepsissurvivors,"RT @NMAtweets: Untreated, #meningitis can quickly cause hearing loss, brain damage, kidney disease, limb amputations and death http://t.co/…",7.255549,http://twitter.com/SepsisSurvivors/status/418863293336264704,http://twitter.com/sepsissurvivors
01/02/14,http://twitter.com/deborahbarrie/status/418863885241040896,deborahbarrie,"RT @NMAtweets: Untreated, #meningitis can quickly cause hearing loss, brain damage, kidney disease, limb amputations and death http://t.co/…",7.255549,http://twitter.com/deborahbarrie/status/418863885241040896,http://twitter.com/deborahbarrie
01/02/14,http://twitter.com/mozhgansclinic/status/418863973136883712,mozhgansclinic,"RT @NMAtweets: Untreated, #meningitis can quickly cause hearing loss, brain damage, kidney disease, limb amputations and death http://t.co/…",7.255549,http://twitter.com/MozhgansClinic/status/418863973136883712,http://twitter.com/mozhgansclinic
01/02/14,http://twitter.com/deborahbarrie/status/418864086986678272,deborahbarrie,@NMAtweets When we were in our teens a friend lost his hearing to #meningitis,7.993588,http://twitter.com/deborahbarrie/status/418864086986678272,http://twitter.com/deborahbarrie
01/02/14,http://twitter.com/lacarverrx/status/418864142351859712,lacarverrx,"RT @NMAtweets: Untreated, #meningitis can quickly cause hearing loss, brain damage, kidney disease, limb amputations and death http://t.co/…",7.255549,http://twitter.com/LACarverRX/status/418864142351859712,http://twitter.com/lacarverrx
