firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/remrunner/status/418218418693603328,remrunner,"#NarcolepsyNotAlone reaches ALL 50 U.S. States today, including Montana!! #Narcolepsy is REAL and it matters. http://t.co/bHv6bIK6dw",9.499131,http://twitter.com/RemRunner/status/418218418693603328,http://twitter.com/remrunner
01/01/14,http://twitter.com/remrunner/status/418218911012634625,remrunner,@Narco_Not_Alone reaches all 50 U.S. States and 33 countries around the world with 840 photos! #Narcolepsy http://t.co/5nG2Ma3Id1,7.4706397,http://twitter.com/RemRunner/status/418218911012634625,http://twitter.com/remrunner
01/01/14,http://twitter.com/remrunner/status/418220570627424256,remrunner,@DrCanapari I hope you enjoy the book! Thank you for supporting people with #narcolepsy.,7.9454107,http://twitter.com/RemRunner/status/418220570627424256,http://twitter.com/remrunner
01/01/14,http://twitter.com/lifeunscripted7/status/418222691381170176,lifeunscripted7,"RT @RemRunner: #NarcolepsyNotAlone reaches ALL 50 U.S. States today, including Montana!! #Narcolepsy is REAL and it matters. http://t.co/bH…",7.3706927,http://twitter.com/lifeunscripted7/status/418222691381170176,http://twitter.com/lifeunscripted7
01/01/14,http://twitter.com/iam_mikeyb/status/418231394918092800,iam_mikeyb,"This aignT no #DearDiary buT wTF is your probLem❓guess some ppL aLLergic to FesTiviTies and wouLd raTher caTch #NarcoLepsY on #NYE 

#SMH 👎",7.391059,http://twitter.com/iam_MikeyB/status/418231394918092800,http://twitter.com/iam_mikeyb
01/01/14,http://twitter.com/junecr26/status/418237888275283969,junecr26,My first exciting New Year's Eve activity? Taking a nap. #Narcolepsy,7.7410126,http://twitter.com/Junecr26/status/418237888275283969,http://twitter.com/junecr26
01/01/14,http://twitter.com/researchmatch/status/418266363468464128,researchmatch,"RT @RemRunner: #NarcolepsyNotAlone reaches ALL 50 U.S. States today, including Montana!! #Narcolepsy is REAL and it matters. http://t.co/bH…",7.3706927,http://twitter.com/ResearchMatch/status/418266363468464128,http://twitter.com/researchmatch
01/01/14,http://twitter.com/narcolepsynews/status/418278385211551744,narcolepsynews,"RT @RemRunner: #NarcolepsyNotAlone reaches ALL 50 U.S. States today, including Montana!! #Narcolepsy is REAL and it matters. http://t.co/bH…",7.3706927,http://twitter.com/NarcolepsyNews/status/418278385211551744,http://twitter.com/narcolepsynews
01/01/14,http://twitter.com/rgelula/status/418358585664749568,rgelula,"RT @RemRunner: #NarcolepsyNotAlone reaches ALL 50 U.S. States today, including Montana!! #Narcolepsy is REAL and it matters. http://t.co/bH…",7.3706927,http://twitter.com/rgelula/status/418358585664749568,http://twitter.com/rgelula
01/01/14,http://twitter.com/alicejewdan/status/418425771620052992,alicejewdan,"passed out twice last night, god knows what happened whilst I was snoozing #narcolepsy",7.967774,http://twitter.com/alicejewdan/status/418425771620052992,http://twitter.com/alicejewdan
01/01/14,http://twitter.com/almostjessica/status/418478891104489472,almostjessica,Resolution #5: cry harder when my alarm goes off at six forty-fucking-five in the morning. #resolutions #narcolepsy,7.1161675,http://twitter.com/AlmostJessica/status/418478891104489472,http://twitter.com/almostjessica
01/01/14,http://twitter.com/jjsuby/status/418483147487973376,jjsuby,@SubySubyDoo @AndrewGunn_12 @alexgRaeve @KarliBorcherdin rough trying to be awake for that noon kickoff! #Narcolepsy,7.052106,http://twitter.com/JJSuby/status/418483147487973376,http://twitter.com/jjsuby
01/01/14,http://twitter.com/gavbrwn/status/418485976541831168,gavbrwn,Thank you Canada for choosing a very boring hockey song #narcolepsy,8.203385,http://twitter.com/gavbrwn/status/418485976541831168,http://twitter.com/gavbrwn
01/01/14,http://twitter.com/callmemegzzz/status/418521963620225024,callmemegzzz,Talked to mike for a minute and he's already snoring. #Narcolepsy,8.231291,http://twitter.com/CallMeMegzzz/status/418521963620225024,http://twitter.com/callmemegzzz
01/01/14,http://twitter.com/madsbaud/status/418525923198394368,madsbaud,"@mchisholm13 yes, yes you do #narcolepsy #becarefulplease",7.7177286,http://twitter.com/MadsBAud/status/418525923198394368,http://twitter.com/madsbaud
01/02/14,http://twitter.com/alissawertz/status/418539931477508098,alissawertz,New shirt! 😄😂😉 #narcolepsy #narcoleptics http://t.co/KvtO3iMBTl,8.156025,http://twitter.com/AlissaWertz/status/418539931477508098,http://twitter.com/alissawertz
