firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
1/1/2014,http://twitter.com/alwaleed_fndns/status/418323856110022656,alwaleed_fndns,Alwaleed Foundation Supports Research on #Leukemia through @EORTC http://t.co/RqOQUdlVZ7,8.378043,http://twitter.com/Alwaleed_Fndns/status/418323856110022656,http://twitter.com/alwaleed_fndns
1/1/2014,http://twitter.com/abbiperets/status/418351656175423488,abbiperets,"Day 6 (7?) with fever. 38.6. Hey, cancer? Eff you. #Leukemia #cancersucks",8.111767,http://twitter.com/abbiperets/status/418351656175423488,http://twitter.com/abbiperets
1/1/2014,http://twitter.com/hebafatani/status/418363438747090944,hebafatani,RT @Alwaleed_Fndns: Alwaleed Foundation Supports Research on #Leukemia through @EORTC http://t.co/RqOQUdlVZ7,7.274352,http://twitter.com/HebaFatani/status/418363438747090944,http://twitter.com/hebafatani
1/1/2014,http://twitter.com/momsandthecity/status/418383703958515712,momsandthecity,"After #Leukemia, #NewYear’s Lipstick-Marked Beginnings http://t.co/jJ0wgDicIO via @NYTMotherlode",10.700986,http://twitter.com/Momsandthecity/status/418383703958515712,http://twitter.com/momsandthecity
1/1/2014,http://twitter.com/sassafras4ucom/status/418392405537075200,sassafras4ucom,70 (1-6): #Cancer therapy is 2013 breakthrough: #Science journal. #T_cell #leukemia #melanoma #science_breakthroughs,7.6948667,http://twitter.com/sassafras4ucom/status/418392405537075200,http://twitter.com/sassafras4ucom
1/1/2014,http://twitter.com/xenianails/status/418393743612317696,xenianails,"Motherlode Blog: After Leukemia, New Year’s... http://t.co/CoaIiA44z7 #Leukemia #DownSyndrome #Highlights #NewYear #nail #fashion #news",7.227256,http://twitter.com/XeniaNails/status/418393743612317696,http://twitter.com/xenianails
1/1/2014,http://twitter.com/luxesbracelet/status/418399821125648384,luxesbracelet,RT @sassafras4ucom: 70 (1-6): #Cancer therapy is 2013 breakthrough: #Science journal. #T_cell #leukemia #melanoma #science_breakthroughs,6.7103205,http://twitter.com/LUXESBracelet/status/418399821125648384,http://twitter.com/luxesbracelet
1/1/2014,http://twitter.com/precariousyates/status/418411862326525953,precariousyates,"""... each soul has something to give!"" &gt; @myemily_thebook &gt; #Kindle &gt;http://t.co/iDPqr1T9AV  #downsyndrome #leukemia #inspiration #MyEmily",7.4319925,http://twitter.com/precariousyates/status/418411862326525953,http://twitter.com/precariousyates
1/1/2014,http://twitter.com/evanwelcher/status/418413041252700160,evanwelcher,Update On My Resplendent Bride 1.1.14 #Cancer #Leukemia #Lymphoma #ChristianMarriage  http://t.co/7Ue0fU5WhU,7.3749847,http://twitter.com/EvanWelcher/status/418413041252700160,http://twitter.com/evanwelcher
1/1/2014,http://twitter.com/abbiperets/status/418415418328768512,abbiperets,Our latest adventures in The Land of #leukemia http://t.co/vpOhPoi9Mt #cancersucks,8.185326,http://twitter.com/abbiperets/status/418415418328768512,http://twitter.com/abbiperets
1/1/2014,http://twitter.com/fashion4mag/status/418420056012238848,fashion4mag,"Motherlode Blog: After Leukemia, New Year’s Lipstick-Marked Beginnings http://t.co/fhU0NrweaM #Leukemia #DownSyndrome #Highlights #NewYear",7.0151215,http://twitter.com/fashion4mag/status/418420056012238848,http://twitter.com/fashion4mag
1/1/2014,http://twitter.com/abbiperets/status/418421751488716800,abbiperets,My kid didn't even flinch when they have him his GCSF shot. #cancersucks #Leukemia,7.637506,http://twitter.com/abbiperets/status/418421751488716800,http://twitter.com/abbiperets
1/1/2014,http://twitter.com/stevierocks48/status/418423169683185665,stevierocks48,"RT @abbiperets: Day 6 (7?) with fever. 38.6. Hey, cancer? Eff you. #Leukemia #cancersucks",7.0151215,http://twitter.com/stevierocks48/status/418423169683185665,http://twitter.com/stevierocks48
1/1/2014,http://twitter.com/hema_news/status/418472385688662016,hema_news,Top Tweet 3: Great review! #Leukemia Stem Cells in Personalized Medicine http://t.co/Q6Tgqmf8ON,8.013188,http://twitter.com/Hema_News/status/418472385688662016,http://twitter.com/hema_news
1/1/2014,http://twitter.com/rschlehhub/status/418473473086742528,rschlehhub,#Leukemia - help needed http://t.co/EfCShzWJWt,8.079535,http://twitter.com/rschlehhub/status/418473473086742528,http://twitter.com/rschlehhub
1/1/2014,http://twitter.com/butlersci/status/418474243806863361,butlersci,A multivariate analysis showed #correlation between miRNA profiles and #leukemia. http://t.co/Uqto2Czldc,7.540005,http://twitter.com/butlersci/status/418474243806863361,http://twitter.com/butlersci
