firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/tweetstar11/status/418290519446650881,tweetstar11,#SpecialNeeds How #BipolarDisorder in #children is diagnosed http://t.co/xJjolqaz0n,8.265025,http://twitter.com/Tweetstar11/status/418290519446650881,http://twitter.com/tweetstar11
01/01/14,http://twitter.com/revdrdavidebiz/status/418309517735370752,revdrdavidebiz,"≫Suffering from #BipolarDisorder? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/7DhUb4DY8Q",6.9376783,http://twitter.com/revdrdavidebiz/status/418309517735370752,http://twitter.com/revdrdavidebiz
01/01/14,http://twitter.com/pastordavidew/status/418309517794103297,pastordavidew,"≫Suffering from #BipolarDisorder? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/E1ISuC2sNr",6.880287,http://twitter.com/PastorDavidEW/status/418309517794103297,http://twitter.com/pastordavidew
01/01/14,http://twitter.com/drd_esl_help/status/418309525662597120,drd_esl_help,"≫Suffering from #BipolarDisorder? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/YH4vCnQ2tN",7.178818,http://twitter.com/DrD_esl_help/status/418309525662597120,http://twitter.com/drd_esl_help
01/01/14,http://twitter.com/yeecep/status/418309557539311616,yeecep,"≫Suffering from #BipolarDisorder? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/cry8bGPA0M",6.984709,http://twitter.com/YEECEP/status/418309557539311616,http://twitter.com/yeecep
01/01/14,http://twitter.com/baroquelibraria/status/418347841472299008,baroquelibraria,New: Screening for bipolar disorder among patients undergoing a major depressive episode: rep... http://t.co/SIB4Wxjoyn #BipolarDisorder,7.6465387,http://twitter.com/BaroqueLibraria/status/418347841472299008,http://twitter.com/baroquelibraria
01/01/14,http://twitter.com/baroquelibraria/status/418347842579623936,baroquelibraria,New: Efficacy of aripiprazole versus placebo as adjuncts to lithium or valproate in relapse p... http://t.co/1d6tseYwKP #BipolarDisorder,7.2594237,http://twitter.com/BaroqueLibraria/status/418347842579623936,http://twitter.com/baroquelibraria
01/01/14,http://twitter.com/titianonymously/status/418426906107592704,titianonymously,"I know I'm #BipolarDisorder for along time, and now I'm asking for help @BipolarCenterID..Help.",8.757248,http://twitter.com/TitiAnonymously/status/418426906107592704,http://twitter.com/titianonymously
01/01/14,http://twitter.com/ritalongtweets/status/418448144826114049,ritalongtweets,Developing #psychologicaltherapies #bipolarDisorder Join us  @SpectrumCentre #serviceUser #carer #involvement Making moves for top services,7.8253746,http://twitter.com/ritalongtweets/status/418448144826114049,http://twitter.com/ritalongtweets
01/01/14,http://twitter.com/doccogpsych/status/418457345929138177,doccogpsych,Weighing the Risks and Benefits of Managing #BipolarDisorder During and Post # Pregnancy!!!  http://t.co/2rjwrdOO7w #mentalhealth #moms,7.7813396,http://twitter.com/doccogpsych/status/418457345929138177,http://twitter.com/doccogpsych
01/01/14,http://twitter.com/pusigalor/status/418501754469507072,pusigalor,@natasha_tracy i resolve to use my #BipolarDisorder to its fullest positive potential - your resolutions will help me achieve this :-),8.088307,http://twitter.com/PusiGalor/status/418501754469507072,http://twitter.com/pusigalor
01/02/14,http://twitter.com/viral_hq/status/418637803766173697,viral_hq,#SpecialNeeds How #BipolarDisorder in #children is diagnosed http://t.co/TAFD10rACa,8.275033,http://twitter.com/Viral_HQ/status/418637803766173697,http://twitter.com/viral_hq
01/02/14,http://twitter.com/dailyrx_bipolar/status/418637928814759936,dailyrx_bipolar,Psychotic Disorders and Addiction Linked http://t.co/jB0CCBCB0b #BiPolarDisorder,8.270451,http://twitter.com/dailyRx_Bipolar/status/418637928814759936,http://twitter.com/dailyrx_bipolar
01/02/14,http://twitter.com/integratedtrtmt/status/418664118514499584,integratedtrtmt,Post-Partum Psychiatric Episodes Associated With Increased Risk of Developing Bipolar... http://t.co/4LQAyFR7yf #Bipolardisorder,7.430493,http://twitter.com/IntegratedTrtmt/status/418664118514499584,http://twitter.com/integratedtrtmt
