firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/03/14,http://twitter.com/zielenknijper/status/419091940349444096,zielenknijper,Open Dialoog: Finse #psychotherapie blijkt groot succes: 80% kans herstel van #schizofrenie zonder medicatie http://t.co/EPq7Xlvpbh,9.220167,http://twitter.com/zielenknijper/status/419091940349444096,http://twitter.com/zielenknijper
01/03/14,http://twitter.com/jimvdw1973/status/419126336113090560,jimvdw1973,RT @zielenknijper: Open Dialoog: Finse #psychotherapie blijkt groot succes: 80% kans herstel van #schizofrenie zonder medicatie http://t.co…,7.042721,http://twitter.com/JimvdW1973/status/419126336113090560,http://twitter.com/jimvdw1973
01/03/14,http://twitter.com/cruikes/status/419197375681683456,cruikes,RT @zielenknijper: Open Dialoog: Finse #psychotherapie blijkt groot succes: 80% kans herstel van #schizofrenie zonder medicatie http://t.co…,7.042721,http://twitter.com/CRuikes/status/419197375681683456,http://twitter.com/cruikes
01/14/14,http://twitter.com/zielenknijper/status/423240942997360641,zielenknijper,"Daniel Mackler in #film ""Take These Broken Wings"", volledig herstel #schizofrenie #psychose http://t.co/C0sjI1iSSK #psychotherapie",8.2950325,http://twitter.com/zielenknijper/status/423240942997360641,http://twitter.com/zielenknijper
01/16/14,http://twitter.com/biancavdwerf/status/423888690918989824,biancavdwerf,TELEGRAAF | '#Komiek is #schizofreen' @ http://t.co/XEFNGZc5qG #schizofrenie #bipolairestoornis ik had mijn twijfels al bij #clownbassie ;-),7.9447684,http://twitter.com/biancavdwerf/status/423888690918989824,http://twitter.com/biancavdwerf
01/17/14,http://twitter.com/politiekdelftnl/status/424145206280466432,politiekdelftnl,RT @biancavdwerf: TELEGRAAF | '#Komiek is #schizofreen' @ http://t.co/XEFNGZc5qG #schizofrenie #bipolairestoornis ik had mijn twijfels al b…,6.9116898,http://twitter.com/PolitiekDelftnl/status/424145206280466432,http://twitter.com/politiekdelftnl
01/18/14,http://twitter.com/icesurfer1/status/424671334652968960,icesurfer1,"RT @zielenknijper: Daniel Mackler in #film ""Take These Broken Wings"", volledig herstel #schizofrenie #psychose http://t.co/C0sjI1iSSK #psyc…",7.2423472,http://twitter.com/Icesurfer1/status/424671334652968960,http://twitter.com/icesurfer1
02/11/14,http://twitter.com/zielenknijper/status/433210813680082945,zielenknijper,@TheLancet: Cognitieve #psychotherapie effectief bij #psychose / #schizofrenie http://t.co/CrqG6hNWSh,7.434598,http://twitter.com/zielenknijper/status/433210813680082945,http://twitter.com/zielenknijper
02/13/14,http://twitter.com/naie23/status/433933761646850048,naie23,#SRDW14 #hcidc #AAEM14 #Rheum #CowdensSyndrome #Schizofrenie #Cholesteatoma https://t.co/LhJJpJ6PuG,7.119438,http://twitter.com/naie23/status/433933761646850048,http://twitter.com/naie23
02/13/14,http://twitter.com/mindwaremax/status/433967844863135744,mindwaremax,#SRDW14 #hcidc #AAEM14 #Rheum #CowdensSyndrome #Schizofrenie #Cholesteatoma https://t.co/AXygQl5u39,6.973355,http://twitter.com/MindwareMax/status/433967844863135744,http://twitter.com/mindwaremax
02/13/14,http://twitter.com/filosofo_88/status/433973752318001152,filosofo_88,#SRDW14 #hcidc #AAEM14 #Rheum #CowdensSyndrome #Schizofrenie #Cholesteatoma https://t.co/ns9CEJvxv9,7.0815477,http://twitter.com/Filosofo_88/status/433973752318001152,http://twitter.com/filosofo_88
02/13/14,http://twitter.com/domoitra/status/433980331100610560,domoitra,#SRDW14 #hcidc #AAEM14 #Rheum #CowdensSyndrome #Schizofrenie #Cholesteatoma https://t.co/0BfUmk1EoY,7.001724,http://twitter.com/Domoitra/status/433980331100610560,http://twitter.com/domoitra
02/13/14,http://twitter.com/zweatybrah/status/434044777059737600,zweatybrah,#SRDW14 #hcidc #AAEM14 #Rheum #CowdensSyndrome #Schizofrenie #Cholesteatoma https://t.co/knSLltst25,7.0815477,http://twitter.com/ZweatyBrah/status/434044777059737600,http://twitter.com/zweatybrah
