firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/17/14,http://twitter.com/jemelene/status/423996326666579968,jemelene,"Happiness isn't found in perfection, it is about contentment. #EmanuelSyndrome #Princess http://t.co/HOiTuE7FDK",8.355499,http://twitter.com/jemelene/status/423996326666579968,http://twitter.com/jemelene
01/22/14,http://twitter.com/natricer/status/426059337162063872,natricer,@farah_way very true! Family members/ #EmanuelSyndrome -rare genetic dis. families gain info support encouragement understanding  #hcsmca,11.8592415,http://twitter.com/NatriceR/status/426059337162063872,http://twitter.com/natricer
01/22/14,http://twitter.com/farah_way/status/426059831003598848,farah_way,RT @NatriceR: @farah_way very true! Family members/ #EmanuelSyndrome -rare genetic dis. families gain info support encouragement understand…,10.9110155,http://twitter.com/farah_way/status/426059831003598848,http://twitter.com/farah_way
01/26/14,http://twitter.com/natricer/status/427479960627191808,natricer,Amazing 2 see #families daily find support w/ #rare #disorder #EmanuelSyndrome - knowledge = Power cc @C22C #specialneeds #hcsmca #facebook,11.446513,http://twitter.com/NatriceR/status/427479960627191808,http://twitter.com/natricer
01/26/14,http://twitter.com/kathykastner/status/427517122471006208,kathykastner,RT @NatriceR: Amazing 2 see #families daily find support w/ #rare #disorder #EmanuelSyndrome - knowledge = Power cc @C22C #specialneeds #hc…,10.542304,http://twitter.com/KathyKastner/status/427517122471006208,http://twitter.com/kathykastner
01/26/14,http://twitter.com/natricer/status/427532360519647232,natricer,Thanks @KathyKastner for rt &amp; fave! Excitement happens when strangers share #information #support &amp; #friendship #EmanuelSyndrome,10.827742,http://twitter.com/NatriceR/status/427532360519647232,http://twitter.com/natricer
03/12/14,http://twitter.com/natricer/status/443542184688484352,natricer,@ReinhartG thanks! One of the young ladies in that group has #emanuelSyndrome like my granddaughter :),11.725569,http://twitter.com/NatriceR/status/443542184688484352,http://twitter.com/natricer
03/12/14,http://twitter.com/reinhartg/status/443542622376718336,reinhartg,RT @NatriceR: @ReinhartG thanks! One of the young ladies in that group has #emanuelSyndrome like my granddaughter :),7.58308,http://twitter.com/ReinhartG/status/443542622376718336,http://twitter.com/reinhartg
03/26/14,http://twitter.com/natricer/status/448880697399193600,natricer,Please vote for Eric - a van would change his life ;) thanks for helping a friend w/ #emanuelsyndrome http://t.co/YoWun06uGE,12.08549,http://twitter.com/NatriceR/status/448880697399193600,http://twitter.com/natricer
03/26/14,http://twitter.com/marwilson/status/448882838029754368,marwilson,RT @NatriceR: Please vote for Eric - a van would change his life ;) thanks for helping a friend w/ #emanuelsyndrome http://t.co/YoWun06uGE,7.543851,http://twitter.com/Marwilson/status/448882838029754368,http://twitter.com/marwilson
03/26/14,http://twitter.com/reinhartg/status/448898628350795776,reinhartg,RT @NatriceR: Please vote for Eric - a van would change his life ;) thanks for helping a friend w/ #emanuelsyndrome http://t.co/YoWun06uGE,7.543851,http://twitter.com/ReinhartG/status/448898628350795776,http://twitter.com/reinhartg
04/07/14,http://twitter.com/natricer/status/453277881813041154,natricer,@C22C thanks for the follow back! #emanuelsyndrome #specialneeds #Caregiving #support,11.263375,http://twitter.com/NatriceR/status/453277881813041154,http://twitter.com/natricer
04/09/14,http://twitter.com/natricer/status/454039639150440448,natricer,@Idic15Canada thanks for following - I have a granddaughter with #EmanuelSyndrome (11:22),11.158643,http://twitter.com/NatriceR/status/454039639150440448,http://twitter.com/natricer
04/17/14,http://twitter.com/natricer/status/456814736760246272,natricer,Please vote for a deserving #EmanuelSyndrome child! He needs #wheels! Thank you sincerely  http://t.co/RUP29GCDWs,11.543735,http://twitter.com/NatriceR/status/456814736760246272,http://twitter.com/natricer
04/20/14,http://twitter.com/natricer/status/457679545835851776,natricer,Give a little boy a chance at wheels! #emanuelsyndrome - thank you  http://t.co/jyddYbMHUV,12.078006,http://twitter.com/NatriceR/status/457679545835851776,http://twitter.com/natricer
04/20/14,http://twitter.com/reinhartg/status/457684241724473344,reinhartg,RT @NatriceR: Give a little boy a chance at wheels! #emanuelsyndrome - thank you  http://t.co/jyddYbMHUV,7.8877373,http://twitter.com/ReinhartG/status/457684241724473344,http://twitter.com/reinhartg
04/22/14,http://twitter.com/natricer/status/458611911383203840,natricer,Vote for a special child #EmanuelSyndrome to win a van! TY! contest ends soon. Have a great day  http://t.co/dCEzrDRuvQ,11.536261,http://twitter.com/NatriceR/status/458611911383203840,http://twitter.com/natricer
04/23/14,http://twitter.com/natricer/status/459031402755796992,natricer,#vote #disability #emanuelsyndrome #wheels #hope Thank You! http://t.co/sKNO6GrZHI,12.222785,http://twitter.com/NatriceR/status/459031402755796992,http://twitter.com/natricer
04/23/14,http://twitter.com/cmusician/status/459031575800184832,cmusician,RT @NatriceR: #vote #disability #emanuelsyndrome #wheels #hope Thank You! http://t.co/sKNO6GrZHI,11.206889,http://twitter.com/cmusician/status/459031575800184832,http://twitter.com/cmusician
04/24/14,http://twitter.com/natricer/status/459330499731660800,natricer,Thx Friends for #votes #specialneeds #wheels #emanuelsyndrome Eric sure could use your vote;)  http://t.co/8oLeRSJ70Z,11.31522,http://twitter.com/NatriceR/status/459330499731660800,http://twitter.com/natricer
05/01/14,http://twitter.com/natricer/status/461677262908444672,natricer,"@fbrodya @xanubhax I can relate - FB group supports #specialneeds families - great info, support encouragement #hcsmca #emanuelsyndrome",10.486373,http://twitter.com/NatriceR/status/461677262908444672,http://twitter.com/natricer
05/03/14,http://twitter.com/natricer/status/462613211070468096,natricer,May 9th is last day to vote for #Eric #wheels #specialneeds #emanuelSyndrome - thanks for RT/s. &amp; votes http://t.co/HH8Fmu3QFf,10.768301,http://twitter.com/NatriceR/status/462613211070468096,http://twitter.com/natricer
05/04/14,http://twitter.com/c22c/status/463052116093722625,c22c,6 things to take from TEDx Portland 2014- Watch Cody Goldberg Speak on Harper's Playground  #EmanuelSyndrome http://t.co/pDf1RRcrOP,7.4966874,http://twitter.com/C22C/status/463052116093722625,http://twitter.com/c22c
05/21/14,http://twitter.com/natricer/status/469138185037955074,natricer,#emanuelsyndrome #specialneeds #specialability #love #kindness #family #support  http://t.co/SdAqYgCM6v,11.299647,http://twitter.com/NatriceR/status/469138185037955074,http://twitter.com/natricer
05/31/14,http://twitter.com/natricer/status/472838051174309888,natricer,Only viewable today - #emanuelsyndrome #specialneeds #kindnessmatters  http://t.co/Isqn4K05c0,11.210489,http://twitter.com/NatriceR/status/472838051174309888,http://twitter.com/natricer
