firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/06/14,http://twitter.com/fmdchat/status/420061239755014146,fmdchat,“@nytimeswell: Symptoms of Torn Artery Are Easy to Miss http://t.co/K1kdtClTBP” #FMDaware,8.235085,http://twitter.com/FMDChat/status/420061239755014146,http://twitter.com/fmdchat
01/23/14,http://twitter.com/fmdchat/status/426264321446780928,fmdchat,FMD Patient Feedback and Looking Toward Rare Disease Day http://t.co/ALVk6hLbKT #FMDaware @rarediseaseday @NIH @ClevelandClinic,7.6305037,http://twitter.com/FMDChat/status/426264321446780928,http://twitter.com/fmdchat
01/27/14,http://twitter.com/fmdchat/status/427671177373691904,fmdchat,Are you or someone you know diagnosed w/ fibromuscular dysplasia? Connect w/ us at http://t.co/DedjgJjsz0! #FMDaware #raredisease #hcsm,8.351583,http://twitter.com/FMDChat/status/427671177373691904,http://twitter.com/fmdchat
01/27/14,http://twitter.com/lmruss29/status/427695515023581184,lelemoma,RT @FMDChat: Are you or someone you know diagnosed w/ fibromuscular dysplasia? Connect w/ us at http://t.co/DedjgJjsz0! #FMDaware #raredise…,7.323784,http://twitter.com/LMRuss29/status/427695515023581184,http://twitter.com/lelemoma
01/28/14,http://twitter.com/fmdgirl/status/428160942665252865,fmdgirl,http://t.co/AbzUXuFoK1 12 year old boy FMD- Coronary Artery #FMDAWARE #MDChat,10.972736,http://twitter.com/FMDGirl/status/428160942665252865,http://twitter.com/fmdgirl
01/29/14,http://twitter.com/fmdgirl/status/428324712653926400,fmdgirl,"CELEBRATE! We just made 9,000 signatures for rare disease research! https://t.co/9nGXuxpVfv #RARE #ConnectiveTissue #FMDaware #EDS",10.972204,http://twitter.com/FMDGirl/status/428324712653926400,http://twitter.com/fmdgirl
01/30/14,http://twitter.com/fmdchat/status/429025220901343232,fmdchat,Are you an FMD patient who wants to connect with other patients? Join us! #raredisease #FMDaware @GlobalGenes http://t.co/pNl53X8JII,7.5299206,http://twitter.com/FMDChat/status/429025220901343232,http://twitter.com/fmdchat
02/05/14,http://twitter.com/fmdchat/status/431152502319226881,fmdchat,Spread the word! #FMDaware @GlobalGenes http://t.co/qzTWh75W7z,10.291397,http://twitter.com/FMDChat/status/431152502319226881,http://twitter.com/fmdchat
02/05/14,http://twitter.com/gatorgirlaz/status/431159829655470082,gatorgirlaz,RT @FMDChat: Spread the word! #FMDaware @GlobalGenes http://t.co/qzTWh75W7z,7.998737,http://twitter.com/GatorgirlAZ/status/431159829655470082,http://twitter.com/gatorgirlaz
02/05/14,http://twitter.com/afternoonnapper/status/431173783139782656,afternoonnapper,RT @FMDChat: Spread the word! #FMDaware @GlobalGenes http://t.co/qzTWh75W7z,7.998737,http://twitter.com/AfternoonNapper/status/431173783139782656,http://twitter.com/afternoonnapper
