firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/12/14,http://twitter.com/usmle_ckhints/status/422495589041852416,usmle_ckhints,Patients with #medullarythyroidcancer should be screened for the RET gene to screen for #multipleendocrineneoplasia.,9.160485,http://twitter.com/USMLE_CKHints/status/422495589041852416,http://twitter.com/usmle_ckhints
01/12/14,http://twitter.com/usmle_ckhints/status/422500195805327360,usmle_ckhints,"#multipleendocrineneoplasia type 2B, consisting of medullary thyroid cancer, pheochromocytoma, and mucosal neuroma",9.15583,http://twitter.com/USMLE_CKHints/status/422500195805327360,http://twitter.com/usmle_ckhints
01/12/14,http://twitter.com/usmle_ckhints/status/422500320913027072,usmle_ckhints,"#multipleendocrineneoplasia type 2B,  A marfanoid body habitus is also typical of this condition",8.681421,http://twitter.com/USMLE_CKHints/status/422500320913027072,http://twitter.com/usmle_ckhints
01/12/14,http://twitter.com/jaye_weston/status/422503462237003776,jaye_weston,RT @USMLE_CKHints: Patients with #medullarythyroidcancer should be screened for the RET gene to screen for #multipleendocrineneoplasia.,7.6574564,http://twitter.com/jaye_weston/status/422503462237003776,http://twitter.com/jaye_weston
01/13/14,http://twitter.com/chrissykd13/status/422564804034048001,chrissykd13,"RT @USMLE_CKHints: #multipleendocrineneoplasia type 2B,  A marfanoid body habitus is also typical of this condition",7.6060553,http://twitter.com/ChrissyKD13/status/422564804034048001,http://twitter.com/chrissykd13
01/13/14,http://twitter.com/chrissykd13/status/422564827803189248,chrissykd13,"RT @USMLE_CKHints: #multipleendocrineneoplasia type 2B, consisting of medullary thyroid cancer, pheochromocytoma, and mucosal neuroma",7.396554,http://twitter.com/ChrissyKD13/status/422564827803189248,http://twitter.com/chrissykd13
01/13/14,http://twitter.com/chrissykd13/status/422565020002951168,chrissykd13,RT @USMLE_CKHints: Patients with #medullarythyroidcancer should be screened for the RET gene to screen for #multipleendocrineneoplasia.,7.6574564,http://twitter.com/ChrissyKD13/status/422565020002951168,http://twitter.com/chrissykd13
01/26/14,http://twitter.com/carcinoidnets/status/427479773678272512,carcinoidnets,"For #NETcancer patients with #MultipleEndocrineNeoplasia check out the MEN @RareConnect community, http://t.co/v9TPyjZ1qT",9.185959,http://twitter.com/CarcinoidNETs/status/427479773678272512,http://twitter.com/carcinoidnets
01/26/14,http://twitter.com/grooveyard63/status/427482042889412609,grooveyard63,"RT @CarcinoidNETs: For #NETcancer patients with #MultipleEndocrineNeoplasia check out the MEN @RareConnect community, http://t.co/v9TPyjZ1qT",7.6183534,http://twitter.com/Grooveyard63/status/427482042889412609,http://twitter.com/grooveyard63
01/28/14,http://twitter.com/larsen_sharon/status/427991014561697792,larsen_sharon,"RT @CarcinoidNETs: For #NETcancer patients with #MultipleEndocrineNeoplasia check out the MEN @RareConnect community, http://t.co/v9TPyjZ1qT",7.6183534,http://twitter.com/larsen_sharon/status/427991014561697792,http://twitter.com/larsen_sharon
02/07/14,http://twitter.com/theinkpages/status/431792184514592768,theinkpages,"Fresh from the printers #MedikidzExplain #MultipleEndocrineNeoplasia Type 1 &amp; 2. 

#fromtheEditorsDesk… http://t.co/sWq48qfYkV",7.725859,http://twitter.com/TheInkpages/status/431792184514592768,http://twitter.com/theinkpages
02/13/14,http://twitter.com/ashleechmiel/status/433818057048612864,ashleechmiel,Case study success. Really proud of it.  #multipleendocrineneoplasia #labgeek,8.300212,http://twitter.com/AshleeChmiel/status/433818057048612864,http://twitter.com/ashleechmiel
03/12/14,http://twitter.com/luvlibertypeace/status/443577175569338368,luvlibertypeace,#Cannabis should be the treatment for #cancer #MS #lupus #CFS #Endocrine #diseases #MultipleEndocrineNeoplasia #MMJ #LegalizeIt #WeedCNN,7.319392,http://twitter.com/LuvLibertyPeace/status/443577175569338368,http://twitter.com/luvlibertypeace
03/19/14,http://twitter.com/amendinfo/status/446296790019502080,amendinfo,Help to talk to children about #multipleendocrineneoplasia thanks to @AmendInfo Project Superhero! http://t.co/D3Y9WY7M2N,8.911319,http://twitter.com/AmendInfo/status/446296790019502080,http://twitter.com/amendinfo
03/19/14,http://twitter.com/hormone_doc/status/446302641396940800,hormone_doc,RT @AmendInfo: Help to talk to children about #multipleendocrineneoplasia thanks to @AmendInfo Project Superhero! http://t.co/D3Y9WY7M2N,7.772552,http://twitter.com/hormone_doc/status/446302641396940800,http://twitter.com/hormone_doc
03/22/14,http://twitter.com/healthhashtags/status/447221005010747392,healthhashtags,New Health Hashtag: #MultipleEndocrineNeoplasia http://t.co/B7472TVLyU Thank you @AmendInfo #hcsm,11.839763,http://twitter.com/healthhashtags/status/447221005010747392,http://twitter.com/healthhashtags
03/22/14,http://twitter.com/gerrywieder/status/447221459799531520,gerrywieder,RT @healthhashtags: New Health Hashtag: #MultipleEndocrineNeoplasia http://t.co/B7472TVLyU Thank you @AmendInfo #hcsm,10.944927,http://twitter.com/GerryWieder/status/447221459799531520,http://twitter.com/gerrywieder
05/23/14,http://twitter.com/amendinfo/status/469807936152567808,amendinfo,@AmendInfo launches kids' cartoons on #multipleendocrineneoplasia #MEN1 #MEN2 http://t.co/4nQiUmQsan,9.3850565,http://twitter.com/AmendInfo/status/469807936152567808,http://twitter.com/amendinfo
05/23/14,http://twitter.com/ashtagawesome/status/469819725946437633,ashtagawesome,RT @AmendInfo: @AmendInfo launches kids' cartoons on #multipleendocrineneoplasia #MEN1 #MEN2 http://t.co/4nQiUmQsan,7.5118527,http://twitter.com/ashtagawesome/status/469819725946437633,http://twitter.com/ashtagawesome
