firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/pfforg/status/418184892556791808,pfforg,Make a tax-deductible gift today &amp; make a difference in the lives of families &amp; friends touched by #pulmonaryfibrosis http://t.co/BjF1BqoBLf,10.331738,http://twitter.com/PFFORG/status/418184892556791808,http://twitter.com/pfforg
01/01/14,http://twitter.com/pfforg/status/418215483050307584,pfforg,Make a tax-deductible gift today &amp; make a difference in the lives of families &amp; friends touched by #pulmonaryfibrosis http://t.co/qRr7bZazSO,11.058891,http://twitter.com/PFFORG/status/418215483050307584,http://twitter.com/pfforg
01/01/14,http://twitter.com/pfforg/status/418252929376980992,pfforg,Make a tax-deductible gift today &amp; make a difference in the lives of families &amp; friends touched by #pulmonaryfibrosis http://t.co/LAXgUrICDa,10.416063,http://twitter.com/PFFORG/status/418252929376980992,http://twitter.com/pfforg
01/01/14,http://twitter.com/jordandragi/status/418321814503575552,jordandragi,RT @PFFORG: Make a tax-deductible gift today &amp; make a difference in the lives of families &amp; friends touched by #pulmonaryfibrosis http://t.…,6.9954767,http://twitter.com/JordanDragi/status/418321814503575552,http://twitter.com/jordandragi
01/01/14,http://twitter.com/reich_diane/status/418465443637395456,reich_diane,@Tiggercharlie Very cool you have her a kidney.  I have #PulmonaryFibrosis that's why I need it. :-(,7.7761393,http://twitter.com/Reich_Diane/status/418465443637395456,http://twitter.com/reich_diane
01/02/14,http://twitter.com/pfforg/status/418545012331540480,pfforg,"@EyeonOhio please let us know if you want information, resources and support. #pulmonaryfibrosis",11.094009,http://twitter.com/PFFORG/status/418545012331540480,http://twitter.com/pfforg
01/02/14,http://twitter.com/eyeonohio/status/418545332646334464,eyeonohio,"""@PFFORG: @EyeonOhio please let us know if you want information, resources and support. #pulmonaryfibrosis"" what in the actual fuck?",7.3411207,http://twitter.com/EyeonOhio/status/418545332646334464,http://twitter.com/eyeonohio
01/02/14,http://twitter.com/breathingmatter/status/418736038480060416,breathingmatter,"Want to be a Local Champion and help us raise awareness of #IPF #pulmonaryfibrosis, contact us. http://t.co/LaqIB96jDc",8.561142,http://twitter.com/Breathingmatter/status/418736038480060416,http://twitter.com/breathingmatter
01/02/14,http://twitter.com/lesliejmaginn/status/418828304678789120,lesliejmaginn,"RT @PFFORG: Erick Peña was 23 &amp; not prepared for the message his docs gave him 2yrs ago
Read Erick's story --&gt; http://t.co/oX0PfyP4mU #pulm…",7.1615934,http://twitter.com/lesliejmaginn/status/418828304678789120,http://twitter.com/lesliejmaginn
01/02/14,http://twitter.com/pulmonaryrehab/status/418870230656356352,pulmonaryrehab,"Want help with #PulmonaryFibrosis ? Feel scared, anxious and have questions? RT to win a FREE 1/2 hr consult  with David tomorrow!",8.222185,http://twitter.com/PulmonaryRehab/status/418870230656356352,http://twitter.com/pulmonaryrehab
01/03/14,http://twitter.com/lesliejmaginn/status/418960072803250176,lesliejmaginn,"RT @PulmonaryRehab: Want help with #PulmonaryFibrosis ? Feel scared, anxious and have questions? RT to win a FREE 1/2 hr consult  with Davi…",7.173998,http://twitter.com/lesliejmaginn/status/418960072803250176,http://twitter.com/lesliejmaginn
01/03/14,http://twitter.com/rareconnect/status/419112436864544769,rareconnect,Am I Too Old for a Lung Transplant? - New article by @davidlederer about #PulmonaryFibrosis https://t.co/lxK5vJ7qbR,12.317307,http://twitter.com/RareConnect/status/419112436864544769,http://twitter.com/rareconnect
01/03/14,http://twitter.com/allisonklang/status/419141737353719812,allisonklang,Celebrating the new year with the first articles from @BMJOpen_Resp #pulmonaryfibrosis #acutelunginjury Congratulations to the team!,9.542181,http://twitter.com/allisonklang/status/419141737353719812,http://twitter.com/allisonklang
01/03/14,http://twitter.com/weilabs/status/419168338149789696,huseino,"RT @weilabs: Clinical case study: ""Successful Treatment of Pulmonary Fibrosis and Sarcoidosis"" #PulmonaryFibrosis #Sarcoidosis  http://t.co…",8.206045,http://twitter.com/Huseino/status/419169254324576256,http://twitter.com/huseino
01/03/14,http://twitter.com/pfforg/status/419171665948721153,pfforg,Having fun! Thanks for sharing your photo w us @Ashley_P_M #pulmonaryfibrosis http://t.co/8oOdXD3Juy,11.215161,http://twitter.com/PFFORG/status/419171665948721153,http://twitter.com/pfforg
01/03/14,http://twitter.com/teresabelmonte1/status/419172669507239936,teresabelmonte1,RT @RareConnect: Am I Too Old for a Lung Transplant? - New article by @davidlederer about #PulmonaryFibrosis https://t.co/lxK5vJ7qbR,7.0924454,http://twitter.com/TeresaBelmonte1/status/419172669507239936,http://twitter.com/teresabelmonte1
01/03/14,http://twitter.com/bp_wei/status/419167808631472128,barbjeanphysio,"RT @bp_wei: Clinical case study: ""Successful Treatment of Pulmonary Fibrosis and Sarcoidosis"" #PulmonaryFibrosis #Sarcoidosis  http://t.co/…",7.332644,http://twitter.com/BarbJeanPhysio/status/419177562360016896,http://twitter.com/barbjeanphysio
01/03/14,http://twitter.com/kathleenblastpr/status/419209681223970816,kathleenblastpr,@evelknievel tx for the follow! Rather than be creeped out by deceased follower:) Lets spread #pulmonaryfibrosis awareness in your honor!,7.3750186,http://twitter.com/kathleenblastpr/status/419209681223970816,http://twitter.com/kathleenblastpr
01/03/14,http://twitter.com/reich_diane/status/419219016394506240,reich_diane,"@Breathingmatter Really? I cough, struggle to breathe and sing in the car. Should I keep singing in the car? #PulmonaryFibrosis",8.147614,http://twitter.com/Reich_Diane/status/419219016394506240,http://twitter.com/reich_diane
01/03/14,http://twitter.com/resp_care/status/419168223628509185,aponce,"RT @Resp_Care: Clinical case study: ""Successful Treatment of Pulmonary Fibrosis and Sarcoidosis"" #PulmonaryFibrosis #Sarcoidosis  http://t.…",8.01413,http://twitter.com/aponce/status/419244536200974336,http://twitter.com/aponce
01/03/14,http://twitter.com/reich_diane/status/419249062169571328,reich_diane,Enough said..... #pulmonaryfibrosis #pulmonaryfibrosisblows #pulmonaryfibrosissucks #breathe #ugh… http://t.co/XA1UA7vBVm,7.7421203,http://twitter.com/Reich_Diane/status/419249062169571328,http://twitter.com/reich_diane
12/29/13,http://twitter.com/pulmonaryrehab/status/417441167903821824,kathleenblastpr,"RT @PulmonaryRehab: We know Pulmonary Fibrosis is on the rise, now we need to raise awareness and funding to find a cure. #pulmonaryfibrosi…",8.162458,http://twitter.com/kathleenblastpr/status/419251989336178689,http://twitter.com/kathleenblastpr
01/03/14,http://twitter.com/kathleenblastpr/status/419252687704584192,kathleenblastpr,"RT @Breathingmatter: Want to be a Local Champion and help us raise awareness of #IPF #pulmonaryfibrosis, contact us. http://t.co/LaqIB96jDc",7.5382314,http://twitter.com/kathleenblastpr/status/419252687704584192,http://twitter.com/kathleenblastpr
01/04/14,http://twitter.com/emiaouli/status/419414787567935488,emiaouli,RT @RareConnect: Am I Too Old for a Lung Transplant? - New article by @davidlederer about #PulmonaryFibrosis https://t.co/lxK5vJ7qbR,7.0924454,http://twitter.com/EMiaouli/status/419414787567935488,http://twitter.com/emiaouli
01/04/14,http://twitter.com/reich_diane/status/419477422221058048,reich_diane,Enough said #Yay #pulmonaryfibrosis #pulmonaryfibrosisblows #breathe #justbreathe http://t.co/QgEeoWtAcW,8.459887,http://twitter.com/Reich_Diane/status/419477422221058048,http://twitter.com/reich_diane
01/04/14,http://twitter.com/pffjennifer/status/419496391098892289,pffjennifer,RT @Reich_Diane: Enough said #Yay #pulmonaryfibrosis #pulmonaryfibrosisblows #breathe #justbreathe http://t.co/QgEeoWtAcW,7.4221845,http://twitter.com/PFFJennifer/status/419496391098892289,http://twitter.com/pffjennifer
01/04/14,http://twitter.com/pfforg/status/419503845153058816,pfforg,RT @RareConnect: Am I Too Old for a Lung Transplant? - New article by @davidlederer about #PulmonaryFibrosis https://t.co/lxK5vJ7qbR,10.342165,http://twitter.com/PFFORG/status/419503845153058816,http://twitter.com/pfforg
01/04/14,http://twitter.com/breathingmatter/status/419527548901404672,breathingmatter,Read the latest BMJ Open Research on carers for #IPF  http://t.co/R8Nn3d4H4V  #pulmonaryfibrosis,7.672605,http://twitter.com/Breathingmatter/status/419527548901404672,http://twitter.com/breathingmatter
01/04/14,http://twitter.com/bigdog1455/status/419527794855776257,bigdog1455,RT @RareConnect: Am I Too Old for a Lung Transplant? - New article by @davidlederer about #PulmonaryFibrosis https://t.co/lxK5vJ7qbR,7.0924454,http://twitter.com/bigdog1455/status/419527794855776257,http://twitter.com/bigdog1455
01/04/14,http://twitter.com/pfforg/status/419528690922708992,pfforg,Thanks for sharing your Grandma with all of us @megan_birdwell #pulmonaryfibrosis http://t.co/jcVP0dR12G,11.266635,http://twitter.com/PFFORG/status/419528690922708992,http://twitter.com/pfforg
01/04/14,http://twitter.com/lesliejmaginn/status/419557634346201088,lesliejmaginn,"RT @Reich_Diane: @Breathingmatter Really? I cough, struggle to breathe and sing in the car. Should I keep singing in the car? #PulmonaryFib…",7.0924454,http://twitter.com/lesliejmaginn/status/419557634346201088,http://twitter.com/lesliejmaginn
01/05/14,http://twitter.com/pfforg/status/419860855791316993,pfforg,We love the work we do @PFFORG what do you love to do? #pulmonaryfibrosis http://t.co/f0N6WQ3c6k,11.054714,http://twitter.com/PFFORG/status/419860855791316993,http://twitter.com/pfforg
01/03/14,http://twitter.com/ac_wei/status/419167185651523584,ajvalliant2025,"RT @ac_Wei: Clinical case study: ""Successful Treatment of Pulmonary Fibrosis and Sarcoidosis"" #PulmonaryFibrosis #Sarcoidosis  http://t.co/…",8.118218,http://twitter.com/AJValliant2025/status/419902698335768576,http://twitter.com/ajvalliant2025
01/06/14,http://twitter.com/bmjopen_resp/status/420233080096317441,bmjopen_resp,RT @allisonklang: Celebrating the new year with the first articles from @BMJOpen_Resp #pulmonaryfibrosis #acutelunginjury Congratulations t…,7.30293,http://twitter.com/BMJOpen_Resp/status/420233080096317441,http://twitter.com/bmjopen_resp
01/06/14,http://twitter.com/pfforg/status/420300217041551360,pfforg,Join us! http://t.co/vB7k62fGDV Our official tag is #pulmonaryfibrosis. Follow us for original photos taken by our staff &amp; #regrams,10.723379,http://twitter.com/PFFORG/status/420300217041551360,http://twitter.com/pfforg
01/07/14,http://twitter.com/sealskevin/status/420518540584566784,sealskevin,Still feeling the effects of my lung biopsy. Waiting for results. Hurts to breathe. Barnes Jewish STL was awesome! #PulmonaryFibrosis,11.521794,http://twitter.com/SealsKevin/status/420518540584566784,http://twitter.com/sealskevin
01/07/14,http://twitter.com/revistaamr/status/420524736796692480,revistaamr,RT @allisonklang: Celebrating the new year with the first articles from @BMJOpen_Resp #pulmonaryfibrosis #acutelunginjury Congratulations t…,7.30293,http://twitter.com/RevistaAMR/status/420524736796692480,http://twitter.com/revistaamr
01/07/14,http://twitter.com/reich_diane/status/420542591105781761,reich_diane,"Sweet Mother of Pearl it is #COLD 
#scarycold #bundledup #pulmonaryfibrosis #winter #polarvortex http://t.co/qBRedrDaPG",7.3640504,http://twitter.com/Reich_Diane/status/420542591105781761,http://twitter.com/reich_diane
01/07/14,http://twitter.com/pfforg/status/420572399789408256,pfforg,RT @SealsKevin: Still feeling the effects of my lung biopsy. Waiting for results. Hurts to breathe. Barnes Jewish STL was awesome! #Pulmona…,10.643473,http://twitter.com/PFFORG/status/420572399789408256,http://twitter.com/pfforg
01/07/14,http://twitter.com/lesliejmaginn/status/420615899289104384,lesliejmaginn,"Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",10.380118,http://twitter.com/lesliejmaginn/status/420615899289104384,http://twitter.com/lesliejmaginn
01/07/14,http://twitter.com/lesliejmaginn/status/420620136559554560,lesliejmaginn,Thank you @hickforco for signing the #pulmonaryfibrosis Proclamation and helping to bring awareness to #colorado http://t.co/QRE8vyrfk2,9.738403,http://twitter.com/lesliejmaginn/status/420620136559554560,http://twitter.com/lesliejmaginn
01/07/14,http://twitter.com/reich_diane/status/420625675889164288,reich_diane,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/Reich_Diane/status/420625675889164288,http://twitter.com/reich_diane
01/07/14,http://twitter.com/reich_diane/status/420627258723020802,reich_diane,RT @lesliejmaginn: Thank you @hickforco for signing the #pulmonaryfibrosis Proclamation and helping to bring awareness to #colorado http://…,7.36465,http://twitter.com/Reich_Diane/status/420627258723020802,http://twitter.com/reich_diane
01/07/14,http://twitter.com/paulwhelanmanc/status/420634171456102400,paulwhelanmanc,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/paulwhelanmanc/status/420634171456102400,http://twitter.com/paulwhelanmanc
01/07/14,http://twitter.com/paulwhelanmanc/status/420634189411921921,paulwhelanmanc,RT @lesliejmaginn: Thank you @hickforco for signing the #pulmonaryfibrosis Proclamation and helping to bring awareness to #colorado http://…,7.36465,http://twitter.com/paulwhelanmanc/status/420634189411921921,http://twitter.com/paulwhelanmanc
01/07/14,http://twitter.com/trish432/status/420634486020513792,trish432,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/trish432/status/420634486020513792,http://twitter.com/trish432
01/07/14,http://twitter.com/lorenebkane/status/420636026923528192,lorenebkane,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/LoreneBKane/status/420636026923528192,http://twitter.com/lorenebkane
01/07/14,http://twitter.com/kathleenblastpr/status/420639412125331456,kathleenblastpr,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/kathleenblastpr/status/420639412125331456,http://twitter.com/kathleenblastpr
01/07/14,http://twitter.com/jordandragi/status/420646028795449345,jordandragi,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/JordanDragi/status/420646028795449345,http://twitter.com/jordandragi
01/07/14,http://twitter.com/breathingmatter/status/420661449812238336,breathingmatter,Imagine not being able to breathe and imagine having no cure! Help us find a cure for #IPF #Pulmonaryfibrosis http://t.co/LaqIB96jDc,10.703881,http://twitter.com/Breathingmatter/status/420661449812238336,http://twitter.com/breathingmatter
01/07/14,http://twitter.com/v1vsok/status/420662122021134336,v1vsok,RT @Breathingmatter: Imagine not being able to breathe and imagine having no cure! Help us find a cure for #IPF #Pulmonaryfibrosis http://t…,7.4449143,http://twitter.com/V1VsOK/status/420662122021134336,http://twitter.com/v1vsok
01/07/14,http://twitter.com/alo2902/status/420675178839166976,alo2902,RT @Breathingmatter: Imagine not being able to breathe and imagine having no cure! Help us find a cure for #IPF #Pulmonaryfibrosis http://t…,7.4449143,http://twitter.com/ALO2902/status/420675178839166976,http://twitter.com/alo2902
01/07/14,http://twitter.com/reich_diane/status/420682799226843136,reich_diane,RT @Breathingmatter: Imagine not being able to breathe and imagine having no cure! Help us find a cure for #IPF #Pulmonaryfibrosis http://t…,7.4449143,http://twitter.com/Reich_Diane/status/420682799226843136,http://twitter.com/reich_diane
01/07/14,http://twitter.com/kapuzie/status/420683599856148480,kapuzie,"RT @lesliejmaginn: Signed #pulmonaryfibrosis Proclamation for #Colorado 2014!
#ipfawareness #ipf @DoctorSwig @PFFORG http://t.co/KuPMmbKdQL",7.0016875,http://twitter.com/kapuzie/status/420683599856148480,http://twitter.com/kapuzie
01/07/14,http://twitter.com/lesliejmaginn/status/420702931151642625,lesliejmaginn,Raise #pulmonaryfibrosis awareness! @MyHealthShare @hayesm42 @davidlederer @DonnaPioli @PulmonaryRehab @accpchest http://t.co/Q96kEVjsPt,9.289623,http://twitter.com/lesliejmaginn/status/420702931151642625,http://twitter.com/lesliejmaginn
01/07/14,http://twitter.com/maidai/status/420703195015692288,maidai,RT @Breathingmatter: Imagine not being able to breathe and imagine having no cure! Help us find a cure for #IPF #Pulmonaryfibrosis http://t…,7.4449143,http://twitter.com/maidai/status/420703195015692288,http://twitter.com/maidai
01/07/14,http://twitter.com/evolvedmx/status/420705346378686464,evolvedmx,RT @lesliejmaginn: Raise #pulmonaryfibrosis awareness! @MyHealthShare @hayesm42 @davidlederer @DonnaPioli @PulmonaryRehab @accpchest http:/…,6.799566,http://twitter.com/EvolvedMX/status/420705346378686464,http://twitter.com/evolvedmx
01/08/14,http://twitter.com/bigdog1455/status/420707679217410048,bigdog1455,RT @Breathingmatter: Imagine not being able to breathe and imagine having no cure! Help us find a cure for #IPF #Pulmonaryfibrosis http://t…,7.4449143,http://twitter.com/bigdog1455/status/420707679217410048,http://twitter.com/bigdog1455
