firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/02/14,http://twitter.com/ohftweet/status/418794678688182272,ohftweet,57 days until #RareDiseaseDay 2014! Yes..we're counting! Aren't you? http://t.co/tT9tH1dkMV,7.859533,http://twitter.com/OHFTweet/status/418794678688182272,http://twitter.com/ohftweet
01/03/14,http://twitter.com/pipmanchester/status/419179085102063616,pipmanchester,#rarediseaseday is on Feb 28th this year we will be letting u know about some rare diseases + more about #polandsydrome in the coming weeks,7.590645,http://twitter.com/PIPManchester/status/419179085102063616,http://twitter.com/pipmanchester
01/06/14,http://twitter.com/shirtstarter/status/420047351869231104,shirtstarter,@11pdeletion Thanks for picking up the shirt! The campaign has tipped and just 5 days left for others to grab their shirts! #rarediseaseday,7.6271853,http://twitter.com/Shirtstarter/status/420047351869231104,http://twitter.com/shirtstarter
01/06/14,http://twitter.com/sweetsfiend/status/420137457632288768,sweetsfiend,Rare Disease Day on 28th Feb - 53 days to go! http://t.co/5IyDlLY3PE #RareDiseaseDay,8.699119,http://twitter.com/sweetsfiend/status/420137457632288768,http://twitter.com/sweetsfiend
01/06/14,http://twitter.com/primary_immune/status/420138466081767424,primary_immune,RT @sweetsfiend: Rare Disease Day on 28th Feb - 53 days to go! http://t.co/5IyDlLY3PE #RareDiseaseDay,7.5297146,http://twitter.com/Primary_Immune/status/420138466081767424,http://twitter.com/primary_immune
01/06/14,http://twitter.com/ohftweet/status/420292772781109248,ohftweet,53 days until #rarediseaseday 2014! We can't wait!,8.349071,http://twitter.com/OHFTweet/status/420292772781109248,http://twitter.com/ohftweet
01/07/14,http://twitter.com/mvennitti/status/420614140948799488,mvennitti,World #RareDiseaseDay 2014 http://t.co/GPLgxYNrjm,12.687679,http://twitter.com/mvennitti/status/420614140948799488,http://twitter.com/mvennitti
01/07/14,http://twitter.com/sclerodermacan/status/420672975977738240,sclerodermacan,#Didyouknow More than 6k #rarediseases affect over 60 million people in NA &amp; Europe! #RareDiseaseDay #scleroderma @rarediseaseday,7.2927938,http://twitter.com/SclerodermaCAN/status/420672975977738240,http://twitter.com/sclerodermacan
01/08/14,http://twitter.com/kubi815/status/420769805416038400,kubi815,Please RT and tag anyone who could possibly help. Any donation is beneficial! #RareDiseaseDay 🙏 http://t.co/L0q9U9NSuU,9.245745,http://twitter.com/kubi815/status/420769805416038400,http://twitter.com/kubi815
01/08/14,http://twitter.com/meyer725/status/420951273954107392,meyer725,RT @kubi815: Please RT and tag anyone who could possibly help. Any donation is beneficial! #RareDiseaseDay 🙏 http://t.co/L0q9U9NSuU,7.721597,http://twitter.com/meyer725/status/420951273954107392,http://twitter.com/meyer725
