firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/bsalsgiver/status/418195110791507968,bsalsgiver,New ink! #SupportingMyMom #MuscularDystrophy #CervicalCancer http://t.co/hVA0a85Kug,7.915308,http://twitter.com/BSalsgiver/status/418195110791507968,http://twitter.com/bsalsgiver
01/01/14,http://twitter.com/cancerpre/status/418199932273561600,cancerpre,MAY Cares For U Cervical Cancer Let?s join hands to fight cervical cancer! http://t.co/v3ZRFE5kK0 #cervicalcancer,7.501193,http://twitter.com/cancerpre/status/418199932273561600,http://twitter.com/cancerpre
01/01/14,http://twitter.com/cancerpre/status/418230130608046081,cancerpre,How to Prevent Cervical Cancer http://t.co/MH8B8pPjQw #cervicalcancer,8.38424,http://twitter.com/cancerpre/status/418230130608046081,http://twitter.com/cancerpre
01/01/14,http://twitter.com/healthmeup/status/418265396719153152,healthmeup,Watch out for these Symptoms of #CervicalCancer http://t.co/sJlc8hiFd2,8.753396,http://twitter.com/healthmeup/status/418265396719153152,http://twitter.com/healthmeup
01/01/14,http://twitter.com/primary_immune/status/418295380371972096,primary_immune,New #CervicalCancer Analysis Offers Clues On Role Of #Genetic Mutations in #HPV Risk http://t.co/DfG6QozDBY via @HealthyLiving,7.4083896,http://twitter.com/Primary_Immune/status/418295380371972096,http://twitter.com/primary_immune
01/01/14,http://twitter.com/cancerpre/status/418411328638701568,cancerpre,PSA on Cervical Cancer http://t.co/Y7EnWS3A6b #cervicalcancer,8.337674,http://twitter.com/cancerpre/status/418411328638701568,http://twitter.com/cancerpre
01/01/14,http://twitter.com/jhpiego/status/418416073055010816,jhpiego,Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. world.,10.321858,http://twitter.com/Jhpiego/status/418416073055010816,http://twitter.com/jhpiego
01/01/14,http://twitter.com/susan_a_rogers/status/418416615911612416,susan_a_rogers,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/Susan_A_Rogers/status/418416615911612416,http://twitter.com/susan_a_rogers
01/01/14,http://twitter.com/yalbabily/status/418423124636737537,yalbabily,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/YAlBabily/status/418423124636737537,http://twitter.com/yalbabily
01/01/14,http://twitter.com/louisbiggie/status/418424597781172224,litfos,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/LouisBiggie/status/418424597781172224,http://twitter.com/litfos
01/01/14,http://twitter.com/rosemusau/status/418429405200130049,rosemusau,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/rosemusau/status/418429405200130049,http://twitter.com/rosemusau
01/01/14,http://twitter.com/fatimahalhamlan/status/418433994913361920,fatimahalhamlan,"January is #CervicalCancer awareness month.. ""Spread the word not the disease"" :) http://t.co/uJ5T9y5QoD",12.271911,http://twitter.com/FatimahAlhamlan/status/418433994913361920,http://twitter.com/fatimahalhamlan
01/01/14,http://twitter.com/tadeboge/status/418437727542317057,tadeboge,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/TadeBoge/status/418437727542317057,http://twitter.com/tadeboge
01/01/14,http://twitter.com/orchid10tree/status/418438980410298368,orchid10tree,"RT @FatimahAlhamlan: January is #CervicalCancer awareness month.. ""Spread the word not the disease"" :) http://t.co/uJ5T9y5QoD",7.5647635,http://twitter.com/Orchid10Tree/status/418438980410298368,http://twitter.com/orchid10tree
01/01/14,http://twitter.com/cancerpre/status/418441525660360705,cancerpre,How to Prevent Cervical Cancer http://t.co/MH8B8pPjQw #cervicalcancer #preventcervicalcancer,7.844508,http://twitter.com/cancerpre/status/418441525660360705,http://twitter.com/cancerpre
01/01/14,http://twitter.com/vohint/status/418441926829178880,vohint,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/vohint/status/418441926829178880,http://twitter.com/vohint
01/01/14,http://twitter.com/herhaikaness/status/418442544423665665,herhaikaness,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/herHaikaness/status/418442544423665665,http://twitter.com/herhaikaness
01/01/14,http://twitter.com/hatimqadhy/status/418447608194281472,hatimqadhy,"RT @FatimahAlhamlan: January is #CervicalCancer awareness month.. ""Spread the word not the disease"" :) http://t.co/uJ5T9y5QoD",10.800865,http://twitter.com/Hatimqadhy/status/418447608194281472,http://twitter.com/hatimqadhy
01/01/14,http://twitter.com/ae22/status/418463887336300544,ae22,"Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co/OEuh7EdVR7",13.214015,http://twitter.com/aE22/status/418463887336300544,http://twitter.com/ae22
01/01/14,http://twitter.com/gisanchez/status/418464672107753472,gisanchez,"""@Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer, the leading cancer killer of women in the dev. world.""",9.120308,http://twitter.com/gisanchez/status/418464672107753472,http://twitter.com/gisanchez
01/01/14,http://twitter.com/gisanchez/status/418464697105784832,gisanchez,RT @Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer is the leading cancer killer of women in the dev. wo…,7.5004706,http://twitter.com/gisanchez/status/418464697105784832,http://twitter.com/gisanchez
01/01/14,http://twitter.com/tylerpuley/status/418466214260662272,tylerpuley,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/Tylerpuley/status/418466214260662272,http://twitter.com/tylerpuley
01/01/14,http://twitter.com/billharris_tv/status/418469580793581568,billharris_tv,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/billharris_tv/status/418469580793581568,http://twitter.com/billharris_tv
01/01/14,http://twitter.com/infycancerudea/status/418470193061707777,infycancerudea,"RT @gisanchez: ""@Jhpiego: Today marks the start of #cervicalcancer awareness month. Cervical cancer, the leading cancer killer of women in …",7.279627,http://twitter.com/InfycancerUdeA/status/418470193061707777,http://twitter.com/infycancerudea
01/01/14,http://twitter.com/mchipnet/status/418471694500515840,mchipnet,Today marks the start of #CervicalCancerAwarenessMonth How will you spread the news and fight for a #cure? #cervicalcancer #cancerawareness,11.455378,http://twitter.com/mchipnet/status/418471694500515840,http://twitter.com/mchipnet
01/01/14,http://twitter.com/widescopecsr/status/418472433889607680,widescopecsr,RT @mchipnet: Today marks the start of #CervicalCancerAwarenessMonth How will you spread the news and fight for a #cure? #cervicalcancer #c…,7.039862,http://twitter.com/WidescopeCSR/status/418472433889607680,http://twitter.com/widescopecsr
01/01/14,http://twitter.com/tvguidecanada/status/418474869119262720,tvguidecanada,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/TVGuideCanada/status/418474869119262720,http://twitter.com/tvguidecanada
01/01/14,http://twitter.com/andorianip/status/418475082046918656,andorianip,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",10.59961,http://twitter.com/AndorianIP/status/418475082046918656,http://twitter.com/andorianip
01/01/14,http://twitter.com/shepard412/status/418478277498384384,shepard412,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/Shepard412/status/418478277498384384,http://twitter.com/shepard412
01/01/14,http://twitter.com/cmoldyrun/status/418480641832124416,cmoldyrun,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/cmoldyrun/status/418480641832124416,http://twitter.com/cmoldyrun
01/01/14,http://twitter.com/jhpiego/status/418492074447499265,jhpiego,80% of #cervicalcancer deaths occur in dev. countries where 95% of women have never been screened. What can we do to change this?,11.656792,http://twitter.com/Jhpiego/status/418492074447499265,http://twitter.com/jhpiego
01/01/14,http://twitter.com/mlsnigeria/status/418492877329559552,mlsnigeria,RT @Jhpiego: 80% of #cervicalcancer deaths occur in dev. countries where 95% of women have never been screened. What can we do to change th…,6.9519916,http://twitter.com/MLSnigeria/status/418492877329559552,http://twitter.com/mlsnigeria
01/01/14,http://twitter.com/amhill/status/418493851536719872,amhill,RT @Jhpiego: 80% of #cervicalcancer deaths occur in dev. countries where 95% of women have never been screened. What can we do to change th…,10.1212435,http://twitter.com/amhill/status/418493851536719872,http://twitter.com/amhill
01/01/14,http://twitter.com/soniabrum/status/418511973647941632,soniabrum,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/SoniaBrum/status/418511973647941632,http://twitter.com/soniabrum
01/01/14,http://twitter.com/ventana/status/418518450731249664,ventana,January is Cervical Health Awareness Month raising awareness about early detection http://t.co/jteLhbBibt #HPV #cervicalcancer @healthfinder,8.269653,http://twitter.com/ventana/status/418518450731249664,http://twitter.com/ventana
01/01/14,http://twitter.com/northstoryca/status/418519633373958144,northstoryca,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/northstoryCA/status/418519633373958144,http://twitter.com/northstoryca
01/01/14,http://twitter.com/drsenait/status/418520538638602240,drsenait,RT @mchipnet: Today marks the start of #CervicalCancerAwarenessMonth How will you spread the news and fight for a #cure? #cervicalcancer #c…,7.039862,http://twitter.com/DrSenait/status/418520538638602240,http://twitter.com/drsenait
01/01/14,http://twitter.com/beejuz/status/418522025452642304,beejuz,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/Beejuz/status/418522025452642304,http://twitter.com/beejuz
01/02/14,http://twitter.com/pezzapezzi/status/418536334639529984,pezzapezzi,Most of 275k yr #cervicalcancer deaths in developing countries with low access to screening. #careHPV may change this http://t.co/FOCRtKDGoB,7.4478455,http://twitter.com/Pezzapezzi/status/418536334639529984,http://twitter.com/pezzapezzi
01/02/14,http://twitter.com/connect4cancer/status/418539141215682560,connect4cancer,“@Pezzapezzi: Most of 275k yr #cervicalcancer deaths in developing countries with low access to screening. #careHPV http://t.co/qGuTdy8iLL”,7.200948,http://twitter.com/connect4cancer/status/418539141215682560,http://twitter.com/connect4cancer
01/02/14,http://twitter.com/secondopiniontv/status/418557337650348032,secondopiniontv,#January is #CervicalCancer Awareness Mnth. How important is early detection? http://t.co/eDisR46IAl #AskTVDr #BCBS,8.434556,http://twitter.com/SecondOpinionTV/status/418557337650348032,http://twitter.com/secondopiniontv
01/02/14,http://twitter.com/drstevecook/status/418561460189790208,drstevecook,RT @SecondOpinionTV: #January is #CervicalCancer Awareness Mnth. How important is early detection? http://t.co/eDisR46IAl #AskTVDr #BCBS,6.950903,http://twitter.com/DrSteveCook/status/418561460189790208,http://twitter.com/drstevecook
01/02/14,http://twitter.com/erika_borkoles/status/418566651148124160,erika_borkoles,RT @SecondOpinionTV: #January is #CervicalCancer Awareness Mnth. How important is early detection? http://t.co/eDisR46IAl #AskTVDr #BCBS,6.950903,http://twitter.com/Erika_Borkoles/status/418566651148124160,http://twitter.com/erika_borkoles
01/02/14,http://twitter.com/guest_stephanie/status/418570022282604544,guest_stephanie,"@aE22 strongest nicest person I know spread her story #TealPower #CervicalCancer Awareness http://t.co/CpPYe4wA5F""",7.6368794,http://twitter.com/Guest_Stephanie/status/418570022282604544,http://twitter.com/guest_stephanie
01/02/14,http://twitter.com/secondopiniontv/status/418596418035937280,secondopiniontv,Useful information on #CervicalCancer lives here: http://t.co/4s6k16ZOZp #AskTVDr #BCBS,7.609206,http://twitter.com/SecondOpinionTV/status/418596418035937280,http://twitter.com/secondopiniontv
01/02/14,http://twitter.com/babydollbone/status/418604869822738432,babydollbone,#cervicalcancer #fightlikeagirl #savethepeach #tealandwhite http://t.co/x8Dp9dZ0Lv,7.669933,http://twitter.com/BabydollBone/status/418604869822738432,http://twitter.com/babydollbone
01/02/14,http://twitter.com/mairal/status/418605404579307520,mairal,RT @Jhpiego: 80% of #cervicalcancer deaths occur in dev. countries where 95% of women have never been screened. What can we do to change th…,6.9519916,http://twitter.com/mairal/status/418605404579307520,http://twitter.com/mairal
01/02/14,http://twitter.com/sulli24/status/418616037769097216,sulli24,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/Sulli24/status/418616037769097216,http://twitter.com/sulli24
01/02/14,http://twitter.com/pantaihospak/status/418620999530053632,pantaihospak,"#cervicalcancer health talk by Dr Nor Hanisah, 11 Jan, Melaka Cancer Society. Register now! #PantaiHospital #cancer http://t.co/yvveYsGuIl",7.4207034,http://twitter.com/PantaiHospAK/status/418620999530053632,http://twitter.com/pantaihospak
01/02/14,http://twitter.com/leigh_se/status/418623006517493760,leigh_se,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/Leigh_SE/status/418623006517493760,http://twitter.com/leigh_se
01/02/14,http://twitter.com/jasmineduffey/status/418624771166060545,jasmineduffey,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/jasmineduffey/status/418624771166060545,http://twitter.com/jasmineduffey
01/02/14,http://twitter.com/danpasqua/status/418642074934984704,danpasqua,"RT @aE22: Jan is #CervicalCancer Awareness Month in U.S. I wanna see it spread in Can. Spread the #TealPower, follow my journey http://t.co…",7.3869205,http://twitter.com/danpasqua/status/418642074934984704,http://twitter.com/danpasqua
01/02/14,http://twitter.com/docstukie/status/418645362824716288,docstukie,Cervical Cancer Global Crisis Card. I say one #CervicalCancer death is one too many. Ladies Pap Smear once a year. http://t.co/WQ1MgZQhZz,7.646734,http://twitter.com/DocStukie/status/418645362824716288,http://twitter.com/docstukie
01/02/14,http://twitter.com/grounds4health/status/418710294274138112,grounds4health,"January is #cervicalcancer awareness month. In the coffeelands / developing world, it’s the #1 cancer killer of women.",7.6010365,http://twitter.com/grounds4health/status/418710294274138112,http://twitter.com/grounds4health
01/02/14,http://twitter.com/grounds4health/status/418729923985936384,grounds4health,95% of women in the developing world are never screened for #cervicalcancer. Let’s stop unnecessary deaths. http://t.co/qddEVjxYBO,7.449301,http://twitter.com/grounds4health/status/418729923985936384,http://twitter.com/grounds4health
01/02/14,http://twitter.com/ibumurunga/status/418739006189207552,ibumurunga,"""@Jhpiego: 80% of #cervicalcancer deaths occur in dev. countries where 95% of women have never been screened. What can we do to change this?",6.8836246,http://twitter.com/ibumurunga/status/418739006189207552,http://twitter.com/ibumurunga
01/02/14,http://twitter.com/mayoclinic/status/418743494468182016,mayoclinic,January is #CervicalCancer Awareness Month. What you need to know: http://t.co/onZs2YtOQo,14.597498,http://twitter.com/MayoClinic/status/418743494468182016,http://twitter.com/mayoclinic
01/02/14,http://twitter.com/techwise_legend/status/418743626378649600,legendary_zul,RT @MayoClinic: January is #CervicalCancer Awareness Month. What you need to know: http://t.co/onZs2YtOQo,8.157837,http://twitter.com/techwise_legend/status/418743626378649600,http://twitter.com/legendary_zul
01/02/14,http://twitter.com/chromosome_y/status/418743937961312256,chromosome_y,RT @MayoClinic: January is #CervicalCancer Awareness Month. What you need to know: http://t.co/onZs2YtOQo,8.157837,http://twitter.com/Chromosome_Y/status/418743937961312256,http://twitter.com/chromosome_y
01/02/14,http://twitter.com/moveyouraxis/status/418744606939836416,moveyouraxis,RT @MayoClinic: January is #CervicalCancer Awareness Month. What you need to know: http://t.co/onZs2YtOQo,8.157837,http://twitter.com/MoveYourAxis/status/418744606939836416,http://twitter.com/moveyouraxis
01/02/14,http://twitter.com/amandapuller/status/418744950525026304,amandapuller,RT @MayoClinic: January is #CervicalCancer Awareness Month. What you need to know: http://t.co/onZs2YtOQo,8.157837,http://twitter.com/AmandaPuller/status/418744950525026304,http://twitter.com/amandapuller
