firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/changethecycle/status/418464576460840961,changethecycle,Find a doctor in your area who can tell you more about the MyoSure procedure. http://t.co/aDxRPFHtHq #fibroids,11.219447,http://twitter.com/ChangetheCycle/status/418464576460840961,http://twitter.com/changethecycle
01/01/14,http://twitter.com/chevluv3/status/418527867035992064,chevluv3,"Perhaps the #birthcontrol pill should be renamed ""the pill""
Although it's used 2 #reduce birth rate it's also used 2 treat Uterine #fibroids",7.3415008,http://twitter.com/chevluv3/status/418527867035992064,http://twitter.com/chevluv3
01/02/14,http://twitter.com/mygoodnessg/status/418879790629027841,mygoodnessg,Wellness Tip of the Day ~ About Fibroids http://t.co/D0jWwTqtRP #wellness #health #healthy #body #fibroids #healthtips,7.535301,http://twitter.com/mygoodnessg/status/418879790629027841,http://twitter.com/mygoodnessg
01/03/14,http://twitter.com/mivipsurgery/status/418894728344522752,mivipsurgery,Eliminate #fibroids and eliminate an incision http://t.co/hXkqWiGnn2 #hysterectomy #myomectomy,7.5794024,http://twitter.com/miVIPSurgery/status/418894728344522752,http://twitter.com/mivipsurgery
01/03/14,http://twitter.com/sacredthought2u/status/418944224881811456,malengateacher,"RT @Sacredthought2u: Foods that Shrink Fibroids. Eat them raw and in its purest form. Add no condiment to them.
Naturally shrink #fibroids …",9.275645,http://twitter.com/MalengaTeacher/status/418947109271126016,http://twitter.com/malengateacher
01/03/14,http://twitter.com/egyptcianna/status/418960472847568897,egyptcianna,"RT @Sacredthought2u: Foods that Shrink Fibroids. Eat them raw and in its purest form. Add no condiment to them.
Naturally shrink #fibroids …",7.21439,http://twitter.com/egyptcianna/status/418960472847568897,http://twitter.com/egyptcianna
01/03/14,http://twitter.com/tawonm/status/418970744345747456,tawonm,"RT @Sacredthought2u: Foods that Shrink Fibroids. Eat them raw and in its purest form. Add no condiment to them.
Naturally shrink #fibroids …",7.21439,http://twitter.com/TawonM/status/418970744345747456,http://twitter.com/tawonm
01/03/14,http://twitter.com/111asun1912/status/419055982019633152,111asun1912,"RT @Sacredthought2u: Foods that Shrink Fibroids. Eat them raw and in its purest form. Add no condiment to them.
Naturally shrink #fibroids …",7.21439,http://twitter.com/111asun1912/status/419055982019633152,http://twitter.com/111asun1912
01/03/14,http://twitter.com/niafairweather/status/419210778323849216,niafairweather,@tanya_thompson I just back from vacation and saw your note. You have a POWERFUL story and I'll gladly support! #fibroids,9.261592,http://twitter.com/NiaFairweather/status/419210778323849216,http://twitter.com/niafairweather
12/20/13,http://twitter.com/tanya_thompson/status/413839922793938944,niafairweather,RT @tanya_thompson: @NiaFairweather I'm producing a film about Af. Amer. women with #fibroids wld luv your support in making it happen http…,7.1698627,http://twitter.com/NiaFairweather/status/419217957835636736,http://twitter.com/niafairweather
01/03/14,http://twitter.com/tanya_thompson/status/419225127545733121,tanya_thompson,Please support my film campaign about Af. Amer./Latina women suffering from the epidemic of uterine #fibroids http://t.co/Nnc82uJ4DL thanku!,7.655137,http://twitter.com/tanya_thompson/status/419225127545733121,http://twitter.com/tanya_thompson
