firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/05/14,http://twitter.com/sjfert/status/419883494584487936,sjfert,Having trouble #conceiving the second time around? Learn more about #SecondaryInfertility: http://t.co/SyAVJ9KE5v,7.892588,http://twitter.com/SJFert/status/419883494584487936,http://twitter.com/sjfert
01/09/14,http://twitter.com/viverehealth/status/421270341403828224,viverehealth,"Even if you've successfully conceived before, you might have fertility issues later in life.
#secondaryinfertility http://t.co/2xUUwQKavo",8.166823,http://twitter.com/VivereHealth/status/421270341403828224,http://twitter.com/viverehealth
01/13/14,http://twitter.com/mamazoloft/status/422870207498305536,mamazoloft,"At beginning of school year, E was 1 of 3 onlies in his class. Today I heard the other 2 will have siblings in July. #secondaryinfertility",7.9980884,http://twitter.com/mamazoloft/status/422870207498305536,http://twitter.com/mamazoloft
01/14/14,http://twitter.com/ufcbabies/status/423151360972816384,ufcbabies,"What is secondary infertility? #secondaryinfertility
http://t.co/as9Ve1FCtJ",8.166823,http://twitter.com/UFCbabies/status/423151360972816384,http://twitter.com/ufcbabies
01/16/14,http://twitter.com/texaswalkofhope/status/423889682397552641,texaswalkofhope,Why walk in 1 of the RESOLVE Walk of Hope events across the US? #cost #1in8couples #secondaryinfertility #malefactor http://t.co/1YvVX6n6rb,8.311422,http://twitter.com/TexasWalkofHope/status/423889682397552641,http://twitter.com/texaswalkofhope
01/21/14,http://twitter.com/ttcwishes/status/425750286594891776,lovealwaysj_,Anyone want to trade bodies?! #secondaryinfertility http://t.co/IwgsHTQntG,8.363696,http://twitter.com/TTCwishes/status/425750286594891776,http://twitter.com/lovealwaysj_
01/22/14,http://twitter.com/angnass/status/425819004708454401,angnass,RT @TexasWalkofHope: Why walk in 1 of the RESOLVE Walk of Hope events across the US? #cost #1in8couples #secondaryinfertility #malefactor h…,7.279164,http://twitter.com/AngNass/status/425819004708454401,http://twitter.com/angnass
01/23/14,http://twitter.com/hrcfertility/status/426153622905585665,hrcfertility,The Painful Reality of #SecondaryInfertility #IVFhttp://ht.ly/sLkGT,7.892588,http://twitter.com/HRCFertility/status/426153622905585665,http://twitter.com/hrcfertility
01/31/14,http://twitter.com/ldnutrition/status/429227528947908608,ldnutrition,Sharing hope for #secondaryinfertility @MumsnetBloggers #PlugYourPost http://t.co/AzO6HQZwBe,8.075893,http://twitter.com/ldnutrition/status/429227528947908608,http://twitter.com/ldnutrition
02/01/14,http://twitter.com/sgfertility/status/429419235392385025,sgfertility,One of the most common reasons for secondary infertility is maternal age. #secondaryinfertility http://t.co/G2oFAD0K2f,8.080997,http://twitter.com/SGFertility/status/429419235392385025,http://twitter.com/sgfertility
