firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/kevansanthush/status/418352693678465024,kevansanthush,"Angioedema: Causes, symptoms, and treatments - Helium http://t.co/sN6vh9snw3",7.701413,http://twitter.com/KevanSanthush/status/418352693678465024,http://twitter.com/kevansanthush
01/01/14,http://twitter.com/kphealth/status/418472576395272192,kphealth,"Angioedema: Causes, symptoms, and treatments http://t.co/PrFfxjsWY0",8.2877035,http://twitter.com/KPHealth/status/418472576395272192,http://twitter.com/kphealth
01/01/14,http://twitter.com/teresascruton/status/418515728464375808,teresascruton,"AAE, HAE
A patient with chronic lymphocytic leukemia and acquired angioedema: correlation of clinical and... http://t.co/OlhQn22801",7.35363,http://twitter.com/TeresaScruton/status/418515728464375808,http://twitter.com/teresascruton
01/02/14,http://twitter.com/journalagent/status/418683086117695488,journalagent,Superior vena cava syndrome that is consulted with angıoedema like symptoms. http://t.co/DpPoBVOFjN,7.884262,http://twitter.com/JournalAgent/status/418683086117695488,http://twitter.com/journalagent
01/02/14,http://twitter.com/kevansanthush/status/418715081099468800,kevansanthush,"Angioedema: Causes, symptoms, and treatments - Helium http://t.co/sN6vh9snw3",7.701413,http://twitter.com/KevanSanthush/status/418715081099468800,http://twitter.com/kevansanthush
01/02/14,http://twitter.com/usmlemydream/status/418799811815411712,usmlemydream,Ecallantide is specific therapy for Angioedema . #usmle #teamCK,7.5568624,http://twitter.com/UsmleMydream/status/418799811815411712,http://twitter.com/usmlemydream
01/02/14,http://twitter.com/bellylagoosey/status/418844107520638976,bellylagoosey,"Dear body, I don't mind the crazy itchy rash but please fuck off with the angioedema now yeah?! Please and thanks.",7.631207,http://twitter.com/BellyLaGoosey/status/418844107520638976,http://twitter.com/bellylagoosey
01/02/14,http://twitter.com/urticariahives/status/418873999884439553,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/A3sKJnAqGG #Urticaria #Hives,7.2224464,http://twitter.com/UrticariaHives/status/418873999884439553,http://twitter.com/urticariahives
01/03/14,http://twitter.com/kevansanthush/status/419077460236722176,kevansanthush,"Angioedema: Causes, symptoms, and treatments - Helium http://t.co/sN6vh9snw3",7.7305326,http://twitter.com/KevanSanthush/status/419077460236722176,http://twitter.com/kevansanthush
01/03/14,http://twitter.com/mariangelavill/status/419123214564876288,mariangelavill,Nuove armi contro l'angioedema ereditario http://t.co/GHxSaKoZ8b,7.5143485,http://twitter.com/mariangelavill/status/419123214564876288,http://twitter.com/mariangelavill
01/03/14,http://twitter.com/kphealth/status/419220615523237888,kphealth,"Angioedema: Causes, symptoms, and treatments http://t.co/PrFfxjsWY0",8.287605,http://twitter.com/KPHealth/status/419220615523237888,http://twitter.com/kphealth
01/03/14,http://twitter.com/dorothybrunton/status/419237800488091648,dorothybrunton,Angioedema - Symptoms - http://t.co/Pvm1DOGICR,7.742222,http://twitter.com/DorothyBrunton/status/419237800488091648,http://twitter.com/dorothybrunton
01/03/14,http://twitter.com/urticariahives/status/419239681910243328,urticariahives,Urticaria No More Official: What if there is an easy solution to your chronic hives and angioedema? http://t.co/QILgt7WtIK #Urticaria #Hives,7.177088,http://twitter.com/UrticariaHives/status/419239681910243328,http://twitter.com/urticariahives
01/04/14,http://twitter.com/kevansanthush/status/419465112945446913,kevansanthush,"Angioedema: Causes, symptoms, and treatments - Helium http://t.co/sN6vh9snw3",7.744472,http://twitter.com/KevanSanthush/status/419465112945446913,http://twitter.com/kevansanthush
01/04/14,http://twitter.com/davidjuurlink/status/419498886886342656,davidjuurlink,Good summary of angioedema disorders in English and Spanish: http://t.co/w3wzyTqY3v HT @lee_jasonk,8.526513,http://twitter.com/DavidJuurlink/status/419498886886342656,http://twitter.com/davidjuurlink
01/04/14,http://twitter.com/pharmlogsx/status/419504630335143936,pharmlogsx,RT @DavidJuurlink: Good summary of angioedema disorders in English and Spanish: http://t.co/w3wzyTqY3v HT @lee_jasonk,7.5395966,http://twitter.com/pharmlogsx/status/419504630335143936,http://twitter.com/pharmlogsx
01/04/14,http://twitter.com/jodiumo/status/419562328317648896,jodiumo,@cardscleatchasr it's called angioedema that's crazy I have it too lol with shellfish and grapes.,7.775775,http://twitter.com/JodiUmo/status/419562328317648896,http://twitter.com/jodiumo
01/04/14,http://twitter.com/kphealth/status/419617573068869632,kphealth,"Angioedema: Causes, symptoms, and treatments http://t.co/PrFfxjsWY0",8.366269,http://twitter.com/KPHealth/status/419617573068869632,http://twitter.com/kphealth
01/05/14,http://twitter.com/rocknicepac/status/419705529393360899,rocknicepac,@TheWellnessLife Angioedema..?,7.8767924,http://twitter.com/rocknicepac/status/419705529393360899,http://twitter.com/rocknicepac
01/05/14,http://twitter.com/kevansanthush/status/419827515172335616,kevansanthush,"Angioedema: Causes, symptoms, and treatments - Helium http://t.co/sN6vh9snw3",7.7305326,http://twitter.com/KevanSanthush/status/419827515172335616,http://twitter.com/kevansanthush
01/05/14,http://twitter.com/vickieleeuk/status/419889779640389633,vickieleeuk,"@chiarakelly I'm fine now! Just still a bit fat, I had an angioedema attack cause I was allergic to some food I ate 😩",7.768419,http://twitter.com/VickieLeeUK/status/419889779640389633,http://twitter.com/vickieleeuk
01/05/14,http://twitter.com/vickieleeuk/status/419899230770446336,vickieleeuk,"@KirstyHislop noooo, I'm taking the piss I had an angioedema attack and my face swelled up 😂",8.631183,http://twitter.com/VickieLeeUK/status/419899230770446336,http://twitter.com/vickieleeuk
01/05/14,http://twitter.com/locuxoha/status/419974730595061760,locuxoha,Fulfilled Information resting on Acquire angioedema amid Medication also Obstacle: .VcJ http://t.co/YCu2VBOvtv,7.5395966,http://twitter.com/locuxoha/status/419974730595061760,http://twitter.com/locuxoha
01/06/14,http://twitter.com/kphealth/status/419991674795085824,kphealth,"Angioedema: Causes, symptoms, and treatments http://t.co/PrFfxjsWY0",8.366882,http://twitter.com/KPHealth/status/419991674795085824,http://twitter.com/kphealth
01/06/14,http://twitter.com/kevansanthush/status/420190087557967872,kevansanthush,"Angioedema: Causes, symptoms, and treatments - Helium http://t.co/sN6vh9snw3",7.775775,http://twitter.com/KevanSanthush/status/420190087557967872,http://twitter.com/kevansanthush
01/06/14,http://twitter.com/cardiacrx/status/420236667010572288,cardiacrx,"Having a hard time typing ""angioedema"" and ""bradykinin"" today. Scumbag Brain keeps trying to insert people's names.",7.5568624,http://twitter.com/CardiacRX/status/420236667010572288,http://twitter.com/cardiacrx
01/06/14,http://twitter.com/xavier_md1/status/420237747970785280,clinicalcaserev,"Pt who develops hives, angioedema or even severe shortness of breath after adm of the Influenza vaccine! Egg allergy? http://t.co/jEjwNXrlSZ",7.155535,http://twitter.com/Xavier_MD1/status/420237747970785280,http://twitter.com/clinicalcaserev
01/06/14,http://twitter.com/sergiobarbaecua/status/420307875215323136,sergiobarbaecua,"Urticarial wheals and angioedema are 2 different clinical symptoms. Both belong to various disease entities, and... http://t.co/3DagNV4De6",7.285053,http://twitter.com/sergiobarbaecua/status/420307875215323136,http://twitter.com/sergiobarbaecua
01/06/14,http://twitter.com/_iamsnook/status/420326328844713986,_lauglyysnook,mova swear I got angioedema,8.598009,http://twitter.com/_iAmSnook/status/420326328844713986,http://twitter.com/_lauglyysnook
01/07/14,http://twitter.com/kphealth/status/420365616647000064,kphealth,"Angioedema: Causes, symptoms, and treatments http://t.co/PrFfxjsWY0",8.3168955,http://twitter.com/KPHealth/status/420365616647000064,http://twitter.com/kphealth
01/07/14,http://twitter.com/daughtershives/status/420442125981868032,daughtershives,The Care And Treatment For Hives Angioedema http://t.co/DmzC0vcppN,8.440608,http://twitter.com/DaughtersHives/status/420442125981868032,http://twitter.com/daughtershives
01/07/14,http://twitter.com/daughtershives/status/420519456800899072,daughtershives,Treatment For Angioedema - Angioedema Treatment http://t.co/JDf5oW6MxG,8.460788,http://twitter.com/DaughtersHives/status/420519456800899072,http://twitter.com/daughtershives
