firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/modern_nanna/status/418317115519545344,modern_nanna,One of the #hives at my friend's house :-) #bees http://t.co/NmPDFNMxWG,7.932163,http://twitter.com/modern_nanna/status/418317115519545344,http://twitter.com/modern_nanna
01/01/14,http://twitter.com/cassidyames_/status/418319864390889472,cassidyames_,Can't handle the itchiness anymore 😭 #hives #rash #allergy,7.9461956,http://twitter.com/CassidyAmes_/status/418319864390889472,http://twitter.com/cassidyames_
01/01/14,http://twitter.com/morgananzivino/status/418407011806494720,morgananzivino,allergic reaction to my new blanket #hives :-),8.033719,http://twitter.com/MorganAnzivino/status/418407011806494720,http://twitter.com/morgananzivino
01/01/14,http://twitter.com/mertwy/status/418416626350817281,mertwy,#blessed #jk #hives http://t.co/stwTPOswes,8.78358,http://twitter.com/mertwy/status/418416626350817281,http://twitter.com/mertwy
01/01/14,http://twitter.com/tobebean3/status/418488651564462080,tobebean3,Happy New Years! #memphisthebulldog #hives #needsobamacare http://t.co/herZJ7WQYa,11.176847,http://twitter.com/tobebean3/status/418488651564462080,http://twitter.com/tobebean3
01/01/14,http://twitter.com/kyjohnson330/status/418491738937098240,kyjohnson330,Gotta love getting allergic reactions to my medicine #hives #everywhere,8.175276,http://twitter.com/kyjohnson330/status/418491738937098240,http://twitter.com/kyjohnson330
01/01/14,http://twitter.com/_chasemiller/status/418511032558944256,_chasemiller,When you say your allergic to penicillin don't give me a medicine made out of it dumbass #prevtweet #hives,7.8806243,http://twitter.com/_chasemiller/status/418511032558944256,http://twitter.com/_chasemiller
01/02/14,http://twitter.com/cheyenneminer/status/418632583421767680,cheyenneminer,Who is allergic to spruce? I didn't know that was a thing. #hives #handsonfire,7.5369554,http://twitter.com/CheyenneMiner/status/418632583421767680,http://twitter.com/cheyenneminer
01/02/14,http://twitter.com/geno0927/status/418632595631403008,geno0927,Another reason i hate NY... The cold makes me break out! .&gt;:o #Hives #Itchy #NoBueno,8.927956,http://twitter.com/Geno0927/status/418632595631403008,http://twitter.com/geno0927
01/02/14,http://twitter.com/bigearljackson/status/418637447677747200,bigearljackson,@benjaminP13 sooooo now that strog got the cod ghost we need to get online with the alien #Hives bro,7.6643553,http://twitter.com/BigEarlJackson/status/418637447677747200,http://twitter.com/bigearljackson
01/02/14,http://twitter.com/erindana423/status/418789826310459393,erindana423,Benadryl really kicks my butt :( #hives #skinproblems #tired,7.6546307,http://twitter.com/ErinDana423/status/418789826310459393,http://twitter.com/erindana423
01/02/14,http://twitter.com/annie_cas/status/418799875312988160,annie_cas,Damnit! Are those #hives?! Noooooooooo!!!! #ChurgStaussSyndrome,7.7078567,http://twitter.com/Annie_CAS/status/418799875312988160,http://twitter.com/annie_cas
01/02/14,http://twitter.com/gabelinc0ln/status/418823213364555776,gabelinc0ln,Took some antibiotics and looks like im allergic to it #hives #fuck2014,7.8777514,http://twitter.com/GABElinc0ln/status/418823213364555776,http://twitter.com/gabelinc0ln
01/02/14,http://twitter.com/urticariahives/status/418873999884439553,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/A3sKJnAqGG #Urticaria #Hives,7.2728987,http://twitter.com/UrticariaHives/status/418873999884439553,http://twitter.com/urticariahives
01/03/14,http://twitter.com/edan_g8/status/418910534600495104,edan_g8,@vivtwang #hives #realtalk,8.408753,http://twitter.com/Edan_G8/status/418910534600495104,http://twitter.com/edan_g8
01/03/14,http://twitter.com/newsnoys/status/418917136145596416,newsnoys,"How bizarre: Bradley Manning has been #praised by critics, with some hailing him dustmite #hives.",7.511497,http://twitter.com/NewsNoys/status/418917136145596416,http://twitter.com/newsnoys
01/03/14,http://twitter.com/sydneytennis/status/418919110509334529,sydneytennis,.@juliagoerges secures the first set on court 6 over young Victorian Zoe #Hives 6-2. KDK up an early break on MLB 3-2. #SydneyTennis,10.319618,http://twitter.com/SydneyTennis/status/418919110509334529,http://twitter.com/sydneytennis
01/03/14,http://twitter.com/jaymelr8/status/418928615821045760,jaymelr8,I have no idea where this allergic reaction came from but it can go away any time now #hives 😫😖,8.243453,http://twitter.com/jaymelr8/status/418928615821045760,http://twitter.com/jaymelr8
01/03/14,http://twitter.com/catherinemcnul3/status/419124428916932608,catherinemcnul3,"Why is my skin so sensitive , Allergic reaction to any kind of chemical I put on it #Hives #rank #help #sensitiveskin",7.5814824,http://twitter.com/CatherineMcNul3/status/419124428916932608,http://twitter.com/catherinemcnul3
01/03/14,http://twitter.com/ave_maria93/status/419193131058614272,ave_maria93,@bunchoMullarkey @bratttt_katt guess we're not stepping foot outside #hives 😒,7.5959115,http://twitter.com/ave_MARIA93/status/419193131058614272,http://twitter.com/ave_maria93
01/03/14,http://twitter.com/megankayw/status/419215075619008512,megankayw,Aaaand I have #hives. #great,8.598968,http://twitter.com/megankayw/status/419215075619008512,http://twitter.com/megankayw
