firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/psoriasishelp/status/418173244265336832,psoriasishelp,what should i do pustular psoriasis?: i have suffered from psoriasis since the age of i can remembe... http://t.co/3JKsnYyg7o #psoriasis,10.310106,http://twitter.com/PsoriasisHelp/status/418173244265336832,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/psoriasishelp/status/418183812485349376,psoriasishelp,"Back on the UV in the New Year: After a rather annoying derm appointment back in September, my late... http://t.co/OLN9VGxtCG #psoriasis",10.988703,http://twitter.com/PsoriasisHelp/status/418183812485349376,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/psoriasishelp/status/418216933389897729,psoriasishelp,Re: Methotrexate Mission!: yeah blood test results seem available via the interweb between Dr's and... http://t.co/le77c3DSbg #psoriasis,10.580936,http://twitter.com/PsoriasisHelp/status/418216933389897729,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/hopesreliefuk/status/418269174801379328,hopesreliefuk,Thanks to @NatBeautCabinet for sharing her review of our #haircare http://t.co/HF0m0q8UE9 #psoriasis #eczema #sebderm http://t.co/qPfz315cnr,7.15881,http://twitter.com/HopesReliefUK/status/418269174801379328,http://twitter.com/hopesreliefuk
01/01/14,http://twitter.com/psoriasishelp/status/418285032986267650,psoriasishelp,"Re: what should i do pustular psoriasis?: hi, Alisonbabyat the end of the day,   its a game of try ... http://t.co/XuPMM7gH6y #psoriasis",10.310106,http://twitter.com/PsoriasisHelp/status/418285032986267650,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/eczemasupport/status/418313497374494720,eczemasupport,"Emollients, Potential Skin Sensitisers as Ingredients http://t.co/MDDPlUvzgg #eczema #psoriasis
  @secret_demons @dongosaur",10.476476,http://twitter.com/eczemasupport/status/418313497374494720,http://twitter.com/eczemasupport
01/01/14,http://twitter.com/psoriasishelp/status/418319379894251520,psoriasishelp,Re: What are the next options?:                       Happy New Year to you allHi Angie09I think it... http://t.co/dUwRe6wXPC #psoriasis,10.391766,http://twitter.com/PsoriasisHelp/status/418319379894251520,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/psoriasishelp/status/418319380468871168,psoriasishelp,Re: Methotrexate Mission!: Hi JamieMy blood test results are on a shared system with my ALT slightl... http://t.co/670vW6aQMs #psoriasis,10.352106,http://twitter.com/PsoriasisHelp/status/418319380468871168,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/hikimmytee/status/418366867426648064,hikimmytee,Follow ==&gt;&gt; Corrective Skin Care @CorrectYourSkin for better results when clearing #acne #darkspots #pimples #razorbumbs #eczema #psoriasis,6.9728026,http://twitter.com/HiKimmyTee/status/418366867426648064,http://twitter.com/hikimmytee
01/01/14,http://twitter.com/correctyourskin/status/418366866461966336,correctyourskin,Follow ==&gt;&gt; Corrective Skin Care @CorrectYourSkin for better results when clearing #acne #darkspots #pimples #razorbumbs #eczema #psoriasis,6.968875,http://twitter.com/CorrectYourSkin/status/418366866461966336,http://twitter.com/correctyourskin
01/01/14,http://twitter.com/psoriasishelp/status/418378229687136257,psoriasishelp,Re: Palmoplantar pustular psoriasis: Interesting.  But even still I am not convinced fungus *caused... http://t.co/IC5enSJECP #psoriasis,10.382019,http://twitter.com/PsoriasisHelp/status/418378229687136257,http://twitter.com/psoriasishelp
01/01/14,http://twitter.com/vitamins_health/status/418384690589212672,vitamins_health,"Multiple Silymarin uses / This plant can treat different ailments... #Acne, #eczema, #psoriasis, #poisoning http://t.co/Fq9AqFK066",10.345787,http://twitter.com/Vitamins_Health/status/418384690589212672,http://twitter.com/vitamins_health
01/01/14,http://twitter.com/hopesreliefuk/status/418389970697867264,hopesreliefuk,Thanks to @NatBeautCabinet for sharing her review of our #haircare http://t.co/DDK7EpIe0G #psoriasis #eczema #sebderm http://t.co/qPfz315cnr,7.1982226,http://twitter.com/HopesReliefUK/status/418389970697867264,http://twitter.com/hopesreliefuk
01/01/14,http://twitter.com/redpatchorg/status/418402999283617792,redpatchorg,#Psoriasis battle of #CNN anchor #ZainVerjee http://t.co/h7rqquGmZq,7.800261,http://twitter.com/RedPatchOrg/status/418402999283617792,http://twitter.com/redpatchorg
01/01/14,http://twitter.com/jrgator55/status/418417146100592640,jrgator55,MetaDerm Organic #Psoriasis Moisturizing Cream (6 oz.) http://t.co/F40B69fv6h,7.663698,http://twitter.com/jrgator55/status/418417146100592640,http://twitter.com/jrgator55
01/01/14,http://twitter.com/weirdscience357/status/418423407772852224,weirdscience357,#psoriasis How to Treat Psoriasis http://t.co/UsEJojztrm,8.473964,http://twitter.com/weirdscience357/status/418423407772852224,http://twitter.com/weirdscience357
