firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/netdatabiz/status/418267868598247425,netdatabiz,#Shingles Pain Relief Natural Remedies Released  #article 128318 Canuckclicks Netdatabiz,7.4821973,http://twitter.com/netdatabiz/status/418267868598247425,http://twitter.com/netdatabiz
01/01/14,http://twitter.com/kerysarore/status/418268963521318913,kerysarore,#Rheumatoid #Arthritis And #Shingles http://t.co/JtZ8zcRWAa,8.059308,http://twitter.com/kerysarore/status/418268963521318913,http://twitter.com/kerysarore
01/01/14,http://twitter.com/eskimokisses37/status/418345905331638272,eskimokisses37,And on top of the shingles my endopain is acting up and I'm pretty sure I have a bladder infection. #shingles #endometriosis #chronicpain,7.20228,http://twitter.com/Eskimokisses37/status/418345905331638272,http://twitter.com/eskimokisses37
01/01/14,http://twitter.com/daidarlo/status/418435797453664256,daidarlo,@CarrieLikesCake #shingles,8.713519,http://twitter.com/DaiDarlo/status/418435797453664256,http://twitter.com/daidarlo
01/01/14,http://twitter.com/usmle_ckhints/status/418472994923495424,usmle_ckhints,#Shingles occurs when there is reactivation of this latent infection.,9.234703,http://twitter.com/USMLE_CKHints/status/418472994923495424,http://twitter.com/usmle_ckhints
01/01/14,http://twitter.com/usmle_ckhints/status/418473078960582656,usmle_ckhints,#Shingles is characterized by a vesicular eruption that occurs in a #dermatomal distribution and is often preceded by pain.,9.39333,http://twitter.com/USMLE_CKHints/status/418473078960582656,http://twitter.com/usmle_ckhints
01/01/14,http://twitter.com/ahmed_almarzuqi/status/418505155425075200,ahmed_hm92,RT @USMLE_CKHints: #Shingles occurs when there is reactivation of this latent infection.,7.6531525,http://twitter.com/Ahmed_Almarzuqi/status/418505155425075200,http://twitter.com/ahmed_hm92
01/01/14,http://twitter.com/ahmed_almarzuqi/status/418505212996108288,ahmed_hm92,RT @USMLE_CKHints: #Shingles is characterized by a vesicular eruption that occurs in a #dermatomal distribution and is often preceded by pa…,7.151313,http://twitter.com/Ahmed_Almarzuqi/status/418505212996108288,http://twitter.com/ahmed_hm92
01/02/14,http://twitter.com/chrissykd13/status/418535965746290689,chrissykd13,RT @USMLE_CKHints: #Shingles is characterized by a vesicular eruption that occurs in a #dermatomal distribution and is often preceded by pa…,7.151313,http://twitter.com/ChrissyKD13/status/418535965746290689,http://twitter.com/chrissykd13
01/02/14,http://twitter.com/chrissykd13/status/418535976940883968,chrissykd13,RT @USMLE_CKHints: #Shingles occurs when there is reactivation of this latent infection.,7.6531525,http://twitter.com/ChrissyKD13/status/418535976940883968,http://twitter.com/chrissykd13
01/02/14,http://twitter.com/dannysparker/status/418595030073233408,dannysparker,Avoid my pain: 20% of #myeloma patients develop #shingles 12-24 months post SCT. Talk to your doc about prophylactic acyclovir,7.007777,http://twitter.com/dannysparker/status/418595030073233408,http://twitter.com/dannysparker
01/02/14,http://twitter.com/mic_mac/status/418674185980764160,mic_mac,Asperger Syndrome and Shingles: Are they co-morbidities? http://t.co/JmmGleH2ZD #disabilities #aspergers #autism #vaccines #shingles,9.980831,http://twitter.com/MIC_MAC/status/418674185980764160,http://twitter.com/mic_mac
01/02/14,http://twitter.com/mic_mac/status/418698451073781760,mic_mac,Asperger Syndrome and Shingles: are they co-morbids? http://t.co/7apWxhwXWE #aspergers #autism #shingles #chickenpox #vaccines,10.787713,http://twitter.com/MIC_MAC/status/418698451073781760,http://twitter.com/mic_mac
01/02/14,http://twitter.com/elysebruce/status/418698455742029824,elysebruce,Asperger Syndrome and Shingles: are they co-morbids? http://t.co/imQncCudB6 #aspergers #autism #shingles #chickenpox #vaccines,6.934031,http://twitter.com/ElyseBruce/status/418698455742029824,http://twitter.com/elysebruce
01/02/14,http://twitter.com/glassonastick/status/418698461182050304,glassonastick,Asperger Syndrome and Shingles: are they co-morbids? http://t.co/gWBLi1tkYR #aspergers #autism #shingles #chickenpox #vaccines,6.9378552,http://twitter.com/glassonastick/status/418698461182050304,http://twitter.com/glassonastick
01/02/14,http://twitter.com/healthcentral/status/418759859476389888,healthcentral,6 things you need to know about #shingles http://t.co/vgX8SDP1QY http://t.co/t1ZxoIXzyn,12.692521,http://twitter.com/healthcentral/status/418759859476389888,http://twitter.com/healthcentral
01/02/14,http://twitter.com/themigrainechef/status/418760192814112768,themigrainechef,RT @healthcentral: 6 things you need to know about #shingles http://t.co/vgX8SDP1QY http://t.co/t1ZxoIXzyn,8.41128,http://twitter.com/themigrainechef/status/418760192814112768,http://twitter.com/themigrainechef
01/02/14,http://twitter.com/atlasroofing/status/418761728395333632,atlasroofing,StormMaster® Slate is available in a sophisticated palette of designer color blends that will complement any home design. #roofing #shingles,7.3022532,http://twitter.com/AtlasRoofing/status/418761728395333632,http://twitter.com/atlasroofing
01/02/14,http://twitter.com/tristateforest/status/418767121770741761,tristateforest,"WINTER BUYS GOING ON NOW: #Decking, #Railing, #Housewrap, #Shingles, #PVC, #Aluminum Accessories &amp; more!. call your sales rep for more info",7.542173,http://twitter.com/TriStateForest/status/418767121770741761,http://twitter.com/tristateforest
01/02/14,http://twitter.com/selectyourroof/status/418774167618859009,selectyourroof,What’s your favorite shingle style? You have lots to choose from! #shingles #roof http://t.co/ZDaMH9Rm9T,7.333431,http://twitter.com/SelectYourRoof/status/418774167618859009,http://twitter.com/selectyourroof
01/02/14,http://twitter.com/deck_masters/status/418774935587549185,deck_masters,"RT @TriStateForest: WINTER BUYS GOING ON NOW: #Decking, #Railing, #Housewrap, #Shingles, #PVC, #Aluminum Accessories &amp; more!. call your sal…",6.523411,http://twitter.com/deck_masters/status/418774935587549185,http://twitter.com/deck_masters
01/02/14,http://twitter.com/atlasroofing/status/418777775110377472,atlasroofing,Our new shingle line with HP technology increases curb appeal with extra shingle exposure. Check it out! #shingles http://t.co/EPX1F1OtyR,8.178914,http://twitter.com/AtlasRoofing/status/418777775110377472,http://twitter.com/atlasroofing
01/02/14,http://twitter.com/kcroofinginc/status/418782293214257152,kcroofinginc,RT @AtlasRoofing: Our new shingle line with HP technology increases curb appeal with extra shingle exposure. Check it out! #shingles http:/…,7.1781836,http://twitter.com/KCRoofingInc/status/418782293214257152,http://twitter.com/kcroofinginc
01/02/14,http://twitter.com/jm4kz/status/418807657152004097,jm4kz,@7j0u9acw8hf I hope he gets #shingles,7.9481826,http://twitter.com/JM4KZ/status/418807657152004097,http://twitter.com/jm4kz
01/02/14,http://twitter.com/emmmanne11/status/418807948580642816,emmmanne11,16 days and counting #shingles,8.67868,http://twitter.com/emmmanne11/status/418807948580642816,http://twitter.com/emmmanne11
