firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/joharringtonnew/status/418462083194167296,joharringtonnew,#Wizzley #Deafness Deafness and the Internet: A Level Playing Field at Last http://t.co/b0Nx8Tg1yn #SingleSidedHearing,7.653676,http://twitter.com/JoHarringtonNew/status/418462083194167296,http://twitter.com/joharringtonnew
01/02/14,http://twitter.com/crpdisabilities/status/418592911895576576,crpdisabilities,Paul Stanley Discusses His Struggle With #Deafness In Memoir #Kiss http://t.co/9zTLd8GggQ,11.393035,http://twitter.com/CRPDisabilities/status/418592911895576576,http://twitter.com/crpdisabilities
01/02/14,http://twitter.com/joharringtonnew/status/418828017578680320,joharringtonnew,#Wizzley #Deafness Induction Loop Systems for Those With Hearing Loss http://t.co/Q7gtv6VIsi #SingleSidedHearing,7.6217084,http://twitter.com/JoHarringtonNew/status/418828017578680320,http://twitter.com/joharringtonnew
01/02/14,http://twitter.com/crpdisabilities/status/418890800609918978,crpdisabilities,Paul Stanley Talks About Birth Defect And #Deafness In Upcoming Memoir http://t.co/xUYIlOibaa,12.557628,http://twitter.com/CRPDisabilities/status/418890800609918978,http://twitter.com/crpdisabilities
01/03/14,http://twitter.com/karleninfo/status/418907695341895680,karleninfo,RT @CRPDisabilities: Paul Stanley Talks About Birth Defect And #Deafness In Upcoming Memoir http://t.co/xUYIlOibaa,7.8679166,http://twitter.com/KarlenInfo/status/418907695341895680,http://twitter.com/karleninfo
01/03/14,http://twitter.com/pwdaustralia/status/418908043607162881,pwdaustralia,RT @CRPDisabilities: Paul Stanley Talks About Birth Defect And #Deafness In Upcoming Memoir http://t.co/xUYIlOibaa,11.084282,http://twitter.com/PWDAustralia/status/418908043607162881,http://twitter.com/pwdaustralia
01/03/14,http://twitter.com/laylahaven/status/419078314293084160,laylahaven,"#9/11 2012, a date to remember! http://t.co/wrIaxVX3Ql #bostonterrier #lumina #winebar #puppy #deafness",7.57617,http://twitter.com/laylahaven/status/419078314293084160,http://twitter.com/laylahaven
01/03/14,http://twitter.com/wustlpacs/status/419122837056528384,wustlpacs,Happy Friday! #TGIF #FF #deafness #education @ASCD @teachprof @TeachForAmerica @LDorg @MOEducation @dcmp_tweets,7.04699,http://twitter.com/WUSTLpacs/status/419122837056528384,http://twitter.com/wustlpacs
01/03/14,http://twitter.com/charitynation/status/419216640111149057,charitynation,"STEM CELLS: The end of #Deafness Near? Deafness Cure Demonstrated in Gerbils Using Stem Cells http://t.co/2ZST5GHhDK  #charity, #nonprofit",7.1839213,http://twitter.com/CHARITYNATION/status/419216640111149057,http://twitter.com/charitynation
01/03/14,http://twitter.com/laylahaven/status/419232125737771008,laylahaven,"#9/11 2012, a date to remember! http://t.co/wkQRkh2O6l #bostonterrier #lumina #winebar #puppy #deafness",7.613303,http://twitter.com/laylahaven/status/419232125737771008,http://twitter.com/laylahaven
01/04/14,http://twitter.com/chrissiew4/status/419460822109134848,chrissiew4,"@IslaBoag @TenPercent ..Why is #deafness a nogo!  Its dam fustrating ,esp if u have Tinnitus as well!  Sorry very long moan everyone...",8.061367,http://twitter.com/chrissiew4/status/419460822109134848,http://twitter.com/chrissiew4
01/04/14,http://twitter.com/cochlearimplant/status/419499060442054657,cochlearimplant,"Check out a review of 95 Decibels, a short film about a family's #cochlearimplant journey. http://t.co/a8ZsWZvxVX #deafness #hearingloss",11.448585,http://twitter.com/CochlearImplant/status/419499060442054657,http://twitter.com/cochlearimplant
01/04/14,http://twitter.com/drbrenthunter/status/419526358461845504,drbrenthunter,Did you know #antibiotics not only destroy your digestion but also cause #deafness in children and adults? http://t.co/LU95zBwd8a,7.5575113,http://twitter.com/DrBrentHunter/status/419526358461845504,http://twitter.com/drbrenthunter
01/04/14,http://twitter.com/joharringtonnew/status/419561856533925888,joharringtonnew,#Wizzley #Deafness Should You Tell People That You are Deaf in One Ear? http://t.co/qDi2anDbZD #SingleSidedHearing,7.6010733,http://twitter.com/JoHarringtonNew/status/419561856533925888,http://twitter.com/joharringtonnew
