firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/11/14,http://twitter.com/pinkcartoons/status/476562958383079424,pinkcartoons,"Are You a Ruffle, Print or Solid Girl? Slip-on head covers by #BreastCancer survivor sisters. =&gt; @chemobeanies #chemo #bcans",8.89374,http://twitter.com/PinkCartoons/status/476562958383079424,http://twitter.com/pinkcartoons
06/11/14,http://twitter.com/chemobeanies/status/476569835745189889,chemobeanies,"RT @PinkCartoons: Are You a Ruffle, Print or Solid Girl? Slip-on head covers by #BreastCancer survivor sisters. =&gt; @chemobeanies #chemo #bc…",7.1373205,http://twitter.com/chemobeanies/status/476569835745189889,http://twitter.com/chemobeanies
06/19/14,http://twitter.com/pinkcartoons/status/479652673080545280,pinkcartoons,Being a Father of Two and Husband to a Wife with Metastatic #BreastCancer http://t.co/E11bxKlRUG #bcans #BetterTogether,7.944729,http://twitter.com/PinkCartoons/status/479652673080545280,http://twitter.com/pinkcartoons
06/19/14,http://twitter.com/pinkcartoons/status/479655131148193793,pinkcartoons,She cherishes every day and is determined to live life to the fullest. -via RethinkBreastCancer @rethinktweet #bcans,7.8471055,http://twitter.com/PinkCartoons/status/479655131148193793,http://twitter.com/pinkcartoons
06/19/14,http://twitter.com/pinkcartoons/status/479656944559722496,pinkcartoons,Rethink Breast Cancer: a Canadian charity helping *young people* who are concerned about and affected by #BreastCancer. @rethinktweet #bcans,11.995019,http://twitter.com/PinkCartoons/status/479656944559722496,http://twitter.com/pinkcartoons
06/19/14,http://twitter.com/pinkcartoons/status/479662361784360960,pinkcartoons,"""Lean In? Sometimes I’d Rather Lean Away."" #BreastCancer Blog Post http://t.co/W3n75anumz #bcans #lifewithcancer",8.464355,http://twitter.com/PinkCartoons/status/479662361784360960,http://twitter.com/pinkcartoons
06/19/14,http://twitter.com/penrynpam/status/479665485676806144,penrynpam,"RT @PinkCartoons: ""Lean In? Sometimes I’d Rather Lean Away."" #BreastCancer Blog Post http://t.co/W3n75anumz #bcans #lifewithcancer",7.4055624,http://twitter.com/PenrynPam/status/479665485676806144,http://twitter.com/penrynpam
06/19/14,http://twitter.com/pinkcartoons/status/479668668901912576,pinkcartoons,My Boobs Do Not Define Me (#BreastCancer Postcards by @PinkCartoons) =&gt; http://t.co/uaXCD0M1qz #bcans,8.000528,http://twitter.com/PinkCartoons/status/479668668901912576,http://twitter.com/pinkcartoons
06/19/14,http://twitter.com/pinkcartoons/status/479669916703154177,pinkcartoons,boo for boo(b) cancer (#BreastCancer Postcards by @PinkCartoons) =&gt; http://t.co/pInk5xnF3H … #cancersucks #bcans,7.994283,http://twitter.com/PinkCartoons/status/479669916703154177,http://twitter.com/pinkcartoons
06/19/14,http://twitter.com/rethinktweet/status/479688282109128704,rethinktweet,RT @PinkCartoons: Rethink Breast Cancer: a Canadian charity helping *young people* who are concerned about and affected by #BreastCancer. @…,10.721566,http://twitter.com/rethinktweet/status/479688282109128704,http://twitter.com/rethinktweet
06/19/14,http://twitter.com/lohurls/status/479703164229529600,lohurls,RT @PinkCartoons: Rethink Breast Cancer: a Canadian charity helping *young people* who are concerned about and affected by #BreastCancer. @…,7.489249,http://twitter.com/lohurls/status/479703164229529600,http://twitter.com/lohurls
06/26/14,http://twitter.com/pinkcartoons/status/482302728069455872,pinkcartoons,"Mia @CashCloset blogs about #BreastCancer diagnosis &amp; getting honest w/priorities, time, relationships... http://t.co/r80lVjRQRg #bcans",8.548263,http://twitter.com/PinkCartoons/status/482302728069455872,http://twitter.com/pinkcartoons
06/26/14,http://twitter.com/pinkcartoons/status/482305620130156544,pinkcartoons,#BRCA Positive Artist Christina shares her creativity through @AngelsOfCancer Art &gt; http://t.co/oCqSyiOCLq #bcans,9.84065,http://twitter.com/PinkCartoons/status/482305620130156544,http://twitter.com/pinkcartoons
06/26/14,http://twitter.com/pinkcartoons/status/482310031665541122,pinkcartoons,Help Spread the Word with Support #BreastCancer Research Postage Stamps by @PinkCartoons &gt; http://t.co/PJ5y4YhU9v #bcans #womenshealth,8.4545355,http://twitter.com/PinkCartoons/status/482310031665541122,http://twitter.com/pinkcartoons
06/26/14,http://twitter.com/penrynpam/status/482312203539058688,penrynpam,RT @PinkCartoons: Help Spread the Word with Support #BreastCancer Research Postage Stamps by @PinkCartoons &gt; http://t.co/PJ5y4YhU9v #bcans …,7.4887543,http://twitter.com/PenrynPam/status/482312203539058688,http://twitter.com/penrynpam
06/27/14,http://twitter.com/pinkcartoons/status/482325964274532352,pinkcartoons,#BreastCancer Returning the Love @CancerFightClub @CABreastCancer @PinkLinkVicki @CashCloset @MikePinkShoes @lohurls #bcans,8.608704,http://twitter.com/PinkCartoons/status/482325964274532352,http://twitter.com/pinkcartoons
06/27/14,http://twitter.com/penrynpam/status/482327914651090944,penrynpam,RT @PinkCartoons: #BreastCancer Returning the Love @CancerFightClub @CABreastCancer @PinkLinkVicki @CashCloset @MikePinkShoes @lohurls #bca…,7.131617,http://twitter.com/PenrynPam/status/482327914651090944,http://twitter.com/penrynpam
06/27/14,http://twitter.com/lohurls/status/482337499822686208,lohurls,RT @PinkCartoons: #BreastCancer Returning the Love @CancerFightClub @CABreastCancer @PinkLinkVicki @CashCloset @MikePinkShoes @lohurls #bca…,7.131617,http://twitter.com/lohurls/status/482337499822686208,http://twitter.com/lohurls
06/27/14,http://twitter.com/brcaumbrella/status/482398847050981376,brcaumbrella,RT @PinkCartoons: #BRCA Positive Artist Christina shares her creativity through @AngelsOfCancer Art &gt; http://t.co/oCqSyiOCLq #bcans,7.553689,http://twitter.com/BRCAUmbrella/status/482398847050981376,http://twitter.com/brcaumbrella
06/27/14,http://twitter.com/ambrygenetics/status/482400233457213440,ambrygenetics,RT @PinkCartoons: #BRCA Positive Artist Christina shares her creativity through @AngelsOfCancer Art &gt; http://t.co/oCqSyiOCLq #bcans,7.553689,http://twitter.com/AmbryGenetics/status/482400233457213440,http://twitter.com/ambrygenetics
06/29/14,http://twitter.com/pinkcartoons/status/483374311550746624,pinkcartoons,Blog Post: How To Tell People You Have #BreastCancer &gt;http://t.co/ZiFixZzMz8 #bcans #ThankfulThursday,8.38676,http://twitter.com/PinkCartoons/status/483374311550746624,http://twitter.com/pinkcartoons
