firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/sweetjj182/status/473099651902881792,sweetjj182,Be proactive!! Cancer is not a death sentence!! #BRCA1 #BRCA2 #FuckCancer http://t.co/juOP3fyzCq,7.748181,http://twitter.com/sweetjj182/status/473099651902881792,http://twitter.com/sweetjj182
06/01/14,http://twitter.com/myriadgenetics/status/473158285193797633,myriadgenetics,Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #ASCO14 #ovariancancer,8.440511,http://twitter.com/myriadgenetics/status/473158285193797633,http://twitter.com/myriadgenetics
06/01/14,http://twitter.com/sbc1989/status/473221757508542464,sbc1989,RT @myriadgenetics: Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #AS…,7.0029364,http://twitter.com/sbc1989/status/473221757508542464,http://twitter.com/sbc1989
06/01/14,http://twitter.com/david_myriad/status/473226912152965124,david_myriad,RT @myriadgenetics: Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #AS…,7.0029364,http://twitter.com/David_myriad/status/473226912152965124,http://twitter.com/david_myriad
06/02/14,http://twitter.com/abbyexplains/status/473514397541748736,abbyexplains,Mary-Claire King: The Woman Who Discovered #BRCA1 http://t.co/jNiThVeT5R via @TIMEHealth,9.17283,http://twitter.com/abbyexplains/status/473514397541748736,http://twitter.com/abbyexplains
06/02/14,http://twitter.com/bhmhealthcare/status/473514593281925121,bhmhealthcare,RT @abbyexplains: Mary-Claire King: The Woman Who Discovered #BRCA1 http://t.co/jNiThVeT5R via @TIMEHealth,7.322416,http://twitter.com/BHMHealthcare/status/473514593281925121,http://twitter.com/bhmhealthcare
06/03/14,http://twitter.com/myriadgenetics/status/473963603989524480,myriadgenetics,Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd  #hereditarycancer #ASCO14 #ovariancancer,8.456414,http://twitter.com/myriadgenetics/status/473963603989524480,http://twitter.com/myriadgenetics
06/03/14,http://twitter.com/bobhuntermd/status/473964837899218945,bobhuntermd,RT @myriadgenetics: Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd  #hereditarycancer #A…,7.006346,http://twitter.com/BobHunterMD/status/473964837899218945,http://twitter.com/bobhuntermd
06/04/14,http://twitter.com/kaltersitz/status/474041002580131840,kaltersitz,My #BRCA #BRCA1 pity party that I'm allowing myself. http://t.co/xAzGNVLVJU #bcsm,7.9368153,http://twitter.com/kaltersitz/status/474041002580131840,http://twitter.com/kaltersitz
06/04/14,http://twitter.com/agamebag/status/474059537201115137,agamebag,#TurnDownForWhat? Said the microRNA actively preventing an essential tumor suppressor gene from doing its stupid job. #BRCA1,8.826533,http://twitter.com/agamebag/status/474059537201115137,http://twitter.com/agamebag
