firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/sweetjj182/status/473099651902881792,sweetjj182,Be proactive!! Cancer is not a death sentence!! #BRCA1 #BRCA2 #FuckCancer http://t.co/juOP3fyzCq,7.751723,http://twitter.com/sweetjj182/status/473099651902881792,http://twitter.com/sweetjj182
06/01/14,http://twitter.com/myriadgenetics/status/473158285193797633,myriadgenetics,Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #ASCO14 #ovariancancer,8.477551,http://twitter.com/myriadgenetics/status/473158285193797633,http://twitter.com/myriadgenetics
06/01/14,http://twitter.com/sbc1989/status/473221757508542464,sbc1989,RT @myriadgenetics: Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #AS…,7.0399776,http://twitter.com/sbc1989/status/473221757508542464,http://twitter.com/sbc1989
06/01/14,http://twitter.com/david_myriad/status/473226912152965124,david_myriad,RT @myriadgenetics: Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #AS…,7.0399776,http://twitter.com/David_myriad/status/473226912152965124,http://twitter.com/david_myriad
06/01/14,http://twitter.com/careerspotmedia/status/473234354471059456,careerspotmedia,#HEALTH NEWS: #BRCA2 link to #lung #cancer is just another reason #smoking #kills - http://t.co/rI9tflnqkT @CancerCouncilOz,7.317368,http://twitter.com/CareerSpotMedia/status/473234354471059456,http://twitter.com/careerspotmedia
06/02/14,http://twitter.com/theriskybody/status/473264523747393536,theriskybody,@theriskybody this word choice suggests a particular #brca2 mutation causes #lungcancer. Do all brca2 mutations have the same risk?,7.088195,http://twitter.com/theriskybody/status/473264523747393536,http://twitter.com/theriskybody
06/02/14,http://twitter.com/emas_online/status/473326533600243712,emas_online,Rare variants of large effect in #BRCA2 and CHEK2 affect risk of #lungcancer http://t.co/CpFWYcCCy5,8.313488,http://twitter.com/emas_online/status/473326533600243712,http://twitter.com/emas_online
06/02/14,http://twitter.com/rlobb/status/473446682714472448,rlobb,Double trouble: #BRCA2 gene mutation that causes #breastcancer can also cause #lungcancer: http://t.co/8dF1LXobYt,7.6527147,http://twitter.com/RLobb/status/473446682714472448,http://twitter.com/rlobb
06/02/14,http://twitter.com/cr_uk/status/473494501604864000,cr_uk,Cancer gene variation 'doubles lung cancer risk' in smokers http://t.co/QqjH1SwnzK #BRCA2,14.193526,http://twitter.com/CR_UK/status/473494501604864000,http://twitter.com/cr_uk
06/02/14,http://twitter.com/ailstheartist/status/473494599881994240,ailstheartist,RT @CR_UK: Cancer gene variation 'doubles lung cancer risk' in smokers http://t.co/QqjH1SwnzK #BRCA2,7.68669,http://twitter.com/AilstheArtist/status/473494599881994240,http://twitter.com/ailstheartist
06/02/14,http://twitter.com/johnedavies/status/473495106319048704,johnedavies,RT @CR_UK: Cancer gene variation 'doubles lung cancer risk' in smokers http://t.co/QqjH1SwnzK #BRCA2,7.68669,http://twitter.com/JohnEDavies/status/473495106319048704,http://twitter.com/johnedavies
06/02/14,http://twitter.com/julieja65105724/status/473495493092573184,julieja65105724,RT @CR_UK: Cancer gene variation 'doubles lung cancer risk' in smokers http://t.co/QqjH1SwnzK #BRCA2,7.68669,http://twitter.com/julieja65105724/status/473495493092573184,http://twitter.com/julieja65105724
