firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/euplatinum/status/473056423765884930,euplatinum,Continuous Norepinephrine with Restrictive Hydration Reduces Blood Transfusions in Open Cystectomy #bladdercancer http://t.co/e4lJHDlXZ2,9.680279,http://twitter.com/EUplatinum/status/473056423765884930,http://twitter.com/euplatinum
06/01/14,http://twitter.com/fardodokelly/status/473066490007412737,fardodokelly,RT @EUplatinum: Continuous Norepinephrine with Restrictive Hydration Reduces Blood Transfusions in Open Cystectomy #bladdercancer http://t.…,7.152385,http://twitter.com/FardodOKelly/status/473066490007412737,http://twitter.com/fardodokelly
06/01/14,http://twitter.com/evamay_crm/status/473072583760293888,evamay_crm,Man's best friend be able to help detect #prostatecancer as well as #ovariancancer and #bladdercancer http://t.co/iGsutEfjpu,7.714398,http://twitter.com/EvaMay_CRM/status/473072583760293888,http://twitter.com/evamay_crm
06/01/14,http://twitter.com/montrose52/status/473108700236754945,montrose52,RT @EUplatinum: Continuous Norepinephrine with Restrictive Hydration Reduces Blood Transfusions in Open Cystectomy #bladdercancer http://t.…,7.152385,http://twitter.com/montrose52/status/473108700236754945,http://twitter.com/montrose52
06/01/14,http://twitter.com/healthmedorg/status/473205995628277762,healthmedorg,Drug’s ‘spectacular success’ offers new hope for #bladdercancer patients with doctors hailing biggest advance in... http://t.co/GPaZvo1ff5,7.708826,http://twitter.com/HealthMedOrg/status/473205995628277762,http://twitter.com/healthmedorg
06/01/14,http://twitter.com/clebacle/status/473209498824634368,clebacle,RT @EUplatinum: Continuous Norepinephrine with Restrictive Hydration Reduces Blood Transfusions in Open Cystectomy #bladdercancer http://t.…,7.152385,http://twitter.com/CLebacle/status/473209498824634368,http://twitter.com/clebacle
06/01/14,http://twitter.com/drronnietan/status/473220402261422080,drronnietan,Roche immunotherapy drug shrinks tumors in early bladder cancer study http://t.co/3PmaX67lGS via @reuters #bladdercancer,7.5211763,http://twitter.com/DrRonnieTan/status/473220402261422080,http://twitter.com/drronnietan
06/01/14,http://twitter.com/rmehrazinmd/status/473231741441019907,rmehrazinmd,Neoadj dense-dose GC #bladdercancer: 32% pCR+13% ⬇️ to NMIBC. ~ T. to surg. 9.2 wks  http://t.co/XTHXHKnEMK @ERPlimackMD @FCUroOnc #ASCO14,7.334413,http://twitter.com/rmehrazinMD/status/473231741441019907,http://twitter.com/rmehrazinmd
06/01/14,http://twitter.com/fcuroonc/status/473239120232583168,fcuroonc,RT @rmehrazinMD: Neoadj dense-dose GC #bladdercancer: 32% pCR+13% ⬇️ to NMIBC. ~ T. to surg. 9.2 wks  http://t.co/XTHXHKnEMK @ERPlimackMD @…,6.373086,http://twitter.com/FCUroOnc/status/473239120232583168,http://twitter.com/fcuroonc
06/02/14,http://twitter.com/nickrukin/status/473446943709220864,nickrukin,"@NickRukin: RCT into NBI TURBT. 3 month data encouraging, but 12 month results awaited later in 2014. #bladdercancer http://t.co/stAz02ExfQ",7.230904,http://twitter.com/NickRukin/status/473446943709220864,http://twitter.com/nickrukin
06/02/14,http://twitter.com/medzineapp/status/473452941681389568,medzineapp,Anti–PD-L1 Antibody Demonstrates Promising Activity in Patients With Metastatic #BladderCancer #ASCO14 http://t.co/UWJi54Jn9E,6.979737,http://twitter.com/Medzineapp/status/473452941681389568,http://twitter.com/medzineapp
06/02/14,http://twitter.com/delphinedavan/status/473493875898585088,delphinedavan,"Breaking news from #ASCO
#Roche #Genentech #PDL1 #BladderCancer #CombinationTherapy http://t.co/qlFXZQht7n",7.330302,http://twitter.com/delphinedavan/status/473493875898585088,http://twitter.com/delphinedavan
06/02/14,http://twitter.com/b_c_a_n/status/473498662744903680,b_c_a_n,"Exciting research in immune therapy for adv #bladdercancer yields promising results @ScienceDaily, @ASCO #ASCO14 http://t.co/QUAQwqBddw",7.2942677,http://twitter.com/B_C_A_N/status/473498662744903680,http://twitter.com/b_c_a_n
06/02/14,http://twitter.com/bladderca/status/473509391959076864,bladderca,Exercise Linked to Improved Bladder Cancer Survival http://t.co/EmvRiOwdoT #bladdercancer @bladder_cancer @bladderca @cysview,7.2483315,http://twitter.com/BladderCa/status/473509391959076864,http://twitter.com/bladderca
06/02/14,http://twitter.com/cysview/status/473509392927977472,cysview,Exercise Linked to Improved Bladder Cancer Survival http://t.co/jny1bfae79 #bladdercancer @bladder_cancer @bladderca @cysview,7.219755,http://twitter.com/Cysview/status/473509392927977472,http://twitter.com/cysview
06/02/14,http://twitter.com/urologytimes/status/473545342730792961,urologytimes,Gene set breaks high-grade #bladdercancer into two subtypes http://t.co/fb34SmjlAe #urology,7.4955206,http://twitter.com/UrologyTimes/status/473545342730792961,http://twitter.com/urologytimes
06/02/14,http://twitter.com/bladderca/status/473555059054477313,bladderca,Study finds women referred for bladder cancer less often than men http://t.co/TsT8Mvlk56 #bladdercancer @bladder_cancer @bladderca @cysview,7.1498494,http://twitter.com/BladderCa/status/473555059054477313,http://twitter.com/bladderca
06/02/14,http://twitter.com/cysview/status/473556008644902912,cysview,Study finds women referred for bladder cancer less often than men http://t.co/OW2LJNhSqk #bladdercancer @bladder_cancer @bladderca @cysview,7.192365,http://twitter.com/Cysview/status/473556008644902912,http://twitter.com/cysview
06/02/14,http://twitter.com/oncogenexpharma/status/473556199380889601,oncogenexpharma,Borealis-2 Trial in Progress Poster presented by #DrChoueiri more here: http://t.co/7MvKYdPa3H #gucsm #asco14 #bladdercancer,7.071252,http://twitter.com/OncoGenexPharma/status/473556199380889601,http://twitter.com/oncogenexpharma
06/03/14,http://twitter.com/jomacbub/status/473758100504444928,jomacbub,Roche immunotherapy drug shrinks tumors in early bladder cancer study http://t.co/w25nbZNvWD #bladdercancer #immune,7.471265,http://twitter.com/jomacbub/status/473758100504444928,http://twitter.com/jomacbub
06/03/14,http://twitter.com/bsc_urology/status/473839257510227968,bsc_urology,#ImmuneTherapy for advanced #BladderCancer yields promising results http://t.co/XmwbBVTykB,7.837269,http://twitter.com/bsc_urology/status/473839257510227968,http://twitter.com/bsc_urology
06/03/14,http://twitter.com/mounabougrini/status/473844208764456960,mounabougrini,#immunotherapy #BladderCancer #AntiPDL1 #ASCO14 #FightCancer http://t.co/GgojMLSQqz,7.421124,http://twitter.com/MounaBougrini/status/473844208764456960,http://twitter.com/mounabougrini
06/03/14,http://twitter.com/uconnhealth/status/473855499801485312,uconnhealth,"Our #BladderCancer #SupportGroup meets Saturday 2p (new time).
Free &amp; open to anyone, our patient our not.
860-679-7820 @B_C_A_N",7.7491403,http://twitter.com/uconnhealth/status/473855499801485312,http://twitter.com/uconnhealth
06/03/14,http://twitter.com/natgenetherapy/status/473878627168559105,natgenetherapy,Anti-PDL1 (MPDL3280A) Shrank Tumors in 43 Percent of People with a Specific Type of Metastatic #BladderCancer http://t.co/sVo2jV3Zmn,7.0324593,http://twitter.com/natGeneTherapy/status/473878627168559105,http://twitter.com/natgenetherapy
06/03/14,http://twitter.com/orlagh17/status/473904048476020736,orlagh17,cancer loom!#lungcancer #BladderCancer#prostatecancer #pancreaticcancer#leukaemia #breastcancer#coloncancer@Sonyamac http://t.co/UbeiYM3en4,7.1013975,http://twitter.com/Orlagh17/status/473904048476020736,http://twitter.com/orlagh17
06/03/14,http://twitter.com/montypal/status/473925376784084992,montypal,@ERPlimackMD Great to find you on Twitter! Loving your posts on #ASCO14 -- also though your #bladdercancer #biomarker poster was awesome!,7.013178,http://twitter.com/montypal/status/473925376784084992,http://twitter.com/montypal
06/04/14,http://twitter.com/globalmcures/status/474032751339782145,globalmcures,New Evidence Alludes to Benefits of Adjuvant #Chemotherapy in High-Risk #BladderCancer | ASCO Annual Meeting http://t.co/hKkbbCw72r,7.2460737,http://twitter.com/globalmcures/status/474032751339782145,http://twitter.com/globalmcures
06/04/14,http://twitter.com/corries4women/status/474110035212378112,corries4women,"""Mother forced to wait ten weeks for cancer surgery and the told it's too late to save her""   http://t.co/DVZKsUcnx1  #cancer #bladdercancer",8.722524,http://twitter.com/Corries4Women/status/474110035212378112,http://twitter.com/corries4women
06/04/14,http://twitter.com/corriessol/status/474110366063263744,corriessol,"RT @Corries4Women: ""Mother forced to wait ten weeks for cancer surgery and the told it's too late to save her""   http://t.co/DVZKsUcnx1  #c…",7.6210847,http://twitter.com/CorriesSol/status/474110366063263744,http://twitter.com/corriessol
06/04/14,http://twitter.com/rndubois/status/474148117001281536,rndubois,#Cancer #Immunotherapy MPDL3280A (anti-PDL1) shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/1KPb9A3RZd,11.496505,http://twitter.com/Rndubois/status/474148117001281536,http://twitter.com/rndubois
06/04/14,http://twitter.com/elementolab/status/474151631781888000,elementolab,RT @Rndubois: #Cancer #Immunotherapy MPDL3280A (anti-PDL1) shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/1KPb…,6.8402457,http://twitter.com/ElementoLab/status/474151631781888000,http://twitter.com/elementolab
06/04/14,http://twitter.com/talkabouthealth/status/474156054171758592,talkabouthealth,RT @Rndubois: #Cancer #Immunotherapy MPDL3280A (anti-PDL1) shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/1KPb…,10.188754,http://twitter.com/talkabouthealth/status/474156054171758592,http://twitter.com/talkabouthealth
06/04/14,http://twitter.com/b_c_a_n/status/474186319300952064,b_c_a_n,"RT @uconnhealth: Our #BladderCancer #SupportGroup meets Saturday 2p (new time).
Free &amp; open to anyone, our patient our not.
860-679-7820 @B…",6.7174654,http://twitter.com/B_C_A_N/status/474186319300952064,http://twitter.com/b_c_a_n
06/04/14,http://twitter.com/b_c_a_n/status/474188168267583488,b_c_a_n,Genetic profile predicts which #bladdercancer patients will benefit from early chemotherapy  @ScienceDaily @FoxChaseCancer...,9.017049,http://twitter.com/B_C_A_N/status/474188168267583488,http://twitter.com/b_c_a_n
06/04/14,http://twitter.com/b_c_a_n/status/474206478363271168,b_c_a_n,Increased physical activity associated with lower risk of #bladdercancer #AUA14 http://t.co/vM6KicFLzN,7.731119,http://twitter.com/B_C_A_N/status/474206478363271168,http://twitter.com/b_c_a_n
06/04/14,http://twitter.com/b_c_a_n/status/474221596107112448,b_c_a_n,Immunotherapy drug shrinks tumors in early #bladdercancer study #blcsm #ASCO14 @chicagotribune http://t.co/N8nha5aDA5,8.119506,http://twitter.com/B_C_A_N/status/474221596107112448,http://twitter.com/b_c_a_n
06/04/14,http://twitter.com/towerurology/status/474223485938438145,towerurology,"Treatment and Surveillance of Non-Muscle Invasive #BladderCancer - Dr. David Josephson #TowerUrology

http://t.co/riPKyGAe4D",7.9447017,http://twitter.com/TowerUrology/status/474223485938438145,http://twitter.com/towerurology
06/04/14,http://twitter.com/chesurology/status/474224156796801024,chesurology,RT @B_C_A_N: Immunotherapy drug shrinks tumors in early #bladdercancer study #blcsm #ASCO14 @chicagotribune http://t.co/N8nha5aDA5,7.1013975,http://twitter.com/ChesUrology/status/474224156796801024,http://twitter.com/chesurology
06/04/14,http://twitter.com/driumarialuiza/status/474225163262001153,driumarialuiza,"RT @TowerUrology: Treatment and Surveillance of Non-Muscle Invasive #BladderCancer - Dr. David Josephson #TowerUrology

http://t.co/riPKyGA…",6.904378,http://twitter.com/DriuMariaLuiza/status/474225163262001153,http://twitter.com/driumarialuiza
06/04/14,http://twitter.com/b_c_a_n/status/474234745942188032,b_c_a_n,New System for Treating Cancer Seen as Hopeful #immunotherapy #bladdercancer #blcsm #ASCO14 @nytimes http://t.co/KWyiadQbLW,7.2956853,http://twitter.com/B_C_A_N/status/474234745942188032,http://twitter.com/b_c_a_n
06/04/14,http://twitter.com/b_c_a_n/status/474249409518370816,b_c_a_n,Personalized Care vs Precise Care: The Geriatric Oncology Model #bladdercancer #blcsm #ASCO14 http://t.co/d5rR8mOixm,7.3381763,http://twitter.com/B_C_A_N/status/474249409518370816,http://twitter.com/b_c_a_n
06/04/14,http://twitter.com/teaminspire/status/474270709133627392,teaminspire,RT @B_C_A_N: Increased physical activity associated with lower risk of #bladdercancer #AUA14 http://t.co/zJVyadTa3p,10.739012,http://twitter.com/teaminspire/status/474270709133627392,http://twitter.com/teaminspire
06/04/14,http://twitter.com/sethbla/status/474287249488900097,sethbla,RT @Rndubois: #Cancer #Immunotherapy MPDL3280A shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/eFCSW3NzlA,10.294608,http://twitter.com/SethBla/status/474287249488900097,http://twitter.com/sethbla
06/04/14,http://twitter.com/khurshidguru/status/474318336252473344,khurshidguru,RT @B_C_A_N: Genetic profile predicts which #bladdercancer patients will benefit from early chemotherapy  @ScienceDaily @FoxChaseCancer...,7.206272,http://twitter.com/KhurshidGuru/status/474318336252473344,http://twitter.com/khurshidguru
06/05/14,http://twitter.com/teamwithani/status/474341897406644224,teamwithani,RT @SethBla: RT @Rndubois: #Cancer #Immunotherapy MPDL3280A shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/eFC…,6.9372854,http://twitter.com/Teamwithani/status/474341897406644224,http://twitter.com/teamwithani
06/05/14,http://twitter.com/kamaralady26/status/474342716310958080,kamaralady26,RT @SethBla: RT @Rndubois: #Cancer #Immunotherapy MPDL3280A shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/eFC…,6.9372854,http://twitter.com/kamaralady26/status/474342716310958080,http://twitter.com/kamaralady26
06/05/14,http://twitter.com/mariobautistacl/status/474342872368816128,mariobautistacl,RT @SethBla: RT @Rndubois: #Cancer #Immunotherapy MPDL3280A shrinks tumours in 43% of people with advanced #bladdercancer:  http://t.co/eFC…,6.9372854,http://twitter.com/Mariobautistacl/status/474342872368816128,http://twitter.com/mariobautistacl
