firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/jnci_now/status/473067700332154880,jnci_now,Bevacizumab &amp; chemotherapy &amp; cetuximab plus chemotherapy – are equally effective for patients w/ MCRC and no KRAS mutations. #CRCSM #ASCO14,7.898145,http://twitter.com/JNCI_Now/status/473067700332154880,http://twitter.com/jnci_now
06/01/14,http://twitter.com/jnci_now/status/473068956073205760,jnci_now,"“About 75% of patients w/ MCRC in U.S initially receive bevacizumab-based therapy.""-Alan P. Venook, MD #CRCSM #ASCO14",6.7901273,http://twitter.com/JNCI_Now/status/473068956073205760,http://twitter.com/jnci_now
06/01/14,http://twitter.com/jnci_now/status/473068956907864065,jnci_now,"Approx. 50,000 Americans are diagnosed with MCRC each year. #CRCSM #ASCO14",7.4127893,http://twitter.com/JNCI_Now/status/473068956907864065,http://twitter.com/jnci_now
06/01/14,http://twitter.com/jnci_now/status/473068959642562560,jnci_now,"Cetuximab targets EGFR, a protein involved in cancer growth and spread. #CRCSM #ASCO14",7.336216,http://twitter.com/JNCI_Now/status/473068959642562560,http://twitter.com/jnci_now
06/01/14,http://twitter.com/jnci_now/status/473068958765940736,jnci_now,"Bevacizumab targets VEGF, blocking the development of blood vessels that tumors need to grow. #CRCSM #ASCO14",7.0938053,http://twitter.com/JNCI_Now/status/473068958765940736,http://twitter.com/jnci_now
06/01/14,http://twitter.com/cancerdotnet/status/473069346777231360,cancerdotnet,"Just released! Patient summaries on #ASCO14 highlights on breast, colorectal, &amp; prostate ca #pcsm #crcsm #bcsm http://t.co/SSOL3MmvXY",6.899926,http://twitter.com/CancerDotNet/status/473069346777231360,http://twitter.com/cancerdotnet
06/01/14,http://twitter.com/jnci_now/status/473070213651767297,jnci_now,"“With this finding, oncologists and patients have more ways to personalize cancer treatment,” -Clifford A. Hudis, MD, FACP #CRCSM #ASCO14",7.059095,http://twitter.com/JNCI_Now/status/473070213651767297,http://twitter.com/jnci_now
06/01/14,http://twitter.com/jnci_now/status/473070212334374914,jnci_now,Bevacizumab w/ FOLFOX is widely used in the U.S. while cetuximab-based regimens tend to be used more frequently in Europe. #CRCSM #ASCO14,6.8190737,http://twitter.com/JNCI_Now/status/473070212334374914,http://twitter.com/jnci_now
06/01/14,http://twitter.com/jnci_now/status/473070214767067136,jnci_now,"“They can be reassured that two widely used regimens offer good and equivalent survival.” Clifford A. Hudis, MD, FACP #CRCSM #ASCO14",7.018774,http://twitter.com/JNCI_Now/status/473070214767067136,http://twitter.com/jnci_now
06/01/14,http://twitter.com/swog/status/473070514165272576,swog,"Bevacizumab, cetuximab equally effective when added to chemo 4 metastatic CRC w/o KRAS mutat #ASCO14 #SWOGonc http://t.co/KpdwPDfvwS #CRCSM",6.870724,http://twitter.com/SWOG/status/473070514165272576,http://twitter.com/swog
06/01/14,http://twitter.com/asco/status/473071452854681600,asco,"#ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #crcsm",12.834448,http://twitter.com/ASCO/status/473071452854681600,http://twitter.com/asco
06/01/14,http://twitter.com/swog/status/473072649191837696,swog,"Good summary 4 patients: CALGB/#SWOGonc 80405 results (bevacizumab, cetuximab both effective w chemo in mCRC) http://t.co/minlzgpnDw #CRCSM",11.219838,http://twitter.com/SWOG/status/473072649191837696,http://twitter.com/swog
06/01/14,http://twitter.com/dmooneymd/status/473073301477015553,dmooneymd,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.920505,http://twitter.com/dmooneymd/status/473073301477015553,http://twitter.com/dmooneymd
06/01/14,http://twitter.com/penrynpam/status/473074473110077440,penrynpam,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.920505,http://twitter.com/PenrynPam/status/473074473110077440,http://twitter.com/penrynpam
06/01/14,http://twitter.com/lollycabbage81/status/473075629861380097,lollycabbage81,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.920505,http://twitter.com/Lollycabbage81/status/473075629861380097,http://twitter.com/lollycabbage81
06/01/14,http://twitter.com/palliverse/status/473084890334760960,palliverse,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.920505,http://twitter.com/palliverse/status/473084890334760960,http://twitter.com/palliverse
06/01/14,http://twitter.com/equicarehealth/status/473085986902396928,equicarehealth,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.920505,http://twitter.com/EquicareHealth/status/473085986902396928,http://twitter.com/equicarehealth
06/01/14,http://twitter.com/ravi770365/status/473086728341704704,ravi770365,RT @JNCI_Now: Bevacizumab &amp; chemotherapy &amp; cetuximab plus chemotherapy – are equally effective for patients w/ MCRC and no KRAS mutations. …,6.4599752,http://twitter.com/ravi770365/status/473086728341704704,http://twitter.com/ravi770365
06/01/14,http://twitter.com/shewithlynch/status/473092366153166848,shewithlynch,"RT @ASCO: #ASCO14 plenary briefing features advances in breast, prostate, colorectal cancer treatment http://t.co/azAXaByfaJ #bcsm #pcsm #c…",6.920505,http://twitter.com/ShewithLynch/status/473092366153166848,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/z_phd/status/473093581893550080,z_phd,RT @JNCI_Now: Bevacizumab &amp; chemotherapy &amp; cetuximab plus chemotherapy – are equally effective for patients w/ MCRC and no KRAS mutations. …,6.4599752,http://twitter.com/z_phd/status/473093581893550080,http://twitter.com/z_phd
06/01/14,http://twitter.com/asco/status/473095451466797056,asco,"Plenary press brief #ASCO14: Bevacizumab + chemo and cetuximab + chemo were equally effective, no meaningful diff. in survival. #crcsm",12.89884,http://twitter.com/ASCO/status/473095451466797056,http://twitter.com/asco
06/01/14,http://twitter.com/aftimosp/status/473095542558695424,aftimosp,"RT @ASCO: Plenary press brief #ASCO14: Bevacizumab + chemo and cetuximab + chemo were equally effective, no meaningful diff. in survival. #…",6.8218465,http://twitter.com/aftimosp/status/473095542558695424,http://twitter.com/aftimosp
06/01/14,http://twitter.com/kanghoko/status/473095910600093696,kanghoko,"RT @ASCO: Plenary press brief #ASCO14: Bevacizumab + chemo and cetuximab + chemo were equally effective, no meaningful diff. in survival. #…",6.8218465,http://twitter.com/KanghoKo/status/473095910600093696,http://twitter.com/kanghoko
06/01/14,http://twitter.com/drcbsteer/status/473096158693580800,drcbsteer,"RT @ASCO: Plenary press brief #ASCO14: Bevacizumab + chemo and cetuximab + chemo were equally effective, no meaningful diff. in survival. #…",6.8218465,http://twitter.com/drcbsteer/status/473096158693580800,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/cmi0309/status/473096360317554688,cmi0309,"RT @ASCO: Plenary press brief #ASCO14: Bevacizumab + chemo and cetuximab + chemo were equally effective, no meaningful diff. in survival. #…",6.8218465,http://twitter.com/cmi0309/status/473096360317554688,http://twitter.com/cmi0309
