firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/noirin0neill/status/473025103748677632,noirin0neill,RT @Leukaemia_and_K: 'Beefy' Botham's colourful approach to golf to help raise cash to fight leukaemia - http://t.co/YAtwTBSYKa #Leukaemia”,6.8975124,http://twitter.com/Noirin0Neill/status/473025103748677632,http://twitter.com/noirin0neill
06/01/14,http://twitter.com/noirin0neill/status/473025269239144448,noirin0neill,@Leukaemia_and_K how are you doing today top influencer of #leukaemia 🌟😃🌟,9.629913,http://twitter.com/Noirin0Neill/status/473025269239144448,http://twitter.com/noirin0neill
06/01/14,http://twitter.com/nigel_lloyd/status/473076962471448576,nigel_lloyd,"Read about #Hodgkin Variant of Richter Syndrome in Chronic #Lymphocytic #Leukaemia (#CLL):- 
http://t.co/gCpCl22xIF",7.017665,http://twitter.com/Nigel_Lloyd/status/473076962471448576,http://twitter.com/nigel_lloyd
06/01/14,http://twitter.com/tshematology/status/473076978695020545,tshematology,"Read about #Hodgkin Variant of Richter Syndrome in Chronic #Lymphocytic #Leukaemia (#CLL):- 
http://t.co/Wwc8TVbZs6",7.0838103,http://twitter.com/TShematology/status/473076978695020545,http://twitter.com/tshematology
06/01/14,http://twitter.com/tsoncology/status/473076983107444736,tsoncology,"Read about #Hodgkin Variant of Richter Syndrome in Chronic #Lymphocytic #Leukaemia (#CLL):- 
http://t.co/N4wFBOc7Gu",7.0838103,http://twitter.com/TSoncology/status/473076983107444736,http://twitter.com/tsoncology
06/01/14,http://twitter.com/tsbmt/status/473076985267494912,tsbmt,"Read about #Hodgkin Variant of Richter Syndrome in Chronic #Lymphocytic #Leukaemia (#CLL):- 
http://t.co/VCbi8amUtX",7.0893054,http://twitter.com/TSbmt/status/473076985267494912,http://twitter.com/tsbmt
06/01/14,http://twitter.com/nigel_lloyd/status/473077214645198848,nigel_lloyd,"Read about #Hodgkin Variant of Richter Syndrome in Chronic #Lymphocytic #Leukaemia (#CLL):- 
http://t.co/1Aimx3tNtF",7.017665,http://twitter.com/Nigel_Lloyd/status/473077214645198848,http://twitter.com/nigel_lloyd
06/01/14,http://twitter.com/scientific_edit/status/473079181392089088,scientific_edit,New #leukemia treatment http://t.co/7ZAw0K8kZY #science #sciencechat #research #cancer #drug #leukaemia,7.3756576,http://twitter.com/Scientific_Edit/status/473079181392089088,http://twitter.com/scientific_edit
06/01/14,http://twitter.com/tomflack5/status/473104103800066048,tomflack5,My counts have come up a bit #leukaemia feel fine and need to get out of this hospital #NeverGiveUp #3rdtimelucky,7.778735,http://twitter.com/tomflack5/status/473104103800066048,http://twitter.com/tomflack5
06/01/14,http://twitter.com/boehringer/status/473192404217233408,boehringer,#PRESS &amp; #HCPs: #DidYouKnow Acute Myeloid #Leukaemia is one of the most common blood cancers in adults? http://t.co/6Dzd1FinKv - #ASCO14,11.1278925,http://twitter.com/Boehringer/status/473192404217233408,http://twitter.com/boehringer
06/01/14,http://twitter.com/leukaemia_and_k/status/473192613525598210,leukaemia_and_k,RT @Noirin0Neill: @Leukaemia_and_K how are you doing today top influencer of #leukaemia 🌟😃🌟,7.598234,http://twitter.com/Leukaemia_and_K/status/473192613525598210,http://twitter.com/leukaemia_and_k
06/01/14,http://twitter.com/kikefiction/status/473194848007520256,kikefiction,RT @Boehringer: #PRESS &amp; #HCPs: #DidYouKnow Acute Myeloid #Leukaemia is one of the most common blood cancers in adults? http://t.co/6Dzd1Fi…,9.769752,http://twitter.com/KikeFiction/status/473194848007520256,http://twitter.com/kikefiction
06/01/14,http://twitter.com/verkkosaari/status/473198863625756674,verkkosaari,RT @Boehringer: #PRESS &amp; #HCPs: #DidYouKnow Acute Myeloid #Leukaemia is one of the most common blood cancers in adults? http://t.co/6Dzd1Fi…,6.547565,http://twitter.com/verkkosaari/status/473198863625756674,http://twitter.com/verkkosaari
06/01/14,http://twitter.com/hiblio/status/473206726905561089,hiblio,A brief overview of #Chemotherapy treatment. [Video] http://t.co/Yo7J6DWxsk #Hospital #Cancer #leukaemia #lymphoma Source: @macmillancancer,7.3716598,http://twitter.com/hiblio/status/473206726905561089,http://twitter.com/hiblio
06/01/14,http://twitter.com/leukaemia_and_k/status/473214500900835328,leukaemia_and_k,"New Leukemia Drug is More Effective than Current Drug - http://t.co/7PFBlpqvxI
Ibrutinib performed better compared to Ofatumumab. #leukaemia",7.1391068,http://twitter.com/Leukaemia_and_K/status/473214500900835328,http://twitter.com/leukaemia_and_k
06/02/14,http://twitter.com/illawarramerc/status/473302182612070400,illawarramerc,"#Leukaemia sufferer Tiana Garvin, 3, fights for her life. @LeukaemiaAus http://t.co/oJmARqowB6 http://t.co/oGsTyfWvZv",12.033748,http://twitter.com/illawarramerc/status/473302182612070400,http://twitter.com/illawarramerc
06/02/14,http://twitter.com/mandyjayne89/status/473379678703472641,mandyjayne89,"RT @illawarramerc: #Leukaemia sufferer Tiana Garvin, 3, fights for her life. @LeukaemiaAus http://t.co/oJmARqowB6 http://t.co/oGsTyfWvZv",7.545714,http://twitter.com/MandyJayne89/status/473379678703472641,http://twitter.com/mandyjayne89
06/02/14,http://twitter.com/boehringer/status/473450319138283520,boehringer,#PRESS &amp; #HCPs: Up to 40% of Acute Myeloid #Leukaemia patients cannot tolerate intensive chemotherapy: http://t.co/3sQ2tRH2YN #AML,11.549309,http://twitter.com/Boehringer/status/473450319138283520,http://twitter.com/boehringer
06/02/14,http://twitter.com/lmobg/status/473451294007771136,lmobg,RT @Boehringer: #PRESS &amp; #HCPs: Up to 40% of Acute Myeloid #Leukaemia patients cannot tolerate intensive chemotherapy: http://t.co/3sQ2tRH2…,6.7613673,http://twitter.com/LMOBG/status/473451294007771136,http://twitter.com/lmobg
06/02/14,http://twitter.com/pceuromedice/status/473463118014603264,pceuromedice,RT @Boehringer: #PRESS &amp; #HCPs: Up to 40% of Acute Myeloid #Leukaemia patients cannot tolerate intensive chemotherapy: http://t.co/3sQ2tRH2…,6.7613673,http://twitter.com/PCEUROMEDICE/status/473463118014603264,http://twitter.com/pceuromedice
06/02/14,http://twitter.com/leukaemiauk/status/473508592650584064,leukaemiauk,Do something for charity. #leukaemia #leukemia #bloodcancerawareness http://t.co/OmGrj3rljp,7.8286457,http://twitter.com/leukaemiauk/status/473508592650584064,http://twitter.com/leukaemiauk
06/02/14,http://twitter.com/leukaemiauk/status/473509079181426688,leukaemiauk,We need you to support our work so more families can be spared the devastation of losing a loved one. #bloodcancerawareness #leukaemia,7.5631456,http://twitter.com/leukaemiauk/status/473509079181426688,http://twitter.com/leukaemiauk
06/02/14,http://twitter.com/leukaemiauk/status/473511684381114369,leukaemiauk,"#leukaemia #bloodcancer Explore our site to discover what we do, how we do it and, most importantly, how you can help http://t.co/pt5RhvHYWG",9.791899,http://twitter.com/leukaemiauk/status/473511684381114369,http://twitter.com/leukaemiauk
06/02/14,http://twitter.com/tiernanbrady/status/473512578145333248,tiernanbrady,"RT @leukaemiauk: #leukaemia #bloodcancer Explore our site to discover what we do, how we do it and, most importantly, how you can help http…",7.4963837,http://twitter.com/Tiernanbrady/status/473512578145333248,http://twitter.com/tiernanbrady
06/02/14,http://twitter.com/odelaitre/status/473558772615741441,odelaitre,RT @Boehringer: #PRESS &amp; #HCPs: Up to 40% of Acute Myeloid #Leukaemia patients cannot tolerate intensive chemotherapy: http://t.co/3sQ2tRH2…,6.7613673,http://twitter.com/odelaitre/status/473558772615741441,http://twitter.com/odelaitre
06/02/14,http://twitter.com/georgeleporge/status/473579399489802240,georgeleporge,"64 days post-BMT, my homemade @BlenheimTri triathlon explains how #leukaemia research is helping me @beatbloodcancer http://t.co/whH2mCmo1r",8.737774,http://twitter.com/georgeleporge/status/473579399489802240,http://twitter.com/georgeleporge
06/02/14,http://twitter.com/tweetsfromowen/status/473580310542950402,tweetsfromowen,"RT @georgeleporge: 64 days post-BMT, my homemade @BlenheimTri triathlon explains how #leukaemia research is helping me @beatbloodcancer htt…",6.929871,http://twitter.com/tweetsfromowen/status/473580310542950402,http://twitter.com/tweetsfromowen
06/02/14,http://twitter.com/mrsmnorton/status/473581154873118720,mrsmnorton,"RT @georgeleporge: 64 days post-BMT, my homemade @BlenheimTri triathlon explains how #leukaemia research is helping me @beatbloodcancer htt…",6.929871,http://twitter.com/MrsMNorton/status/473581154873118720,http://twitter.com/mrsmnorton
06/02/14,http://twitter.com/leukaemia_and_k/status/473584581036093440,leukaemia_and_k,LONDON BIKEATHON ...31st AUGUST 2014 - http://t.co/HdKKRiT474 #Leukaemia,9.143893,http://twitter.com/Leukaemia_and_K/status/473584581036093440,http://twitter.com/leukaemia_and_k
06/02/14,http://twitter.com/leukaemia_and_k/status/473584740209934337,leukaemia_and_k,"In pictures: Brave teenager who lost her sight to cancer flies plane for first time
http://t.co/RS5iuB5xvX #Leukaemia",9.041705,http://twitter.com/Leukaemia_and_K/status/473584740209934337,http://twitter.com/leukaemia_and_k
