firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/shewithlynch/status/473163119620268032,shewithlynch,@drinkamiracle #Lynchsyndrome #Gratitude for the #follow! Hope you're well! Georgia @ http://t.co/SDK1peuFVp http://t.co/MJXpriuQsZ,7.7511125,http://twitter.com/ShewithLynch/status/473163119620268032,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473163209827168257,shewithlynch,@survive_conquer #Lynchsyndrome #Gratitude for the #follow! Hope you're well! Georgia @ http://t.co/SDK1peuFVp http://t.co/9vilXrgLPM,7.7122006,http://twitter.com/ShewithLynch/status/473163209827168257,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473163283412025344,shewithlynch,@mmm_global #Lynchsyndrome #Gratitude for the #follow! Hope you're well! Georgia @ http://t.co/SDK1peuFVp http://t.co/1MfPq0I6BQ,7.698316,http://twitter.com/ShewithLynch/status/473163283412025344,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473163376475254784,shewithlynch,@TigerBlossom13 #Lynchsyndrome #Gratitude for the #follow! Hope you're well! Georgia @ http://t.co/SDK1peuFVp http://t.co/KUOEWZOQDQ,7.645058,http://twitter.com/ShewithLynch/status/473163376475254784,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473163578351304704,shewithlynch,@TSoncology #Lynchsyndrome #Gratitude for the #follow! Hope you're well! Georgia @ http://t.co/SDK1peuFVp http://t.co/34txIZ7xca,7.656045,http://twitter.com/ShewithLynch/status/473163578351304704,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473163707883978754,shewithlynch,@proshe_prostogo #Lynchsyndrome #Gratitude for the #follow! Hope you're well! Georgia @ http://t.co/SDK1peuFVp http://t.co/pYpgGJBwYn,7.7016273,http://twitter.com/ShewithLynch/status/473163707883978754,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473164936533651457,shewithlynch,#ASCO14 #Lynchsyndrome #ColonCancer Always such a pleasure to see Michael Sapienza @mikechris4life and Erica from @COLONTOWN!,7.8535104,http://twitter.com/ShewithLynch/status/473164936533651457,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/shewithlynch/status/473171809605787652,shewithlynch,#ASCO14 Do you know that a person with #Lynchsyndrome has up to an 82% of developing #coloncancer? http://t.co/oiCzI12Uil,8.377689,http://twitter.com/ShewithLynch/status/473171809605787652,http://twitter.com/shewithlynch
06/01/14,http://twitter.com/josico99/status/473172855493263361,josico99,RT @ShewithLynch: #ASCO14 Do you know that a person with #Lynchsyndrome has up to an 82% of developing #coloncancer? http://t.co/oiCzI12Uil,6.865143,http://twitter.com/josico99/status/473172855493263361,http://twitter.com/josico99
06/01/14,http://twitter.com/ambrygenetics/status/473175846329798656,ambrygenetics,RT @ShewithLynch: #ASCO14 Do you know that a person with #Lynchsyndrome has up to an 82% of developing #coloncancer? http://t.co/oiCzI12Uil,6.865143,http://twitter.com/AmbryGenetics/status/473175846329798656,http://twitter.com/ambrygenetics
06/01/14,http://twitter.com/shewithlynch/status/473181948878520320,shewithlynch,#ASCO14 #Lynchsyndrome from @ShewithLynch: http://t.co/QgdZOEcK7Q,9.261557,http://twitter.com/ShewithLynch/status/473181948878520320,http://twitter.com/shewithlynch
