firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/leahashby46/status/473031546627424256,leahashby46,"#womenvcancer #ridethenight #OvarianCancer well done ladies, you're amazing! http://t.co/dqQCt7eNcP",9.192911,http://twitter.com/leahashby46/status/473031546627424256,http://twitter.com/leahashby46
06/01/14,http://twitter.com/tchilman/status/473037463595020288,tchilman,"RT @leahashby46: #womenvcancer #ridethenight #OvarianCancer well done ladies, you're amazing! http://t.co/dqQCt7eNcP",7.35805,http://twitter.com/TChilman/status/473037463595020288,http://twitter.com/tchilman
06/01/14,http://twitter.com/evamay_crm/status/473072583760293888,evamay_crm,Man's best friend be able to help detect #prostatecancer as well as #ovariancancer and #bladdercancer http://t.co/iGsutEfjpu,7.560475,http://twitter.com/EvaMay_CRM/status/473072583760293888,http://twitter.com/evamay_crm
06/01/14,http://twitter.com/hemonctoday/status/473083771160633345,hemonctoday,#ASCO14 @MayoClinc doc weighs in on novel agent bested #topotecan in platinum-resistant #OvarianCancer http://t.co/3k5Uwv4YSL,10.052622,http://twitter.com/HemOncToday/status/473083771160633345,http://twitter.com/hemonctoday
06/01/14,http://twitter.com/gohealio/status/473083770468564992,gohealio,#ASCO14 @MayoClinc doc weighs in on novel agent bested #topotecan in platinum-resistant #OvarianCancer http://t.co/GLkIbWK2fG,6.8057346,http://twitter.com/GoHealio/status/473083770468564992,http://twitter.com/gohealio
06/01/14,http://twitter.com/grfocr/status/473093424804286464,grfocr,Help us continue #ovariancancer research in honor of National Cancer Survivors Day by joining our registry. Learn... http://t.co/tk0TR3trMU,9.173077,http://twitter.com/GRFOCR/status/473093424804286464,http://twitter.com/grfocr
06/01/14,http://twitter.com/ovarianregistry/status/473093859850076160,ovarianregistry,RT @GRFOCR: Help us continue #ovariancancer research in honor of National Cancer Survivors Day by joining our registry. Learn... http://t.c…,7.3482375,http://twitter.com/OvarianRegistry/status/473093859850076160,http://twitter.com/ovarianregistry
06/01/14,http://twitter.com/hemonctoday/status/473098776996216833,hemonctoday,#ASCO14 #Paclitaxel plus #pazopanib improved survival in advanced #OvarianCancer - http://t.co/I5b2jHulgu,11.747548,http://twitter.com/HemOncToday/status/473098776996216833,http://twitter.com/hemonctoday
06/01/14,http://twitter.com/gohealio/status/473098776044113920,gohealio,#ASCO14 #Paclitaxel plus #pazopanib improved survival in advanced #OvarianCancer - http://t.co/nebaFp2YRr,7.031297,http://twitter.com/GoHealio/status/473098776044113920,http://twitter.com/gohealio
06/01/14,http://twitter.com/kj_hashi/status/473099218815447040,kj_hashi,RT @HemOncToday: #ASCO14 #Paclitaxel plus #pazopanib improved survival in advanced #OvarianCancer - http://t.co/I5b2jHulgu,10.043159,http://twitter.com/kj_hashi/status/473099218815447040,http://twitter.com/kj_hashi
06/01/14,http://twitter.com/mlazqui/status/473109584794890240,mlazqui,RT @HemOncToday: #ASCO14 #Paclitaxel plus #pazopanib improved survival in advanced #OvarianCancer - http://t.co/I5b2jHulgu,6.818212,http://twitter.com/mlazqui/status/473109584794890240,http://twitter.com/mlazqui
06/01/14,http://twitter.com/david4asea/status/473116291562078208,david4asea,"Check out """"A Flash Mob for Amy!"""" on Vimeo http://t.co/qQCMHPtXjG #Vimeo #flashmob #cancersucks #ovariancancer #amy",7.4086285,http://twitter.com/david4ASEA/status/473116291562078208,http://twitter.com/david4asea
06/01/14,http://twitter.com/brcaresponder/status/473116515802169344,brcaresponder,BOOK LIST http://t.co/xyqafCQZKO #BRCA #breast #ovariancancer #pancreatic #prostate #melanoma #malebreastcancer #gyncsm #ASCO #ASCO14,7.538739,http://twitter.com/BRCAresponder/status/473116515802169344,http://twitter.com/brcaresponder
06/01/14,http://twitter.com/stigetta/status/473125321974501376,stigetta,RT @HemOncToday: #ASCO14 #Paclitaxel plus #pazopanib improved survival in advanced #OvarianCancer - http://t.co/I5b2jHulgu,6.818212,http://twitter.com/Stigetta/status/473125321974501376,http://twitter.com/stigetta
06/01/14,http://twitter.com/natedahlpharmd/status/473126009470861312,natedahlpharmd,More patients with #OvarianCancer are receiving #chemotherapy before surgery http://t.co/CUg3juriLt #gyncsm,9.074336,http://twitter.com/NateDahlPharmD/status/473126009470861312,http://twitter.com/natedahlpharmd
06/01/14,http://twitter.com/andybiotech/status/473132419219206144,andybiotech,$BMY Nivolumab ORR &amp; AEs in platinum resistant #OvarianCancer via @JPZaragoza1 #ASCO14 #gyncsm http://t.co/rXLURwQvlW http://t.co/1LDENoRfLw,8.282427,http://twitter.com/AndyBiotech/status/473132419219206144,http://twitter.com/andybiotech
06/01/14,http://twitter.com/surfergirl084/status/473138280460865536,surfergirl084,#NationalCancerSurviorsDay #I'maSurvivor #FIGHTlikeaGirl #Livestrong #ovariancancer http://t.co/cauw5DwpgE,7.3469577,http://twitter.com/surfergirl084/status/473138280460865536,http://twitter.com/surfergirl084
06/01/14,http://twitter.com/bakkumgamez/status/473145600268333056,bakkumgamez,@AWHendrickson Exciting new ovarian cancer clinical at Mayo Clinic! Ovatars! #ovariancancer,7.2989078,http://twitter.com/BakkumGamez/status/473145600268333056,http://twitter.com/bakkumgamez
06/01/14,http://twitter.com/iamkissedbyluck/status/473149819385421824,iamkissedbyluck,I am a cancer survivor dedicated to helping make sure more women are survivors as well. #NCSD2014 #ovariancancer #cancer,7.4981,http://twitter.com/iamkissedbyluck/status/473149819385421824,http://twitter.com/iamkissedbyluck
06/01/14,http://twitter.com/dawnvegas/status/473156830773149696,dawnvegas,@SU2C I stand up for me on #NationalCancerSurvivorsDay #OvarianCancer,7.9229555,http://twitter.com/dawnvegas/status/473156830773149696,http://twitter.com/dawnvegas
06/01/14,http://twitter.com/myriadgenetics/status/473158285193797633,myriadgenetics,Watch this video to find out more about #BRCA1 and #BRCA2 #genetictesting! http://t.co/lrbThn32rd #hereditarycancer #ASCO14 #ovariancancer,8.186276,http://twitter.com/myriadgenetics/status/473158285193797633,http://twitter.com/myriadgenetics
06/01/14,http://twitter.com/mankomo16/status/473158547602407424,mankomo16,Off to The Charité Berlin a specialist #ovariancancer hospital 2mrw hope the Germans can get me walking again will try update when l can.xx,9.870437,http://twitter.com/maNkomo16/status/473158547602407424,http://twitter.com/mankomo16
06/01/14,http://twitter.com/onacom/status/473162413299499008,onacom,Inhibiting enzymes that cause changes in gene expression could decrease chemo resistance in #ovariancancer - http://t.co/g6ymoQZ43a,7.2025795,http://twitter.com/ONAcom/status/473162413299499008,http://twitter.com/onacom
06/01/14,http://twitter.com/physorg_health/status/473177296929832960,physorg_health,#Ovariancancer subtypes may predict response to #bevacizumab http://t.co/9MGUZqFWrw @mayoclinic,8.296249,http://twitter.com/physorg_health/status/473177296929832960,http://twitter.com/physorg_health
06/01/14,http://twitter.com/healthygrltracy/status/473179461332901888,healthygrltracy,Feel your body. Check your body! http://t.co/Q4Chmpxk1Z Knowledge is power.  It WILL save lives!#OvarianCancer,8.214069,http://twitter.com/HealthyGrlTracy/status/473179461332901888,http://twitter.com/healthygrltracy
06/01/14,http://twitter.com/pharmspective/status/473198326016245761,pharmspective,"New drugs may make a dent in lung, #ovariancancer - http://t.co/Hxoi8P44m1",7.811308,http://twitter.com/Pharmspective/status/473198326016245761,http://twitter.com/pharmspective
