firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/millennium_us/status/473087847361425408,millennium_us,"Phase 3 international, randomized study of patients with previously untreated mantle cell #lymsm presented at #ASCO14 http://t.co/OQcn2YFmkL",8.889687,http://twitter.com/millennium_US/status/473087847361425408,http://twitter.com/millennium_us
06/01/14,http://twitter.com/michaellampe/status/473088301055094784,michaellampe,"RT @millennium_US: Phase 3 international, randomized study of patients with previously untreated mantle cell #lymsm presented at #ASCO14 ht…",7.1810427,http://twitter.com/MichaelLampe/status/473088301055094784,http://twitter.com/michaellampe
06/01/14,http://twitter.com/drcbsteer/status/473090312005750784,drcbsteer,#ASCO14 Cavalli Mantle cell. PFS 24 vs 14 months with VR-CAP (V=bortezomib) HR 0.63 #lymsm,6.816539,http://twitter.com/drcbsteer/status/473090312005750784,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473092991213907968,drcbsteer,"#ASCO14 SEXIE-R-CHOP14 study #lymsm ""elderly"" NHL. Higher dose rituximab given to male patients. 500mg/m2 No diff in rituximab rel toxicity",6.555351,http://twitter.com/drcbsteer/status/473092991213907968,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473094662010699776,drcbsteer,#ASCO14 SEXIERCHOP14 study #lymsm 500 vs 375mg/m2 rituximab eliminated poorer outcomes seen in males vs females inRICOVER trial Pfreundschuh,10.661822,http://twitter.com/drcbsteer/status/473094662010699776,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473095541149433856,mtmdphd,RT @drcbsteer: #ASCO14 SEXIERCHOP14 study #lymsm 500 vs 375mg/m2 rituximab eliminated poorer outcomes seen in males vs females inRICOVER tr…,9.805132,http://twitter.com/mtmdphd/status/473095541149433856,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/drcbsteer/status/473096940977418240,drcbsteer,#ASCO14 #lymsm Pfreundschuh trial addressed the fact that rituximab dosing has been empiric until now and refining this can improve outcomes,7.0205245,http://twitter.com/drcbsteer/status/473096940977418240,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473098685883371520,drcbsteer,#ASCO14 Question time - Pfreundschuh - 375mg/m2 rituximab may not be the standard dose in females either. We just don't know #lymsm,6.789653,http://twitter.com/drcbsteer/status/473098685883371520,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473099537268371456,drcbsteer,#ASCO14 #lymsm Judith Trotman from Sydney presenting utility of PET-CT in follicular NHL  - Go Judith!,6.9115076,http://twitter.com/drcbsteer/status/473099537268371456,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473099551084388353,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - Response assessment - FLIPI fail to ID all Px http://t.co/ImeTa1POJm,10.805806,http://twitter.com/mtmdphd/status/473099551084388353,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/drcbsteer/status/473099844274634752,drcbsteer,RT @mtmdphd: Trotman #lymsm #ASCO14 - PET in FL - Response assessment - FLIPI fail to ID all Px http://t.co/ImeTa1POJm,6.8128233,http://twitter.com/drcbsteer/status/473099844274634752,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473100007080722432,mtmdphd,Trotman Abstr 8502 #lymsm #ASCO14 - PET in FL - 3 studies http://t.co/3VVQbVs5Tn,10.905926,http://twitter.com/mtmdphd/status/473100007080722432,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473100121593225217,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - Aim http://t.co/LR7n2nnfgE,11.162115,http://twitter.com/mtmdphd/status/473100121593225217,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473100311708827650,mtmdphd,"Trotman #lymsm #ASCO14 - PET in FL - 5 Point Scale (5PS) - Meignan M, 2009 http://t.co/MwRspzoVoi",9.98679,http://twitter.com/mtmdphd/status/473100311708827650,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473100474556481536,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - Study Population - n=246 Pts reviewed http://t.co/29la8OYVan,10.107891,http://twitter.com/mtmdphd/status/473100474556481536,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/drcbsteer/status/473100489769635841,drcbsteer,Ah ha .... @mtmdphd has arrived in the #lymsm Lymphoma/plasma cell oral presentations - I can relax and read his tweets and photos. #ASCO14,7.904936,http://twitter.com/drcbsteer/status/473100489769635841,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473100543507050496,drcbsteer,RT @mtmdphd: Trotman Abstr 8502 #lymsm #ASCO14 - PET in FL - 3 studies http://t.co/3VVQbVs5Tn,6.906358,http://twitter.com/drcbsteer/status/473100543507050496,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473100562444353536,drcbsteer,RT @mtmdphd: Trotman #lymsm #ASCO14 - PET in FL - Aim http://t.co/LR7n2nnfgE,7.111377,http://twitter.com/drcbsteer/status/473100562444353536,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473100861041016832,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - PFS according to CT response http://t.co/q93Qqq6Rym,11.026468,http://twitter.com/mtmdphd/status/473100861041016832,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473101059670691840,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - Postinduction PET review concordance - 3 indep reviewers http://t.co/jOU28p6dp3,10.588838,http://twitter.com/mtmdphd/status/473101059670691840,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473101249345515520,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - PET Review Results http://t.co/1eiRkdT62l,10.40117,http://twitter.com/mtmdphd/status/473101249345515520,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/drcbsteer/status/473101312658505728,drcbsteer,RT @mtmdphd: Trotman #lymsm #ASCO14 - PET in FL - PFS according to CT response http://t.co/q93Qqq6Rym,7.027074,http://twitter.com/drcbsteer/status/473101312658505728,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/drcbsteer/status/473101373441978368,drcbsteer,RT @mtmdphd: Trotman #lymsm #ASCO14 - PET in FL - Postinduction PET review concordance - 3 indep reviewers http://t.co/jOU28p6dp3,6.616596,http://twitter.com/drcbsteer/status/473101373441978368,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473101498495148034,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - Both PET cut-offs predictive of PFS - HR 3.9 http://t.co/hCSeZ2hMpF,9.841081,http://twitter.com/mtmdphd/status/473101498495148034,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473101667953422336,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - HR 6.7 for OS based on postinduction PET status http://t.co/DVRqEEYk4c,10.97158,http://twitter.com/mtmdphd/status/473101667953422336,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473101973550424064,mtmdphd,"Trotman #lymsm #ASCO14 - PET in FL - With PET/CT, CT assessment limited value. 5PS new SOC",10.83813,http://twitter.com/mtmdphd/status/473101973550424064,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473102165805121536,mtmdphd,Trotman #lymsm #ASCO14 - PET in FL - Postinduction PET-CT a platform to study response-adapted therapy. http://t.co/0SiBRS77wO,9.836594,http://twitter.com/mtmdphd/status/473102165805121536,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/drcbsteer/status/473102166002253824,drcbsteer,RT @mtmdphd: Trotman #lymsm #ASCO14 - PET in FL - HR 6.7 for OS based on postinduction PET status http://t.co/DVRqEEYk4c,6.9062934,http://twitter.com/drcbsteer/status/473102166002253824,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473102945182318592,mtmdphd,Casasnovas Abstr 8503 #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - Vitolo Lugano Abs 072 http://t.co/LV2RTZ2vSs,10.214905,http://twitter.com/mtmdphd/status/473102945182318592,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473103189500518400,mtmdphd,Casasnovas #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - aaIPI 1 - R-ACVBP sup to RCHOP21 http://t.co/gATOWag36g,9.393143,http://twitter.com/mtmdphd/status/473103189500518400,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473103304721825792,mtmdphd,Casasnovas #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - aaIPI 2-3 - RCHOP14 similar to R-MegaCHOP inductions,9.327312,http://twitter.com/mtmdphd/status/473103304721825792,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/drcbsteer/status/473103479712776192,drcbsteer,"RT @mtmdphd: Trotman #lymsm #ASCO14 - PET in FL - With PET/CT, CT assessment limited value. 5PS new SOC",6.844176,http://twitter.com/drcbsteer/status/473103479712776192,http://twitter.com/drcbsteer
06/01/14,http://twitter.com/mtmdphd/status/473103617449541633,mtmdphd,Casasnovas #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - Study design... http://t.co/8bkuvidoKX,9.683696,http://twitter.com/mtmdphd/status/473103617449541633,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473104160020525056,mtmdphd,Casasnovas #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - Response after 4 cycles http://t.co/E4OacSnLs4,9.7401495,http://twitter.com/mtmdphd/status/473104160020525056,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473104329818537984,mtmdphd,Casasnovas #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - PET2 and PET4 results http://t.co/zE7tSAavmK,10.36247,http://twitter.com/mtmdphd/status/473104329818537984,http://twitter.com/mtmdphd
06/01/14,http://twitter.com/mtmdphd/status/473104653035790336,mtmdphd,Casasnovas #lymsm #ASCO14 - Ph2 RCT R-ACVBP + BEAM/ASCT in high risk DLBCL - PFS/OS similar http://t.co/wUwxUV8Bjk,10.471184,http://twitter.com/mtmdphd/status/473104653035790336,http://twitter.com/mtmdphd
