firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/seporahraizer/status/473458839166414848,seporahraizer,Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/u2eaZvE7X0,10.574806,http://twitter.com/SeporahRaizer/status/473458839166414848,http://twitter.com/seporahraizer
06/02/14,http://twitter.com/debecca/status/473462521937285122,debecca,RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/u2eaZvE7X0,7.5797215,http://twitter.com/debecca/status/473462521937285122,http://twitter.com/debecca
06/02/14,http://twitter.com/adenacb/status/473463401545740288,adenacb,TRUTH RT “@SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/9oXPOOo2ls”,7.752685,http://twitter.com/adenacb/status/473463401545740288,http://twitter.com/adenacb
06/03/14,http://twitter.com/kira_shalom/status/473926480096161792,kira_shalom,RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/u2eaZvE7X0,7.5797215,http://twitter.com/kira_shalom/status/473926480096161792,http://twitter.com/kira_shalom
06/05/14,http://twitter.com/so_farout_im_in/status/474418908745572352,so_farout_im_in,RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/u2eaZvE7X0,7.5797215,http://twitter.com/so_FarOut_im_in/status/474418908745572352,http://twitter.com/so_farout_im_in
06/06/14,http://twitter.com/seporahraizer/status/474890603848028160,seporahraizer,"Was told yesterday by someone that I'm the healthiest looking unhealthy person they'd ever seen. Um, thanks? #bcsm #mbcsm",9.298996,http://twitter.com/SeporahRaizer/status/474890603848028160,http://twitter.com/seporahraizer
06/06/14,http://twitter.com/chemobrainfog/status/474892456295940096,chemobrainfog,"Teaching time ""MT @SeporahRaizer: Told yesterday that I'm healthiest looking unhealthy person they'd ever seen. Um, thanks? #bcsm #mbcsm""",8.215818,http://twitter.com/chemobrainfog/status/474892456295940096,http://twitter.com/chemobrainfog
06/10/14,http://twitter.com/anna89266443/status/476451470955401216,anna89266443,http://t.co/4apiKmBPBS #mbcsm #bcsm #Cancer,8.467521,http://twitter.com/anna89266443/status/476451470955401216,http://twitter.com/anna89266443
06/10/14,http://twitter.com/dabneyporte/status/476502700436500480,dabneyporte,WONDERFUL POST on #BreastCancer RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/UNP4yCmzZt,12.917517,http://twitter.com/DabneyPorte/status/476502700436500480,http://twitter.com/dabneyporte
06/11/14,http://twitter.com/knit1pug2/status/476522465251045376,knit1pug2,RT @DabneyPorte: WONDERFUL POST on #BreastCancer RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http…,7.401778,http://twitter.com/knit1pug2/status/476522465251045376,http://twitter.com/knit1pug2
06/11/14,http://twitter.com/livinlime/status/476768796557180928,livinlime,RT @DabneyPorte: WONDERFUL POST on #BreastCancer RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http…,10.981981,http://twitter.com/livinlime/status/476768796557180928,http://twitter.com/livinlime
06/11/14,http://twitter.com/bluebuddha/status/476769118721294336,bluebuddha,RT @DabneyPorte: WONDERFUL POST on #BreastCancer RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http…,10.5899315,http://twitter.com/bluebuddha/status/476769118721294336,http://twitter.com/bluebuddha
06/13/14,http://twitter.com/mombetween/status/477351628740104192,mombetween,"RT @SeporahRaizer: Was told yesterday by someone that I'm the healthiest looking unhealthy person they'd ever seen. Um, thanks? #bcsm #mbcsm",7.5150657,http://twitter.com/MomBeTween/status/477351628740104192,http://twitter.com/mombetween
06/13/14,http://twitter.com/mombetween/status/477354095284482048,mombetween,RT @SeporahRaizer: Don't write off people with metastatic cancer #bcsm #ASCO14 #mbcsm http://t.co/u2eaZvE7X0,7.5797215,http://twitter.com/MomBeTween/status/477354095284482048,http://twitter.com/mombetween
06/14/14,http://twitter.com/anna89266443/status/477851355973820416,anna89266443,"Funny, soul touching and super relative. Living With Cancer: Chronic, Not Cured http://t.co/oBMHeRxJcO #mbcsm #chroniccancancer",7.713687,http://twitter.com/anna89266443/status/477851355973820416,http://twitter.com/anna89266443
06/15/14,http://twitter.com/anna89266443/status/478003158812463104,anna89266443,@Ian_Ricci A wonderful blog about a being a father and husband to a wife with #metastaticbreastcancer #mbcsm http://t.co/rVqziScJnP,8.956408,http://twitter.com/anna89266443/status/478003158812463104,http://twitter.com/anna89266443
06/15/14,http://twitter.com/iamnotcancer/status/478036774972063744,iamnotcancer,RT @anna89266443: @Ian_Ricci A wonderful blog about a being a father and husband to a wife with #metastaticbreastcancer #mbcsm http://t.co/…,7.427807,http://twitter.com/iamnotcancer/status/478036774972063744,http://twitter.com/iamnotcancer
06/15/14,http://twitter.com/jcampisano/status/478037442780733441,jcampisano,RT @anna89266443: @Ian_Ricci A wonderful blog about a being a father and husband to a wife with #metastaticbreastcancer #mbcsm http://t.co/…,7.427807,http://twitter.com/JCampisano/status/478037442780733441,http://twitter.com/jcampisano
06/17/14,http://twitter.com/jodyms/status/478977711747002369,jodyms,An unsung hero in cancer treatment: palliative care: http://t.co/eurydN5urK #bcsm #mbcsm,12.974868,http://twitter.com/jodyms/status/478977711747002369,http://twitter.com/jodyms
06/17/14,http://twitter.com/thecancercardx/status/478986705744060417,thecancercardx,RT @jodyms: An unsung hero in cancer treatment: palliative care: http://t.co/eurydN5urK #bcsm #mbcsm,7.8186736,http://twitter.com/thecancercardX/status/478986705744060417,http://twitter.com/thecancercardx
