firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/subatomicdoc/status/473131608523173888,subatomicdoc,Capecitabine/mitomycin (CM) in combination with radiation for anal cancer http://t.co/KqL6HOol6F #ASCO14 #ancsm #radonc,11.547056,http://twitter.com/subatomicdoc/status/473131608523173888,http://twitter.com/subatomicdoc
06/01/14,http://twitter.com/rad_nation/status/473131623798816768,rad_nation,Capecitabine/mitomycin (CM) in combination with radiation for anal cancer http://t.co/KTp3vFF4UD #ASCO14 #ancsm #radonc,9.236071,http://twitter.com/Rad_Nation/status/473131623798816768,http://twitter.com/rad_nation
06/01/14,http://twitter.com/raphaelyechieli/status/473139427863445506,raphaelyechieli,RT @subatomicdoc: Capecitabine/mitomycin (CM) in combination with radiation for anal cancer http://t.co/KqL6HOol6F #ASCO14 #ancsm #radonc,7.033883,http://twitter.com/raphaelyechieli/status/473139427863445506,http://twitter.com/raphaelyechieli
06/01/14,http://twitter.com/tt_mdanderson/status/473147147660304384,tt_mdanderson,Got to meet @subatomicdoc !!! Great chat about #radonc collaboration.  Looking forward to more #physrels #asco14 http://t.co/iCBmhiXR9T,8.289663,http://twitter.com/TT_MDAnderson/status/473147147660304384,http://twitter.com/tt_mdanderson
06/01/14,http://twitter.com/dandunlop/status/473191894936473600,dandunlop,Awesome? RT @tt_mdanderson: Got to meet @subatomicdoc ! Great chat about #radonc collaboration. Looking forward to more #physrels #asco14,11.219856,http://twitter.com/dandunlop/status/473191894936473600,http://twitter.com/dandunlop
06/01/14,http://twitter.com/subatomicdoc/status/473201183243636737,subatomicdoc,RT @dandunlop: Awesome? RT @tt_mdanderson: Got to meet @subatomicdoc ! Great chat about #radonc collaboration. Looking forward to more #phy…,10.231643,http://twitter.com/subatomicdoc/status/473201183243636737,http://twitter.com/subatomicdoc
06/01/14,http://twitter.com/subatomicdoc/status/473202268503027712,subatomicdoc,"@TT_MDAnderson Thanks, Ty! Great meeting you, let me know how I can help #radonc efforts #ASCO14",10.924489,http://twitter.com/subatomicdoc/status/473202268503027712,http://twitter.com/subatomicdoc
06/02/14,http://twitter.com/subatomicdoc/status/473452780884340736,subatomicdoc,Local therapy &amp; survival for stage IV #breastcancer: SEER 1988-2010.  http://t.co/CbLDu3xR8X &gt;@uihealthcare #ASCO14 #bcsm #radonc,10.994737,http://twitter.com/subatomicdoc/status/473452780884340736,http://twitter.com/subatomicdoc
06/02/14,http://twitter.com/abumrap/status/473454883191140352,abumrap,RT @Rad_Nation: Capecitabine/mitomycin (CM) in combination with radiation for anal cancer http://t.co/KTp3vFF4UD #ASCO14 #ancsm #radonc,7.0511107,http://twitter.com/ABumRap/status/473454883191140352,http://twitter.com/abumrap
06/02/14,http://twitter.com/abumrap/status/473454888513703936,abumrap,RT @subatomicdoc: Capecitabine/mitomycin (CM) in combination with radiation for anal cancer http://t.co/KqL6HOol6F #ASCO14 #ancsm #radonc,7.033883,http://twitter.com/ABumRap/status/473454888513703936,http://twitter.com/abumrap
06/02/14,http://twitter.com/rad_nation/status/473456751925530624,rad_nation,Preoperative chemoRT &amp; postop 5-FUoxali vs 5-FU in locally advanced #rectalcancer http://t.co/1UD4N2J0W0 #ASCO14 #crcsm #hcsm #radonc,7.365859,http://twitter.com/Rad_Nation/status/473456751925530624,http://twitter.com/rad_nation
06/02/14,http://twitter.com/subatomicdoc/status/473456775354908672,subatomicdoc,Preoperative chemoRT &amp; postop 5-FUoxali vs 5-FU in locally advanced #rectalcancer http://t.co/HiQ1fREfo7 #ASCO14 #crcsm #hcsm #radonc,9.855844,http://twitter.com/subatomicdoc/status/473456775354908672,http://twitter.com/subatomicdoc
06/02/14,http://twitter.com/subatomicdoc/status/473459268176576512,subatomicdoc,Reduced-dose IMRT in HPV+ resectable oropharyngeal CA after cCR to induction chemo http://t.co/Dep4LaFa4g &gt; @eaonc #ASCO14 #hncsm #radonc,11.045531,http://twitter.com/subatomicdoc/status/473459268176576512,http://twitter.com/subatomicdoc
06/02/14,http://twitter.com/rad_nation/status/473459267773947904,rad_nation,Reduced-dose IMRT in HPV+ resectable oropharyngeal CA after cCR to induction chemo http://t.co/JFje9TLknM &gt; @eaonc #ASCO14 #hncsm #radonc,7.5479546,http://twitter.com/Rad_Nation/status/473459267773947904,http://twitter.com/rad_nation
06/02/14,http://twitter.com/twittmanda/status/473459942239006720,twittmanda,RT @subatomicdoc: Reduced-dose IMRT in HPV+ resectable oropharyngeal CA after cCR to induction chemo http://t.co/Dep4LaFa4g &gt; @eaonc #ASCO1…,6.5532384,http://twitter.com/twittmanda/status/473459942239006720,http://twitter.com/twittmanda
06/02/14,http://twitter.com/davidgrew/status/473464272698507264,davidgrew,RT @subatomicdoc: Reduced-dose IMRT in HPV+ resectable oropharyngeal CA after cCR to induction chemo http://t.co/Dep4LaFa4g &gt; @eaonc #ASCO1…,6.5532384,http://twitter.com/DavidGrew/status/473464272698507264,http://twitter.com/davidgrew
06/02/14,http://twitter.com/subatomicdoc/status/473465346742292480,subatomicdoc,Randomized trial of thoracic radiation in extensive small cell #lungcancer http://t.co/DP8zXk2vlS #ASCO14 #lcsm #radonc,11.959036,http://twitter.com/subatomicdoc/status/473465346742292480,http://twitter.com/subatomicdoc
06/02/14,http://twitter.com/rad_nation/status/473465347690229760,rad_nation,Randomized trial of thoracic radiation in extensive small cell #lungcancer http://t.co/0gIlSYif54 #ASCO14 #lcsm #radonc,9.242862,http://twitter.com/Rad_Nation/status/473465347690229760,http://twitter.com/rad_nation
