firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/benjamin_fx_trd/status/473086153651138560,benjamin_fx_trd,"Current open positions. 
Long #eurgbp x2 and #eurcad x2
Short #gbpchf and #cadchf x3
#fx #trading #forex #gbp #eur #chf",6.761927,http://twitter.com/benjamin_fx_trd/status/473086153651138560,http://twitter.com/benjamin_fx_trd
06/01/14,http://twitter.com/craigegan14/status/473150978804711424,craigegan14,@wilsonturk Wanna donate to the 'Craggy Holiday Foundation'? #CHF,7.3918214,http://twitter.com/craigegan14/status/473150978804711424,http://twitter.com/craigegan14
06/01/14,http://twitter.com/caezar18/status/473205374258913282,caezar18,La fortuna... #ChF http://t.co/xFW38GORsc,8.699734,http://twitter.com/Caezar18/status/473205374258913282,http://twitter.com/caezar18
06/01/14,http://twitter.com/kindredbelle/status/473218824162918400,kindredbelle,"As a heart recipient, I get discouraged by how often I hear that a dish needs more salt. #AssualtOnSalt #CHF",7.426592,http://twitter.com/KindredBelle/status/473218824162918400,http://twitter.com/kindredbelle
06/01/14,http://twitter.com/caezar18/status/473239409131663360,caezar18,#PusOraYa ... #ChF,8.179209,http://twitter.com/Caezar18/status/473239409131663360,http://twitter.com/caezar18
06/02/14,http://twitter.com/caezar18/status/473304566034104320,caezar18,Like... #ChF http://t.co/EFmgEEVqqg,9.601462,http://twitter.com/Caezar18/status/473304566034104320,http://twitter.com/caezar18
06/02/14,http://twitter.com/sofiacordero22/status/473308213157564416,sofiacordero22,RT @Caezar18: Like... #ChF http://t.co/EFmgEEVqqg,8.195097,http://twitter.com/SofiaCordero22/status/473308213157564416,http://twitter.com/sofiacordero22
06/02/14,http://twitter.com/95drew/status/473362882952835072,95drew,Happy B-day to @DaaangAmyy Curly Headed Fuck for life lol #CHF,7.595378,http://twitter.com/95Drew/status/473362882952835072,http://twitter.com/95drew
06/02/14,http://twitter.com/fxwingman/status/473366292229922816,fxwingman,↓CHF SVME - Purchasing Managers' Index - Prev: 55.8;  Forecast: 55.0; Actual: 52.5; (medium)  #forex #CHF http://t.co/GCdSOOspdZ,6.6660085,http://twitter.com/FXWingman/status/473366292229922816,http://twitter.com/fxwingman
06/02/14,http://twitter.com/acemarketu/status/473366568529694720,acemarketu,"#Swiss May Manufacturing #PMI Falls to 52.5; Est. 55.5 #chf #forex

   Manufacturing activity down from 55.8 in... http://t.co/Y7aY9cRZPm",7.3331923,http://twitter.com/acemarketu/status/473366568529694720,http://twitter.com/acemarketu
06/02/14,http://twitter.com/tradingfloorcom/status/473372951170281472,tradingfloorcom,"COT: Selling of #EUR, #CHF and #JPY continues, #MXN long at one-year high #Commodities #forex  https://t.co/BW3HWWnkv7",7.012063,http://twitter.com/tradingfloorcom/status/473372951170281472,http://twitter.com/tradingfloorcom
06/02/14,http://twitter.com/raterobot/status/473403661780287488,lancrunistuning,RT @RateRobot: #USD vs #EUR #GBP #INR #AUD #CAD #AED #CHF #CNY #MYR #NZD rates as of 06:00:13 AM http://t.co/80Q5NlULtc,6.286988,http://twitter.com/Lancrunistuning/status/473405164926169088,http://twitter.com/lancrunistuning
06/02/14,http://twitter.com/ab_speculator/status/473420456335134720,ab_speculator,Fresh start of the week #EUR #GBP #USD #CHF,7.7668724,http://twitter.com/AB_Speculator/status/473420456335134720,http://twitter.com/ab_speculator
06/02/14,http://twitter.com/mewombat/status/473429358343110656,mewombat,"2X FIG #Swiss #bonds: #CHF 200m PNC7.3yr 2.75% Zurich Insurance hybrid -CS/DB MS+207.8bp, 2yr ABN FRN at 3mL+23bp -UBS @CapitalCityIFR",6.20116,http://twitter.com/MeWombat/status/473429358343110656,http://twitter.com/mewombat
06/02/14,http://twitter.com/jonp_ifr/status/473429358347309056,jonp_ifr,"2X FIG #Swiss #bonds: #CHF 200m PNC7.3yr 2.75% Zurich Insurance hybrid -CS/DB MS+207.8bp, 2yr ABN FRN at 3mL+23bp -UBS @CapitalCityIFR",6.2006354,http://twitter.com/JonP_IFR/status/473429358347309056,http://twitter.com/jonp_ifr
06/02/14,http://twitter.com/paxforex/status/473437622224711680,paxforex,USDCHF – June 2nd 2014 - PaxForex http://t.co/ZMRY8joYR5 #Forex #USD #CHF,7.0137525,http://twitter.com/PaxForex/status/473437622224711680,http://twitter.com/paxforex
06/02/14,http://twitter.com/paxforex/status/473440877084688384,paxforex,USDCHF – June 2nd 2014 http://t.co/sVOSP4HWJd #forex #USD #CHF #signals,7.285169,http://twitter.com/PaxForex/status/473440877084688384,http://twitter.com/paxforex
