firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/share_registry/status/473094236259495936,share_registry,"We've reached 7,192 patients in our #cardiomyopathy registry! Learn more here: http://t.co/OVUV4U6xzR | #cardiology http://t.co/UUw20k14Or",7.7503304,http://twitter.com/SHaRe_Registry/status/473094236259495936,http://twitter.com/share_registry
06/01/14,http://twitter.com/cosozo/status/473101924246773760,cosozo,"Can you die of a broken heart? Turns out yes, you can! Takotsubo #cardiomyopathy http://t.co/c2wi1T2qed",8.5186405,http://twitter.com/CoSozo/status/473101924246773760,http://twitter.com/cosozo
06/01/14,http://twitter.com/share_registry/status/473115538802364417,share_registry,Read about Steve Colan and his groundbreaking work with #cardiomyopathy: http://t.co/4nBi66Uj1A | #cardiology #health http://t.co/fxnKSs1joK,7.7503304,http://twitter.com/SHaRe_Registry/status/473115538802364417,http://twitter.com/share_registry
06/01/14,http://twitter.com/emmaswindell1/status/473121499931766786,emmaswindell1,@sarahhancoxuk #cure4sienna #neuroblastoma #cardiomyopathy #warrior #love #princess #teamsienna xxx,8.861442,http://twitter.com/EmmaSwindell1/status/473121499931766786,http://twitter.com/emmaswindell1
06/01/14,http://twitter.com/sarahhancoxuk/status/473121738633773058,sarahhancoxuk,RT @EmmaSwindell1: @sarahhancoxuk #cure4sienna #neuroblastoma #cardiomyopathy #warrior #love #princess #teamsienna xxx,7.054499,http://twitter.com/sarahhancoxuk/status/473121738633773058,http://twitter.com/sarahhancoxuk
06/01/14,http://twitter.com/flishflash1/status/473131833660829696,flishflash1,RT @EmmaSwindell1: @sarahhancoxuk #cure4sienna #neuroblastoma #cardiomyopathy #warrior #love #princess #teamsienna xxx,7.054499,http://twitter.com/flishflash1/status/473131833660829696,http://twitter.com/flishflash1
06/01/14,http://twitter.com/likeafox7210/status/473144242810798080,likeafox7210,RT @EmmaSwindell1: @sarahhancoxuk #cure4sienna #neuroblastoma #cardiomyopathy #warrior #love #princess #teamsienna xxx,7.054499,http://twitter.com/likeafox7210/status/473144242810798080,http://twitter.com/likeafox7210
06/01/14,http://twitter.com/share_registry/status/473164647936581633,share_registry,Get the latest in Iacopo Olivotto's research in #cardiomyopathy: http://t.co/OGxWw6JnWS | #heartdisease #cardiology http://t.co/V33RpuuTKq,7.25797,http://twitter.com/SHaRe_Registry/status/473164647936581633,http://twitter.com/share_registry
06/01/14,http://twitter.com/share_registry/status/473192497280483328,share_registry,Find out if you qualify for the newest #cardiomyopathy research studies: http://t.co/OVUV4U6xzR | #cardiology http://t.co/EGpGSMp6fl,7.9644556,http://twitter.com/SHaRe_Registry/status/473192497280483328,http://twitter.com/share_registry
06/02/14,http://twitter.com/colinmcvittie/status/473413241981657088,colinmcvittie,#cardiomyopathy #kent now has a support group. PM me for more info,8.281859,http://twitter.com/colinmcvittie/status/473413241981657088,http://twitter.com/colinmcvittie
