firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/rd_catherine/status/472996130234433536,rd_catherine,"*sigh* Been there, seen it, done it, written it http://t.co/MH1CI6KjT3  #Cholesterol lowering diet http://t.co/klIipffLt0 @Kyle_Books",7.701478,http://twitter.com/RD_Catherine/status/472996130234433536,http://twitter.com/rd_catherine
06/01/14,http://twitter.com/cooklime/status/472998723694247936,cooklime,"""Italian"" Fries
http://t.co/fmZCXpLtcv
#recipe #cook #healthy #food #vegetable #potato #cholesterol http://t.co/ReXS0DrJAn",8.950443,http://twitter.com/CookLime/status/472998723694247936,http://twitter.com/cooklime
06/01/14,http://twitter.com/eve_marie1958/status/472999081133228032,eve_marie1958,"RT @CookLime: ""Italian"" Fries
http://t.co/fmZCXpLtcv
#recipe #cook #healthy #food #vegetable #potato #cholesterol http://t.co/ReXS0DrJAn",7.1728663,http://twitter.com/eve_marie1958/status/472999081133228032,http://twitter.com/eve_marie1958
06/01/14,http://twitter.com/healthytips357/status/473015011887968256,healthytips357,How to meet the five #foods that will help you #fight #high #cholesterol http://t.co/VPcvbFxLZb,7.8184547,http://twitter.com/healthytips357/status/473015011887968256,http://twitter.com/healthytips357
06/01/14,http://twitter.com/randtree/status/473021865867227137,randtree,[-31.53%] http://t.co/xHbHmFNmCR #Cholesterol #Dimensions The DASH Diet Action Plan Proven to Lower Blood Pressure .. http://t.co/xiN3j0AsDG,7.2390537,http://twitter.com/randtree/status/473021865867227137,http://twitter.com/randtree
06/01/14,http://twitter.com/cooklime/status/473029966490517504,cooklime,"Cheese Puffed Potatoes
http://t.co/Gn85NSho6u
#recipe #cook #healthy #food #vegetable #potato #cholesterol http://t.co/mCHNwl33EI",7.283977,http://twitter.com/CookLime/status/473029966490517504,http://twitter.com/cooklime
06/01/14,http://twitter.com/cooklime/status/473042329444818944,cooklime,"Glazed Carrots and Leeks
http://t.co/2c5wAws6SP
#recipe #cook #healthy #food #vegetable #protein #cholesterol http://t.co/c6UBxWlDYm",7.194407,http://twitter.com/CookLime/status/473042329444818944,http://twitter.com/cooklime
06/01/14,http://twitter.com/heartukcharity/status/473046347290275840,heartukcharity,Excess #weight can increase #cholesterol &amp; #triglyceride levels. Small changes to your lifestyle can decrease your risk of #heartdisease,6.90554,http://twitter.com/heartukcharity/status/473046347290275840,http://twitter.com/heartukcharity
06/01/14,http://twitter.com/sialafitness/status/473059867888865281,sialafitness,#healthbenefits of #AloeVera #cholesterol #bloodsugar #immino-system #kidneystone #athriatispain http://t.co/S3ODIgxCf0,7.0326724,http://twitter.com/SialaFitness/status/473059867888865281,http://twitter.com/sialafitness
06/01/14,http://twitter.com/iamcbjavier/status/473065625061826561,iamcbjavier,Bringing home some killer Zubuchon magic. #hypertension #plaque #cholesterol #saturatedfats http://t.co/Rdn5MzSTi8,7.146266,http://twitter.com/iamcbjavier/status/473065625061826561,http://twitter.com/iamcbjavier
06/01/14,http://twitter.com/nutreelos/status/473087848737148929,nutreelos,Diet could save your life: Power of 6 #foods that slash #cholesterol http://t.co/vRGwqpvZgR via @MailOnline #diets,9.094422,http://twitter.com/NutreeLos/status/473087848737148929,http://twitter.com/nutreelos
06/01/14,http://twitter.com/formulaqeh4/status/473088518747869186,formulaqeh4,RT @NutreeLos: Diet could save your life: Power of 6 #foods that slash #cholesterol http://t.co/vRGwqpvZgR via @MailOnline #diets,7.2204437,http://twitter.com/formulaqeh4/status/473088518747869186,http://twitter.com/formulaqeh4
06/01/14,http://twitter.com/madeleinemorro/status/473089323169247232,madeleinemorro,Add some heat this summer - roasted #courgette soup with #chipotle chilli http://t.co/cJDysJBMk5 #healthyheart #cholesterol,7.125858,http://twitter.com/madeleinemorro/status/473089323169247232,http://twitter.com/madeleinemorro
