firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/08/14,http://twitter.com/lady_wif_curves/status/475590008083320832,mykwesi,RT @Lady_wif_CURVES: Any waste of time and u lose the young mother. So not worth it. #eclampsia,8.921248,http://twitter.com/mykwesi/status/475591361987883008,http://twitter.com/mykwesi
06/08/14,http://twitter.com/sfyb/status/475681208752676865,sfyb,"Many mom experience #Preclampsia during their #pregnancy - Do you know the systems?
#eclampsia #blackwomen #blkbfing
http://t.co/3pITWgVgYT",7.382287,http://twitter.com/SFYB/status/475681208752676865,http://twitter.com/sfyb
06/13/14,http://twitter.com/six101/status/477383660795342848,six101,"@BellaRose007 @titithedynamite @IFM923 Pregnant ladies should be aware of this #ECLAMPSIA, my cousin's wife died of this last month..RIP Kef",7.5573373,http://twitter.com/Six101/status/477383660795342848,http://twitter.com/six101
06/13/14,http://twitter.com/ayoadene/status/477401125457780736,ayoadene,...all I know is that mortality from #eclampsia is unnecessary #RipKefee #kokoroko #branama #healthsystem,7.5564275,http://twitter.com/ayoadene/status/477401125457780736,http://twitter.com/ayoadene
06/13/14,http://twitter.com/folachade11/status/477522868625240064,folachade11,"Popular Singer, #Kefee Dies Of #Eclampsia http://t.co/aQrHePHHAs",8.285819,http://twitter.com/folachade11/status/477522868625240064,http://twitter.com/folachade11
06/14/14,http://twitter.com/kaboomhealth/status/477667186589192193,kaboomhealth,Findings on #Eclampsia Described by Researchers at University of Mississippi http://t.co/vgijRhy0Fl via @LifeExtension,8.794694,http://twitter.com/kaboomhealth/status/477667186589192193,http://twitter.com/kaboomhealth
06/18/14,http://twitter.com/pawshchops/status/479337457939677184,pawshchops,"Nursing #dogs need extra calcium to avoid a life-threatening condition called #eclampsia, often called ""milk fever"". http://t.co/gzeSKmbz6y",11.149486,http://twitter.com/pawshchops/status/479337457939677184,http://twitter.com/pawshchops
06/20/14,http://twitter.com/faridacassidy/status/480026613183447040,faridacassidy,"Wow? #sperm ""@TheFactsBook: Swallowing #semen can reduce a woman’s risk of developing a dangerous #pregnancy condition called pre-#eclampsia",7.1544466,http://twitter.com/FaridaCassidy/status/480026613183447040,http://twitter.com/faridacassidy
06/23/14,http://twitter.com/mchipnet/status/481111693536133121,mchipnet,#ICT4D Computer animation tool instructs on prevention and management of #preeclampsia #eclampsia http://t.co/KMcq9a7b3t,11.693642,http://twitter.com/mchipnet/status/481111693536133121,http://twitter.com/mchipnet
06/23/14,http://twitter.com/widescopecsr/status/481111815414616064,widescopecsr,RT @mchipnet: #ICT4D Computer animation tool instructs on prevention and management of #preeclampsia #eclampsia http://t.co/KMcq9a7b3t,7.6443295,http://twitter.com/WidescopeCSR/status/481111815414616064,http://twitter.com/widescopecsr
06/26/14,http://twitter.com/brainsleeps/status/482180317584060416,brainsleeps,"High blood pressure, #snoring, and sleep #apnea during #pregnancy http://t.co/lWvzXgUKPS  #eclampsia #women #SGA #hypertension #preterm",7.5807405,http://twitter.com/BrainSleeps/status/482180317584060416,http://twitter.com/brainsleeps
