firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
05/24/14,http://twitter.com/phiairmed/status/470252140858839040,alovingme,RT @PHIAirMed: Do you know the signs? Heart attack symptoms for women http://t.co/wG3G5YSTVp #hearthealth http://t.co/ECUlw625pP,7.530167,http://twitter.com/ALovingMe/status/473040500283686913,http://twitter.com/alovingme
06/01/14,http://twitter.com/olinepatriciawh/status/473056408137502721,olinepatriciawh,Some facts about women’s heart health that you may not know #hearthealth http://t.co/verVqg84C5 http://t.co/8SDHo0iWl8,8.199777,http://twitter.com/OlinePatriciaWh/status/473056408137502721,http://twitter.com/olinepatriciawh
06/01/14,http://twitter.com/hargett_cindy/status/473080609636499457,hargett_cindy,#greenschew #antioxidant #prebiotic support #hearthealth #itworks #gonnakeepsharing #gethealthy… http://t.co/Ix0nQhW7m6,6.9614973,http://twitter.com/hargett_cindy/status/473080609636499457,http://twitter.com/hargett_cindy
06/01/14,http://twitter.com/heartsmarter/status/473082560256307200,heartsmarter,High Cholesterol Linked to Problems Getting Pregnant http://t.co/0SYPAOkwiF #HeartHealth,8.199777,http://twitter.com/HeartSmarter/status/473082560256307200,http://twitter.com/heartsmarter
06/01/14,http://twitter.com/newsweshare/status/473089284065730560,newsweshare,"Diet could save your life: Power of 6 foods that slash cholesterol
 http://t.co/1EVHAPX2SU  via @MailOnline #hearthealth #life #food #eat",7.40342,http://twitter.com/NewsWeShare/status/473089284065730560,http://twitter.com/newsweshare
06/01/14,http://twitter.com/millionheartsus/status/473102958142701568,millionheartsus,June is #MensHealthMonth! There's no better time to learn the ABCS of #hearthealth. Make #control the goal today! http://t.co/lOQQKoo27s,12.698507,http://twitter.com/MillionHeartsUS/status/473102958142701568,http://twitter.com/millionheartsus
06/01/14,http://twitter.com/thepiola/status/473103663368773633,thepiola,RT @MillionHeartsUS: June is #MensHealthMonth! There's no better time to learn the ABCS of #hearthealth. Make #control the goal today! http…,10.549066,http://twitter.com/ThePiola/status/473103663368773633,http://twitter.com/thepiola
06/01/14,http://twitter.com/getinsurednc/status/473106763546632192,getinsurednc,Losing Weight at Any Age May Help the Heart http://t.co/A3TqtoLEER #WeightLoss #HeartHealth #Health #Wellness #Exercise #Charlotte #CLT,7.3643336,http://twitter.com/GetInsuredNC/status/473106763546632192,http://twitter.com/getinsurednc
06/01/14,http://twitter.com/dynamicpainmgmt/status/473106761197830144,dynamicpainmgmt,Losing Weight at Any Age May Help the Heart http://t.co/q11uK0G3OB #WeightLoss #HeartHealth #Health #Wellness #Exercise #Charlotte #CLT,7.3426967,http://twitter.com/DynamicPainMgmt/status/473106761197830144,http://twitter.com/dynamicpainmgmt
06/01/14,http://twitter.com/h2gyinc/status/473108904520716289,h2gyinc,RT @MillionHeartsUS: June is #MensHealthMonth! There's no better time to learn the ABCS of #hearthealth. Make #control the goal today! http…,7.357864,http://twitter.com/H2GYInc/status/473108904520716289,http://twitter.com/h2gyinc
06/01/14,http://twitter.com/gamelin_kim/status/473112148478935040,gamelin_kim,❤️Ride for Heart Day❤️#fitnessmotivation #hearthealth http://t.co/QE7kXNY4MF,7.423374,http://twitter.com/gamelin_kim/status/473112148478935040,http://twitter.com/gamelin_kim
06/01/14,http://twitter.com/vitalremedymd/status/473112953089429504,vitalremedymd,The Integrative Health Daily:  todays top stories via @ISESnews @SethJBaumMD @1MEDICAL2NEWS http://t.co/k6GYNVWROm #hearthealth,8.052612,http://twitter.com/VitalRemedyMD/status/473112953089429504,http://twitter.com/vitalremedymd
06/01/14,http://twitter.com/millionheartsde/status/473125407584423936,millionheartsde,RT @MillionHeartsUS: June is #MensHealthMonth! There's no better time to learn the ABCS of #hearthealth. Make #control the goal today! http…,7.357864,http://twitter.com/MillionHeartsDE/status/473125407584423936,http://twitter.com/millionheartsde
06/01/14,http://twitter.com/re_anna30/status/473128127011368960,re_anna30,"10 Reasons to add Chia Seeds to your Diet! #Fibre #Protien #HeartHealth #HuffingtonPost #IloveCHIAseeds 
http://t.co/MFqpir328c",7.1105423,http://twitter.com/Re_anna30/status/473128127011368960,http://twitter.com/re_anna30
06/01/14,http://twitter.com/mytexasmyhealth/status/473132111952896001,mytexasmyhealth,@American_Heart encourages 30 min of aerobic activity 5 days per week for #hearthealth #mytexasmyhealth http://t.co/vPcQ5EpQMa,7.3897567,http://twitter.com/MyTexasMyHealth/status/473132111952896001,http://twitter.com/mytexasmyhealth
06/01/14,http://twitter.com/soulluminous/status/473145091570544640,soulluminous,@FaithFreed We're thinking our dear friend @DrCynthiaMD would enjoy this Faith. Look forward to introducing you to her. #HeartHealth,11.409993,http://twitter.com/SoulLuminous/status/473145091570544640,http://twitter.com/soulluminous
06/01/14,http://twitter.com/medaviebc/status/473145741746405377,medaviebc,Congratulations to our players in the #HockeyHeroesNB tournament...3 for 3!  @HSFNB #hearthealth #CreateSurvivors,7.220604,http://twitter.com/MedavieBC/status/473145741746405377,http://twitter.com/medaviebc
06/01/14,http://twitter.com/phshealthdept/status/473151304965947392,phshealthdept,RT @MillionHeartsUS: June is #MensHealthMonth! There's no better time to learn the ABCS of #hearthealth. Make #control the goal today! http…,7.357864,http://twitter.com/PHSHealthDept/status/473151304965947392,http://twitter.com/phshealthdept
06/01/14,http://twitter.com/drcynthiamd/status/473158642095898624,drcynthiamd,RT @SoulLuminous: @FaithFreed We're thinking our dear friend @DrCynthiaMD would enjoy this Faith. Look forward to introducing you to her. #…,10.318998,http://twitter.com/DrCynthiaMD/status/473158642095898624,http://twitter.com/drcynthiamd
06/01/14,http://twitter.com/kkingsbu88/status/473161408058638336,kkingsbu88,Our first 5k mud run! Did it for you Mom! #hearthealth http://t.co/c86OMWq5do,8.257027,http://twitter.com/kkingsbu88/status/473161408058638336,http://twitter.com/kkingsbu88
06/01/14,http://twitter.com/alovingme/status/473161974235160577,alovingme,RT @DrAndreaProulx: RT @LifeExtension: Did you know that women are 15% MORE likely than men to die of a heart attack? #hearthealth http://t…,6.953758,http://twitter.com/ALovingMe/status/473161974235160577,http://twitter.com/alovingme
06/01/14,http://twitter.com/myheartyrhands/status/473162413949591552,myheartyrhands,The Numbers of #HeartHealth: Cholesterol &lt; 200mg/mL 7 BP 120/80 mm Hg http://t.co/PpbQDqsY91,7.595947,http://twitter.com/myHEARTyrHANDS/status/473162413949591552,http://twitter.com/myheartyrhands
06/01/14,http://twitter.com/silvercrosshosp/status/473179732742529024,silvercrosshosp,"Local physician offers helpful tips, gift for new patients #hearthealth http://t.co/Y7yW4ZxSw1",7.8682303,http://twitter.com/SilverCrossHosp/status/473179732742529024,http://twitter.com/silvercrosshosp
06/01/14,http://twitter.com/yourhearthealth/status/473184732352897024,yourhearthealth,Why #diabetes getting worse for Black Americans? http://t.co/H8IVWI9PZ6 #hearthealth #heartdisease,7.528559,http://twitter.com/YourHeartHealth/status/473184732352897024,http://twitter.com/yourhearthealth
06/01/14,http://twitter.com/drcynthiamd/status/473188103667326976,drcynthiamd,@JulieDaniluk @RoberLEAP &amp; @JohnMasiulonis speak highly of you. I look forward to working with you. #SlimmingMealsThatHeal #HeartHealth,10.828323,http://twitter.com/DrCynthiaMD/status/473188103667326976,http://twitter.com/drcynthiamd
06/01/14,http://twitter.com/everydayhealth/status/473192179796832256,everydayhealth,Risk for sudden cardiac death can't stop Julie from living right now. http://t.co/8MqLUdvcME #hearthealth #gored,12.698529,http://twitter.com/EverydayHealth/status/473192179796832256,http://twitter.com/everydayhealth
06/01/14,http://twitter.com/dahlyt/status/473198598071808001,dahlyt,Highest selling topping on Sunday 6/1: Sweet Potato! #sweetpotato #carrot #hickorysyrup #vanilla #cinnamon #hearthealth #eyehealth #yummy,6.8139644,http://twitter.com/DAHLYT/status/473198598071808001,http://twitter.com/dahlyt
06/01/14,http://twitter.com/kateleslie91/status/473199982447955968,kateleslie91,RT @EverydayHealth: Risk for sudden cardiac death can't stop Julie from living right now. http://t.co/8MqLUdvcME #hearthealth #gored,7.4864163,http://twitter.com/KateLeslie91/status/473199982447955968,http://twitter.com/kateleslie91
06/01/14,http://twitter.com/herheartcare/status/473207875310206976,herheartcare,A diet rich in fresh fruit and vegetables can reduce your cholesterol. #HeartHealth,8.565089,http://twitter.com/HerHeartCare/status/473207875310206976,http://twitter.com/herheartcare
06/01/14,http://twitter.com/jaclynwerner/status/473217484041256961,jaclynwerner,This is a warning---of a #heartattack! http://t.co/Vvbjkn0wyo #hearthealth,7.865278,http://twitter.com/JaclynWerner/status/473217484041256961,http://twitter.com/jaclynwerner
06/01/14,http://twitter.com/blossom_42/status/473219178259038208,blossom_42,RT @EverydayHealth: Risk for sudden cardiac death can't stop Julie from living right now. http://t.co/8MqLUdvcME #hearthealth #gored,7.4864163,http://twitter.com/blossom_42/status/473219178259038208,http://twitter.com/blossom_42
06/01/14,http://twitter.com/cassiebstrong/status/473229749897396224,cassiebstrong,I'm fighting for my #hearthealth! A little extra focus on #cardio after recovering from this sinus infection! #everybodyfights,7.3426967,http://twitter.com/CassieBstrong/status/473229749897396224,http://twitter.com/cassiebstrong
06/01/14,http://twitter.com/skinnybitchchro/status/473231230197301249,skinnybitchchro,RT @HerHeartCare: A diet rich in fresh fruit and vegetables can reduce your cholesterol. #HeartHealth,7.493475,http://twitter.com/skinnybitchchro/status/473231230197301249,http://twitter.com/skinnybitchchro
06/02/14,http://twitter.com/stefherbalife/status/473302920176234496,stefherbalife,#herbalife #herbalifenyc #weightloss #diet #loseweight #brooklyn #health #skincare #facial #hearthealth #allnatural http://t.co/we3xjOnioL,7.089434,http://twitter.com/stefherbalife/status/473302920176234496,http://twitter.com/stefherbalife
06/02/14,http://twitter.com/adam03620751/status/473304368284852224,adam03620751,"""@MNT_Marie: Can too much high-intensity exercise pose heart risks? http://t.co/QUS1Xcm3Io #fitness #hearthealth",7.011349,http://twitter.com/Adam03620751/status/473304368284852224,http://twitter.com/adam03620751
06/02/14,http://twitter.com/ateronon/status/473406112868605952,ateronon,Busy day setting up for #BCS2014 . We'll be talking tomorrow about exciting new research into lactolycopene and #hearthealth,7.2811794,http://twitter.com/Ateronon/status/473406112868605952,http://twitter.com/ateronon
06/02/14,http://twitter.com/everydayhealth/status/473416577216704512,everydayhealth,Risk for sudden cardiac death can't stop Julie from living right now. http://t.co/L2RBR4v0Cx #hearthealth #gored,12.408233,http://twitter.com/EverydayHealth/status/473416577216704512,http://twitter.com/everydayhealth
06/02/14,http://twitter.com/alovingme/status/473418473293758464,alovingme,"RT @Deb_Lowther: #HeartHealth: Oatmeal is full of omega 3's, magnesium, potassium, folate, niacin, calcium &amp; soluble fiber - super heart fo…",6.645886,http://twitter.com/ALovingMe/status/473418473293758464,http://twitter.com/alovingme
06/02/14,http://twitter.com/compliments4u/status/473418791334842368,compliments4u,Did you know that just a few extra pounds could greatly increase your risk of heart disease? #hearthealth http://t.co/dBZ0YqFzUm,7.463033,http://twitter.com/Compliments4u/status/473418791334842368,http://twitter.com/compliments4u
06/02/14,http://twitter.com/amandalsevilla/status/473419050484510720,amandalsevilla,RT @EverydayHealth: Risk for sudden cardiac death can't stop Julie from living right now. http://t.co/L2RBR4v0Cx #hearthealth #gored,7.493475,http://twitter.com/AmandaLSevilla/status/473419050484510720,http://twitter.com/amandalsevilla
06/02/14,http://twitter.com/nybpinc/status/473419171783770112,nybpinc,Understanding #bloodpressure numbers. http://t.co/CQOuyL5Ocp #hypertension #hearthealth #healthcare,7.7450976,http://twitter.com/NYBPInc/status/473419171783770112,http://twitter.com/nybpinc
06/02/14,http://twitter.com/nicole_rozas/status/473419351119261696,nicole_rozas,RT @EverydayHealth: Risk for sudden cardiac death can't stop Julie from living right now. http://t.co/L2RBR4v0Cx #hearthealth #gored,7.493475,http://twitter.com/Nicole_Rozas/status/473419351119261696,http://twitter.com/nicole_rozas
06/02/14,http://twitter.com/dereknelson75/status/473420547347316737,dereknelson75,"http://t.co/wUWLfsTwPj
http://t.co/7IAbzyRwNX
buy 2 get 1 free!  #omega3 #fishoil #hearthealth #fatloss #garciniacambogia #weightloss",7.2427883,http://twitter.com/DerekNelson75/status/473420547347316737,http://twitter.com/dereknelson75
06/02/14,http://twitter.com/health_tips/status/473435092090884098,health_tips,Are you protecting your #hearthealth to the best of your ability? --&gt; http://t.co/kNwB16QZAN,12.370831,http://twitter.com/Health_Tips/status/473435092090884098,http://twitter.com/health_tips
06/02/14,http://twitter.com/frazaoinsurance/status/473436194521751552,frazaoinsurance,RT @Health_Tips: Are you protecting your #hearthealth to the best of your ability? --&gt; http://t.co/kNwB16QZAN,7.580518,http://twitter.com/FrazaoInsurance/status/473436194521751552,http://twitter.com/frazaoinsurance
06/02/14,http://twitter.com/alwaysgogreen/status/473439225191231488,alwaysgogreen,Did you know that just a few extra pounds could greatly increase your risk of heart disease? #hearthealth http://t.co/fbCsUsvL44,7.4766507,http://twitter.com/AlwaysGoGreen/status/473439225191231488,http://twitter.com/alwaysgogreen
06/02/14,http://twitter.com/green2gold/status/473439243050557440,green2gold,Did you know that just a few extra pounds could greatly increase your risk of heart disease? #hearthealth http://t.co/b3s2aS3tP6,7.449401,http://twitter.com/Green2Gold/status/473439243050557440,http://twitter.com/green2gold
