firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/strongmanutah/status/473126146955960320,strongmanutah,22 Hr. Flight from Singapore through Tokyo(Narita) to LAX then finally #SaltLakeCity #nacsg2014 #Strongmanutah #thrombosis,7.4143023,http://twitter.com/STRONGMANUTAH/status/473126146955960320,http://twitter.com/strongmanutah
06/01/14,http://twitter.com/mjhartley2013/status/473172813109817344,mjhartley2013,#Thrombosis http://t.co/Y02UsSza81,9.773255,http://twitter.com/MJHartley2013/status/473172813109817344,http://twitter.com/mjhartley2013
06/01/14,http://twitter.com/deptofnursingsw/status/473180539542061056,deptofnursingsw,RT @MJHartley2013: #Thrombosis http://t.co/Y02UsSza81,8.427374,http://twitter.com/DeptofNursingSw/status/473180539542061056,http://twitter.com/deptofnursingsw
06/02/14,http://twitter.com/mhmanura/status/473345860848582656,mhmanura,Causes and treatment of thrombophilias that would result in Deep vein thrombosis http://t.co/uxSwaVLhmW #DVT #thrombosis,10.776074,http://twitter.com/MHManura/status/473345860848582656,http://twitter.com/mhmanura
06/02/14,http://twitter.com/westers1401/status/473445163176833024,charityoars,RT @Westers1401: My INR was low so it's back onto these. @charityoars is important please follow &amp; raise awareness of #DVT #thrombosis http…,8.948271,http://twitter.com/charityoars/status/473445232311549952,http://twitter.com/charityoars
06/02/14,http://twitter.com/nellvsmith/status/473448916499718145,nellvsmith,#Marathoners aren't immune to deep vein #thrombosis. Running Doc talks prevention. http://t.co/QmytGx71Yq,7.76497,http://twitter.com/NellVSmith/status/473448916499718145,http://twitter.com/nellvsmith
06/02/14,http://twitter.com/dvt_prevention/status/473472917188403200,dvt_prevention,@yorkpress A WOMAN who nearly died and couldn't walk due to #thrombosis is now taking part in a 10k charity run. http://t.co/ZdUkqmJBFH,7.8169856,http://twitter.com/DVT_Prevention/status/473472917188403200,http://twitter.com/dvt_prevention
06/03/14,http://twitter.com/dvtlite/status/473813210509099009,dvtlite,Get educated on Thrombosis! #dvtlite #prevention #thrombosis https://t.co/jK8CX9WlcU,7.7469687,http://twitter.com/DVTlite/status/473813210509099009,http://twitter.com/dvtlite
06/03/14,http://twitter.com/thromboadviser/status/473835981234126848,thromboadviser,Major orthopaedic surgery is a key risk factor for VTE. What other factors can lead to DVT/PE? http://t.co/foKWzdM2Ma #DVT #PE #Thrombosis,8.089244,http://twitter.com/ThromboAdviser/status/473835981234126848,http://twitter.com/thromboadviser
06/03/14,http://twitter.com/tinasleep/status/473857762267762688,tinasleep,RT @ThromboAdviser: Major orthopaedic surgery is a key risk factor for VTE. What other factors can lead to DVT/PE? http://t.co/foKWzdM2Ma #…,7.068092,http://twitter.com/Tinasleep/status/473857762267762688,http://twitter.com/tinasleep
06/04/14,http://twitter.com/dvtlite/status/474169578118197248,dvtlite,"There’s no shortage of remarkable ideas, what’s missing is the will to execute them. #dvtprevention #thrombosis #healthyliving",9.568504,http://twitter.com/DVTlite/status/474169578118197248,http://twitter.com/dvtlite
06/04/14,http://twitter.com/healthytweetsuk/status/474171673663791104,healthytweetsuk,"RT @DVTlite: There’s no shortage of remarkable ideas, what’s missing is the will to execute them. #dvtprevention #thrombosis #healthyliving",7.3790455,http://twitter.com/HealthyTweetsUK/status/474171673663791104,http://twitter.com/healthytweetsuk
06/04/14,http://twitter.com/niedriakenny/status/474293356227338240,niedriakenny,"RT @DVTlite: There’s no shortage of remarkable ideas, what’s missing is the will to execute them. #dvtprevention #thrombosis #healthyliving",7.3790455,http://twitter.com/NiedriaKenny/status/474293356227338240,http://twitter.com/niedriakenny
06/05/14,http://twitter.com/adisrapidplus/status/474568853473996800,adisrapidplus,Online now in Advances in Therapy: The Clinical Impact of Different Coagulometers on Patient Outcomes http://t.co/KKXfNlmk2N #thrombosis #OA,7.559595,http://twitter.com/AdisRapidPlus/status/474568853473996800,http://twitter.com/adisrapidplus
