firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/misskatiem0/status/473032419155537922,misskatiem0,And after surgery on her #cleftlip #orphancare http://t.co/yBUcvX0Jbu,8.237826,http://twitter.com/MissKatieM0/status/473032419155537922,http://twitter.com/misskatiem0
06/01/14,http://twitter.com/dr_lowing/status/473170353208844289,dr_lowing,@niamh_r #surgery train is immense! more than 70 cataract surgeries done in one morning. looking fwd to #cleftlip cming up.How is nor town?,7.1960225,http://twitter.com/Dr_LoWing/status/473170353208844289,http://twitter.com/dr_lowing
06/02/14,http://twitter.com/dogwooddelights/status/473345741927096321,dogwooddelights,Dog With Birth Defect Inspires Other Children With Same Defect | The Animal Rescue Site Blog http://t.co/u2uErpQFUV via @po_st #cleftlip,7.6922107,http://twitter.com/DogwoodDelights/status/473345741927096321,http://twitter.com/dogwooddelights
06/03/14,http://twitter.com/lucevcoleman/status/473951416923332608,lucevcoleman,Here's another for #tongueouttuesday #frenchpuppy #frenchbulldog #frogdog #frenchie #bulldog #cleftlip… http://t.co/iiHcty9mxf,7.2679353,http://twitter.com/lucevcoleman/status/473951416923332608,http://twitter.com/lucevcoleman
06/04/14,http://twitter.com/cleftpalletcrew/status/473991649891061760,cleftpalletcrew,"If you have/born with a cleft pallet follow me I'd like to make an account so we can all talk and what not!!
#cleftlip #cleftpallet",7.6641073,http://twitter.com/cleftpalletcrew/status/473991649891061760,http://twitter.com/cleftpalletcrew
06/04/14,http://twitter.com/cleftpalletcrew/status/473994154939138051,cleftpalletcrew,RT @BelisaDesigns: @CLAPACOMMUNITY #fundraiser #bristol #oldreds #charity #funday #cleftlip #cleftpallet #clapa http://t.co/oCY3NBhiNk http…,6.9798517,http://twitter.com/cleftpalletcrew/status/473994154939138051,http://twitter.com/cleftpalletcrew
06/04/14,http://twitter.com/cleftpalletcrew/status/473994203840532480,cleftpalletcrew,RT @elfbwillow: What is a Cleft Lip an Pallet? - News - Bubblews http://t.co/LPd6LrqFXR #bubblews #CleftLip #CleftPallet,6.7749553,http://twitter.com/cleftpalletcrew/status/473994203840532480,http://twitter.com/cleftpalletcrew
06/04/14,http://twitter.com/lucevcoleman/status/474204579769618432,lucevcoleman,Poorly mummy on her birthday 😞 I'll look after her ❤️ #poorlymum #cleftlip #frenchiepup #frenchbulldog… http://t.co/6FTR3JL50V,7.387283,http://twitter.com/lucevcoleman/status/474204579769618432,http://twitter.com/lucevcoleman
06/04/14,http://twitter.com/ferrerafellowjp/status/474250500653989888,ferrerafellowjp,today I will be with the GSF team spreading awareness about our work at Paypal's Boston Community Event #globalsmile #cleftlip,7.4795237,http://twitter.com/Ferrerafellowjp/status/474250500653989888,http://twitter.com/ferrerafellowjp
06/04/14,http://twitter.com/ferrerafellowjp/status/474297620245262336,ferrerafellowjp,what a great day for spreading awareness about #cleftlip and @globalsmile 's great work! http://t.co/bZdxkNXtEw,7.929871,http://twitter.com/Ferrerafellowjp/status/474297620245262336,http://twitter.com/ferrerafellowjp
06/05/14,http://twitter.com/buckieboop86/status/474442687610118145,buckieboop86,Had last of my brace off! 27yrs later im now smiling from ear to ear! #cleftpalate #cleftlip #bblessedwhatuhave http://t.co/74FT0nmxPx,7.5730433,http://twitter.com/BuckieBoop86/status/474442687610118145,http://twitter.com/buckieboop86
06/05/14,http://twitter.com/amercleftpalate/status/474628052404953088,amercleftpalate,Comparing speech &amp; phonology after 3 different palatal surgeries to repair #cleftlip and palate http://t.co/7CKMAHYhCg #CPCjournal #SLP,8.556493,http://twitter.com/AmerCleftPalate/status/474628052404953088,http://twitter.com/amercleftpalate
06/05/14,http://twitter.com/heartfeltsmiles/status/474633387248848896,heartfeltsmiles,"This week's ""CleftCast"" is dedicated to #addiction within the #craniofacial community. http://t.co/ZMCm8wX9NZ #health #cleftstrong #cleftlip",7.387283,http://twitter.com/HeartfeltSmiles/status/474633387248848896,http://twitter.com/heartfeltsmiles
06/05/14,http://twitter.com/logopedersen/status/474635778048667648,logopedersen,RT @AmerCleftPalate: Comparing speech &amp; phonology after 3 different palatal surgeries to repair #cleftlip and palate http://t.co/7CKMAHYhCg…,7.015848,http://twitter.com/Logopedersen/status/474635778048667648,http://twitter.com/logopedersen
06/06/14,http://twitter.com/kristiherand/status/474705314399268864,kristiherand,RT @AmerCleftPalate: Comparing speech &amp; phonology after 3 different palatal surgeries to repair #cleftlip and palate http://t.co/7CKMAHYhCg…,7.015848,http://twitter.com/kristiherand/status/474705314399268864,http://twitter.com/kristiherand
06/06/14,http://twitter.com/amercleftpalate/status/474883933793181696,amercleftpalate,Probiotics help improve oral health in #cleftlip and #cleftpalate orthodontic patients. http://t.co/wNklddR4fp  #fridayreads,7.627431,http://twitter.com/AmerCleftPalate/status/474883933793181696,http://twitter.com/amercleftpalate
06/06/14,http://twitter.com/drstephenharris/status/474910169680605184,drstephenharris,"Excited to be participating in the medical mission to Trujillo, Peru with @globalsmile providing cleft care to those in need #cleftlip",7.5075617,http://twitter.com/DrStephenHarris/status/474910169680605184,http://twitter.com/drstephenharris
06/06/14,http://twitter.com/suharrismd/status/474919741610815488,suharrismd,"Excited to be participating in the medical mission to Trujillo, Peru with @globalsmile providing cleft care to those in need #cleftlip",8.431857,http://twitter.com/suharrismd/status/474919741610815488,http://twitter.com/suharrismd
06/06/14,http://twitter.com/jodignews/status/474982239525433344,jodignews,#Heroes @FiOS1News_LI One #GardenCity doctor puts smiles back on children's faces #LIPSG http://t.co/5MHkcp9WTZ #cleftlip #longisland,7.3505917,http://twitter.com/JodiGNews/status/474982239525433344,http://twitter.com/jodignews
06/11/14,http://twitter.com/mdcurrenthealth/status/476861739045502976,mdcurrenthealth,"Does your child have a Cleft Lip or Cleft Palate? http://t.co/4ZZ5JM413d 
#CleftLip #CleftPalate",7.5162153,http://twitter.com/mdCurrentHealth/status/476861739045502976,http://twitter.com/mdcurrenthealth
06/12/14,http://twitter.com/rubyhospital/status/476991377964670976,rubyhospital,"Expert #cosmetic #surgeons in #nosejobs , #liposuction #lypectomy #cleftlip and palate surgery ,etc: http://t.co/Xpz8iX9cZf",7.2062545,http://twitter.com/RubyHospital/status/476991377964670976,http://twitter.com/rubyhospital
06/12/14,http://twitter.com/maine1ne/status/477055233638400001,maine1ne,#cleftlip #cleftpalate #doctors #l4l #likeme #likers #like4like #likeforlike #likeandcomment #tweet… http://t.co/80F1yIdsR4,7.222505,http://twitter.com/Maine1ne/status/477055233638400001,http://twitter.com/maine1ne
06/12/14,http://twitter.com/suharrismd/status/477095673712484354,suharrismd,Before and after transformation with #cleftlip repair It's a privilege to be a part of @globalsmile mission this year http://t.co/Lre6U2Jrsv,9.0413065,http://twitter.com/suharrismd/status/477095673712484354,http://twitter.com/suharrismd
06/12/14,http://twitter.com/derekcpetersen/status/477125567766994946,derekcpetersen,Help #children get transported for #cleftlip surgery. I'm matching the next #seven donors. #LeastOfThese.… http://t.co/Ii7MLFjZgB,7.759015,http://twitter.com/DerekCPetersen/status/477125567766994946,http://twitter.com/derekcpetersen
06/12/14,http://twitter.com/lucevcoleman/status/477127147241234433,lucevcoleman,It's that time again #throwbackthursday #tbt #frenchiepup #puppy #cleftlip #frenchbulldog… http://t.co/AsywD6qjVv,7.724902,http://twitter.com/lucevcoleman/status/477127147241234433,http://twitter.com/lucevcoleman
06/12/14,http://twitter.com/mbstylz/status/477168626391609344,mbstylz,What a #cutie. #globalsmilefoundation #trujillo #peru #baby #givingback #cleftlip @globalsmile @ Casa… http://t.co/Rkw93TY14Q,8.286244,http://twitter.com/mbstylz/status/477168626391609344,http://twitter.com/mbstylz
06/12/14,http://twitter.com/mbstylz/status/477168653499383808,mbstylz,Photo: What a #cutie. #globalsmilefoundation #trujillo #peru #baby #givingback #cleftlip @g_smile_org (at... http://t.co/43HvfPUZAC,7.3838983,http://twitter.com/mbstylz/status/477168653499383808,http://twitter.com/mbstylz
06/12/14,http://twitter.com/amercleftpalate/status/477226460432707585,amercleftpalate,"Self-esteem, coping styles, &amp;quality of life in Polish adolescents &amp;young adults with unilateral #cleftlip &amp;palate http://t.co/8P78PMrIcR",8.744088,http://twitter.com/AmerCleftPalate/status/477226460432707585,http://twitter.com/amercleftpalate
06/12/14,http://twitter.com/hafabe/status/477232683211190272,hafabe,@Smiletrain is helping children born with #cleftlip  I am at their young leader netting right now learning how I can #giveback,7.6631083,http://twitter.com/Hafabe/status/477232683211190272,http://twitter.com/hafabe
06/12/14,http://twitter.com/hafabe/status/477233684416716800,hafabe,Learning that #children are being taken care of after their #cleftlip surgery. @Smiletrain http://t.co/YMah9RUF2a,7.9815884,http://twitter.com/Hafabe/status/477233684416716800,http://twitter.com/hafabe
06/12/14,http://twitter.com/hafabe/status/477234152714932224,hafabe,"The young leadership circle @Smiletrain is focused on giving back to Brazil, which has over 30 partner hospitals helping kids w/ #cleftlip",7.645938,http://twitter.com/Hafabe/status/477234152714932224,http://twitter.com/hafabe
06/12/14,http://twitter.com/hafabe/status/477234832229937153,hafabe,#powerofasmile campaign will give people an opportunity to help kids born with #cleftlip @Smiletrain,7.8352766,http://twitter.com/Hafabe/status/477234832229937153,http://twitter.com/hafabe
06/13/14,http://twitter.com/kristiherand/status/477268431914299393,kristiherand,"RT @AmerCleftPalate: Self-esteem, coping styles, &amp;quality of life in Polish adolescents &amp;young adults with unilateral #cleftlip &amp;palate htt…",7.249482,http://twitter.com/kristiherand/status/477268431914299393,http://twitter.com/kristiherand
06/13/14,http://twitter.com/drcapone/status/477294362330529794,drcapone,"Raising awareness that #cleftlip + #cleftpalate are not 3rd world deformities. They happen about 1:700 births, everywhere. @GBMCMedia",8.675002,http://twitter.com/DrCapone/status/477294362330529794,http://twitter.com/drcapone
06/13/14,http://twitter.com/gbmcmedia/status/477380010521550849,gbmcmedia,"RT @DrCapone: Raising awareness that #cleftlip + #cleftpalate are not 3rd world deformities. They happen about 1:700 births, everywhere. @G…",7.2183213,http://twitter.com/GBMCMedia/status/477380010521550849,http://twitter.com/gbmcmedia
06/13/14,http://twitter.com/recetasnaturale/status/477504928705835010,recetasnaturale,--http://t.co/wS1DIbVkJC #RecetasNaturale #7CelebsWithCleftLips #CelebritiesWithCleftLips #CleftLip #Galleries,7.101914,http://twitter.com/RecetasNaturale/status/477504928705835010,http://twitter.com/recetasnaturale
06/15/14,http://twitter.com/mdcurrenthealth/status/478039311854862336,mdcurrenthealth,"Does your child have a Cleft Lip or Cleft Palate? http://t.co/uyjNefNmF2 
#CleftLip #CleftPalate",7.427807,http://twitter.com/mdCurrentHealth/status/478039311854862336,http://twitter.com/mdcurrenthealth
06/15/14,http://twitter.com/colombianbabe/status/478307298725478401,colombianbabe,I just seen a girl with a #cleftlip and she was gorgeous! I'm not gonna lie I got kinda jealous but then my hubby reminded me that I'm loved,8.044835,http://twitter.com/colombianbabe/status/478307298725478401,http://twitter.com/colombianbabe
06/16/14,http://twitter.com/remyl926/status/478331457170313216,remyl926,"http://t.co/mWslQR9pAf
Help me positively change the lives of 4 children with #cleftlip and #cleftpalate! @Smiletrain #donate #philanthropy",7.5253367,http://twitter.com/remyl926/status/478331457170313216,http://twitter.com/remyl926
06/16/14,http://twitter.com/globalsmile/status/478341788336672768,globalsmile,RT @mbstylz: What a #cutie. #globalsmilefoundation #trujillo #peru #baby #givingback #cleftlip @globalsmile @ Casa… http://t.co/Rkw93TY14Q,7.1844687,http://twitter.com/globalsmile/status/478341788336672768,http://twitter.com/globalsmile
06/16/14,http://twitter.com/globalsmile/status/478341831722545153,globalsmile,RT @suharrismd: Before and after transformation with #cleftlip repair It's a privilege to be a part of @globalsmile mission this year http:…,7.473701,http://twitter.com/globalsmile/status/478341831722545153,http://twitter.com/globalsmile
06/16/14,http://twitter.com/globalsmile/status/478342558180200448,globalsmile,special thanks to @EsSaludPeru and @upao for their incredible support this week! #cleftlip,7.881607,http://twitter.com/globalsmile/status/478342558180200448,http://twitter.com/globalsmile
06/16/14,http://twitter.com/thisis_myface/status/478382644166950912,thisis_myface,What an amazing bond! (see photo) We hope everyone had an amazing #FathersDay! #thisismyFace #myFace #cleftlip http://t.co/eK47phrV3r,7.8077974,http://twitter.com/thisis_myface/status/478382644166950912,http://twitter.com/thisis_myface
06/17/14,http://twitter.com/transformfaces/status/478917397978431488,transformfaces,"RT @DrCapone: Raising awareness that #cleftlip + #cleftpalate are not 3rd world deformities. They happen about 1:700 births, everywhere. @G…",7.2183213,http://twitter.com/TransformFaces/status/478917397978431488,http://twitter.com/transformfaces
06/17/14,http://twitter.com/transformfaces/status/478917485651955712,transformfaces,"RT @AmerCleftPalate: Self-esteem, coping styles, &amp;quality of life in Polish adolescents &amp;young adults with unilateral #cleftlip &amp;palate htt…",7.249482,http://twitter.com/TransformFaces/status/478917485651955712,http://twitter.com/transformfaces
06/17/14,http://twitter.com/tndhanson/status/479016884067512320,tndhanson,Very informative day here at @shrinershosp Cincy.  Just part of my sons #cleftlip &amp; palate care.  #lovetotherescue http://t.co/SiFEzZamfi,8.116812,http://twitter.com/TNDHanson/status/479016884067512320,http://twitter.com/tndhanson
06/18/14,http://twitter.com/yuhealthy/status/479253266115887104,yuhealthy,#Cleftpalate and #cleftlip doesnt interfere with #psychomotor activities of #infants. #naijamothers #naijawomen #africawoman @naijahealth,7.7002716,http://twitter.com/YuHealthy/status/479253266115887104,http://twitter.com/yuhealthy
06/18/14,http://twitter.com/medicaltie/status/479257876603469824,medicaltie,"CLEFT LIP AND PALATE
Embryological development of this condition. 

#cleft #lip #cleftlipandpalate #cleftlip... http://t.co/vu3jbLlT7t",7.320433,http://twitter.com/MEDICALTIE/status/479257876603469824,http://twitter.com/medicaltie
06/18/14,http://twitter.com/trendytot1/status/479258859471925249,trendytot1,RT @YuHealthy: #Cleftpalate and #cleftlip doesnt interfere with #psychomotor activities of #infants. #naijamothers #naijawomen #africawoman…,6.7765145,http://twitter.com/trendytot1/status/479258859471925249,http://twitter.com/trendytot1
06/18/14,http://twitter.com/drmanoli/status/479270172474474498,drmanoli,Proud to be an active member of the Cleft Lip - Palate Team at Monmouth Medical Center! http://t.co/iw9nuJR68k #cleftlip #cleftpalate,8.111671,http://twitter.com/DrManoli/status/479270172474474498,http://twitter.com/drmanoli
06/18/14,http://twitter.com/isolotraveller/status/479412431660527616,isolotraveller,"Whenever I get this emoji ""😏"" sent to me.. Its annoying. What an annoying smirk!!

:-3 &lt;---- this one is the WORST. #cleftlip??! #cantdeal",7.725859,http://twitter.com/isolotraveller/status/479412431660527616,http://twitter.com/isolotraveller
06/19/14,http://twitter.com/thisis_myface/status/479652303830810624,thisis_myface,Have a story to tell? Share it w/ us AND don't forget to read Kenny's #cleftlip story here! http://t.co/nAYsp3UmQ8 #thisismyFace #nonprofit,7.5730433,http://twitter.com/thisis_myface/status/479652303830810624,http://twitter.com/thisis_myface
06/19/14,http://twitter.com/cleftmafia/status/479713351472144384,cleftmafia,Taking on bad humor against children born with facial anomalies one tweet at a time. #cleftlip #cleftpalate #bullying,8.409152,http://twitter.com/CleftMafia/status/479713351472144384,http://twitter.com/cleftmafia
06/19/14,http://twitter.com/scashcraft/status/479719736268587008,scashcraft,RT @CleftMafia: Taking on bad humor against children born with facial anomalies one tweet at a time. #cleftlip #cleftpalate #bullying,7.3712707,http://twitter.com/scashcraft/status/479719736268587008,http://twitter.com/scashcraft
