firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/liver_cirrhosis/status/473134700282642432,liver_cirrhosis,Liver Cirrhosis Bible: Stop liver cirrhosis in weeks with the liver cirrhosis bible and ezra... http://t.co/zBYW9aGfbU #Liver #Cirrhosis,10.7191305,http://twitter.com/Liver_Cirrhosis/status/473134700282642432,http://twitter.com/liver_cirrhosis
06/01/14,http://twitter.com/wuefab/status/473164373725564929,wuefab,"Bacterial #infections in #cirrhosis: a position statement based on the EASL Special Conference 2013.
http://t.co/lS2wBIXslb via @JHepatology",9.055836,http://twitter.com/wuefab/status/473164373725564929,http://twitter.com/wuefab
06/01/14,http://twitter.com/joseantonio83/status/473165586525343745,joseantonio83,"RT @wuefab: Bacterial #infections in #cirrhosis: a position statement based on the EASL Special Conference 2013.
http://t.co/lS2wBIXslb via…",7.2247443,http://twitter.com/joseantonio83/status/473165586525343745,http://twitter.com/joseantonio83
06/02/14,http://twitter.com/bob_a_booey/status/473314017574805506,bob_a_booey,@MullingHagel @bencortlandt I very much would like to believe you but unless you have a secret #cirrhosis problem I am afraid you cant hang!,7.78338,http://twitter.com/Bob_A_Booey/status/473314017574805506,http://twitter.com/bob_a_booey
06/02/14,http://twitter.com/hepcgi/status/473328165075824641,hepcgi,A prolonged persistent elevation in #bilirubin usually means severe liver dysfunction and possibly #cirrhosis..-April,7.534647,http://twitter.com/HepCGI/status/473328165075824641,http://twitter.com/hepcgi
06/02/14,http://twitter.com/healthy_liver/status/473430097337516032,healthy_liver,Tips on How to Prevent #LiverCancer http://t.co/UGSwCgZIu4 #liverdisease #cirrhosis #hepatitis via @MayoClinic,8.420203,http://twitter.com/healthy_liver/status/473430097337516032,http://twitter.com/healthy_liver
06/02/14,http://twitter.com/fattylivertreat/status/473430120251027456,fattylivertreat,Tips on How to Prevent #LiverCancer http://t.co/tXdewPbW4g #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.4870043,http://twitter.com/fattylivertreat/status/473430120251027456,http://twitter.com/fattylivertreat
06/02/14,http://twitter.com/cirrhosisliver/status/473430142686363648,cirrhosisliver,Tips on How to Prevent #LiverCancer http://t.co/adRRpcdjdt #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.6155043,http://twitter.com/CirrhosisLiver/status/473430142686363648,http://twitter.com/cirrhosisliver
06/02/14,http://twitter.com/fattylivercures/status/473430142807965696,fattylivercures,Tips on How to Prevent #LiverCancer http://t.co/ySGXA6m0Ls #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.5808406,http://twitter.com/FattyLiverCures/status/473430142807965696,http://twitter.com/fattylivercures
06/02/14,http://twitter.com/liverbasics/status/473430142938013696,liverbasics,Tips on How to Prevent #LiverCancer http://t.co/i4XCFP58zl #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.5808406,http://twitter.com/liverbasics/status/473430142938013696,http://twitter.com/liverbasics
