firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/crohnsbook/status/473116668755857408,crohnsbook,Excellent job @janebrody @nythealthblogs #ibd #crihns #colitis Speaking Up About an Uncomfortable Condition http://t.co/lWt1CfUlbB,6.9829216,http://twitter.com/CrohnsBook/status/473116668755857408,http://twitter.com/crohnsbook
06/01/14,http://twitter.com/salixpharma/status/473124425530081280,salixpharma,"#Crohns can affect any part of the GI tract, while #colitis affects only the colon. Learn the differences: http://t.co/fK7t8xPumV #IBD",10.437243,http://twitter.com/SalixPharma/status/473124425530081280,http://twitter.com/salixpharma
06/01/14,http://twitter.com/magic97_sc/status/473156546042413056,magic97_sc,Join @kyla_olson at Cabri School for the 2nd Annual #GutsyWalk for #crohns &amp; #colitis Registration starts at 12:30 http://t.co/bsUIk1WZz3,8.847936,http://twitter.com/Magic97_SC/status/473156546042413056,http://twitter.com/magic97_sc
06/01/14,http://twitter.com/wales28/status/473163686325260289,colitisandme,RT @wales28: #GetYourBellyOut #crohns #colitis #crohnsdisease #ibd 💜💜💜 https://t.co/X6iKOb3z44 http://t.co/v1ycQUNnvq,8.150108,http://twitter.com/colitisandme/status/473164317744193536,http://twitter.com/colitisandme
06/01/14,http://twitter.com/kyla_olson/status/473167737221414912,kyla_olson,Rain or Shine the countdown is on for the 2nd Annual #GutsyWalk for #Crohn's &amp; #Colitis in Cabri!… http://t.co/gpeY48cdMu,7.9283695,http://twitter.com/kyla_olson/status/473167737221414912,http://twitter.com/kyla_olson
06/01/14,http://twitter.com/kyla_olson/status/473176336635158528,kyla_olson,RT @Magic97_SC: Join @kyla_olson at Cabri School for the 2nd Annual #GutsyWalk for #crohns &amp; #colitis Registration starts at 12:30 http://t…,6.7006154,http://twitter.com/kyla_olson/status/473176336635158528,http://twitter.com/kyla_olson
06/01/14,http://twitter.com/crohns_quine/status/473178102726922240,crohns_quine,"Been stuck in bed all day because the grumoy guts decided that they wanted to have a temper tantrum. 
#crohns #colitis #ibd #ostomy #spoonie",6.9608803,http://twitter.com/Crohns_Quine/status/473178102726922240,http://twitter.com/crohns_quine
06/01/14,http://twitter.com/colitisandme/status/473185343404261376,colitisandme,Have you joined the #GetYourBellyOut awareness campaign for #Colitis #Crohns #IBD yet?! What are you waiting for?! :D http://t.co/r0QqBJxyc5,7.5572968,http://twitter.com/colitisandme/status/473185343404261376,http://twitter.com/colitisandme
06/01/14,http://twitter.com/colitisandme/status/473185589265965056,colitisandme,Put your feet up with a cup of tea &amp; jump on my #blog called 'Colitis &amp; ME' http://t.co/VGEPvLCaIE http://t.co/4FoX3GcRC5 #Crohns #Colitis,9.268598,http://twitter.com/colitisandme/status/473185589265965056,http://twitter.com/colitisandme
06/01/14,http://twitter.com/gutsywalk/status/473199680558333953,gutsywalk,RT @Magic97_SC: Join @kyla_olson at Cabri School for the 2nd Annual #GutsyWalk for #crohns &amp; #colitis Registration starts at 12:30 http://t…,6.7006154,http://twitter.com/GutsyWalk/status/473199680558333953,http://twitter.com/gutsywalk
06/01/14,http://twitter.com/gutsywalk/status/473199694533779456,gutsywalk,RT @kyla_olson: Rain or Shine the countdown is on for the 2nd Annual #GutsyWalk for #Crohn's &amp; #Colitis in Cabri!… http://t.co/gpeY48cdMu,6.8575883,http://twitter.com/GutsyWalk/status/473199694533779456,http://twitter.com/gutsywalk
06/01/14,http://twitter.com/kyla_olson/status/473200263897960448,kyla_olson,Raising money &amp; awareness for #Crohn's &amp; #Colitis today! Cabri's 2nd Annual @GutsyWalk well under way! http://t.co/9NI5k0gsYf,9.177939,http://twitter.com/kyla_olson/status/473200263897960448,http://twitter.com/kyla_olson
06/01/14,http://twitter.com/gutsywalk/status/473200485948612608,gutsywalk,RT @kyla_olson: Raising money &amp; awareness for #Crohn's &amp; #Colitis today! Cabri's 2nd Annual @GutsyWalk well under way! http://t.co/9NI5k0gs…,6.6202803,http://twitter.com/GutsyWalk/status/473200485948612608,http://twitter.com/gutsywalk
06/01/14,http://twitter.com/jack4ianto/status/473203351774314496,jack4ianto,RT @colitisandme: Put your feet up with a cup of tea &amp; jump on my #blog called 'Colitis &amp; ME' http://t.co/VGEPvLCaIE http://t.co/4FoX3GcRC5…,6.899637,http://twitter.com/Jack4Ianto/status/473203351774314496,http://twitter.com/jack4ianto
06/01/14,http://twitter.com/jack4ianto/status/473203440861319168,jack4ianto,RT @colitisandme: Have you joined the #GetYourBellyOut awareness campaign for #Colitis #Crohns #IBD yet?! What are you waiting for?! :D htt…,6.554583,http://twitter.com/Jack4Ianto/status/473203440861319168,http://twitter.com/jack4ianto
06/01/14,http://twitter.com/colitisgirlsays/status/473209830988345344,colitisgirlsays,Stockipiling food in my stomach since I won't be able to eat again until Tuesday afternoon #crohns #colitis #alreadyhungry,7.212802,http://twitter.com/colitisgirlsays/status/473209830988345344,http://twitter.com/colitisgirlsays
06/01/14,http://twitter.com/colitisninja/status/473217589108572160,colitisninja,I have a new post: http://t.co/SvBYg8fC03 #abscess #surgery #complications #IBD #crohns #colitis,7.296547,http://twitter.com/ColitisNinja/status/473217589108572160,http://twitter.com/colitisninja
06/01/14,http://twitter.com/thirtyeightfive/status/473225460399505409,thirtyeightfive,Thoughts on romance post-marriage http://t.co/n6B0qYRsmZ #jesus #marriage #godlymarriage #colitis,7.3756933,http://twitter.com/thirtyeightfive/status/473225460399505409,http://twitter.com/thirtyeightfive
06/01/14,http://twitter.com/pantone285/status/473225832119279616,pantone285,Ready to walk!! @takesteps @psucreature  @MAMortensonCo @MK_Racine @mnwild @Twins #walk #colitis #crohns http://t.co/4XrOyTjRQB,8.372022,http://twitter.com/Pantone285/status/473225832119279616,http://twitter.com/pantone285
06/01/14,http://twitter.com/kylaavis/status/473230402552102913,kylaavis,RT @Magic97_SC: Join @kyla_olson at Cabri School for the 2nd Annual #GutsyWalk for #crohns &amp; #colitis Registration starts at 12:30 http://t…,6.7006154,http://twitter.com/KylaAvis/status/473230402552102913,http://twitter.com/kylaavis
06/01/14,http://twitter.com/kylaavis/status/473230455949778948,kylaavis,RT @kyla_olson: Raising money &amp; awareness for #Crohn's &amp; #Colitis today! Cabri's 2nd Annual @GutsyWalk well under way! http://t.co/9NI5k0gs…,6.6202803,http://twitter.com/KylaAvis/status/473230455949778948,http://twitter.com/kylaavis
06/01/14,http://twitter.com/caregivertweets/status/473236325089705984,caregivertweets,What Are the Tests for Crohn's Disease? #crohnsdisease #colitis #fecalincontinence #caregiver #crohns http://t.co/QwuiRtZAY4,10.057558,http://twitter.com/CaregiverTweets/status/473236325089705984,http://twitter.com/caregivertweets
06/01/14,http://twitter.com/karenford9/status/473237574581235712,karenford9,RT @colitisandme: Put your feet up with a cup of tea &amp; jump on my #blog called 'Colitis &amp; ME' http://t.co/VGEPvLCaIE http://t.co/4FoX3GcRC5…,6.899637,http://twitter.com/karenFord9/status/473237574581235712,http://twitter.com/karenford9
06/01/14,http://twitter.com/ccfa_mn/status/473243395218219008,ccfa_mn,What a crowd for #TakeSteps #TwinCities! Thanks to all who attended &amp; raised awareness &amp; funds for #Crohns &amp; #Colitis http://t.co/GLdiUtD3yQ,6.663273,http://twitter.com/CCFA_MN/status/473243395218219008,http://twitter.com/ccfa_mn
06/01/14,http://twitter.com/colitisninja/status/473245851154784257,colitisninja,How is my #IBD family doing this evening??? #crohns #colitis,8.160342,http://twitter.com/ColitisNinja/status/473245851154784257,http://twitter.com/colitisninja
06/01/14,http://twitter.com/odina/status/473246592498425857,odina,@ColitisNinja Tough day but hanging in there! #IBD #Colitis,10.928635,http://twitter.com/Odina/status/473246592498425857,http://twitter.com/odina
06/01/14,http://twitter.com/colitisninja/status/473247423138381824,colitisninja,@Odina Glad your hanging on! #KeepFighting #colitis #IBD,7.6185346,http://twitter.com/ColitisNinja/status/473247423138381824,http://twitter.com/colitisninja
06/01/14,http://twitter.com/colitisninja/status/473250315060273152,colitisninja,#medications #crohns #colitis #IBD #spoonie #chronicillness http://t.co/ZTqGGMjIQN,8.643246,http://twitter.com/ColitisNinja/status/473250315060273152,http://twitter.com/colitisninja
06/02/14,http://twitter.com/stomacloak/status/473256852520976385,stomacloak,"Gutsy Walk 
Fundraiser for #Crohns and #Colitis
Will Take Place This Year
June 8th in Canada
http://t.co/Wqiq87VPfk
Via @mjseres 
#ostomates",8.005262,http://twitter.com/StomaCloak/status/473256852520976385,http://twitter.com/stomacloak
06/02/14,http://twitter.com/mk_racine/status/473271941370232833,mk_racine,RT @Pantone285: Ready to walk!! @takesteps @psucreature  @MAMortensonCo @MK_Racine @mnwild @Twins #walk #colitis #crohns http://t.co/4XrOyT…,6.5554657,http://twitter.com/MK_Racine/status/473271941370232833,http://twitter.com/mk_racine
06/02/14,http://twitter.com/lisakate86/status/473281525367439361,lisakate86,RT @ColitisNinja: #medications #crohns #colitis #IBD #spoonie #chronicillness http://t.co/ZTqGGMjIQN,7.063625,http://twitter.com/Lisakate86/status/473281525367439361,http://twitter.com/lisakate86
06/02/14,http://twitter.com/gutsywalk/status/473312148911689728,gutsywalk,"RT @StomaCloak: Gutsy Walk 
Fundraiser for #Crohns and #Colitis
Will Take Place This Year
June 8th in Canada
http://t.co/Wqiq87VPfk
Via @mj…",6.9637694,http://twitter.com/GutsyWalk/status/473312148911689728,http://twitter.com/gutsywalk
