firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/degadegadegade/status/472999175874166785,degadegadegade,#anxiety #depression #PTSD #crohns #fibromyalgia #bipolar #lupus #Cancer #autism #epilepsy #HeartDisease #arthritis http://t.co/rQzeM44i26,9.267253,http://twitter.com/degadegadegade/status/472999175874166785,http://twitter.com/degadegadegade
06/01/14,http://twitter.com/winonemil/status/473001700060852224,winonemil,RT @degadegadegade: #anxiety #depression #PTSD #crohns #fibromyalgia #bipolar #lupus #Cancer #autism #epilepsy #HeartDisease #arthritis htt…,6.477708,http://twitter.com/WinOneMil/status/473001700060852224,http://twitter.com/winonemil
06/01/14,http://twitter.com/lspark89/status/473010853071949825,lspark89,My day in the sun yesterday before i had to start wearing my scarlett o'hara hat!!! #humira #crohns… http://t.co/7I7K5Ieqtb,7.354553,http://twitter.com/lspark89/status/473010853071949825,http://twitter.com/lspark89
06/01/14,http://twitter.com/rochellecheri/status/473015140435382273,rochellecheri,#crohns&amp;colituscharity ready for the ball. Last night was fun with family &amp; friends http://t.co/vB0wmhPse1,7.3587155,http://twitter.com/RochelleCheri/status/473015140435382273,http://twitter.com/rochellecheri
06/01/14,http://twitter.com/drqasw/status/473022398707806208,drqasw,ALL GOOD TY..HOW ARE YOU? RT @pueblokc Hope all my online family is doing well. #crohns #spoonie #aspie #autism#asd #epilepsy #dysautonomia,10.06332,http://twitter.com/drqasw/status/473022398707806208,http://twitter.com/drqasw
06/01/14,http://twitter.com/heffi89/status/473071025975218176,heffi89,@SamanthaFaiers Hi just read your interview in #cosmopolitanbody gr8 read ive been really ill for the last 18 months with the #crohns xxxx,9.104527,http://twitter.com/heffi89/status/473071025975218176,http://twitter.com/heffi89
06/01/14,http://twitter.com/justtalknbooks/status/473072985210093568,justtalknbooks,Children of Crohn's--Meet Coltyn Thomas Turner #crohns #ibd #crohns story http://t.co/N1QFjGp923 via @LouannCarroll,7.3792887,http://twitter.com/JustTalknBooks/status/473072985210093568,http://twitter.com/justtalknbooks
06/01/14,http://twitter.com/orlachloe/status/473073015631015936,orlachloe,My latest blog post - The Seventh Day http://t.co/ZzEjNxwyKr via @wordpressdotcom #autoimmunedisease #crohns #fibromyalgia #learningtorest,6.8854904,http://twitter.com/OrlaChloe/status/473073015631015936,http://twitter.com/orlachloe
06/01/14,http://twitter.com/katelyndrake15/status/473073017619107842,katelyndrake15,When someone with leukemia says they can't even imagine what I'm going through with my Crohn's...that's powerful. #crohns #IBD,7.266036,http://twitter.com/KatelynDrake15/status/473073017619107842,http://twitter.com/katelyndrake15
06/01/14,http://twitter.com/sanemommy/status/473075418254147585,sanemommy,Interesting read for my fellow IBD #ulcerativecolitis #Crohns people: Speaking Up About an Uncomfortable Condition http://t.co/pgBStNX936,7.354553,http://twitter.com/SaneMommy/status/473075418254147585,http://twitter.com/sanemommy
06/01/14,http://twitter.com/skeletoes/status/473078806597496832,skeletoes,Feeling a bit sick today. #Crohns better not be making an appearance. T-minus one day until my kids birthday. Our little party is tonight.,10.482733,http://twitter.com/skeletoes/status/473078806597496832,http://twitter.com/skeletoes
06/01/14,http://twitter.com/skeletoes/status/473079055621689346,skeletoes,Always seems like #Crohns gets worse at the least opportune time. #IBD #ChronicIllness,10.715487,http://twitter.com/skeletoes/status/473079055621689346,http://twitter.com/skeletoes
06/01/14,http://twitter.com/purpledragon616/status/473080859231141888,purpledragon616,"#crohns Heading to church, still in pain.  Praying for strength.",8.187676,http://twitter.com/purpledragon616/status/473080859231141888,http://twitter.com/purpledragon616
06/01/14,http://twitter.com/nat_attack_10/status/473096956555038720,nat_attack_10,Wish I was walking St. Louis with @ellenlindsay_ for the walk for Crohns!! Purples my fav color and now I know why #purpleribbon #crohns,7.0179625,http://twitter.com/Nat_attack_10/status/473096956555038720,http://twitter.com/nat_attack_10
06/01/14,http://twitter.com/mariebrookexx/status/473099229360304128,mariebrookexx,Can't believe I'm ill in bed on a beautiful day like this :-( #crohns #cutmesomeslack,7.532337,http://twitter.com/MariebrookeXx/status/473099229360304128,http://twitter.com/mariebrookexx
06/01/14,http://twitter.com/crohnseffect/status/473099620722409472,crohnseffect,Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http://t.co/0Donc7UUs2,13.355558,http://twitter.com/CrohnsEffect/status/473099620722409472,http://twitter.com/crohnseffect
06/01/14,http://twitter.com/ibdswales/status/473099933919485953,ibdswales,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/IBDSWales/status/473099933919485953,http://twitter.com/ibdswales
06/01/14,http://twitter.com/jbowlin74/status/473101735926714368,jbowlin74,“@CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. #Let's educate world on #IBD Knowledge is Power http://t.co/P6pjbyA9U1”,7.0430737,http://twitter.com/Jbowlin74/status/473101735926714368,http://twitter.com/jbowlin74
06/01/14,http://twitter.com/serprivado/status/473101748547387392,serprivado,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/SerPrivado/status/473101748547387392,http://twitter.com/serprivado
06/01/14,http://twitter.com/healthcentral/status/473102522631352321,healthcentral,Make traveling with #Crohns disease easier. Here's how: http://t.co/bW9tidzJkG,13.028331,http://twitter.com/healthcentral/status/473102522631352321,http://twitter.com/healthcentral
06/01/14,http://twitter.com/sivyerj2001/status/473103293573779457,sivyerj2001,RT @heffi89: @SamanthaFaiers Hi just read your interview in #cosmopolitanbody gr8 read ive been really ill for the last 18 months with the …,7.063185,http://twitter.com/Sivyerj2001/status/473103293573779457,http://twitter.com/sivyerj2001
06/01/14,http://twitter.com/niccf66/status/473103737477951488,niccf66,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/Niccf66/status/473103737477951488,http://twitter.com/niccf66
06/01/14,http://twitter.com/nmorrison/status/473104723839819777,nmorrison,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/nmorrison/status/473104723839819777,http://twitter.com/nmorrison
06/01/14,http://twitter.com/obfusicationx2/status/473104731968401408,obfusicationx2,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/obfusicationx2/status/473104731968401408,http://twitter.com/obfusicationx2
06/01/14,http://twitter.com/supersha22/status/473105051863769089,supersha22,RT @healthcentral: Make traveling with #Crohns disease easier. Here's how: http://t.co/bW9tidzJkG,7.7796574,http://twitter.com/supersha22/status/473105051863769089,http://twitter.com/supersha22
06/01/14,http://twitter.com/rakheeheadshave/status/473105290452557824,rakheeheadshave,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/RakheeHeadShave/status/473105290452557824,http://twitter.com/rakheeheadshave
06/01/14,http://twitter.com/lesperance78/status/473106468867436544,lesperance78,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/LEsperance78/status/473106468867436544,http://twitter.com/lesperance78
06/01/14,http://twitter.com/curlycrohnie/status/473106723570319360,curlycrohnie,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/Curlycrohnie/status/473106723570319360,http://twitter.com/curlycrohnie
06/01/14,http://twitter.com/caregivertweets/status/473106750942773248,caregivertweets,Natural Ways to Treat Crohn's Disease #crohnsdisease #crohns http://t.co/aonQbxXiW9,10.645,http://twitter.com/CaregiverTweets/status/473106750942773248,http://twitter.com/caregivertweets
06/01/14,http://twitter.com/maichingm/status/473106823151497218,maichingm,RT @healthcentral: Make traveling with #Crohns disease easier. Here's how: http://t.co/bW9tidzJkG,7.7796574,http://twitter.com/maichingm/status/473106823151497218,http://twitter.com/maichingm
06/01/14,http://twitter.com/nessaarosee/status/473106897717833730,nessaarosee,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/nessaarosee/status/473106897717833730,http://twitter.com/nessaarosee
06/01/14,http://twitter.com/octofussy/status/473107215868768257,octofussy,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/octofussy/status/473107215868768257,http://twitter.com/octofussy
06/01/14,http://twitter.com/crohnonlus/status/473110996132057089,crohnonlus,RT @CrohnsEffect: Great image showing #Crohns and #UlcerativeColitis. Pass this along! Let's educate world on #IBD Knowledge is Power http:…,7.06046,http://twitter.com/Crohnonlus/status/473110996132057089,http://twitter.com/crohnonlus
06/01/14,http://twitter.com/jackslorraine/status/473115292688609280,jackslorraine,#IBD is my least favorite thing in life. My guts are hurting so badly I have chills. #crohns #uc #ccfa #weneedacure,6.987343,http://twitter.com/JacksLorraine/status/473115292688609280,http://twitter.com/jackslorraine
