firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/rgwarrenmoon/status/473172184441974784,rgwarrenmoon,@_Eldonx @girlposts #Ecoli,9.120306,http://twitter.com/RGWarrenMoon/status/473172184441974784,http://twitter.com/rgwarrenmoon
06/01/14,http://twitter.com/windsorissues/status/473221597164105728,windsorissues,Sandpoint Beach Opens today #WindsorProblems #ecoli,10.860758,http://twitter.com/WindsorIssues/status/473221597164105728,http://twitter.com/windsorissues
06/01/14,http://twitter.com/pattrudell31/status/473221938182381569,pattrudell31,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/PatTrudell31/status/473221938182381569,http://twitter.com/pattrudell31
06/01/14,http://twitter.com/megan_thomp/status/473222036186492929,megan_thomp,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/megan_thomp/status/473222036186492929,http://twitter.com/megan_thomp
06/01/14,http://twitter.com/r_syv/status/473222042083655680,r_syv,#botulism #clostridium #eColi #resistantBacteria #gutEcology  http://t.co/cfUkpNXHhe,7.360318,http://twitter.com/R_Syv/status/473222042083655680,http://twitter.com/r_syv
06/01/14,http://twitter.com/carterbell_/status/473222135188815874,carterbell_,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/CarterBell_/status/473222135188815874,http://twitter.com/carterbell_
06/01/14,http://twitter.com/samreenbby/status/473222154990141440,samreenbby,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/samreenbby/status/473222154990141440,http://twitter.com/samreenbby
06/01/14,http://twitter.com/connorvirtue/status/473222198417973248,connorvirtue,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/ConnorVirtue/status/473222198417973248,http://twitter.com/connorvirtue
06/01/14,http://twitter.com/notgoodatmuch/status/473222602950197249,notgoodatmuch,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/notgoodatmuch/status/473222602950197249,http://twitter.com/notgoodatmuch
06/01/14,http://twitter.com/levihasahardy/status/473222741680996353,levihasahardy,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/LeviHasAHardy/status/473222741680996353,http://twitter.com/levihasahardy
06/01/14,http://twitter.com/foad_karimian/status/473224073892622336,foad_karimian,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/foad_karimian/status/473224073892622336,http://twitter.com/foad_karimian
06/01/14,http://twitter.com/ayanmohamedd/status/473224081656262656,ayanmohamedd,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/ayanmohamedd/status/473224081656262656,http://twitter.com/ayanmohamedd
06/01/14,http://twitter.com/tomthegirl/status/473224272463142912,tomthegirl,Only toes in the water #ecoli #ew #germaphobemomma http://t.co/BUZLfdLJn5,11.311333,http://twitter.com/TomTheGirl/status/473224272463142912,http://twitter.com/tomthegirl
06/01/14,http://twitter.com/tylerdemarce23/status/473225640590995456,tylerdemarce23,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/TylerDeMarce23/status/473225640590995456,http://twitter.com/tylerdemarce23
06/01/14,http://twitter.com/bboyhd8/status/473225684153012225,bboyhd8,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/BboyHD8/status/473225684153012225,http://twitter.com/bboyhd8
06/01/14,http://twitter.com/julieamarch/status/473228515396317184,julieamarch,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/julieamarch/status/473228515396317184,http://twitter.com/julieamarch
06/01/14,http://twitter.com/bdemian_xo/status/473231192263651328,bdemian_xo,RT @WindsorIssues: Sandpoint Beach Opens today #WindsorProblems #ecoli,7.8174877,http://twitter.com/bdemian_xo/status/473231192263651328,http://twitter.com/bdemian_xo
06/02/14,http://twitter.com/naturallyemilyy/status/473285791368892416,naturallyemilyy,S/o to the idiots in Mound who dumped raw sewage in the lake #stayout #ecoli,8.554097,http://twitter.com/NaturallyEmilyy/status/473285791368892416,http://twitter.com/naturallyemilyy
06/02/14,http://twitter.com/erwillcox/status/473289414391496704,erwillcox,RT @NaturallyEmilyy: S/o to the idiots in Mound who dumped raw sewage in the lake #stayout #ecoli,7.542779,http://twitter.com/erwillcox/status/473289414391496704,http://twitter.com/erwillcox
06/02/14,http://twitter.com/benjaminchapman/status/473297910503702529,benjaminchapman,Audrey Hepburn goes shopping with her deer. In a grocery store. #ruminent pathogenic #ecoli http://t.co/iJ3KdNr62I,7.5875254,http://twitter.com/benjaminchapman/status/473297910503702529,http://twitter.com/benjaminchapman
06/02/14,http://twitter.com/sixwaylymie/status/473350492894928896,sixwaylymie,Leptospira And E. Coli Caught In The Act Of Conjugation | © 2009 SU http://t.co/fVRdCO2yOw #leptospira #ecoli #lyme #spirochete #disease,7.14587,http://twitter.com/sixwaylymie/status/473350492894928896,http://twitter.com/sixwaylymie
06/02/14,http://twitter.com/hipsfish/status/473421182624997377,hipsfish,Mound releases untreated wastewater #BadIdea #illness #EColi  http://t.co/TISUe6GsE3,7.8075433,http://twitter.com/hipsfish/status/473421182624997377,http://twitter.com/hipsfish
06/02/14,http://twitter.com/germogard/status/473566816019546112,germogard,Ordinary #antibacterial spray: Germ free now. #Germogard = Germ free for WEEKS! #mrsa #cdiff #ecoli #vre #kpneumoniae http://t.co/CP6nMw0t9u,6.9853334,http://twitter.com/GermOGard/status/473566816019546112,http://twitter.com/germogard
06/02/14,http://twitter.com/biolojoie/status/473596784036810752,biolojoie,RT @ASMicrobiology: Recently #ecoli has made headlines for massive beef &amp; sprouts recalls. But not all #ecoli strains are bad. ^lg http://t…,7.8790517,http://twitter.com/Biolojoie/status/473596784036810752,http://twitter.com/biolojoie
06/02/14,http://twitter.com/rachaelflynn21/status/473604093097684993,rachaelflynn21,How Nicola is so photogenic is beyond me. #ecoli #family #drunk http://t.co/91I82zApei,8.160717,http://twitter.com/rachaelflynn21/status/473604093097684993,http://twitter.com/rachaelflynn21
06/03/14,http://twitter.com/ilona_osborne/status/473629720454516736,ilona_osborne,Keep a look out for the next update from the team at GRIMEWATCH at http://t.co/rV667QJtDo #blog #ecoli #foodsafefloors,8.472703,http://twitter.com/Ilona_Osborne/status/473629720454516736,http://twitter.com/ilona_osborne
06/03/14,http://twitter.com/boothie64/status/473632796791930881,boothie64,RT @Ilona_Osborne: Keep a look out for the next update from the team at GRIMEWATCH at http://t.co/rV667QJtDo #blog #ecoli #foodsafefloors,7.406652,http://twitter.com/Boothie64/status/473632796791930881,http://twitter.com/boothie64
06/03/14,http://twitter.com/natjg/status/473633148509507584,natjg,So I guess don't purify your body in the waters of Lake Minnetonka? #ecoli #untreatedsewage #oopsies,7.3312864,http://twitter.com/natjg/status/473633148509507584,http://twitter.com/natjg
06/03/14,http://twitter.com/ecoli_outbreak/status/473751400015335424,ecoli_outbreak,"Ten-minute scan that can save lives of men over 65: 'My sister Jane's husband, David, 57, di... http://t.co/EIQQsfYl4t #ecoli #ehec #hus",7.161162,http://twitter.com/eColi_Outbreak/status/473751400015335424,http://twitter.com/ecoli_outbreak
06/03/14,http://twitter.com/swimmer714/status/473771850145603585,swimmer714,@JohnsonKC  the glamorous life of a news reporter. :) #sewage #ecoli,7.5646663,http://twitter.com/swimmer714/status/473771850145603585,http://twitter.com/swimmer714
06/03/14,http://twitter.com/lucabuk/status/473786527559200768,lucabuk,"#VTEC #Ecoli #O157 is a horrible killer, via @barfblog - let's not forget when we deal with #foodsafety  http://t.co/hppOPP05c4",8.071865,http://twitter.com/LucaBuk/status/473786527559200768,http://twitter.com/lucabuk
06/03/14,http://twitter.com/aqualution/status/473790868038877184,aqualution,"100% Bird safe, Non-toxic, Effective, Kills bacteria, fungi &amp; viruses #Ecoli #Salmonella ... http://t.co/n5m7z8yUCX",7.060729,http://twitter.com/aqualution/status/473790868038877184,http://twitter.com/aqualution
06/03/14,http://twitter.com/guyheyber21/status/473816549023682560,guyheyber21,What a start to the day ! Beautiful morning beach workout with the @_FullStrength_ boys  #ecoli #bears,9.158461,http://twitter.com/GuyHeyber21/status/473816549023682560,http://twitter.com/guyheyber21
06/03/14,http://twitter.com/foodtestexperts/status/473817066274029568,foodtestexperts,"RT @LucaBuk: #VTEC #Ecoli #O157 is a horrible killer, via @barfblog - let's not forget when we deal with #foodsafety  http://t.co/hppOPP05c4",7.029916,http://twitter.com/FoodTestExperts/status/473817066274029568,http://twitter.com/foodtestexperts
06/03/14,http://twitter.com/voraciousvegan/status/473820865927581697,voraciousvegan,Recalled beef linked to E.Coli cases http://t.co/0OnawlDakQ #meat #beef #ecoli #avoidbeef,7.5736666,http://twitter.com/VoraciousVegan/status/473820865927581697,http://twitter.com/voraciousvegan
