firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/carisls/status/473127671141249024,carisls,"Study suggests #esophageal, GEJ, gastric &amp; #gallbladder cancers could benefit from HER2 targeted therapies http://t.co/zNMgDhBRO9 #ASCO14",7.893402,http://twitter.com/carisls/status/473127671141249024,http://twitter.com/carisls
06/02/14,http://twitter.com/nyudocs/status/473443442862096385,nyudocs,"It's time for OPEN GASTRO PHONES w/ @DoctorIra 830-9amET 877-698-3627 #Gallbladder, #Stomach, #Esophagus #GERD",10.6726,http://twitter.com/NYUDocs/status/473443442862096385,http://twitter.com/nyudocs
06/02/14,http://twitter.com/doctorira/status/473444200441454592,doctorira,"RT @NYUDocs: It's time for OPEN GASTRO PHONES w/ @DoctorIra 830-9amET 877-698-3627 #Gallbladder, #Stomach, #Esophagus #GERD",6.6392307,http://twitter.com/doctorira/status/473444200441454592,http://twitter.com/doctorira
06/02/14,http://twitter.com/brandikorth2/status/473542571185405952,brandikorth2,Surgery finally scheduled for next Monday! Just gotta make it through this week and finally getting this sucker out!#iwantfood #gallbladder,7.98878,http://twitter.com/BrandiKorth2/status/473542571185405952,http://twitter.com/brandikorth2
06/03/14,http://twitter.com/modernmummyuk/status/473836875804053504,modernmummyuk,"Is olive oil ok after #gallbladder #surgery? Been told to avoid coconut &amp; palm oils, fats &amp; dairy - what other options do I have?!! #help",10.7608795,http://twitter.com/ModernMummyUK/status/473836875804053504,http://twitter.com/modernmummyuk
06/03/14,http://twitter.com/jennymortimer1/status/473838765107331072,jennymortimer1,"RT @ModernMummyUK: Is olive oil ok after #gallbladder #surgery? Been told to avoid coconut &amp; palm oils, fats &amp; dairy - what other options d…",6.718666,http://twitter.com/JennyMortimer1/status/473838765107331072,http://twitter.com/jennymortimer1
06/03/14,http://twitter.com/sinhuellavzla/status/473898168254758913,sinhuellavzla,Notice how the magnetic devices are able to traction the #gallbladder http://t.co/oq2Zl80nET http://t.co/892YvKgCyQ,8.427704,http://twitter.com/sinhuellavzla/status/473898168254758913,http://twitter.com/sinhuellavzla
06/03/14,http://twitter.com/nikki_mccomas/status/473920925121798144,nikki_mccomas,I'm a month post-op as of today.  Rocking 4 awesome scars on my abdomen.  #gallbladder #surgery #scars,7.6125193,http://twitter.com/Nikki_McComas/status/473920925121798144,http://twitter.com/nikki_mccomas
06/03/14,http://twitter.com/gemmamenzies/status/473933550979280897,gemmamenzies,Hates being in pain #gallbladder #stones 😖,8.585153,http://twitter.com/gemmamenzies/status/473933550979280897,http://twitter.com/gemmamenzies
06/03/14,http://twitter.com/cuckooqueen/status/473942363090329601,cuckooqueen,Home recovering after #alien #Gallbladder finally out. Now for recovery b4 July fundraiser for #Pancreaticcanceruk,7.7421284,http://twitter.com/cuckooqueen/status/473942363090329601,http://twitter.com/cuckooqueen
06/04/14,http://twitter.com/brandilynne_12/status/474075833641230338,brandilynne_12,Thought I'd try to eat a cracker. BIG MISTAKE!!! I feel like I'm dying with all of this #gallbladder crap. I just need it out already. 😞,8.1710615,http://twitter.com/BrandiLynne_12/status/474075833641230338,http://twitter.com/brandilynne_12
06/05/14,http://twitter.com/dadamaax/status/474363868580683778,dadamaax,"Apparently, I'm a rare medical case. My stones filled 2 jars :O #Laparoscopy #GallBladder… http://t.co/jqizsjbo6D",7.881747,http://twitter.com/Dadamaax/status/474363868580683778,http://twitter.com/dadamaax
06/05/14,http://twitter.com/mstanyabranning/status/474432037387272193,mstanyabranning,"Y'know @Dan_Rigsby, #ShoulderBlade #pain can be warning sign of #GallBladder probs? Tends to be on right -but not always. Get well soon! Txx",8.104015,http://twitter.com/mstanyabranning/status/474432037387272193,http://twitter.com/mstanyabranning
06/05/14,http://twitter.com/tiffianysamples/status/474573112575799296,tiffianysamples,Dang near waited almost 2 hours to go back and now waiting over 20 minutes to see the doctor!! #urgentcare #gallbladder #overit,7.895615,http://twitter.com/TiffianySamples/status/474573112575799296,http://twitter.com/tiffianysamples
06/05/14,http://twitter.com/louhout/status/474578735816273920,louhout,"My gallbladder was taken from me this day a year ago - June 5, 2013. I'll never forget you. #RIP #gallbladder http://t.co/E0ojweLS1i",7.780543,http://twitter.com/LouHout/status/474578735816273920,http://twitter.com/louhout
06/05/14,http://twitter.com/jessirose97/status/474637064462278656,jessirose97,This just happened. #GallBladder @Sarah_B_Son http://t.co/ixbU42peER,9.915707,http://twitter.com/jessirose97/status/474637064462278656,http://twitter.com/jessirose97
06/05/14,http://twitter.com/sarah_b_son/status/474637392373358592,sarah_b_son,RT @jessirose97: This just happened. #GallBladder @Sarah_B_Son http://t.co/ixbU42peER,7.9436064,http://twitter.com/Sarah_B_Son/status/474637392373358592,http://twitter.com/sarah_b_son
06/06/14,http://twitter.com/carrraaayyy/status/474819127140679680,carrraaayyy,Feels like shit... seriously considering the er on the morning. #gallbladder or #heartattack #whoknows,8.289873,http://twitter.com/carrraaayyy/status/474819127140679680,http://twitter.com/carrraaayyy
06/06/14,http://twitter.com/fatassbarbie/status/474917866706202624,fatassbarbie,"To everyone that says having your #gallbladder out is a piece of cake, IDK WTF kind of cake you're eating but get a new fucking baker.",11.352907,http://twitter.com/FatAssBarbie/status/474917866706202624,http://twitter.com/fatassbarbie
06/06/14,http://twitter.com/mainemoosetrax/status/474972693771476993,mainemoosetrax,@bookrarian eating is for the week. Unless you want to keep your #gallbladder,8.358749,http://twitter.com/mainemoosetrax/status/474972693771476993,http://twitter.com/mainemoosetrax
06/07/14,http://twitter.com/justshai/status/475100878962446336,justshai,Fuck me. Maybe call one of the internists on Monday. #gallbladder,11.60633,http://twitter.com/justshai/status/475100878962446336,http://twitter.com/justshai
06/07/14,http://twitter.com/lizwood5outof7/status/475190828504064001,lizwood5outof7,I really hope my parents are right about this. #gallbladder #tums #shootmenow,8.30728,http://twitter.com/LizWood5outof7/status/475190828504064001,http://twitter.com/lizwood5outof7
06/08/14,http://twitter.com/jahhnoo/status/475537130727284737,jahhnoo,@AllieRoberts_ I can't eat spicy and fast food no more after my surgery 😫😫😭. #gallstones #in #gallbladder,7.714686,http://twitter.com/JahhNoo/status/475537130727284737,http://twitter.com/jahhnoo
06/09/14,http://twitter.com/_layitonme_/status/475810239279689728,_layitonme_,Out of surgery #gallbladder #surgery #gone #nomorepain #hungrynow #ineedaburger http://t.co/5jinRG7Uwb,7.6706476,http://twitter.com/_layitonme_/status/475810239279689728,http://twitter.com/_layitonme_
