firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/khumuu/status/473102938110308354,khumuu,"strumming my pain with his fingers
killing me softly with his Breaath #Halitosis",7.997308,http://twitter.com/Khumuu/status/473102938110308354,http://twitter.com/khumuu
06/01/14,http://twitter.com/drkencirkadmd/status/473123112373198848,drkencirkadmd,What can you do to prevent bad breath? #dental #oralcare #dentalcare #halitosis http://t.co/x5IqJX6xoz,7.4655976,http://twitter.com/DrKenCirkaDMD/status/473123112373198848,http://twitter.com/drkencirkadmd
06/02/14,http://twitter.com/miasodesign/status/473288980923170817,miasodesign,@jemx0 Hmmm. I have a ton of client meetings…maybe not such a good idea :) #halitosis,10.781531,http://twitter.com/miasodesign/status/473288980923170817,http://twitter.com/miasodesign
06/02/14,http://twitter.com/searchremedy/status/473402292217999360,searchremedy,12 Home Remedies For Halitosis  http://t.co/EhtssvDNxr  #Halitosis http://t.co/j2bnmr1VOg,8.480135,http://twitter.com/searchremedy/status/473402292217999360,http://twitter.com/searchremedy
06/02/14,http://twitter.com/healthsb/status/473463618630340608,healthsb,Your Favourite: Common causes and cure of #Halitosis? (Bad Breath) http://t.co/dAmkIxhv3x #WorldCup #health #dentist http://t.co/7rlkT1Vb65,8.8424015,http://twitter.com/HealthSB/status/473463618630340608,http://twitter.com/healthsb
06/02/14,http://twitter.com/globalwalyy/status/473465828005138432,globalwalyy,RT @HealthSB: Your Favourite: Common causes and cure of #Halitosis? (Bad Breath) http://t.co/dAmkIxhv3x #WorldCup #health #dentist http://t…,7.343903,http://twitter.com/Globalwalyy/status/473465828005138432,http://twitter.com/globalwalyy
06/02/14,http://twitter.com/jameshenry600/status/473466285309702144,jameshenry600,RT @HealthSB: Your Favourite: Common causes and cure of #Halitosis? (Bad Breath) http://t.co/dAmkIxhv3x #WorldCup #health #dentist http://t…,7.343903,http://twitter.com/JamesHenry600/status/473466285309702144,http://twitter.com/jameshenry600
06/02/14,http://twitter.com/rdwright87/status/473488669643665409,rdwright87,Why do the people with horrible breath never understand the personal space concept #halitosis #pleasebackaway,7.869805,http://twitter.com/rdwright87/status/473488669643665409,http://twitter.com/rdwright87
06/02/14,http://twitter.com/dclaserdentist/status/473503792445808640,dclaserdentist,Here to help with difficult topic Dr. Cotca and @NBCBarbara discussing causes and treatments of #badbreath #halitosis http://t.co/m1xOsZbfGW,7.3162026,http://twitter.com/dclaserdentist/status/473503792445808640,http://twitter.com/dclaserdentist
06/02/14,http://twitter.com/therapistsa_z/status/473560508688523264,therapistsa_z,Check out these easy and natural remedies for bad breathe. http://t.co/aQKvfWa8Af  #Ayurveda #health  #halitosis,7.990831,http://twitter.com/TherapistsA_Z/status/473560508688523264,http://twitter.com/therapistsa_z
06/02/14,http://twitter.com/prettiedove/status/473594735391965184,prettiedove,From my #Archives. #HALITOSIS. Read and share. WATCH YOUR MOUTH!!!! | doctelonline http://t.co/b4tzzN5K5I,11.382494,http://twitter.com/prettiedove/status/473594735391965184,http://twitter.com/prettiedove
06/03/14,http://twitter.com/drewmulligan/status/473619634097094656,drewmulligan,I think this guy was chewing on cat shit before he came to grab his wives cell phone tonight #rancid #halitosis,7.811895,http://twitter.com/drewmulligan/status/473619634097094656,http://twitter.com/drewmulligan
