firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/simonshaw7/status/473008229849763840,simonshaw7,Feeling v fresh this morning considering @ppjhbcfc tried to kill me with worlds strongest jäger #heartburn,7.624705,http://twitter.com/simonshaw7/status/473008229849763840,http://twitter.com/simonshaw7
06/01/14,http://twitter.com/keisha_cash/status/473012428587143168,keisha_cash,Tired as fuck. Can't lay down... #HEARTBURN #BACKPAIN 😫😫😫,8.434674,http://twitter.com/Keisha_cash/status/473012428587143168,http://twitter.com/keisha_cash
06/01/14,http://twitter.com/noodle1bug/status/473046641226694656,noodle1bug,Tacos and a shake...my work here is done #tacos #twofornintynine #nosleeptonight #heartburn #imold… http://t.co/PqjwTXysTN,7.518293,http://twitter.com/noodle1bug/status/473046641226694656,http://twitter.com/noodle1bug
06/01/14,http://twitter.com/roblj23/status/473052484899176448,roblj23,The drink of milk is my best friend today! #heartburn #toomuchalcohol #hanging,8.018937,http://twitter.com/roblj23/status/473052484899176448,http://twitter.com/roblj23
06/01/14,http://twitter.com/mynameisliang/status/473109846968246272,mynameisliang,Woke up hung over and drank too much OJ. #dying #heartburn #gettingold #almostthirty,7.5910125,http://twitter.com/mynameisliang/status/473109846968246272,http://twitter.com/mynameisliang
06/01/14,http://twitter.com/tfonl/status/473117671635312640,tfonl,The bible is spiritual food for the believer. #fireworks #heartburn,8.143927,http://twitter.com/TFONL/status/473117671635312640,http://twitter.com/tfonl
06/01/14,http://twitter.com/tfonl/status/473119826475765761,tfonl,You will not grow in your faith without regular encounters with God's word.  #fireworks #heartburn,7.867154,http://twitter.com/TFONL/status/473119826475765761,http://twitter.com/tfonl
06/01/14,http://twitter.com/tfonl/status/473121073727569920,tfonl,"To sustain your fire, you must read your bible daily, devotionally, and developmentally.  #fireworks #heartburn",7.505373,http://twitter.com/TFONL/status/473121073727569920,http://twitter.com/tfonl
06/01/14,http://twitter.com/tfonl/status/473121970574602241,tfonl,"When you grow in your faith and mature you spend time talking about God's grace, not who's going hell.  #fireworks #heartburn",7.793057,http://twitter.com/TFONL/status/473121970574602241,http://twitter.com/tfonl
06/01/14,http://twitter.com/keronstreep/status/473123149958377472,keronstreep,#MerylStreep / #JackNicholson / #Heartburn http://t.co/yRm8cNGpXk,8.201024,http://twitter.com/KeronStreep/status/473123149958377472,http://twitter.com/keronstreep
06/01/14,http://twitter.com/tfonl/status/473126100923871234,tfonl,"Stop praying to be great.  Instead, pray asking to be who God called you to be #fireworks #heartburn",8.045346,http://twitter.com/TFONL/status/473126100923871234,http://twitter.com/tfonl
06/01/14,http://twitter.com/getexcellence/status/473131636037804032,getexcellence,"Say Goodbye to the Symptoms of Acid Reflux, Painful, Burning Sensation in Chest, #Heartburn &amp; Nausea @ http://t.co/CQdUFjvcne #IBOtoolbox",7.269691,http://twitter.com/GetExcellence/status/473131636037804032,http://twitter.com/getexcellence
06/01/14,http://twitter.com/markdotpeters5/status/473152346441412608,markdotpeters5,#heartburn cure http://t.co/5aPvynBjny,8.963815,http://twitter.com/MarkDotPeters5/status/473152346441412608,http://twitter.com/markdotpeters5
06/01/14,http://twitter.com/belizabeth86/status/473161618352640000,belizabeth86,#brunch #hoboken #bloodymary #daydate #heartburn 🍴🍅☀️ http://t.co/34KnCeQdjf,7.459324,http://twitter.com/belizabeth86/status/473161618352640000,http://twitter.com/belizabeth86
06/01/14,http://twitter.com/lmsalguero/status/473161647457316864,lmsalguero,I really need to learn my lesson about food at sheetz #heartburn,9.157922,http://twitter.com/LmSalguero/status/473161647457316864,http://twitter.com/lmsalguero
06/01/14,http://twitter.com/misfitmagnolia/status/473190508081475584,misfitmagnolia,Ugh why in the hell did I decide to workout right after having pizza for lunch?? #Heartburn,7.459324,http://twitter.com/MisfitMagnolia/status/473190508081475584,http://twitter.com/misfitmagnolia
06/01/14,http://twitter.com/coxria/status/473217019396239360,coxria,Note to self dont eat curry a couple of hours before you go sleep #heartburn😣😣,8.269343,http://twitter.com/coxria/status/473217019396239360,http://twitter.com/coxria
06/01/14,http://twitter.com/adjames22/status/473221583566553088,adjames22,Ate more pork than was healthy today and still loads left. Pork curry?  #heartburn,7.6353555,http://twitter.com/ADJames22/status/473221583566553088,http://twitter.com/adjames22
06/01/14,http://twitter.com/marilynbarbie21/status/473228234872868864,marilynbarbie21,"You should never double fist wine and rum. #heartburn Also, don't drink a whole bottle of wine and 3/4 of a bottle of rum in 2 hours.",7.680933,http://twitter.com/marilynbarbie21/status/473228234872868864,http://twitter.com/marilynbarbie21
06/01/14,http://twitter.com/jwlayman/status/473237921156567040,jwlayman,$1 pizza makes your heart feel like it's dying #NYC #CityTips #HeartBurn,10.971842,http://twitter.com/Jwlayman/status/473237921156567040,http://twitter.com/jwlayman
06/02/14,http://twitter.com/kiararomance/status/473254914995798016,kiararomance,fucking sleepless #heartburn,8.893928,http://twitter.com/KiaraRomance/status/473254914995798016,http://twitter.com/kiararomance
06/02/14,http://twitter.com/ari_mandell/status/473269687917109249,ari_mandell,Been addicted to Mexican food since day one #heartburn,8.521175,http://twitter.com/Ari_Mandell/status/473269687917109249,http://twitter.com/ari_mandell
06/02/14,http://twitter.com/shelbs_003/status/473283592945418240,shelbs_003,I'm never eating an hour before a long run ever again😂😭😐 #heartburn,8.52135,http://twitter.com/Shelbs_003/status/473283592945418240,http://twitter.com/shelbs_003
06/02/14,http://twitter.com/yotesgurl/status/473290100936151040,yotesgurl,Rolaids should fucking buy advertising for this series.  #Heartburn #pain #Stress,11.201083,http://twitter.com/Yotesgurl/status/473290100936151040,http://twitter.com/yotesgurl
06/02/14,http://twitter.com/meganrazzy/status/473290928744980480,meganrazzy,Running two miles for speed after a huge steak dinner is not one of my wisest moments #heartburn #sidecrampcity,8.377794,http://twitter.com/meganrazzy/status/473290928744980480,http://twitter.com/meganrazzy
06/02/14,http://twitter.com/apothecary21c/status/473297979244171264,apothecary21c,Heartburn - A Holistic Approach | Holistic Health &amp; Living http://t.co/UCQdlughAh #video #heartburn #naturalcure,10.747959,http://twitter.com/apothecary21c/status/473297979244171264,http://twitter.com/apothecary21c
06/02/14,http://twitter.com/b_margeaux/status/473299045092691969,b_margeaux,Maybe tomorrow when I wake up I will feel better. And not so crunchy. #sunburnt #heartburn #blehh,7.898801,http://twitter.com/B_Margeaux/status/473299045092691969,http://twitter.com/b_margeaux
06/02/14,http://twitter.com/megmccloud/status/473311700872351744,megmccloud,Why oh why did I eat those jalopenos   🔥🔥🔥🔥🔥🔥🔥 #heartburn,8.395592,http://twitter.com/MegMcCloud/status/473311700872351744,http://twitter.com/megmccloud
06/02/14,http://twitter.com/carsonjadams/status/473320039223812096,carsonjadams,Never eating pizza again! #Heartburn #LateNightPChopRun #AtLeastItsOnSale :) http://t.co/IESkigopgZ,7.358724,http://twitter.com/CarsonJAdams/status/473320039223812096,http://twitter.com/carsonjadams
06/02/14,http://twitter.com/superxoxostar/status/473321998798430208,superxoxostar,My kinda lunch. :( #heartburn #gaviscon #imnotcool http://t.co/bdzui29FTg,7.586977,http://twitter.com/SuperXOXOstar/status/473321998798430208,http://twitter.com/superxoxostar
06/02/14,http://twitter.com/amyrants/status/473322856810422273,amyrants,Crinkle fries were a poor choice for midnight snacking #heartburn #heartbreak,7.8143787,http://twitter.com/amyrants/status/473322856810422273,http://twitter.com/amyrants
