firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/juleslevin1/status/473060194373894144,juleslevin1,HCV &amp; Extrahepatic Mortality-kidney/heart/cancer http://t.co/GLfMuOTn62 #hcv #hepc #hepaware #ddw14 #hepatitis #hepatitisc #ILC2014,6.4679313,http://twitter.com/JulesLevin1/status/473060194373894144,http://twitter.com/juleslevin1
06/01/14,http://twitter.com/hep_alliance/status/473061678267891713,hep_alliance,"Action Guides on new #hepatitis C treatment released. Action steps for patients, clinicians &amp; policymakers #HCV #HepC http://t.co/QJNuC5SBy3",8.345843,http://twitter.com/Hep_Alliance/status/473061678267891713,http://twitter.com/hep_alliance
06/01/14,http://twitter.com/kweintraub/status/473090982406520832,kweintraub,"The cost of a ""medical miracle."" HepC drug is extremely effective with few side effects, but whopping price tag http://t.co/SLtxOYIJh3 #hepc",10.552043,http://twitter.com/kweintraub/status/473090982406520832,http://twitter.com/kweintraub
06/01/14,http://twitter.com/dgivaa/status/473137146555932672,dgivaa,"RT @HepatitisMongol: 5. Not only the liver cancer mortality in Mongolia is high, but also it has been steadily increasing #Hepatitis #hepc …",7.1523895,http://twitter.com/dgivaa/status/473137146555932672,http://twitter.com/dgivaa
06/01/14,http://twitter.com/simonshaw83/status/473205917434249217,simonshaw83,@curetheNHS @GiletGirl @Jeremy_Hunt 3.5k @PHSOmbudsman #tbi #hepc meds SICK @andyburnhammp #NHS @tomsanguish @NHSLA http://t.co/l7IfqCcvn3,6.6818433,http://twitter.com/simonshaw83/status/473205917434249217,http://twitter.com/simonshaw83
06/02/14,http://twitter.com/hepatitismag/status/473265277279686656,hepatitismag,"#HepC: The Basics - How is it diagnosed, and what tests are used? #hepatitis #HCV http://t.co/hx88qA8gz6",7.1117563,http://twitter.com/hepatitismag/status/473265277279686656,http://twitter.com/hepatitismag
06/02/14,http://twitter.com/loriclaxton/status/473274538336063489,loriclaxton,"Hepatitis C: The Basics : How is it diagnosed, and what tests are used? http://t.co/thP14AHv7x #hepc
#harmreduction",7.3664546,http://twitter.com/LoriClaxton/status/473274538336063489,http://twitter.com/loriclaxton
06/02/14,http://twitter.com/bensonndehi/status/473319816561188864,bensonndehi,@PeterLaBarbera @AllAliveTonight It's awesome for stock of drug giants like Gilead Sciences but terrible for patients. #HIV #HepC,7.1781764,http://twitter.com/bensonndehi/status/473319816561188864,http://twitter.com/bensonndehi
06/02/14,http://twitter.com/simonshaw83/status/473422968039936000,simonshaw83,@CompensationGRP @headinjuryuk 6yrs @NHSNightmares #tbi #hepc meds horror @PHSOmbudsman 3.5k WTF @hepatitisihelpc @tomsanguish @DHgovuk #FF,8.369926,http://twitter.com/simonshaw83/status/473422968039936000,http://twitter.com/simonshaw83
06/02/14,http://twitter.com/sanguenhepc/status/473427278379376640,sanguenhepc,"It is estimated that between 250,000 – 300,000 Canadians are infected with Hepatitis C. #HepC #Askabouttreatment #ThereIsACure",6.961028,http://twitter.com/SanguenHepC/status/473427278379376640,http://twitter.com/sanguenhepc
