firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/scienceofmed/status/473107832502779904,scienceofmed,RT @AfricaEmed: Liver diseases that can increase the risk of #LiverCancer include hemochromatosis and Wilson's disease. http://t.co/6cwFYxG…,7.3978095,http://twitter.com/ScienceOfMed/status/473107832502779904,http://twitter.com/scienceofmed
06/01/14,http://twitter.com/bayerhealthcare/status/473159695633747968,bayerhealthcare,"HCC accounts for 70-85% of the total #livercancer burden, it’s one of the major subtypes in liver cancer. #ASCO14 http://t.co/hA8lC3GVAc",10.248793,http://twitter.com/BayerHealthCare/status/473159695633747968,http://twitter.com/bayerhealthcare
06/01/14,http://twitter.com/bayerhealthcare/status/473171791897448449,bayerhealthcare,#livercancer is the 2nd leading cause of cancer-related deaths globally. Learn more http://t.co/hA8lC3GVAc #ASCO http://t.co/H5LGiwOEow,10.759588,http://twitter.com/BayerHealthCare/status/473171791897448449,http://twitter.com/bayerhealthcare
06/01/14,http://twitter.com/bayerhealthcare/status/473184888322269184,bayerhealthcare,"We present #livercancer data at #ASCO14. #DYK there are 748,300 new cases annually http://t.co/hA8lC3GVAc http://t.co/nLZIKSDLSn",11.506874,http://twitter.com/BayerHealthCare/status/473184888322269184,http://twitter.com/bayerhealthcare
06/01/14,http://twitter.com/thegreatmagic/status/473186004602744832,thegreatmagic,"RT @BayerHealthCare: We present #livercancer data at #ASCO14. #DYK there are 748,300 new cases annually http://t.co/hA8lC3GVAc http://t.co/…",10.490471,http://twitter.com/TheGreatmagic/status/473186004602744832,http://twitter.com/thegreatmagic
06/02/14,http://twitter.com/joint_surprise/status/473276133874495488,joint_surprise,"#Coffeebeans provide protection from #diabetes, #Parkinson’sdisease, #livercancer, and even #prostatecancer! http://t.co/KLeL8bvKPw",8.304277,http://twitter.com/Joint_Surprise/status/473276133874495488,http://twitter.com/joint_surprise
06/02/14,http://twitter.com/sushery/status/473411063447179264,sushery,Need better medical treatment for veterans. Explanation for losing weight pull teeth. #livercancer WOW!!,7.8355765,http://twitter.com/sushery/status/473411063447179264,http://twitter.com/sushery
06/02/14,http://twitter.com/healthy_liver/status/473430097337516032,healthy_liver,Tips on How to Prevent #LiverCancer http://t.co/UGSwCgZIu4 #liverdisease #cirrhosis #hepatitis via @MayoClinic,8.352592,http://twitter.com/healthy_liver/status/473430097337516032,http://twitter.com/healthy_liver
06/02/14,http://twitter.com/fattylivertreat/status/473430120251027456,fattylivertreat,Tips on How to Prevent #LiverCancer http://t.co/tXdewPbW4g #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.523632,http://twitter.com/fattylivertreat/status/473430120251027456,http://twitter.com/fattylivertreat
06/02/14,http://twitter.com/cirrhosisliver/status/473430142686363648,cirrhosisliver,Tips on How to Prevent #LiverCancer http://t.co/adRRpcdjdt #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.5749435,http://twitter.com/CirrhosisLiver/status/473430142686363648,http://twitter.com/cirrhosisliver
06/02/14,http://twitter.com/liverenzymes/status/473430142984146945,liverenzymes,Tips on How to Prevent #LiverCancer http://t.co/fpYuD8hA7I #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.523632,http://twitter.com/liverenzymes/status/473430142984146945,http://twitter.com/liverenzymes
06/02/14,http://twitter.com/fattylivercures/status/473430142807965696,fattylivercures,Tips on How to Prevent #LiverCancer http://t.co/ySGXA6m0Ls #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.493443,http://twitter.com/FattyLiverCures/status/473430142807965696,http://twitter.com/fattylivercures
06/02/14,http://twitter.com/liverbasics/status/473430142938013696,liverbasics,Tips on How to Prevent #LiverCancer http://t.co/i4XCFP58zl #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.493443,http://twitter.com/liverbasics/status/473430142938013696,http://twitter.com/liverbasics
06/02/14,http://twitter.com/rangipettersson/status/473430159760961536,rangipettersson,Tips on How to Prevent #LiverCancer http://t.co/MleVYL7GsR #liverdisease #cirrhosis #hepatitis via @MayoClinic http://t.co/qE50KHvCWi,7.532169,http://twitter.com/rangipettersson/status/473430159760961536,http://twitter.com/rangipettersson
06/02/14,http://twitter.com/livercancerconn/status/473469208651919361,livercancerconn,Can-Fite's CF102 has FDA's Orphan Drug Designation for the TX of advanced hepatocellular carcinoma #livercancer http://t.co/EUXSMi7l9z,6.934347,http://twitter.com/LiverCancerConn/status/473469208651919361,http://twitter.com/livercancerconn
06/02/14,http://twitter.com/jmpawlotsky/status/473485890174861312,jmpawlotsky,RT @healthy_liver: Tips on How to Prevent #LiverCancer http://t.co/UGSwCgZIu4 #liverdisease #cirrhosis #hepatitis via @MayoClinic,7.2651243,http://twitter.com/JMPawlotsky/status/473485890174861312,http://twitter.com/jmpawlotsky
06/02/14,http://twitter.com/livercancerconn/status/473490513862356993,livercancerconn,#Livercancer without #cirrhosis surprisingly common: Is #NAFLD the cause? #fattyliver http://t.co/VZTcrG0Oy2,11.624587,http://twitter.com/LiverCancerConn/status/473490513862356993,http://twitter.com/livercancerconn
06/02/14,http://twitter.com/pharmspective/status/473502508711555072,pharmspective,Can-Fite $CANF Announces that the @US_FDA has Agreed with its Phase II #LiverCancer Protocol http://t.co/G3PVY8LOMl #cancertreatment,7.118883,http://twitter.com/Pharmspective/status/473502508711555072,http://twitter.com/pharmspective
06/02/14,http://twitter.com/legalonmadaus/status/473572473083289602,legalonmadaus,RT @LiverCancerConn: #Livercancer without #cirrhosis surprisingly common: Is #NAFLD the cause? #fattyliver http://t.co/VZTcrG0Oy2,10.358243,http://twitter.com/LegalonMadaus/status/473572473083289602,http://twitter.com/legalonmadaus
06/03/14,http://twitter.com/tcsf2/status/473697790929813505,tcsf2,"Why colon cancer metastasis always follows the same invasive pattern
http://t.co/xw4njuggWq
#livercancer",7.889342,http://twitter.com/tcsf2/status/473697790929813505,http://twitter.com/tcsf2
06/03/14,http://twitter.com/tcsf2/status/473697793375096833,tcsf2,"Former student with cancer walks with Westminster grads
http://t.co/ecRFCGxYtD
#livercancer",8.128255,http://twitter.com/tcsf2/status/473697793375096833,http://twitter.com/tcsf2
