firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/rad_nation/status/473456751925530624,rad_nation,Preoperative chemoRT &amp; postop 5-FUoxali vs 5-FU in locally advanced #rectalcancer http://t.co/1UD4N2J0W0 #ASCO14 #crcsm #hcsm #radonc,7.4518847,http://twitter.com/Rad_Nation/status/473456751925530624,http://twitter.com/rad_nation
06/02/14,http://twitter.com/subatomicdoc/status/473456775354908672,subatomicdoc,Preoperative chemoRT &amp; postop 5-FUoxali vs 5-FU in locally advanced #rectalcancer http://t.co/HiQ1fREfo7 #ASCO14 #crcsm #hcsm #radonc,9.997775,http://twitter.com/subatomicdoc/status/473456775354908672,http://twitter.com/subatomicdoc
06/02/14,http://twitter.com/radioncbotjp/status/473470169172283394,radioncbotjp,RT @Rad_Nation: Preoperative chemoRT &amp; postop 5-FUoxali vs 5-FU in locally advanced #rectalcancer http://t.co/1UD4N2J0W0 #ASCO14 #crcsm #hc…,6.536101,http://twitter.com/RadiOncBOTjp/status/473470169172283394,http://twitter.com/radioncbotjp
06/02/14,http://twitter.com/lucasvsmd/status/473500130277330945,lucasvsmd,#ASCO14 FOLFOX reduces recurrence in high risk pts with #rectalcancer after RCT-surgery. 3trials presented today. @asco @GlopesMd,8.929278,http://twitter.com/lucasvsmd/status/473500130277330945,http://twitter.com/lucasvsmd
06/02/14,http://twitter.com/glopesmd/status/473500180889608193,glopesmd,RT @lucasvsmd: #ASCO14 FOLFOX reduces recurrence in high risk pts with #rectalcancer after RCT-surgery. 3trials presented today. @asco @Glo…,6.743214,http://twitter.com/GlopesMd/status/473500180889608193,http://twitter.com/glopesmd
06/06/14,http://twitter.com/coloncanceruk/status/474978627621519361,coloncanceruk,RT @CRWLibrary: capecitabine + oxaliplatin prior to and concomitant to radiotherapy in high risk locally advanced #rectalcancer. http://t.c…,7.3917203,http://twitter.com/ColonCancerUK/status/474978627621519361,http://twitter.com/coloncanceruk
06/07/14,http://twitter.com/cancerassassin1/status/475417932571627520,cancerassassin1,RT @lucasvsmd: #ASCO14 FOLFOX reduces recurrence in high risk pts with #rectalcancer after RCT-surgery. 3trials presented today. @asco @Glo…,6.743214,http://twitter.com/cancerassassin1/status/475417932571627520,http://twitter.com/cancerassassin1
06/11/14,http://twitter.com/intsurg/status/476653883797041152,intsurg,Postoperative Adjuvant Radiation Therapy for Advanced Cancer http://t.co/k59dPkdE8X #rectalcancer #radiationtheraphy #advancedrectalcancer,7.397988,http://twitter.com/IntSurg/status/476653883797041152,http://twitter.com/intsurg
06/12/14,http://twitter.com/shewithlynch/status/477184161208225792,shewithlynch,"I learned via @Medivizor about ""Comparing the safety and efficac...#RectalCancer"" http://t.co/lsP7dmuzsc:",11.961609,http://twitter.com/ShewithLynch/status/477184161208225792,http://twitter.com/shewithlynch
06/12/14,http://twitter.com/givoly/status/477192581302874112,givoly,"RT @ShewithLynch: I learned via @Medivizor about ""Comparing the safety and efficac...#RectalCancer"" http://t.co/lsP7dmuzsc:",10.681855,http://twitter.com/givoly/status/477192581302874112,http://twitter.com/givoly
