firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/03/14,http://twitter.com/cushings101/status/473673294164410368,cushings101,"RT @Novartis: #Cushings disease can lead to severe &amp; debilitating symptoms incl. rapid weight gain, high BP http://t.co/nsqZ1zXG",7.4092293,http://twitter.com/Cushings101/status/473673294164410368,http://twitter.com/cushings101
06/03/14,http://twitter.com/vhealthstats/status/473797592514822145,vhealthstats,"#Cushings disease is rare but serious, affects approx 35 ppl per million. Hear 1 woman’s story #CDAD13 http://t.co/FkyYmEomPP",7.7415037,http://twitter.com/vhealthstats/status/473797592514822145,http://twitter.com/vhealthstats
06/06/14,http://twitter.com/crazyivabigrack/status/475020715058814976,crazyivabigrack,Just great! Round 2 of more #tests #bloods and #midnight #medication for #cushings and an #overactivethyroid oh the joys along with #bipolar,7.446037,http://twitter.com/crazyivabigrack/status/475020715058814976,http://twitter.com/crazyivabigrack
06/07/14,http://twitter.com/pituitary_org/status/475305807505268736,pituitary_org,"Do you have #Cushings like @paulpottsmusic Download our information booklet FREE http://t.co/2weAmP4lwH 
#PituitaryAwareness",8.565644,http://twitter.com/Pituitary_org/status/475305807505268736,http://twitter.com/pituitary_org
06/07/14,http://twitter.com/jacksont0ny/status/475317464856031232,jacksont0ny,"RT @Pituitary_org: Do you have #Cushings like @paulpottsmusic Download our information booklet FREE http://t.co/2weAmP4lwH 
#PituitaryAware…",7.5439606,http://twitter.com/JacksonT0ny/status/475317464856031232,http://twitter.com/jacksont0ny
06/08/14,http://twitter.com/crazyivabigrack/status/475749045609455616,crazyivabigrack,I just want to go to #bed but not able too till after #midnight damn you #medication oh the joys of #cushings #testing then #bloods at #9am,7.6010513,http://twitter.com/crazyivabigrack/status/475749045609455616,http://twitter.com/crazyivabigrack
06/09/14,http://twitter.com/crazyivabigrack/status/475891575596535808,crazyivabigrack,"Okay, #steroid #medication really starting to make me #sick yet I can't #eat or #drink till after #9am grrrrr #cushings #bloods #tests #rarr",7.1262465,http://twitter.com/crazyivabigrack/status/475891575596535808,http://twitter.com/crazyivabigrack
06/09/14,http://twitter.com/cushingsconnect/status/476041784670183424,cushingsconnect,Help us spread the word about #Cushings and connect with the community. http://t.co/82UlHoITNT,9.955908,http://twitter.com/CushingsConnect/status/476041784670183424,http://twitter.com/cushingsconnect
06/09/14,http://twitter.com/fruitbowldxb/status/476042326507155457,fruitbowldxb,RT @CushingsConnect: Help us spread the word about #Cushings and connect with the community. http://t.co/82UlHoITNT,7.9937057,http://twitter.com/FruitbowlDXB/status/476042326507155457,http://twitter.com/fruitbowldxb
06/09/14,http://twitter.com/skipaway2000/status/476060556122923008,skipaway2000,Anyone got an older horse being treated for #cushings? Any advice/horror stories I need to hear b4 starting treatment on my little guy?,7.573135,http://twitter.com/skipaway2000/status/476060556122923008,http://twitter.com/skipaway2000
06/10/14,http://twitter.com/cushingsconnect/status/476404423409668097,cushingsconnect,Recently diagnosed or experiencing recurrence of #Cushings? We are here for you: http://t.co/S8fLxKLaZq,7.8294144,http://twitter.com/CushingsConnect/status/476404423409668097,http://twitter.com/cushingsconnect
06/11/14,http://twitter.com/novartis/status/476757130167320576,novartis,"US ONLY: If you’ve been diagnosed with #Cushings disease, get some quick facts through The Highlights Project http://t.co/FtK6Wzl2Xk",11.511261,http://twitter.com/Novartis/status/476757130167320576,http://twitter.com/novartis
06/11/14,http://twitter.com/cushingsconnect/status/476766814341304320,cushingsconnect,How did you decide on a treatment option for your #Cushings? http://t.co/lKCIUKEUPy,8.136096,http://twitter.com/CushingsConnect/status/476766814341304320,http://twitter.com/cushingsconnect
06/12/14,http://twitter.com/kateallenby/status/477027384081002496,kateallenby,Halfway through my first ever attempt at clipping... Nervous of lines #Cushings http://t.co/tu8IwOXnJM,8.28476,http://twitter.com/KateAllenby/status/477027384081002496,http://twitter.com/kateallenby
06/12/14,http://twitter.com/cushingsconnect/status/477129954384027648,cushingsconnect,"The treatment options for persistent #cushings are pituitary surgery, medication, radiation &amp; BLA - which have you tried?",7.190385,http://twitter.com/CushingsConnect/status/477129954384027648,http://twitter.com/cushingsconnect
06/13/14,http://twitter.com/cushingsconnect/status/477492342132195328,cushingsconnect,Did you know that initial remission rates of a first #pituitary surgery are 65-90%? #cushings,8.447486,http://twitter.com/CushingsConnect/status/477492342132195328,http://twitter.com/cushingsconnect
06/13/14,http://twitter.com/fruitbowldxb/status/477494561665605632,fruitbowldxb,RT @CushingsConnect: Did you know that initial remission rates of a first #pituitary surgery are 65-90%? #cushings,6.990811,http://twitter.com/FruitbowlDXB/status/477494561665605632,http://twitter.com/fruitbowldxb
06/13/14,http://twitter.com/novartis/status/477556310809247744,novartis,US ONLY: #Acromegaly &amp; #Cushings patients can learn everyday makeup tips &amp; tricks to boost their confidence http://t.co/8ckhSE0Ite,11.85955,http://twitter.com/Novartis/status/477556310809247744,http://twitter.com/novartis
06/13/14,http://twitter.com/pituitaryorg/status/477557573726375936,pituitaryorg,RT @Novartis: US ONLY: #Acromegaly &amp; #Cushings patients can learn everyday makeup tips &amp; tricks to boost their confidence http://t.co/8ckhS…,7.2415957,http://twitter.com/pituitaryorg/status/477557573726375936,http://twitter.com/pituitaryorg
06/13/14,http://twitter.com/pituitaryorg/status/477560573706502144,pituitaryorg,RT @CushingsConnect: Did you know that initial remission rates of a first #pituitary surgery are 65-90%? #cushings,6.990811,http://twitter.com/pituitaryorg/status/477560573706502144,http://twitter.com/pituitaryorg
06/14/14,http://twitter.com/manonday/status/477618165003059200,manonday,RT @Novartis: US ONLY: #Acromegaly &amp; #Cushings patients can learn everyday makeup tips &amp; tricks to boost their confidence http://t.co/8ckhS…,7.2415957,http://twitter.com/manonday/status/477618165003059200,http://twitter.com/manonday
06/14/14,http://twitter.com/swedish_sharpie/status/477877323803676672,swedish_sharpie,&gt; Damn you #Cushings! Damn you #ChronicFatigueSyndrome!,8.377402,http://twitter.com/Swedish_Sharpie/status/477877323803676672,http://twitter.com/swedish_sharpie
06/14/14,http://twitter.com/swedish_sharpie/status/477962904432820226,swedish_sharpie,"I wrote a blog post! In which I'm so done with my #Cushings and explain my #ChronicFatigueSyndrome
http://t.co/TBVWb9q7bj",7.9895263,http://twitter.com/Swedish_Sharpie/status/477962904432820226,http://twitter.com/swedish_sharpie
06/15/14,http://twitter.com/cushingsconnect/status/478217375242678274,cushingsconnect,#Cushings FAQ: What is transsphenoidal surgery?,7.8294144,http://twitter.com/CushingsConnect/status/478217375242678274,http://twitter.com/cushingsconnect
06/16/14,http://twitter.com/cushingsconnect/status/478580010979057665,cushingsconnect,"When choosing a neurosurgeon, look for someone who specializes in pituitary procedures. #cushings",7.9436727,http://twitter.com/CushingsConnect/status/478580010979057665,http://twitter.com/cushingsconnect
04/29/14,http://twitter.com/novartis/status/461067849654886400,pituitaryorg,RT @Novartis: Why is it so difficult to diagnose #pituitary tumors like #Cushings disease or #acromegaly? Experts weigh in here http://t.co…,8.099259,http://twitter.com/pituitaryorg/status/478651245607923712,http://twitter.com/pituitaryorg
06/16/14,http://twitter.com/moostwaard/status/478653766208856064,moostwaard,RT @Novartis: Why is it so difficult to diagnose #pituitary tumors like #Cushings disease or #acromegaly? Experts weigh in here http://t.co…,7.226272,http://twitter.com/MOostwaard/status/478653766208856064,http://twitter.com/moostwaard
06/17/14,http://twitter.com/zombietacteam/status/478774973562355712,zombietacteam,#studying #veterinary #cushings #syndrome #zombie #listening #cnblue #ftisland #wishmeluck #tomorrow by gmeli_cc http://t.co/S8k0FT70Ps,7.4997864,http://twitter.com/ZombieTacTeam/status/478774973562355712,http://twitter.com/zombietacteam
06/17/14,http://twitter.com/redwingsandie/status/478929344359063552,redwingsandie,Remember 90% of #laminitis cases are due to underlying disease like #Cushings. Get your free http://t.co/DMDFoFlB7w @RedwingsHS @TALaminitis,12.416767,http://twitter.com/RedwingsAndie/status/478929344359063552,http://twitter.com/redwingsandie
06/17/14,http://twitter.com/talaminitis/status/478942318368944128,talaminitis,RT @RedwingsAndie: Remember 90% of #laminitis cases are due to underlying disease like #Cushings. Get your free http://t.co/DMDFoFlB7w @Red…,7.1391745,http://twitter.com/TALaminitis/status/478942318368944128,http://twitter.com/talaminitis
06/17/14,http://twitter.com/cushingsconnect/status/478942654093225984,cushingsconnect,What is hypopituitarism?  It's a condition in which the #pituitary does not produce enough hormones. #cushings http://t.co/U7ESKjnkUl,7.5979342,http://twitter.com/CushingsConnect/status/478942654093225984,http://twitter.com/cushingsconnect
06/18/14,http://twitter.com/redwingshs/status/479171754251022336,redwingshs,RT @RedwingsAndie: Remember 90% of #laminitis cases are due to underlying disease like #Cushings. Get your free http://t.co/DMDFoFlB7w @Red…,10.444613,http://twitter.com/RedwingsHS/status/479171754251022336,http://twitter.com/redwingshs
06/18/14,http://twitter.com/titchychimpy/status/479174621330423808,titchychimpy,RT @RedwingsAndie: Remember 90% of #laminitis cases are due to underlying disease like #Cushings. Get your free http://t.co/DMDFoFlB7w @Red…,7.1391745,http://twitter.com/titchychimpy/status/479174621330423808,http://twitter.com/titchychimpy
06/18/14,http://twitter.com/adriftinthewood/status/479175241458262016,adriftinthewood,RT @RedwingsAndie: Remember 90% of #laminitis cases are due to underlying disease like #Cushings. Get your free http://t.co/DMDFoFlB7w @Red…,7.1391745,http://twitter.com/Adriftinthewood/status/479175241458262016,http://twitter.com/adriftinthewood
