firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/snellejelle2028/status/473033006832447488,snellejelle2028,1st place at the #duintriathlon Almere. Confidence for the Dutch championchips in Amsterdam june 8 #diabetesempowered http://t.co/NvkGH3wZlf,8.333274,http://twitter.com/SnelleJelle2028/status/473033006832447488,http://twitter.com/snellejelle2028
06/01/14,http://twitter.com/diabetesensport/status/473068841111912448,diabetesensport,RT @SnelleJelle2028: 1st place at the #duintriathlon Almere. Confidence for the Dutch championchips in Amsterdam june 8 #diabetesempowered …,7.243857,http://twitter.com/DiabetesenSport/status/473068841111912448,http://twitter.com/diabetesensport
06/01/14,http://twitter.com/bruss92/status/473079198555598848,bruss92,"The women are lined up and ready to go here @PhillyCycling, watch for #diabetesempowered @MorganPBrown #phillyclassic http://t.co/Wn50nZdXaG",12.053413,http://twitter.com/bruss92/status/473079198555598848,http://twitter.com/bruss92
06/01/14,http://twitter.com/philsoutherland/status/473082202675511296,philsoutherland,"RT @bruss92: The women are lined up and ready to go here @PhillyCycling, watch for #diabetesempowered @MorganPBrown #phillyclassic http://t…",10.426268,http://twitter.com/PhilSoutherland/status/473082202675511296,http://twitter.com/philsoutherland
06/01/14,http://twitter.com/michaelcollins/status/473090965104644098,michaelcollins,"RT @bruss92: The women are lined up and ready to go here @PhillyCycling, watch for #diabetesempowered @MorganPBrown #phillyclassic http://t…",10.323928,http://twitter.com/michaelcollins/status/473090965104644098,http://twitter.com/michaelcollins
06/01/14,http://twitter.com/teamnovonordisk/status/473100802920153088,teamnovonordisk,Congrats to triathlete Andreas Petz for winning his age group at @ironmantri 70.3 #Switzerland! #diabetesempowered http://t.co/7yBTfPPq1A,12.628282,http://twitter.com/teamnovonordisk/status/473100802920153088,http://twitter.com/teamnovonordisk
06/01/14,http://twitter.com/enianggra636/status/473101553700569089,enianggra636,RT @teamnovonordisk: Congrats to triathlete Andreas Petz for winning his age group at @ironmantri 70.3 #Switzerland! #diabetesempowered htt…,7.122341,http://twitter.com/enianggra636/status/473101553700569089,http://twitter.com/enianggra636
06/01/14,http://twitter.com/mariarodrigres/status/473103346166165504,mariarodrigres,RT @teamnovonordisk: Congrats to triathlete Andreas Petz for winning his age group at @ironmantri 70.3 #Switzerland! #diabetesempowered htt…,7.122341,http://twitter.com/MariaRodrigres/status/473103346166165504,http://twitter.com/mariarodrigres
06/01/14,http://twitter.com/philsoutherland/status/473104071059312640,philsoutherland,RT @teamnovonordisk: Congrats to triathlete Andreas Petz for winning his age group at @ironmantri 70.3 #Switzerland! #diabetesempowered htt…,10.393205,http://twitter.com/PhilSoutherland/status/473104071059312640,http://twitter.com/philsoutherland
06/01/14,http://twitter.com/rdn5cents/status/473106418170482688,rdn5cents,RT @teamnovonordisk: Congrats to triathlete Andreas Petz for winning his age group at @ironmantri 70.3 #Switzerland! #diabetesempowered htt…,7.122341,http://twitter.com/rdn5cents/status/473106418170482688,http://twitter.com/rdn5cents
06/01/14,http://twitter.com/janneheegaard/status/473109348890464256,janneheegaard,RT @teamnovonordisk: Congrats to triathlete Andreas Petz for winning his age group at @ironmantri 70.3 #Switzerland! #diabetesempowered htt…,7.122341,http://twitter.com/JanneHeegaard/status/473109348890464256,http://twitter.com/janneheegaard
06/01/14,http://twitter.com/morganpbrown/status/473125198477410304,morganpbrown,"RT @bruss92: The women are lined up and ready to go here @PhillyCycling, watch for #diabetesempowered @MorganPBrown #phillyclassic http://t…",7.155404,http://twitter.com/MorganPBrown/status/473125198477410304,http://twitter.com/morganpbrown
06/01/14,http://twitter.com/bruss92/status/473131437785645056,bruss92,"Team cars are staged and riders are lining up, look for #diabetesempowered @teamnovonordisk @PhillyCycling http://t.co/wOA7GadyFm",9.076746,http://twitter.com/bruss92/status/473131437785645056,http://twitter.com/bruss92
06/01/14,http://twitter.com/bruss92/status/473140667372544001,bruss92,@PhilSoutherland sharing @teamnovonordisk #diabetesempowered message here at #phillycycling classic! http://t.co/zuqdAdH3mS,8.887358,http://twitter.com/bruss92/status/473140667372544001,http://twitter.com/bruss92
06/01/14,http://twitter.com/a_civil_affair/status/473143190074437633,a_civil_affair,"RT @bruss92: Team cars are staged and riders are lining up, look for #diabetesempowered @teamnovonordisk @PhillyCycling http://t.co/wOA7Gad…",7.284748,http://twitter.com/A_Civil_Affair/status/473143190074437633,http://twitter.com/a_civil_affair
06/01/14,http://twitter.com/a_civil_affair/status/473145310106361857,a_civil_affair,RT @bruss92: @PhilSoutherland sharing @teamnovonordisk #diabetesempowered message here at #phillycycling classic! http://t.co/zuqdAdH3mS,7.122341,http://twitter.com/A_Civil_Affair/status/473145310106361857,http://twitter.com/a_civil_affair
06/01/14,http://twitter.com/milchert/status/473160400603578369,milchert,Morro do Schmidt #DiabetesEmpowered #mtb teamnovonordisk http://t.co/2mpHijzPUH,7.6280746,http://twitter.com/milchert/status/473160400603578369,http://twitter.com/milchert
06/01/14,http://twitter.com/teamnovonordisk/status/473247099820064768,teamnovonordisk,TNN's @bruss92 is #diabetesempowered at #rockysteps in Philadelphia  http://t.co/nfv0CHzOin @phillycycling,13.059919,http://twitter.com/teamnovonordisk/status/473247099820064768,http://twitter.com/teamnovonordisk
06/01/14,http://twitter.com/morganpbrown/status/473250138539188224,morganpbrown,RT @teamnovonordisk: TNN's @bruss92 is #diabetesempowered at #rockysteps in Philadelphia  http://t.co/nfv0CHzOin @phillycycling,6.987707,http://twitter.com/MorganPBrown/status/473250138539188224,http://twitter.com/morganpbrown
06/02/14,http://twitter.com/bertramberla/status/473265839186407424,bertramberla,@teamnovonordisk 2nd in the Cat 3 MO state championship road race today. #diabetesempowered,7.907115,http://twitter.com/bertramberla/status/473265839186407424,http://twitter.com/bertramberla
06/02/14,http://twitter.com/philsoutherland/status/473271489308131329,philsoutherland,RT @teamnovonordisk: TNN's @bruss92 is #diabetesempowered at #rockysteps in Philadelphia  http://t.co/nfv0CHzOin @phillycycling,10.258571,http://twitter.com/PhilSoutherland/status/473271489308131329,http://twitter.com/philsoutherland
06/02/14,http://twitter.com/lostrains/status/473294587247611904,lostrains,Blood sugar has been a pretty even 112-125 all day even with all the @SkratchLabs @ClifBar shots and all the eating. #diabetesempowered,7.47576,http://twitter.com/LosTrains/status/473294587247611904,http://twitter.com/lostrains
06/02/14,http://twitter.com/rundiabetes/status/473447435965321216,rundiabetes,Hanging with the champ @TheVargo. Happy with my 8:32/19th. #50milechampionship @teamnovonordisk #diabetesempowered http://t.co/KCMcJWX7Rw,9.824392,http://twitter.com/rundiabetes/status/473447435965321216,http://twitter.com/rundiabetes
06/02/14,http://twitter.com/thevargo/status/473448265153662976,thevargo,RT @rundiabetes: Hanging with the champ @TheVargo. Happy with my 8:32/19th. #50milechampionship @teamnovonordisk #diabetesempowered http://…,7.027268,http://twitter.com/TheVargo/status/473448265153662976,http://twitter.com/thevargo
06/02/14,http://twitter.com/r_geoffreyvargo/status/473458036527620096,r_geoffreyvargo,RT @rundiabetes: Hanging with the champ @TheVargo. Happy with my 8:32/19th. #50milechampionship @teamnovonordisk #diabetesempowered http://…,7.027268,http://twitter.com/r_geoffreyvargo/status/473458036527620096,http://twitter.com/r_geoffreyvargo
06/02/14,http://twitter.com/davempratt/status/473519313488318465,davempratt,Here's the next 9 weeks of my life. Let's hope this will get me to the finish at the Mt. Tam DC! #DiabetesEmpowered http://t.co/IZ42pPwkxa,8.133218,http://twitter.com/davempratt/status/473519313488318465,http://twitter.com/davempratt
06/02/14,http://twitter.com/blakeneese/status/473528732380966913,blakeneese,"Training with @teamnovonordisk this Wednesday, super excited! #diabetesempowered",8.053076,http://twitter.com/BlakeNeese/status/473528732380966913,http://twitter.com/blakeneese
06/02/14,http://twitter.com/nldiabetic/status/473598821239255041,nldiabetic,Spending this Monday on a great ride much better than last Monday's Hypo-seizure #DiabetesEmpowered :) http://t.co/s2iRVIb3r3 #strava,7.05348,http://twitter.com/nldiabetic/status/473598821239255041,http://twitter.com/nldiabetic
06/03/14,http://twitter.com/davempratt/status/473623458387996672,davempratt,This is what all my training is for this season. Please consider a donation to the @TT1foundation. http://t.co/3fXskFB2hW #DiabetesEmpowered,7.8164907,http://twitter.com/davempratt/status/473623458387996672,http://twitter.com/davempratt
06/03/14,http://twitter.com/usaultrarunning/status/473655997048053760,usaultrarunning,RT @rundiabetes: Hanging with the champ @TheVargo. Happy with my 8:32/19th. #50milechampionship @teamnovonordisk #diabetesempowered http://…,7.027268,http://twitter.com/USAultrarunning/status/473655997048053760,http://twitter.com/usaultrarunning
06/03/14,http://twitter.com/usatfniagara/status/473666672709365760,usatfniagara,RT @rundiabetes: Hanging with the champ @TheVargo. Happy with my 8:32/19th. #50milechampionship @teamnovonordisk #diabetesempowered http://…,7.027268,http://twitter.com/USATFNiagara/status/473666672709365760,http://twitter.com/usatfniagara
