firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/martyroddy/status/473056712610832385,martyroddy,Here comes the #Food Cures for #Diabetics | @scoopit via @ramdevmedicine1 http://t.co/PIQR7dlOHu #foodie,7.5581927,http://twitter.com/martyroddy/status/473056712610832385,http://twitter.com/martyroddy
06/01/14,http://twitter.com/amidiabetic/status/473116836674797569,amidiabetic,Know any famous #diabetics? WE DO! http://t.co/smYjRql3PL Know anymore that are not listed?,7.563206,http://twitter.com/amidiabetic/status/473116836674797569,http://twitter.com/amidiabetic
06/01/14,http://twitter.com/facesofdiabetes/status/473137831528120320,facesofdiabetes,Selfie photo while the staff pic was being taken. #diabetes #diabetics #diabetescamp http://t.co/tpzazDfsG9,7.6478624,http://twitter.com/FacesofDiabetes/status/473137831528120320,http://twitter.com/facesofdiabetes
06/01/14,http://twitter.com/facesofdiabetes/status/473146473048068096,facesofdiabetes,My family #diabetes #diabetics #diabetescamp #family #home http://t.co/YFSjFJTZYf,7.7742133,http://twitter.com/FacesofDiabetes/status/473146473048068096,http://twitter.com/facesofdiabetes
06/01/14,http://twitter.com/amidiabetic/status/473147404191940608,amidiabetic,#Diabetics you need to take care of your feet http://t.co/b81mvqy3ve Gives you all the info that you need to know.,9.804957,http://twitter.com/amidiabetic/status/473147404191940608,http://twitter.com/amidiabetic
06/01/14,http://twitter.com/mrswalsh03/status/473157543531778050,mrswalsh03,Mother &amp; daughter #BGnow after the #Diabetes walk #yay #diabetics #T1D http://t.co/OACO9wUNtM,8.995915,http://twitter.com/mrswalsh03/status/473157543531778050,http://twitter.com/mrswalsh03
06/01/14,http://twitter.com/sheldonwalsh/status/473158122572627968,sheldonwalsh,RT @mrswalsh03: Mother &amp; daughter #BGnow after the #Diabetes walk #yay #diabetics #T1D http://t.co/OACO9wUNtM,7.191806,http://twitter.com/sheldonwalsh/status/473158122572627968,http://twitter.com/sheldonwalsh
06/01/14,http://twitter.com/docweighsin/status/473160442236633088,docweighsin,"When a #glucometer is also a data hub to help #diabetics manage, life is easier http://t.co/82ynIeFre7 @diabetesmine",8.8081045,http://twitter.com/Docweighsin/status/473160442236633088,http://twitter.com/docweighsin
06/01/14,http://twitter.com/leopoldolarag/status/473164218716286976,leopoldolarag,"RT @Docweighsin: When a #glucometer is also a data hub to help #diabetics manage, life is easier http://t.co/82ynIeFre7 @diabetesmine",7.353265,http://twitter.com/leopoldolarag/status/473164218716286976,http://twitter.com/leopoldolarag
06/01/14,http://twitter.com/kitkataries/status/473165250267975680,kitkataries,"RT @Docweighsin: When a #glucometer is also a data hub to help #diabetics manage, life is easier http://t.co/82ynIeFre7 @diabetesmine",7.353265,http://twitter.com/KitKatAries/status/473165250267975680,http://twitter.com/kitkataries
06/01/14,http://twitter.com/icon_sanantonio/status/473169923342995456,icon_sanantonio,Type 2 #diabetics ages 30-65 are needed by doctors for a research study. BMI 27-40. Compensation up to $800. http://t.co/2xBfUaxWEw …,7.097424,http://twitter.com/ICON_SanAntonio/status/473169923342995456,http://twitter.com/icon_sanantonio
06/01/14,http://twitter.com/houstonfoot/status/473184890046144512,houstonfoot,Just a reminder for #diabetics: check your feet daily for #footulcers that can cause larger foot complications! http://t.co/jVlBSfXAUv,9.23969,http://twitter.com/houstonfoot/status/473184890046144512,http://twitter.com/houstonfoot
06/01/14,http://twitter.com/oldmaidwhovian/status/473208751420608512,oldmaidwhovian,Attention #diabetics using Lantus injection pens. PLEASE RT if you've had issues w/ your pen(s) jamming up! Or is it just me? #diabetes,7.2456694,http://twitter.com/OldMaidWhovian/status/473208751420608512,http://twitter.com/oldmaidwhovian
06/01/14,http://twitter.com/craftley1/status/473229101558284289,tapsanov,Top 10 Friendly Fruits For Diabetics http://t.co/kDQvvJoAqU #Top10 #Diabetics #TopInspired,7.6467075,http://twitter.com/craftley1/status/473229101558284289,http://twitter.com/tapsanov
06/02/14,http://twitter.com/disabledworld/status/473312821946888192,disabledworld,#Depression Linked with #EarlyDeath for Older #Diabetics - http://t.co/dqltzzaN5B,11.619013,http://twitter.com/DisabledWorld/status/473312821946888192,http://twitter.com/disabledworld
06/02/14,http://twitter.com/thebushwacker1/status/473325302543032320,thebushwacker1,RT @houstonfoot: Just a reminder for #diabetics: check your feet daily for #footulcers that can cause larger foot complications! http://t.c…,7.432905,http://twitter.com/TheBushWacker1/status/473325302543032320,http://twitter.com/thebushwacker1
06/02/14,http://twitter.com/thebushwacker1/status/473325495590084608,thebushwacker1,RT @amidiabetic: #Diabetics you need to take care of your feet http://t.co/b81mvqy3ve Gives you all the info that you need to know.,8.013234,http://twitter.com/TheBushWacker1/status/473325495590084608,http://twitter.com/thebushwacker1
06/02/14,http://twitter.com/itsanidealworld/status/473329227933433856,itsanidealworld,RT @DisabledWorld: #Depression Linked with #EarlyDeath for Older #Diabetics - http://t.co/dqltzzaN5B,7.388048,http://twitter.com/itsanidealworld/status/473329227933433856,http://twitter.com/itsanidealworld
06/02/14,http://twitter.com/navimumbaidoc/status/473352418978066432,navimumbaidoc,"Diabetologist in Navi Mumbai | Diabetes Clinic in Navi Mumbai
http://t.co/zjxHGHj7P7
#Diabetes, #Diabetics, #Sugarfree, #Sugarpatients",7.0512123,http://twitter.com/navimumbaidoc/status/473352418978066432,http://twitter.com/navimumbaidoc
06/02/14,http://twitter.com/bhpcintegration/status/473357748629815296,bhpcintegration,"#Depression Linked with Early Death for Older #Diabetics http://t.co/M4w0GS7JzR #MentalHealth #mhsm #gerontology #integratedcare
via @MHTuz",7.038211,http://twitter.com/BHPCIntegration/status/473357748629815296,http://twitter.com/bhpcintegration
06/02/14,http://twitter.com/cpoindia/status/473369826237243392,cpoindia,Foods for #Diabetics – Add cinnamon to tea or your porridge for stabilized #bloodsugar levels. Read more here - http://t.co/lzgUn4u02t,7.0719895,http://twitter.com/CPOIndia/status/473369826237243392,http://twitter.com/cpoindia
06/02/14,http://twitter.com/cpoindia/status/473379826426867714,cpoindia,Foods for #Diabetics- Eating a teaspoon of ground flaxseeds helps in stabilizing #bloodsugar levels.,7.17979,http://twitter.com/CPOIndia/status/473379826426867714,http://twitter.com/cpoindia
06/02/14,http://twitter.com/cpoindia/status/473394753472442368,cpoindia,Foods for #Diabetics – Eating a cup of oats instead of rice is more beneficial as it helps in regulating blood glucose levels.,8.045791,http://twitter.com/CPOIndia/status/473394753472442368,http://twitter.com/cpoindia
06/02/14,http://twitter.com/timesofoman/status/473397051472887808,timesofoman,#Arab Open University in #Oman develop #Diabetics Risk Assessment Software http://t.co/IzvrZ0TStQ http://t.co/7yrVE4LN21,7.8356004,http://twitter.com/timesofoman/status/473397051472887808,http://twitter.com/timesofoman
06/02/14,http://twitter.com/cpoindia/status/473406565010006017,cpoindia,"Foods for #Diabetics – Eat spinach, broccoli and other leafy vegetables for stable #bloodsugar levels.",8.943597,http://twitter.com/CPOIndia/status/473406565010006017,http://twitter.com/cpoindia
06/02/14,http://twitter.com/vinstar/status/473417010442141696,vinstar,http://t.co/N6FaI0SMZm allows diabetics &amp; others at risk to check their renal health #diabetics #kidney #ehealth #vestigen #albuminuria #ftw,10.880503,http://twitter.com/vinstar/status/473417010442141696,http://twitter.com/vinstar
06/02/14,http://twitter.com/caroliencba/status/473418996411547648,caroliencba,RT @vinstar: http://t.co/N6FaI0SMZm allows diabetics &amp; others at risk to check their renal health #diabetics #kidney #ehealth #vestigen #al…,9.914741,http://twitter.com/CarolienCBA/status/473418996411547648,http://twitter.com/caroliencba
