firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/watchfit/status/473140391152480256,watchfit,#Hypothyroidism causes and prevention http://t.co/B1zcJdaQJI&gt;&gt; #happiness #tiredness @OurHealthNeeds http://t.co/4aITS28QUb,10.189293,http://twitter.com/Watchfit/status/473140391152480256,http://twitter.com/watchfit
06/01/14,http://twitter.com/ces_83/status/473153640665186304,ces_83,RT @Watchfit: #Hypothyroidism causes and prevention http://t.co/B1zcJdaQJI&gt;&gt; #happiness #tiredness @OurHealthNeeds http://t.co/4aITS28QUb,7.3121424,http://twitter.com/CES_83/status/473153640665186304,http://twitter.com/ces_83
06/01/14,http://twitter.com/hypothyroidism_/status/473198285209890816,hypothyroidism_,"New Hypothyroidism Breakthrough: Amazing New Ebook On Ending Hypothyroidism, With An Amazing C... http://t.co/1wYRPEyxz3 #Hypothyroidism",7.687027,http://twitter.com/Hypothyroidism_/status/473198285209890816,http://twitter.com/hypothyroidism_
06/01/14,http://twitter.com/nowcurecancer/status/473225088053956608,nowcurecancer,"23 #Hypothyroidism Treatments That Work To 
Relieve You Of...#Depression, Moon Face, 
Hair Loss. #wellness #health
http://t.co/zDeD3m4HzD",7.687027,http://twitter.com/NowCureCancer/status/473225088053956608,http://twitter.com/nowcurecancer
06/01/14,http://twitter.com/partnerwithlarr/status/473225088167186432,partnerwithlarr,"23 #Hypothyroidism Treatments That Work To 
Relieve You Of...#Depression, Moon Face, 
Hair Loss. #wellness #health
http://t.co/8He2ZrkVPU",7.672133,http://twitter.com/PartnerwithLarr/status/473225088167186432,http://twitter.com/partnerwithlarr
06/02/14,http://twitter.com/coldandcurvy/status/473288200140496896,coldandcurvy,Add me on #RunKeeper #weightloss #run #fit #fitness #running #pcos #hypothyroidism #exercise #jog… http://t.co/GfMROqQ6aP,7.323708,http://twitter.com/coldandcurvy/status/473288200140496896,http://twitter.com/coldandcurvy
06/02/14,http://twitter.com/carolineggd/status/473378590625910784,carolineggd,RT @Watchfit: #Hypothyroidism causes and prevention http://t.co/B1zcJdaQJI&gt;&gt; #happiness #tiredness @OurHealthNeeds http://t.co/4aITS28QUb,7.3121424,http://twitter.com/carolineggd/status/473378590625910784,http://twitter.com/carolineggd
06/02/14,http://twitter.com/silvia_smp/status/473380749165740032,silvia_smp,RT @Watchfit: #Hypothyroidism causes and prevention http://t.co/B1zcJdaQJI&gt;&gt; #happiness #tiredness @OurHealthNeeds http://t.co/4aITS28QUb,7.3121424,http://twitter.com/silvia_smp/status/473380749165740032,http://twitter.com/silvia_smp
06/02/14,http://twitter.com/liv_health/status/473451135668613122,liv_health,Sea veggies like #nori #kelp #dulse are great for supporting an underactive #thyroid #hypothyroidism,7.139475,http://twitter.com/Liv_Health/status/473451135668613122,http://twitter.com/liv_health
06/02/14,http://twitter.com/hypothyroidsuxs/status/473471003293528064,hypothyroidsux,Make sure you've signed up for the #thyroid summit! Lots of great info &amp; presenters! http://t.co/PP1e7ZWO50 #hypothyroidism,7.418542,http://twitter.com/hypothyroidsuxs/status/473471003293528064,http://twitter.com/hypothyroidsux
