firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/02/14,http://twitter.com/trueworld2014/status/473321542256848896,trueworld2014,@sbs #insightsbs While even USA acknowledged Global Warming Liberal Govt planning the take off Heritage listed Forests in Tasmania - Shame,6.9243045,http://twitter.com/TrueWorld2014/status/473321542256848896,http://twitter.com/trueworld2014
06/02/14,http://twitter.com/sbsnews/status/473581066314207233,sbsnews,What makes a psychopath? http://t.co/eqWbYHhRk0 #sbsnewswrap #insightsbs,12.292726,http://twitter.com/SBSNews/status/473581066314207233,http://twitter.com/sbsnews
06/02/14,http://twitter.com/grafiti/status/473582488955011072,grafiti,RT: @SBSNews What makes a psychopath? http://t.co/EKfz32TS6S  #sbsnewswrap #insightsbs .. but enough about Tony Abbott! #auspol,7.143354,http://twitter.com/grafiti/status/473582488955011072,http://twitter.com/grafiti
06/02/14,http://twitter.com/_wipeout/status/473586499103903744,_wipeout,RT @SBSNews: What makes a psychopath? http://t.co/eqWbYHhRk0 #sbsnewswrap #insightsbs,7.3926835,http://twitter.com/_Wipeout/status/473586499103903744,http://twitter.com/_wipeout
06/03/14,http://twitter.com/saberbaluch/status/473636277628067840,saberbaluch,"What Makes a Psychopath? on #Insightsbs at 8.30pm, tonight - SBS ONE",7.4011965,http://twitter.com/SaberBaluch/status/473636277628067840,http://twitter.com/saberbaluch
06/03/14,http://twitter.com/biljanamw/status/473712771595395072,biljanamw,Can't wait for tonight's episode of @insightSBS Such an interesting topic! #Insightsbs,7.864309,http://twitter.com/BiljanaMW/status/473712771595395072,http://twitter.com/biljanamw
06/03/14,http://twitter.com/insightsbs/status/473721522847096832,insightsbs,Meet our #insightsbs guest tonight -- Who is Jim Fallon? http://t.co/SFoyjaDpPq Tune in to our discussion at 8.30pm on SBS ONE,10.341968,http://twitter.com/insightSBS/status/473721522847096832,http://twitter.com/insightsbs
06/03/14,http://twitter.com/sbsnews/status/473727327738667008,sbsnews,"Comment: I have the genetic makeup of a ""born"" psychopath #insightsbs http://t.co/uRRerBVOo8 http://t.co/nPn7JeRyRQ",13.42139,http://twitter.com/SBSNews/status/473727327738667008,http://twitter.com/sbsnews
06/03/14,http://twitter.com/jurylady5/status/473728098865643520,jurylady5,"RT @SBSNews: Comment: I have the genetic makeup of a ""born"" psychopath #insightsbs http://t.co/uRRerBVOo8 http://t.co/nPn7JeRyRQ",7.758191,http://twitter.com/jurylady5/status/473728098865643520,http://twitter.com/jurylady5
06/03/14,http://twitter.com/sbs/status/473728438353027072,sbs,"A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",13.383382,http://twitter.com/SBS/status/473728438353027072,http://twitter.com/sbs
06/03/14,http://twitter.com/redfoxkcox/status/473728764279402497,redfoxkcox,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/RedFoxKCox/status/473728764279402497,http://twitter.com/redfoxkcox
06/03/14,http://twitter.com/pipsterb/status/473729073915494400,pipsterb,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/pipsterb/status/473729073915494400,http://twitter.com/pipsterb
06/03/14,http://twitter.com/tinav_au/status/473729853791801344,tinav_au,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/tinav_au/status/473729853791801344,http://twitter.com/tinav_au
06/03/14,http://twitter.com/tinav_au/status/473729902152122368,tinav_au,"RT @SBSNews: Comment: I have the genetic makeup of a ""born"" psychopath #insightsbs http://t.co/uRRerBVOo8 http://t.co/nPn7JeRyRQ",7.758191,http://twitter.com/tinav_au/status/473729902152122368,http://twitter.com/tinav_au
06/03/14,http://twitter.com/luanmckenna/status/473731831448088576,luanmckenna,@Hannah_Meagher @insightSBS @AmandaXiberras thanks H-bomb! Tune in to see @jameshfallon @EKimonis @sbaroncohen #insightSBS #insightsbs,8.850316,http://twitter.com/LuanMcKenna/status/473731831448088576,http://twitter.com/luanmckenna
06/03/14,http://twitter.com/luanmckenna/status/473733076590141440,luanmckenna,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/LuanMcKenna/status/473733076590141440,http://twitter.com/luanmckenna
06/03/14,http://twitter.com/madcatjo2point0/status/473733186912940032,madcatjo2point0,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/madcatjo2point0/status/473733186912940032,http://twitter.com/madcatjo2point0
06/03/14,http://twitter.com/insightsbs/status/473733217862692864,insightsbs,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",10.35861,http://twitter.com/insightSBS/status/473733217862692864,http://twitter.com/insightsbs
06/03/14,http://twitter.com/insightsbs/status/473733361345638400,insightsbs,"RT @SBSNews: Comment: I have the genetic makeup of a ""born"" psychopath #insightsbs http://t.co/uRRerBVOo8 http://t.co/nPn7JeRyRQ",11.046532,http://twitter.com/insightSBS/status/473733361345638400,http://twitter.com/insightsbs
06/03/14,http://twitter.com/luanmckenna/status/473733484154851328,luanmckenna,"RT @SBSNews: Comment: I have the genetic makeup of a ""born"" psychopath #insightsbs http://t.co/uRRerBVOo8 http://t.co/nPn7JeRyRQ",7.758191,http://twitter.com/LuanMcKenna/status/473733484154851328,http://twitter.com/luanmckenna
06/03/14,http://twitter.com/alanahanderson/status/473734512094887936,alanahanderson,"RT @SBSNews: Comment: I have the genetic makeup of a ""born"" psychopath #insightsbs http://t.co/uRRerBVOo8 http://t.co/nPn7JeRyRQ",7.758191,http://twitter.com/AlanahAnderson/status/473734512094887936,http://twitter.com/alanahanderson
06/03/14,http://twitter.com/mpakakis/status/473737286698274816,mpakakis,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/MPakakis/status/473737286698274816,http://twitter.com/mpakakis
06/03/14,http://twitter.com/valshopaholic/status/473743491256680449,valshopaholic,"Tonight, @SBS is talking about psychopaths on #Insightsbs while @SBS2 is airing #OrphanBlack about more psychopaths who may be your clone.",10.445672,http://twitter.com/valshopaholic/status/473743491256680449,http://twitter.com/valshopaholic
06/03/14,http://twitter.com/msronnyb/status/473744199234248704,msronnyb,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/MsRonnyB/status/473744199234248704,http://twitter.com/msronnyb
06/03/14,http://twitter.com/cliffo50/status/473745758928134144,cliffo50,"RT @SBS: A self-proclaimed psychopath is up on @insightSBS as we explore 'What Makes a Psychopath', 8:30pm tonight SBS ONE. #insightSBS",7.0702705,http://twitter.com/cliffo50/status/473745758928134144,http://twitter.com/cliffo50
