firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/fit_wise_chick/status/473102809853100032,fit_wise_chick,"#Lowfat diets can actually raise #triglycerides, lower HDL and increase small, dense LDL particles - #detrimental",7.1656985,http://twitter.com/Fit_Wise_Chick/status/473102809853100032,http://twitter.com/fit_wise_chick
06/01/14,http://twitter.com/flochman/status/473132649553600512,flochman,"Proof! #Triglycerides and #sugar are #drugs""Obesity: Are lipids hard drugs for the brain? ScienceDaily""  http://t.co/weQn3TiosF endtheweight",8.068318,http://twitter.com/flochman/status/473132649553600512,http://twitter.com/flochman
06/01/14,http://twitter.com/_weightloss284/status/473212484459827205,_weightloss284,Reading: How To Lower Your #Triglycerides With Diet http://t.co/tUhHYq8JmJ #diet #lower,8.12606,http://twitter.com/_weightloss284/status/473212484459827205,http://twitter.com/_weightloss284
06/02/14,http://twitter.com/guerradelagorda/status/473334851907497984,guerradelagorda,"RT @flochman: Proof! #Triglycerides and #sugar are #drugs""Obesity: Are lipids hard drugs for the brain? ScienceDaily""  http://t.co/weQn3Tio…",7.097892,http://twitter.com/guerradelagorda/status/473334851907497984,http://twitter.com/guerradelagorda
06/02/14,http://twitter.com/drjefferyalford/status/473558397775015936,drjefferyalford,#SugarLandWellness The #MediterraneanDiet emphasizes #Omega-3 fatty acids which lower #Triglycerides. http://t.co/K3WrIL05Od,7.4036245,http://twitter.com/DrJefferyAlford/status/473558397775015936,http://twitter.com/drjefferyalford
06/03/14,http://twitter.com/docolmstead/status/473888169919012864,docolmstead,No doctor ever told me that high #triglycerides could lead to #diabetes! No wonder.... http://t.co/yUXx0dC1Vq,8.342959,http://twitter.com/DocOlmstead/status/473888169919012864,http://twitter.com/docolmstead
06/04/14,http://twitter.com/drdanahamwi/status/474129416738463744,drdanahamwi,8 dietary tips to lower high blood #Triglycerides on @mbc1tv  #صباح_الخير_يا_عرب between 12-1😊,7.422033,http://twitter.com/DrDanaHamwi/status/474129416738463744,http://twitter.com/drdanahamwi
06/05/14,http://twitter.com/pambartha/status/474344575117443072,pambartha,"Good #fats + low carbs = greatest #weight lost &amp; biggest drop in #triglycerides, LDL, #insulin &amp; #inflammation http://t.co/F0LHGmUugB",7.2648225,http://twitter.com/pambartha/status/474344575117443072,http://twitter.com/pambartha
06/05/14,http://twitter.com/drjefferyalford/status/474645366781263872,drjefferyalford,#SugarLandWellness The #MediterraneanDiet emphasizes #Omega-3 fatty acids which lower #Triglycerides. http://t.co/K3WrIL05Od,7.4427047,http://twitter.com/DrJefferyAlford/status/474645366781263872,http://twitter.com/drjefferyalford
06/05/14,http://twitter.com/lipiroy/status/474648174171136000,lipiroy,"Meds that ↓ #triglycerides (niacin, fish oil, fenofibrate) NOT proven to ↓ heart attack. Treat LDL aggressively.-Sekar Kathiresan #MGH #MI",7.0622835,http://twitter.com/lipiroy/status/474648174171136000,http://twitter.com/lipiroy
06/06/14,http://twitter.com/nationallipid/status/475013400230391808,nationallipid,Your expertise could change how #lipid disorders are treated! Take a short survey: http://t.co/6m1dgRbflt #triglycerides,7.7998986,http://twitter.com/nationallipid/status/475013400230391808,http://twitter.com/nationallipid
06/06/14,http://twitter.com/davedixonpharmd/status/475039253827969025,davedixonpharmd,Your expertise could change how #lipid disorders are treated! Take a short survey: http://t.co/p34WHVOE43 #triglycerides,7.792309,http://twitter.com/DaveDixonPharmD/status/475039253827969025,http://twitter.com/davedixonpharmd
06/09/14,http://twitter.com/muchomusto/status/476030413085736961,muchomusto,"RT @fromafish: I need to swim clear of drinking like a fish. Moderation, along w/ diet &amp; exercise help keep the #triglycerides down.",7.4449716,http://twitter.com/MuchoMusto/status/476030413085736961,http://twitter.com/muchomusto
06/10/14,http://twitter.com/sethjbaummd/status/476422505809604609,sethjbaummd,Your expertise could change how #lipid disorders are treated! Take a short survey: http://t.co/vwqwN3OH1b @nationallipid #triglycerides #CVD,7.4374223,http://twitter.com/SethJBaumMD/status/476422505809604609,http://twitter.com/sethjbaummd
06/10/14,http://twitter.com/trendclues/status/476510237302587393,trendclues,#DrOz talks #triglycerides #diet to suppress hunger plus lose 10 pounds in 21 days with @Dolvett Quince’s diet http://t.co/ybzvAKmyZc,7.4759855,http://twitter.com/trendclues/status/476510237302587393,http://twitter.com/trendclues
06/11/14,http://twitter.com/checkorphan/status/476720758937616384,checkorphan,RT @lipiddoc: Genotype-phenotype relationships in patients w. type I hyperlipoproteinemia http://t.co/1eeu3xwl4M #Chylomicron #Pancreatitis…,10.285503,http://twitter.com/CheckOrphan/status/476720758937616384,http://twitter.com/checkorphan
06/11/14,http://twitter.com/sethjbaummd/status/476771942478143488,sethjbaummd,Your expertise could change how #lipid disorders are treated! Take a short survey: http://t.co/vwqwN3OH1b  @nationallipid #triglycerides,7.55043,http://twitter.com/SethJBaumMD/status/476771942478143488,http://twitter.com/sethjbaummd
06/11/14,http://twitter.com/grisburgh/status/476836651914653696,grisburgh,#Genotype-phenotype relationships in patients type I hyperlipoproteinemia http://t.co/Zw6plwldUX #Chylomicron #Pancreatitis #Triglycerides,10.449473,http://twitter.com/Grisburgh/status/476836651914653696,http://twitter.com/grisburgh
06/13/14,http://twitter.com/diffbw/status/477254785028984833,diffbw,Difference Between Fatty Acids and #Triglycerides http://t.co/xFbuq52SRn #biology #fattyacids,7.92399,http://twitter.com/diffbw/status/477254785028984833,http://twitter.com/diffbw
06/13/14,http://twitter.com/kimberlyrandf/status/477483687701790720,kimberlyrandf,"Issues with #bloodsugar, #cholesterol, #triglycerides, #weight gain? http://t.co/pQti94QEiS",7.689838,http://twitter.com/Kimberlyrandf/status/477483687701790720,http://twitter.com/kimberlyrandf
06/14/14,http://twitter.com/jimcosenzalcsw/status/477809752416583680,jimcosenzalcsw,Threat Grows From #Liver Illness Tied to #Obesity http://t.co/67n6HBc8SA #health #mentalhealth #diet #exercise #triglycerides #hepatology,7.4494867,http://twitter.com/JimCosenzaLCSW/status/477809752416583680,http://twitter.com/jimcosenzalcsw
06/14/14,http://twitter.com/doublechindiary/status/477875362991337472,doublechindiary,From the... http://t.co/2FDgy8gcnm #blood #cholesterol #diabetes #doctor #fat #health #medical #thyroid #triglycerides #weightgain #worries,7.343179,http://twitter.com/DoubleChinDiary/status/477875362991337472,http://twitter.com/doublechindiary
06/15/14,http://twitter.com/i_marcotaguiam/status/478029751341178882,i_marcotaguiam,Happy Lechon Sunday! #lechon #roastpig #familyday #sunday #calories #fats #cholesterol #triglycerides… http://t.co/sxW2Dw1OOl,10.544358,http://twitter.com/i_MarcoTaguiam/status/478029751341178882,http://twitter.com/i_marcotaguiam
06/17/14,http://twitter.com/vitalabs/status/478906917277163520,vitalabs,"Maintain healthy #Cholesterol, #Triglycerides &amp; #BloodPressure with Heart Support - Complete #Cardiovascular formula! http://t.co/Hv1kzlhpPu",7.227685,http://twitter.com/Vitalabs/status/478906917277163520,http://twitter.com/vitalabs
06/17/14,http://twitter.com/drjefferyalford/status/479034305206038528,drjefferyalford,#SugarLandWellness The #MediterraneanDiet emphasizes #Omega-3 fatty acids which lower #Triglycerides. http://t.co/K3WrIL05Od,7.577835,http://twitter.com/DrJefferyAlford/status/479034305206038528,http://twitter.com/drjefferyalford
06/18/14,http://twitter.com/kimvie/status/479387358258028544,kimvie,"'At least one co., Isis Pharmaceuticals (CA), has a drug in development that lowers #triglycerides http://t.co/EL96hOQtqC” @BostonGlobe",7.730852,http://twitter.com/kimvie/status/479387358258028544,http://twitter.com/kimvie
06/18/14,http://twitter.com/partyaficionado/status/479401939135115264,partyaficionado,Watching @DrOz talk about #Triglycerides I went straight to my PRH and checked my #. 43 Bam! #ScienceofCheryl #Scienceofyou,10.784464,http://twitter.com/Partyaficionado/status/479401939135115264,http://twitter.com/partyaficionado
