firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
6/1/2014,http://twitter.com/xpinklovex/status/472901231975727105,xpinklovex,Vote in this week's @ParentsMagazine Cover #Contest! Just because you're bald you're still gorgeous! #win #alopecia http://t.co/Ce4UJbadnd,7.6765056,http://twitter.com/xPiNklOvEx/status/472901231975727105,http://twitter.com/xpinklovex
6/1/2014,http://twitter.com/tomokotomama/status/472934624457269248,tomokotomama,RT @AlopeciaSupport: Believe in yourself #alopecia,8.150349,http://twitter.com/tomokotomama/status/472934624457269248,http://twitter.com/tomokotomama
6/1/2014,http://twitter.com/brehairstylist/status/472943689954652160,brehairstylist,#nofilter #iserviceclientswithalopecia #alopecia #before&amp;after #sewin #nohairleftout… http://t.co/flsqSalWfa,7.2134953,http://twitter.com/brehairstylist/status/472943689954652160,http://twitter.com/brehairstylist
6/1/2014,http://twitter.com/brehairstylist/status/472946333431508992,brehairstylist,#nofilter #iserviceclientswithalopecia #alopecia #womenwithalopecia #before&amp;after #sewin #10inches… http://t.co/M0qdpvYIf1,7.1200094,http://twitter.com/brehairstylist/status/472946333431508992,http://twitter.com/brehairstylist
6/1/2014,http://twitter.com/thejuanmanila/status/472969852832215040,thejuanmanila,Want to know nature's answer to hair loss? @NovuhairUpdates have the answers! Read it on our blog! #alopecia... http://t.co/OaTDMC96tH,10.374367,http://twitter.com/thejuanmanila/status/472969852832215040,http://twitter.com/thejuanmanila
6/1/2014,http://twitter.com/skinforhair/status/472979028346155009,skinforhair,Japanese summer look. #alopecia #kawaii #japan #summer #hat #hellokitty http://t.co/Cx2V2Iuq63,7.627863,http://twitter.com/SkinForHair/status/472979028346155009,http://twitter.com/skinforhair
6/1/2014,http://twitter.com/heard2rhiannon/status/473061294162337793,heard2rhiannon,Support #alopecia,8.947055,http://twitter.com/Heard2Rhiannon/status/473061294162337793,http://twitter.com/heard2rhiannon
6/1/2014,http://twitter.com/tomohawk1989/status/473080050171252737,tomohawk1989,"Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",10.606661,http://twitter.com/Tomohawk1989/status/473080050171252737,http://twitter.com/tomohawk1989
6/1/2014,http://twitter.com/george_ayre_/status/473080416669536256,george_ayre_,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/George_Ayre_/status/473080416669536256,http://twitter.com/george_ayre_
6/1/2014,http://twitter.com/gun5hot/status/473080539155820544,gun5hot,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/Gun5hot/status/473080539155820544,http://twitter.com/gun5hot
6/1/2014,http://twitter.com/tcshadirl/status/473081117575483392,tcshadirl,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/TcshadIRL/status/473081117575483392,http://twitter.com/tcshadirl
6/1/2014,http://twitter.com/alyceemiastoner/status/473082156764659712,alyceemiastoner,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/AlyceeMiaStoner/status/473082156764659712,http://twitter.com/alyceemiastoner
6/1/2014,http://twitter.com/hazelofficer/status/473088477631119360,sephlu_may,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/HazelOfficer/status/473088477631119360,http://twitter.com/sephlu_may
6/1/2014,http://twitter.com/amspangler12/status/473088880552734720,amspangler12,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/amspangler12/status/473088880552734720,http://twitter.com/amspangler12
6/1/2014,http://twitter.com/tedx_x/status/473088956137865216,tedx_x,"RT @Tomohawk1989: Courage is being scared to death, and then taking the next step anyway.

Me before alopecia #alopecia #alopeciauk",7.1889563,http://twitter.com/tedx_x/status/473088956137865216,http://twitter.com/tedx_x
6/1/2014,http://twitter.com/aspirehair/status/473121685844279296,aspirehair,Gorgeous @FolleaHair styles and ready for a trip tomorrow to #Cheltenham @AspireHairSouth #wigs #alopecia http://t.co/QJWpK0JtdH,8.158209,http://twitter.com/AspireHair/status/473121685844279296,http://twitter.com/aspirehair
6/1/2014,http://twitter.com/cheltretweet/status/473122613779513344,cheltretweet,RT @AspireHair: Gorgeous @FolleaHair styles and ready for a trip tomorrow to #Cheltenham @AspireHairSouth #wigs #alopecia http://t.co/QJWpK…,7.092452,http://twitter.com/CheltReTweet/status/473122613779513344,http://twitter.com/cheltretweet
6/1/2014,http://twitter.com/alexkerwood/status/473169994461634561,alexkerwood,Once upon a time I had hair hahaha (white shirt). Never saw this one before #Alopecia http://t.co/dMnYQNm3Wj,8.233566,http://twitter.com/alexkerwood/status/473169994461634561,http://twitter.com/alexkerwood
6/1/2014,http://twitter.com/passionsnetwork/status/473183973884325889,passionsnetwork,"#Alopecia sufferers, now there is a dating site for you! #Bald Passions http://t.co/lG0gOWdwT8 #baldisbeautiful http://t.co/ghM4f4Ok1e",7.6319094,http://twitter.com/PassionsNetwork/status/473183973884325889,http://twitter.com/passionsnetwork
6/1/2014,http://twitter.com/alopecia_uk/status/473188984336957440,alopecia_uk,An interesting short film of a man's experience with alopecia areata over the course of a year https://t.co/Yd1JP2d4P3 #alopecia,8.810796,http://twitter.com/Alopecia_UK/status/473188984336957440,http://twitter.com/alopecia_uk
6/1/2014,http://twitter.com/nealpearsall/status/473196874288332800,nealpearsall,Now to tackle the stairs! #alopecia #needastairlift http://t.co/lMTMc7cYuG,8.01092,http://twitter.com/NealPearsall/status/473196874288332800,http://twitter.com/nealpearsall
6/1/2014,http://twitter.com/clairshair/status/473203668846931968,clairshair,The Best Hair Loss Product For #Men And #Women #Alopecia #Hairstyles http://t.co/nZgVf5PnlX @buynew2 #regrow #hairloss @clairshair #thinning,7.6973233,http://twitter.com/clairshair/status/473203668846931968,http://twitter.com/clairshair
6/1/2014,http://twitter.com/buynew2/status/473204285904531456,buynew2,RT @clairshair: The Best Hair Loss Product For #Men And #Women #Alopecia #Hairstyles http://t.co/nZgVf5PnlX @buynew2 #regrow #hairloss @cla…,6.765611,http://twitter.com/buynew2/status/473204285904531456,http://twitter.com/buynew2
