firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/allergen_nce/status/473098738643521536,allergen_nce,#AllerGenNCE14 Cross-Canada Anaphylaxis Registry 1100 #anaphylaxis cases registered #foodallergy,7.169261,http://twitter.com/AllerGen_NCE/status/473098738643521536,http://twitter.com/allergen_nce
06/01/14,http://twitter.com/cwsonline/status/473107173950517248,cwsonline,"Out training on how to properly use an Epipen this morning!

#GoodToKnow #Anaphylaxis #Allergies http://t.co/w99ZmLcAr2",7.7170935,http://twitter.com/CWSonline/status/473107173950517248,http://twitter.com/cwsonline
06/01/14,http://twitter.com/maycontainnut/status/473177682432520194,maycontainnut,RT @allergybuddies: New buddy is too cute #allergies #anaphylaxis http://t.co/xEUwxpQCTW,7.8922896,http://twitter.com/MayContainNut/status/473177682432520194,http://twitter.com/maycontainnut
06/01/14,http://twitter.com/allergyhome_org/status/473196519764787200,allergyhome_org,Addressing the Elephant in the Exam Room: http://t.co/loE8FWo7Tq #foodallergies #anaphylaxis,9.166364,http://twitter.com/AllergyHome_org/status/473196519764787200,http://twitter.com/allergyhome_org
06/01/14,http://twitter.com/allergylifestyl/status/473210038816092160,allergylifestyl,#Anaphylaxis #foodallergy Check out Newsletter http://t.co/eodDopttY2 discount codes &amp; free tickets Allergy &amp; Free From Show Olympia London,7.1618805,http://twitter.com/AllergyLifestyl/status/473210038816092160,http://twitter.com/allergylifestyl
06/01/14,http://twitter.com/allergyphd/status/473215734961553408,allergyphd,Love this! RT @AllergyHome_org: Addressing the Elephant in the Exam Room: http://t.co/f5oW3QVXPd #foodallergies #Anaphylaxis,7.6219225,http://twitter.com/allergyPhD/status/473215734961553408,http://twitter.com/allergyphd
06/02/14,http://twitter.com/kimwerhan/status/473264991789793280,kimwerhan,RT @AllergyHome_org: Addressing the Elephant in the Exam Room: http://t.co/loE8FWo7Tq #foodallergies #anaphylaxis,7.6027884,http://twitter.com/KimWerhan/status/473264991789793280,http://twitter.com/kimwerhan
06/02/14,http://twitter.com/famsod/status/473309386383695873,famsod,New video on Single Moms Raising Food Allergic Kids Momumentary! https://t.co/oWDfhMZ35F #momumentary #foodallergies #anaphylaxis,11.534398,http://twitter.com/FAMSOD/status/473309386383695873,http://twitter.com/famsod
06/02/14,http://twitter.com/adub4spirit/status/473309488405958656,adub4spirit,RT @FAMSOD: New video on Single Moms Raising Food Allergic Kids Momumentary! https://t.co/oWDfhMZ35F #momumentary #foodallergies #anaphylax…,10.615324,http://twitter.com/Adub4spirit/status/473309488405958656,http://twitter.com/adub4spirit
06/02/14,http://twitter.com/kt8childminder/status/473359178095144960,kt8childminder,@Tesco as a Parent with a child with #anaphylaxis I can not shop like this with blanket labelling.  Sadly will start shopping elsewhere.,7.5871215,http://twitter.com/KT8childminder/status/473359178095144960,http://twitter.com/kt8childminder
06/02/14,http://twitter.com/kt8childminder/status/473362014208000000,kt8childminder,@Tesco really!!! May contain nuts! !!! Blackcurrant squash!!! #blanketlabelling #anaphylaxis it didnt a few weeks ago http://t.co/uveYAft93O,8.216421,http://twitter.com/KT8childminder/status/473362014208000000,http://twitter.com/kt8childminder
06/02/14,http://twitter.com/allergylifestyl/status/473416250673340416,allergylifestyl,#Anaphylaxis #foodallergy Check out Newsletter http://t.co/eodDopttY2  discount codes &amp; free tickets to @AllergyShow Olympia London,7.3204584,http://twitter.com/AllergyLifestyl/status/473416250673340416,http://twitter.com/allergylifestyl
06/02/14,http://twitter.com/allergylifestyl/status/473417369000620032,allergylifestyl,#Allergy Alert Bracelet &amp; wallet card. In case of emergency vital information will be conveyed quickly #Anaphylaxis http://t.co/E1x7JDAHGQ,7.1734204,http://twitter.com/AllergyLifestyl/status/473417369000620032,http://twitter.com/allergylifestyl
06/02/14,http://twitter.com/kfatweets/status/473454035102490625,kfatweets,Mylan announces Ready2Go™ campaign with video contest. 3 winners will selected. http://t.co/by1MNRaqqR #foodallergy #anaphylaxis,12.569205,http://twitter.com/kfatweets/status/473454035102490625,http://twitter.com/kfatweets
06/02/14,http://twitter.com/mylannews/status/473455013994721280,mylannews,Join Mylan Specialty and Adrian Peterson in being prepared for #anaphylaxis and enter the Draft today http://t.co/eoTDtei1lU,9.338231,http://twitter.com/MylanNews/status/473455013994721280,http://twitter.com/mylannews
06/02/14,http://twitter.com/ap_boonecounty/status/473455853467480065,ap_boonecounty,RT @kfatweets: Mylan announces Ready2Go™ campaign with video contest. 3 winners will selected. http://t.co/by1MNRaqqR #foodallergy #anaphyl…,7.3162026,http://twitter.com/AP_BooneCounty/status/473455853467480065,http://twitter.com/ap_boonecounty
06/02/14,http://twitter.com/irenelouisekoch/status/473456492881137664,irenelouisekoch,RT @kfatweets: Mylan announces Ready2Go™ campaign with video contest. 3 winners will selected. http://t.co/by1MNRaqqR #foodallergy #anaphyl…,7.3162026,http://twitter.com/IreneLouiseKoch/status/473456492881137664,http://twitter.com/irenelouisekoch
06/02/14,http://twitter.com/millerlitetime/status/473462719413489664,millerlitetime,RT @MylanNews: Join Mylan Specialty and Adrian Peterson in being prepared for #anaphylaxis and enter the Draft today http://t.co/eoTDtei1lU,7.436024,http://twitter.com/millerlitetime/status/473462719413489664,http://twitter.com/millerlitetime
06/02/14,http://twitter.com/lautpitch14/status/473469250871771136,lautpitch14,RT @MylanNews: Join Mylan Specialty and Adrian Peterson in being prepared for #anaphylaxis and enter the Draft today http://t.co/eoTDtei1lU,7.436024,http://twitter.com/lautpitch14/status/473469250871771136,http://twitter.com/lautpitch14
06/02/14,http://twitter.com/adrianpeterson/status/473490710017347585,adrianpeterson,Want to be on my #MVP team? Enter my Draft for a chance to film an educational video w/me http://t.co/Ck0XYxLUxE #anaphylaxis #Spokesperson,13.793333,http://twitter.com/AdrianPeterson/status/473490710017347585,http://twitter.com/adrianpeterson
06/02/14,http://twitter.com/siriusxmnfl/status/473490774714114048,siriusxmnfl,RT @AdrianPeterson: Want to be on my #MVP team? Enter my Draft for a chance to film an educational video w/me http://t.co/Ck0XYxLUxE #anaph…,10.554704,http://twitter.com/SiriusXMNFL/status/473490774714114048,http://twitter.com/siriusxmnfl
06/02/14,http://twitter.com/aceus2/status/473490930469580800,aceus2,RT @AdrianPeterson: Want to be on my #MVP team? Enter my Draft for a chance to film an educational video w/me http://t.co/Ck0XYxLUxE #anaph…,7.243528,http://twitter.com/aceus2/status/473490930469580800,http://twitter.com/aceus2
06/02/14,http://twitter.com/wowjason62606/status/473491003681157121,wowjason62606,RT @AdrianPeterson: Want to be on my #MVP team? Enter my Draft for a chance to film an educational video w/me http://t.co/Ck0XYxLUxE #anaph…,7.243528,http://twitter.com/wowjason62606/status/473491003681157121,http://twitter.com/wowjason62606
06/02/14,http://twitter.com/bugattipulley/status/473491029623312384,bugattipulley,RT @AdrianPeterson: Want to be on my #MVP team? Enter my Draft for a chance to film an educational video w/me http://t.co/Ck0XYxLUxE #anaph…,10.435775,http://twitter.com/BugattiPulley/status/473491029623312384,http://twitter.com/bugattipulley
06/02/14,http://twitter.com/nfl_feed_/status/473491206581018624,nfl_feed_,RT @AdrianPeterson: Want to be on my #MVP team? Enter my Draft for a chance to film an educational video w/me http://t.co/Ck0XYxLUxE #anaph…,7.243528,http://twitter.com/NFL_feed_/status/473491206581018624,http://twitter.com/nfl_feed_
