firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
6/5/2014,http://twitter.com/drmccombs/status/474456904438411265,drmccombs,"#Candida Linked to #Arthritis, #Multiple Sclerosis, #Psoriasis, and #Autoimmune Conditions .@DrMcCombs - http://t.co/Ymf9eCUpWJ",6.949237,http://twitter.com/DrMcCombs/status/474456904438411265,http://twitter.com/drmccombs
6/5/2014,http://twitter.com/finlessbook/status/474468593870983168,finlessbook,"#Migraines on #Vacation? Well Crap...Just Out of My Grasp #headaches #autoimmune #MS #caffeine how do u ease headache
http://t.co/YtfPrAsXSQ",7.092369,http://twitter.com/finlessbook/status/474468593870983168,http://twitter.com/finlessbook
6/5/2014,http://twitter.com/finlessbook/status/474475961514078208,finlessbook,"Everybody Poops..Yea, I Said It...Just Out of My Grasp this is serious stuff not weird #IBS #autoimmune stay #healthy
http://t.co/E9S9u9jDdZ",7.5820637,http://twitter.com/finlessbook/status/474475961514078208,http://twitter.com/finlessbook
6/5/2014,http://twitter.com/contraryathlete/status/474500639150850048,contraryathlete,Great post from Angie at Alt-ternative Autoimmune about recovering from #gluten and #autoimmune flares. http://t.co/SwiIMzRmLU #AIP #spoonie,6.849512,http://twitter.com/ContraryAthlete/status/474500639150850048,http://twitter.com/contraryathlete
6/5/2014,http://twitter.com/crzythyroidlady/status/474528780896448512,crzythyroidlady,A New Way of Thinking About Autoimmune Disease http://t.co/yDs6pHgxN5 #Autoimmune,8.157005,http://twitter.com/crzythyroidlady/status/474528780896448512,http://twitter.com/crzythyroidlady
6/5/2014,http://twitter.com/ellenread3/status/474535441400487936,ellenread3,Got important specialist appt bright&amp;early 2moz. Hoping 2 find some help 2 manage #psoriaticarthritis &amp; whateva other #autoimmune going on 👍,7.7199097,http://twitter.com/EllenRead3/status/474535441400487936,http://twitter.com/ellenread3
6/5/2014,http://twitter.com/wuhealing/status/474538872542478336,wuhealing,A New Way of Thinking About Autoimmune Disease http://t.co/SxE9W2YXVm via @HealthyLiving #dr #denise #nagel #autoimmune #heal #qi #newway,6.926748,http://twitter.com/wuhealing/status/474538872542478336,http://twitter.com/wuhealing
6/5/2014,http://twitter.com/ra_tray/status/474540056628043778,ra_tray,"Journey to Better Days RA: The "" Tin"" Within  my poem dedicated to all my #Autoimmune #Arthritis &amp; #RA Warriors! http://t.co/ut1KfDLAE2",7.268051,http://twitter.com/RA_Tray/status/474540056628043778,http://twitter.com/ra_tray
6/5/2014,http://twitter.com/jecaastudillo/status/474540680430514176,jecaastudillo,“@jbayesrx96: I'm Fine but what do I really Mean..#chronicdisease #crohns #colitis #FMS #IC #autoimmune http://t.co/KgE1lG5HM3”reFukinTweet,6.9260163,http://twitter.com/JecaAstudillo/status/474540680430514176,http://twitter.com/jecaastudillo
6/5/2014,http://twitter.com/codienec/status/474549419980099584,codienec,#Marijuana may help treat #autoimmune diseases http://t.co/6noHKfDVed via @metroregina #cannabis,8.388207,http://twitter.com/CodieneC/status/474549419980099584,http://twitter.com/codienec
6/5/2014,http://twitter.com/chroniccough420/status/474551514976243713,chroniccough420,"#Cannabis a Potential #Treatment for #Autoimmune #Diseases, Study Finds http://t.co/fNBIcgYrJg",7.777303,http://twitter.com/ChronicCough420/status/474551514976243713,http://twitter.com/chroniccough420
6/5/2014,http://twitter.com/perfectstashbag/status/474551853771137024,perfectstashbag,RT @CodieneC: #Marijuana may help treat #autoimmune diseases http://t.co/6noHKfDVed via @metroregina #cannabis,7.2990746,http://twitter.com/PerfectStashBag/status/474551853771137024,http://twitter.com/perfectstashbag
6/5/2014,http://twitter.com/meika_mashack/status/474556097437892608,meika_mashack,"#AutoImmune Community~If you know that your body cannot take the rigors of the job you currently have, let's talk! There are other options!",11.473947,http://twitter.com/Meika_Mashack/status/474556097437892608,http://twitter.com/meika_mashack
6/5/2014,http://twitter.com/miztification/status/474557167534874624,miztification,"RT @Meika_Mashack: #AutoImmune Community~If you know that your body cannot take the rigors of the job you currently have, let's talk! There…",10.550874,http://twitter.com/MizTification/status/474557167534874624,http://twitter.com/miztification
6/5/2014,http://twitter.com/drmccombs/status/474558913527173120,drmccombs,"#Candida Linked to #Arthritis, #Multiple Sclerosis, #Psoriasis, and #Autoimmune Conditions .@DrMcCombs - http://t.co/Ymf9eCUpWJ",6.919736,http://twitter.com/DrMcCombs/status/474558913527173120,http://twitter.com/drmccombs
6/5/2014,http://twitter.com/gcdoc362/status/474560464085463041,gcdoc362,#Marijuana Shows Potential In Treating #Autoimmune Disease http://t.co/OWpeqWKScD,8.084128,http://twitter.com/gcdoc362/status/474560464085463041,http://twitter.com/gcdoc362
6/5/2014,http://twitter.com/kristalyna/status/474571305745133568,kristalyna,"“@MMironcity: #spoonieproblems How I feel is so much dependant on the weather, literally. #fibro #psoriaticarthritis #autoimmune” Always.",10.276904,http://twitter.com/kristalyna/status/474571305745133568,http://twitter.com/kristalyna
6/5/2014,http://twitter.com/kellymdempewolf/status/474571602059735040,kellymdempewolf,Letter to my doctor - standing up for myself for trying to treat my #fatigue http://t.co/ixGMPi2MAH #rheum #autoimmune #sjogrens #spoonies,7.0831957,http://twitter.com/kellymdempewolf/status/474571602059735040,http://twitter.com/kellymdempewolf
6/5/2014,http://twitter.com/littleislandstu/status/474571978146205696,littleislandstu,Food Matters! #GMO #Pesticides #Cancer #Autism #AutoImmune #parkinsons #Health #US #Kids #WorldHealth #NOGMO #RightToKnow #Organic,10.065269,http://twitter.com/littleislandstu/status/474571978146205696,http://twitter.com/littleislandstu
6/5/2014,http://twitter.com/drkellyann/status/474576313529819136,drkellyann,"Your immune system works to protect your body, but sometimes antibodies attack your own cells. This is called an #autoimmune disorder.",8.303252,http://twitter.com/drkellyann/status/474576313529819136,http://twitter.com/drkellyann
6/5/2014,http://twitter.com/simona1010/status/474580970503667714,simona1010,Celebrating one year of #idiopathicangioedema! So thankful for friends and family. #chronicillness #autoimmune,7.5820637,http://twitter.com/simona1010/status/474580970503667714,http://twitter.com/simona1010
6/5/2014,http://twitter.com/etiff12/status/474581847582990336,etiff12,"RT @drkellyann: Your immune system works to protect your body, but sometimes antibodies attack your own cells. This is called an #autoimmun…",7.3224726,http://twitter.com/ETiff12/status/474581847582990336,http://twitter.com/etiff12
6/5/2014,http://twitter.com/healthyinoregon/status/474583025301585922,healthyinoregon,Stop Blaming Your Genes! There's alot you can do to beat #MS and other #autoimmune conditions  http://t.co/lEh2eCmt6d,7.74307,http://twitter.com/HealthyInOregon/status/474583025301585922,http://twitter.com/healthyinoregon
6/5/2014,http://twitter.com/debimz/status/474583046423715840,debimz,"RT @drkellyann:Ur immune system works to protect ur body,but sometimes antibodies attack ur own cells.This is called an #autoimmune disorder",7.268051,http://twitter.com/debimz/status/474583046423715840,http://twitter.com/debimz
5/13/2014,http://twitter.com/autoimmunemom/status/466044061766270977,pulpnature,RT @AutoimmuneMom: Hearts! Loved being part of @PulpNature Pulp Podcast: In Honor of #Mother's Day-Helpful Tips from #Autoimmune #Mom http:…,7.713757,http://twitter.com/PulpNature/status/474592908625334273,http://twitter.com/pulpnature
6/5/2014,http://twitter.com/kellymdempewolf/status/474597475940966400,kellymdempewolf,#autoimmune related #chronicfatigue is NOT due to depression - my letter standing up to my Dr that insinuated it was http://t.co/ixGMPi2MAH,7.287454,http://twitter.com/kellymdempewolf/status/474597475940966400,http://twitter.com/kellymdempewolf
6/5/2014,http://twitter.com/terrywahls/status/474609447139311616,terrywahls,"I’ve written many articles for @MindBodyGreen, take a look. http://t.co/qs3wb8Recl #autoimmune #paleo #vegetarian",9.635217,http://twitter.com/terrywahls/status/474609447139311616,http://twitter.com/terrywahls
6/5/2014,http://twitter.com/scdlifestyle/status/474612217783255040,scdlifestyle,Struggling with an #autoimmune condition?  Then listen to this podcast with Dr. Terry Wahls:  http://t.co/u3iBZyw5j6,7.4081016,http://twitter.com/scdlifestyle/status/474612217783255040,http://twitter.com/scdlifestyle
6/5/2014,http://twitter.com/drmccombs/status/474615432041996288,drmccombs,"#Candida Linked to #Arthritis, #Multiple Sclerosis, #Psoriasis, and #Autoimmune Conditions .@DrMcCombs - http://t.co/Ymf9eCUpWJ",6.9260163,http://twitter.com/DrMcCombs/status/474615432041996288,http://twitter.com/drmccombs
6/5/2014,http://twitter.com/craigamaxwell/status/474625736158875648,craigamaxwell,"RT @terrywahls: I’ve written many articles for @MindBodyGreen, take a look. http://t.co/qs3wb8Recl #autoimmune #paleo #vegetarian",7.365522,http://twitter.com/CraigAMaxwell/status/474625736158875648,http://twitter.com/craigamaxwell
6/5/2014,http://twitter.com/thrive_show/status/474627983089893376,thrive_show,How can sympathy be so hard to give when you have a #chronicillness? More at http://t.co/Tx89A6o4hu. #autoimmune,7.545344,http://twitter.com/thrive_show/status/474627983089893376,http://twitter.com/thrive_show
