firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/jwfkidneycancer/status/473041507319296001,jwfkidneycancer,"Volunteers’ Week,1-7 June, celebrates the fantastic contribution millions of volunteers make across the UK. Thank you ALL! #kidneycancer",8.9643545,http://twitter.com/JWFKidneyCancer/status/473041507319296001,http://twitter.com/jwfkidneycancer
06/01/14,http://twitter.com/gentlyweeping/status/473041681261277184,gentlyweeping,"RT @JWFKidneyCancer: Volunteers’ Week,1-7 June, celebrates the fantastic contribution millions of volunteers make across the UK. Thank you …",7.2381897,http://twitter.com/GentlyWeeping/status/473041681261277184,http://twitter.com/gentlyweeping
06/01/14,http://twitter.com/debmaskenskcc/status/473099855800193024,debmaskenskcc,Warming up for #kickitup bootcamp for kidney cancer. Beautiful day in Toronto! #kidneycancer http://t.co/FQQ2vH7ttd,7.6760497,http://twitter.com/DebMaskensKCC/status/473099855800193024,http://twitter.com/debmaskenskcc
06/01/14,http://twitter.com/debmaskenskcc/status/473111458273058816,debmaskenskcc,Canada's Queen of R&amp;B @jullyblack on stage for #kickitup #kidneycancer bootcamp in Toronto http://t.co/yyCQ7UrMnx,8.855618,http://twitter.com/DebMaskensKCC/status/473111458273058816,http://twitter.com/debmaskenskcc
06/01/14,http://twitter.com/kindadodgy/status/473114381904281600,kindadodgy,Too fab for words. RT @DebMaskensKCC: Canada's Queen of R&amp;B @jullyblack on stage for #kickitup #kidneycancer bootcamp http://t.co/PeV4Ktc7zL,6.990526,http://twitter.com/kindadodgy/status/473114381904281600,http://twitter.com/kindadodgy
06/01/14,http://twitter.com/kidneycancer_ca/status/473123277590630400,kidneycancer_ca,RT @DebMaskensKCC: Canada's Queen of R&amp;B @jullyblack on stage for #kickitup #kidneycancer bootcamp in Toronto http://t.co/yyCQ7UrMnx,7.0539856,http://twitter.com/KidneyCancer_Ca/status/473123277590630400,http://twitter.com/kidneycancer_ca
06/01/14,http://twitter.com/jimadams105/status/473125303532130304,jimadams105,RT @DebMaskensKCC: Canada's Queen of R&amp;B @jullyblack on stage for #kickitup #kidneycancer bootcamp in Toronto http://t.co/yyCQ7UrMnx,7.0539856,http://twitter.com/JimAdams105/status/473125303532130304,http://twitter.com/jimadams105
06/01/14,http://twitter.com/debmaskenskcc/status/473127184089899008,debmaskenskcc,We're within $300 of our goal. Text to 30333 with Subject Line SUPPORT to donate $5 #kidneycancer http://t.co/QFggpf2dax,7.70855,http://twitter.com/DebMaskensKCC/status/473127184089899008,http://twitter.com/debmaskenskcc
06/01/14,http://twitter.com/daslebenshaus/status/473133018224144384,daslebenshaus,#5009 - Nivo for RCC - encouraging OS and ORR data with little side effects - http://t.co/cx1qbXzeIe #kidneycancer #ASCO14 #IKCC,6.6224465,http://twitter.com/DasLebenshaus/status/473133018224144384,http://twitter.com/daslebenshaus
06/01/14,http://twitter.com/sumone31/status/473138915793465344,sumone31,Cox's Cancer Crushers 💪 #f*ckcancer #kidneycancer #cincinnati #awesome #proud #mamacoxistheshit #fun… http://t.co/JWUlZd4Czi,6.9453607,http://twitter.com/sumone31/status/473138915793465344,http://twitter.com/sumone31
