firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/kidneypedia/status/473060158055411712,kidneypedia,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/BTpYTKy4mn  #renalcalculi #kidneypain #kidneydisease,7.4720287,http://twitter.com/kidneypedia/status/473060158055411712,http://twitter.com/kidneypedia
06/01/14,http://twitter.com/kidneypaincures/status/473060166733430785,kidneypaincures,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/aHsRMNP2kN  #renalcalculi #kidneypain #kidneydisease,7.48006,http://twitter.com/kidneypaincures/status/473060166733430785,http://twitter.com/kidneypaincures
06/01/14,http://twitter.com/renaldiet/status/473060167178018816,renaldiet,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/xhyytKVKua  #renalcalculi #kidneypain #kidneydisease,7.4033494,http://twitter.com/RenalDiet/status/473060167178018816,http://twitter.com/renaldiet
06/01/14,http://twitter.com/renalcalculidoc/status/473060184357896192,renalcalculidoc,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/K6yyNJHxbX  #renalcalculi #kidneypain #kidneydisease,7.4838786,http://twitter.com/RenalCalculiDoc/status/473060184357896192,http://twitter.com/renalcalculidoc
06/01/14,http://twitter.com/rachelbarbic/status/473234343083933697,rachelbarbic,"On Sunday, we walk in honor of my husband. Please consider making a donation. Thank you! #NKF #kidneydisease ... http://t.co/Bbog8iefAW",7.908272,http://twitter.com/rachelbarbic/status/473234343083933697,http://twitter.com/rachelbarbic
06/02/14,http://twitter.com/avillageforjohn/status/473279122660417537,avillageforjohn,John was diagnosed with #FSGS in 2008 and needs a new #kidney.   Offer support and RT http://t.co/Rr6URQZans #fightforacure #kidneydisease,8.25327,http://twitter.com/avillageforjohn/status/473279122660417537,http://twitter.com/avillageforjohn
06/02/14,http://twitter.com/mceraz/status/473279123658653696,mceraz,John was diagnosed with #FSGS in 2008 and needs a new #kidney.   Offer support and RT http://t.co/dFB6IGr6vd #fightforacure #kidneydisease,7.4256268,http://twitter.com/mceraz/status/473279123658653696,http://twitter.com/mceraz
06/02/14,http://twitter.com/kidneyhealth/status/473345053369184256,kidneyhealth,Thank you @Mamamia for sharing Nik's story and helping to raise awareness of #kidneydisease #earlydetection http://t.co/uMczHbIU92 #mmia,8.304912,http://twitter.com/KidneyHealth/status/473345053369184256,http://twitter.com/kidneyhealth
06/02/14,http://twitter.com/patriciahenczel/status/473350823695503360,patriciahenczel,RT @avillageforjohn: John was diagnosed with #FSGS in 2008 and needs a new #kidney.   Offer support and RT http://t.co/Rr6URQZans #fightfor…,7.1398773,http://twitter.com/patriciahenczel/status/473350823695503360,http://twitter.com/patriciahenczel
06/02/14,http://twitter.com/vidafundacion/status/473356428389122048,vidafundacion,RT @KidneyHealth: Thank you @Mamamia for sharing Nik's story and helping to raise awareness of #kidneydisease #earlydetection http://t.co/u…,7.2501793,http://twitter.com/VIDAFUNDACION/status/473356428389122048,http://twitter.com/vidafundacion
