firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/kidneypedia/status/473060158055411712,kidneypedia,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/BTpYTKy4mn  #renalcalculi #kidneypain #kidneydisease,7.5340686,http://twitter.com/kidneypedia/status/473060158055411712,http://twitter.com/kidneypedia
06/01/14,http://twitter.com/renaldiet/status/473060167178018816,renaldiet,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/xhyytKVKua  #renalcalculi #kidneypain #kidneydisease,7.5172687,http://twitter.com/RenalDiet/status/473060167178018816,http://twitter.com/renaldiet
06/01/14,http://twitter.com/kidneypaincures/status/473060166733430785,kidneypaincures,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/aHsRMNP2kN  #renalcalculi #kidneypain #kidneydisease,7.4977155,http://twitter.com/kidneypaincures/status/473060166733430785,http://twitter.com/kidneypaincures
06/01/14,http://twitter.com/renalcalculidoc/status/473060184357896192,renalcalculidoc,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/K6yyNJHxbX  #renalcalculi #kidneypain #kidneydisease,7.503889,http://twitter.com/RenalCalculiDoc/status/473060184357896192,http://twitter.com/renalcalculidoc
06/01/14,http://twitter.com/rangipettersson/status/473060196378767360,rangipettersson,What are the Causes of #KidneyStones and How to Avoid Them http://t.co/JznNBdBVjM  #renalcalculi #kidneypain... http://t.co/BxRFinaLyD,7.6436763,http://twitter.com/rangipettersson/status/473060196378767360,http://twitter.com/rangipettersson
06/01/14,http://twitter.com/ricklondon/status/473061789895118848,ricklondon,#RollingStones #1 Google ranked funny #hoodies Rolling #KidneyStones by @LTCartoons http://t.co/vXtw8aLcn6 #humor #cartoons,11.156609,http://twitter.com/ricklondon/status/473061789895118848,http://twitter.com/ricklondon
06/01/14,http://twitter.com/moorejh/status/473121711890915329,moorejh,RT @Rndubois: Shattering #KidneyStones: An Improved Method of Eliminating the Agonizing Pellets:   http://t.co/Uuye6E8KvH,10.743653,http://twitter.com/moorejh/status/473121711890915329,http://twitter.com/moorejh
06/01/14,http://twitter.com/pattyabby/status/473140325704142848,pattyabby,"@tomhanks deserves an Oscar for the painful urination scene alone in #TheGreenMile. You, sir, are a master! Pee well my friend #KidneyStones",10.749649,http://twitter.com/PattyAbby/status/473140325704142848,http://twitter.com/pattyabby
06/01/14,http://twitter.com/myurologydoc/status/473211356632477700,myurologydoc,@kelhchap @_StVincent @FishersIN lime infused! Great for #KidneyStones,7.4507866,http://twitter.com/myurologydoc/status/473211356632477700,http://twitter.com/myurologydoc
06/01/14,http://twitter.com/nraa1/status/473221224605437953,nraa1,Diagram of #KidneyStones: http://t.co/3YzaooAuGY,8.779873,http://twitter.com/NRAA1/status/473221224605437953,http://twitter.com/nraa1
06/01/14,http://twitter.com/raytreedudejc/status/473230444889403394,raytreedudejc,"Having kidney stones ""sucks""!!  Since Wednesday I have been in constant pain and with little sleep.  Maybe I am just a baby. #kidneystones",7.96771,http://twitter.com/RayTreedudejc/status/473230444889403394,http://twitter.com/raytreedudejc
