firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/shzmedstudent/status/473004496889475072,shzmedstudent,"#Renal lectures are class of clans!
#clashofclans",8.01072,http://twitter.com/Shzmedstudent/status/473004496889475072,http://twitter.com/shzmedstudent
06/01/14,http://twitter.com/bindingsitehaem/status/473005026169094144,bindingsitehaem,"50% of newly diagnosed #myeloma patients present with #renal insufficiency. Visit Stand B6, #ERAEDTA14 to learn more http://t.co/PXyv0sQH0I",9.19063,http://twitter.com/BindingSiteHaem/status/473005026169094144,http://twitter.com/bindingsitehaem
06/01/14,http://twitter.com/jimanxxx/status/473008712291201024,jimanxxx,"RT @BindingSiteHaem: 50% of newly diagnosed #myeloma patients present with #renal insufficiency. Visit Stand B6, #ERAEDTA14 to learn more h…",6.9658203,http://twitter.com/jimanxxx/status/473008712291201024,http://twitter.com/jimanxxx
06/01/14,http://twitter.com/brendonln/status/473013806780538881,brendonln,"RT @BindingSiteHaem: 50% of newly diagnosed #myeloma patients present with #renal insufficiency. Visit Stand B6, #ERAEDTA14 to learn more h…",6.9658203,http://twitter.com/brendonln/status/473013806780538881,http://twitter.com/brendonln
06/01/14,http://twitter.com/xulewetigafa/status/473094334158749696,xulewetigafa,The #Number Of End-Stage #Renal #Disease In Diabetic Patients Decreased By 35% Over The Past 10 Years http://t.co/1XObrI7lqB,7.1663833,http://twitter.com/xulewetigafa/status/473094334158749696,http://twitter.com/xulewetigafa
06/01/14,http://twitter.com/warmandtote/status/473096334531391489,warmandtote,How to reverse #renal disease. http://t.co/TLhNu6CVfA,12.059403,http://twitter.com/warmandtote/status/473096334531391489,http://twitter.com/warmandtote
06/01/14,http://twitter.com/jeffsoul/status/473161368099901441,jeffsoul,Kidney Walk 2014. Supporting the STRONGEST WOMAN I know!!! #MommasBoy #Family #Kidneys #Renal @… http://t.co/umGUqJ7wPS,7.6946716,http://twitter.com/JeffSoul/status/473161368099901441,http://twitter.com/jeffsoul
06/01/14,http://twitter.com/pooleylorri186/status/473170946418049024,pooleylorri186,@AnnMMcs sounds perfect Sunday... tired now.....tea and chill time now. Like #countryfile #antiques road show #renal patient support group.,7.5275683,http://twitter.com/PooleyLorri186/status/473170946418049024,http://twitter.com/pooleylorri186
06/02/14,http://twitter.com/nephondemand/status/473279392987512833,nephondemand,NOD Vol 5 No 11 now available http://t.co/8L7CGyZGZQ #FOAMed #meded #mdchat #rnchat #medstudents #hcsm #kidney #renal #nephrology #dialysis,6.9284782,http://twitter.com/nephondemand/status/473279392987512833,http://twitter.com/nephondemand
06/02/14,http://twitter.com/pooleylorri186/status/473342896486481920,pooleylorri186,"Start of a new week, where I am creating awareness for @NHSOrganDonor @NKF_UK @kidneysforlife @Kidney_Research @MRITransplant @CMFTR #RENAL",6.9010615,http://twitter.com/PooleyLorri186/status/473342896486481920,http://twitter.com/pooleylorri186
