firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/05/14,http://twitter.com/wishuponwedding/status/474611668551360512,wishuponwedding,Throwing back Cliff &amp; Deven's joyous wedding in Atlanta in 2010. #tbt #renalfailure http://t.co/0qbNfNRbbd,11.050031,http://twitter.com/WishUponWedding/status/474611668551360512,http://twitter.com/wishuponwedding
06/08/14,http://twitter.com/gregnt87/status/475446468653121536,gregnt87,"""That corner makes my butt wet"" #renalfailure",10.066928,http://twitter.com/gregnt87/status/475446468653121536,http://twitter.com/gregnt87
06/08/14,http://twitter.com/leonardoeff/status/475447567015505920,leonardoeff,"RT @gregnt87: ""That corner makes my butt wet"" #renalfailure",8.1219425,http://twitter.com/LeonardoEff/status/475447567015505920,http://twitter.com/leonardoeff
06/09/14,http://twitter.com/prudabelle/status/475948546533777408,prudabelle,Life keeps throwing punches. Not only in chronic #renalfailure but now have tachycardia too. When will this end? I'm so sick of this shite,7.7325883,http://twitter.com/Prudabelle/status/475948546533777408,http://twitter.com/prudabelle
06/11/14,http://twitter.com/prudabelle/status/476700390470074369,prudabelle,Awesome. Diverticulitis is just what I need right now. On top of tachycardia and #renalfailure. Now that's some shit on some shit!! 😕😣💪,7.995756,http://twitter.com/Prudabelle/status/476700390470074369,http://twitter.com/prudabelle
06/13/14,http://twitter.com/kidneypedia/status/477412629686677507,kidneypedia,Who are Most at Risk of Acute #RenalFailure http://t.co/pR7dj1dJMv #kidneydiseasesymptoms #kidneyfailurecauses,7.9326043,http://twitter.com/kidneypedia/status/477412629686677507,http://twitter.com/kidneypedia
06/13/14,http://twitter.com/rangipettersson/status/477412630710063105,rangipettersson,Who are Most at Risk of Acute #RenalFailure http://t.co/ynAu0Elybw #kidneydiseasesymptoms #kidneyfailurecauses http://t.co/3Z4w2FscMr,7.7882094,http://twitter.com/rangipettersson/status/477412630710063105,http://twitter.com/rangipettersson
06/13/14,http://twitter.com/kidneypaincures/status/477412647881564161,kidneypaincures,Who are Most at Risk of Acute #RenalFailure http://t.co/wu7WaDfsvn #kidneydiseasesymptoms #kidneyfailurecauses,7.993319,http://twitter.com/kidneypaincures/status/477412647881564161,http://twitter.com/kidneypaincures
06/13/14,http://twitter.com/renaldiet/status/477412649466998784,renaldiet,Who are Most at Risk of Acute #RenalFailure http://t.co/PSA0kIDJkV #kidneydiseasesymptoms #kidneyfailurecauses,9.2054,http://twitter.com/RenalDiet/status/477412649466998784,http://twitter.com/renaldiet
06/13/14,http://twitter.com/renalcalculidoc/status/477412649425072128,renalcalculidoc,Who are Most at Risk of Acute #RenalFailure http://t.co/T3HfyKHDsl #kidneydiseasesymptoms #kidneyfailurecauses,7.7748694,http://twitter.com/RenalCalculiDoc/status/477412649425072128,http://twitter.com/renalcalculidoc
06/14/14,http://twitter.com/programman/status/477834203363426304,programman,RT @RenalDiet: Who are Most at Risk of Acute #RenalFailure http://t.co/PSA0kIDJkV #kidneydiseasesymptoms #kidneyfailurecauses,7.650288,http://twitter.com/ProgramMan/status/477834203363426304,http://twitter.com/programman
