firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/03/14,http://twitter.com/uptodate/status/473875521575854081,uptodate,"In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/eM6vxSAeJy",12.567682,http://twitter.com/UpToDate/status/473875521575854081,http://twitter.com/uptodate
06/03/14,http://twitter.com/revcirujanospla/status/473875692774764544,revcirujanospla,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",7.12123,http://twitter.com/revcirujanospla/status/473875692774764544,http://twitter.com/revcirujanospla
06/03/14,http://twitter.com/baizamd/status/473877761778806784,baizamd,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",7.12123,http://twitter.com/BaizaMD/status/473877761778806784,http://twitter.com/baizamd
06/03/14,http://twitter.com/trendytot1/status/473888728977768448,trendytot1,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",7.12123,http://twitter.com/trendytot1/status/473888728977768448,http://twitter.com/trendytot1
06/03/14,http://twitter.com/doctrianensis/status/473905440766849024,doctrianensis,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",7.12123,http://twitter.com/doctrianensis/status/473905440766849024,http://twitter.com/doctrianensis
06/03/14,http://twitter.com/carloscucus/status/473944111188160517,carloscucus,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",7.12123,http://twitter.com/CarlosCucus/status/473944111188160517,http://twitter.com/carloscucus
06/05/14,http://twitter.com/mcdonnelljack/status/474631481634328576,mcdonnelljack,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",7.12123,http://twitter.com/McDonnellJack/status/474631481634328576,http://twitter.com/mcdonnelljack
06/07/14,http://twitter.com/jalusatwiko/status/475277123335106560,jalusatwiko,"RT @UpToDate: In extremely low birth weight #infants, #fluconazole prophylaxis reduced invasive #candidiasis but not mortality http://t.co/…",10.287552,http://twitter.com/Jalusatwiko/status/475277123335106560,http://twitter.com/jalusatwiko
06/09/14,http://twitter.com/drmosarafali/status/476064071079710720,drmosarafali,Some conditions prevalent in women #migraine #anaemia #candidiasis #cystitis #cellulite #IBS #PMR #Scoliosis #lupus,8.687966,http://twitter.com/DrMosarafAli/status/476064071079710720,http://twitter.com/drmosarafali
06/10/14,http://twitter.com/londonhotads/status/476478563433328641,londonhotads,RT @DrMosarafAli: Some conditions prevalent in women #migraine #anaemia #candidiasis #cystitis #cellulite #IBS #PMR #Scoliosis #lupus,6.859468,http://twitter.com/londonhotads/status/476478563433328641,http://twitter.com/londonhotads
